,CNDP1 (84735),SRM (6723),ECHS1 (1892),ALDH9A1 (223),ALDH3A2 (224),GAD1 (2571),GAD2 (2572),AOC2 (314),ALDH1B1 (219),HIBCH (26275),ABAT (18),EHHADH (1962),ALDH2 (217),ACADM (34),UPB1 (51733),ALDH7A1 (501),AOC3 (8639),DPYS (1807),DPYD (1806),MLYCD (23417),HADHA (3030),SMS (6611)
ACH-000694,0.1763227726404629,5.447579196548882,6.333244816996384,5.144862142915734,6.063287212206184,2.454175893185802,0.0426443374084937,2.950468414150123,3.2047667506546134,3.949534933017012,2.778208576398088,3.654206377944292,6.519321734629434,4.911212201558612,0.0,0.6690267655096305,2.941106310946432,0.1505596765753814,3.673556423990145,1.2265085298086795,6.359661722333877,6.497452695977238
ACH-000619,0.0,4.899175630480513,5.2731428593080825,4.9453267772646265,5.6544928258834615,2.0461417816447205,0.0,0.8237493603082727,2.8579809951275723,4.039138393906958,2.3015876466031866,3.00539998774259,4.727375938594897,4.7938958825488776,0.0285691521967709,6.046796609573758,0.7048719644563528,0.01435529297707,3.957914598632985,1.2868811477881614,5.901108243014512,6.33646192818282
ACH-000647,0.0,7.015916772106885,6.79259510251225,5.203201156316611,5.317231700222606,4.351910961103077,0.1505596765753814,1.3561438102252754,4.534186139090097,4.25171909260596,2.7420062108667365,2.956056652412403,5.398487190018967,6.664198369291911,0.1110313123887439,5.35508676166836,0.5849625007211562,0.2016338611696504,3.4828482830684653,1.550900664647523,7.528493181191486,6.853746197008764
ACH-000231,0.0,7.115511897172365,6.778208576398088,5.255878352582786,4.408032466130653,4.266786540694901,0.0,0.8399595874895318,5.266411766036114,3.211012193485512,1.6182386555954549,0.6780719051126377,1.8914191868460783,5.37016428054021,0.2509615735332188,6.725468512632615,0.5360529002402097,0.5058909297299572,4.2712762591759255,1.867896463992655,5.913846824263042,8.65617455989802
ACH-000837,0.0,6.588114949388078,6.631831850610098,5.565597175854225,7.494015517480295,3.513490745588118,0.0,0.925999418556223,3.942045259916047,3.726831217032493,0.2265085298086797,1.752748591407134,0.411426245726465,4.281698250098829,0.1763227726404629,5.829342193902803,0.4005379295837288,0.1890338243900171,3.6926503700355298,0.963474123974886,6.606146078065724,6.883620816285672
