,JUN (3725),JAM3 (83700),ATP6V1G1 (9550),CHUK (1147),PTPN11 (5781),CXCL1 (2919),MAP2K4 (6416),CCL5 (6352),NOD1 (10392),ADAM17 (6868),ATP6V0A1 (535),ATP6V1G2 (534),ATP6V0B (533),ATP6V1G3 (127124),CXCR2 (3579),ATP6AP1 (537),CXCR1 (3577),CXCL8 (3576),F11R (50848),MAPK9 (5601),MAPK10 (5602),MAPK11 (5600),MAPK13 (5603),IKBKB (3551),ATP6V1F (9296),ATP6V0A4 (50617),CASP3 (836),ATP6V0A2 (23545),ATP6V0D1 (9114),NFKB1 (4790),RAC1 (5879),NFKBIA (4792),JAM2 (58494),IKBKG (8517),MAPK8 (5599),MAPK14 (1432),MAPK12 (6300),EGFR (1956),RELA (5970),ATP6V0E2 (155066),ATP6V1H (51606),ATP6V1E2 (90423),PTPRZ1 (5803),ATP6V0D2 (245972),MAP3K14 (9020),ATP6V0E1 (8992),ATP6V1C2 (245973),ADAM10 (102),TJP1 (7082),MET (4233),CSK (1445),SRC (6714),TCIRG1 (10312),IGSF5 (150084),PAK1 (5058),GIT1 (28964),ATP6V1D (51382),ATP6V1A (523),PLCG1 (5335),PLCG2 (5336),HBEGF (1839),ATP6V1E1 (529),ATP6V1B2 (526),LYN (4067),ATP6V1B1 (525),CDC42 (998),ATP6V1C1 (528),ATP6V0C (527)
ACH-000694,6.937815168803419,2.1795110502715103,7.251529750123781,3.8609627978581167,5.482848283068465,2.4828482830684653,4.05484847699562,1.7949356628035362,2.9818526532897405,4.563768278452033,4.124328135002202,0.903038270112912,6.083000565676004,0.0,1.1243281350022014,6.528258742758412,0.0,3.137503523749935,6.743218729532497,4.504620392403552,3.0942360698457656,2.2387868595871168,3.944858445807539,3.9523335663696857,6.824131379386604,0.6229303509201767,5.74604398299834,2.978195629681652,6.109778429078662,4.956056652412403,8.045268215138533,6.135247549809567,0.01435529297707,4.668459556915382,4.2433644256936605,4.922197848396367,4.017031080527841,5.286511557664227,5.23189316164533,2.0840642647884744,4.8494989317201815,3.016139702655253,3.2203299548795554,0.1634987322828795,3.3950627995175777,7.55405157796163,1.4276061727818994,7.107897061664612,5.800899899920305,4.474436043252266,5.449891473010944,5.181897643108388,6.904484097901423,0.0,3.4918530963296748,5.105594275795191,6.11332544304199,5.434628227636725,4.993221467368938,2.84197311892718,1.7990873060740036,6.950701690089008,4.697662633470518,3.2555007331483865,5.33699741660501,7.332886916959597,4.671293372481576,7.119252412157343
ACH-000619,5.486070743735668,0.3219280948873623,6.580597763555844,3.007195501404204,4.844486087757799,3.097610796626422,3.5298209465286954,6.739578112048051,2.9011082430145123,4.782932704820837,4.606442228131607,0.5360529002402097,6.23112515787905,0.0,0.3448284969974411,6.330737650206952,0.0,2.7420062108667365,7.014578464922892,4.349082146391089,2.2448870591235344,1.8914191868460783,4.349082146391089,4.579542224936903,6.782670658677007,0.0426443374084937,3.624100894628114,3.363171077119244,5.521050736900963,4.135042286233651,7.803227036434928,6.182493674945368,0.0285691521967709,4.3269687115878925,4.37016428054021,4.4269356196483365,4.522306892871389,5.44857062600553,5.606738317417591,2.4646682670034443,4.488000770834068,2.2957230245399685,0.2986583155645151,0.0840642647884745,3.339137384919585,7.347222717781361,1.599317793698226,7.158357226049009,4.7300964655954685,5.309612772454123,4.83035674741922,4.937344392150233,7.346247774082776,0.0,4.563158130402808,4.700994494168267,5.897966431649445,4.236492618381302,5.624100894628114,3.10936055940423,2.277984747299765,5.76659516172927,3.9411063109464313,4.064365540263628,3.0617761975866897,6.759555343206311,4.4535175792154975,6.884353706847985
ACH-000647,7.547819956577703,4.009884588931844,7.134631671447647,4.220329954879555,6.637059538410849,3.495695162624069,4.328405658958567,0.0285691521967709,3.888499735514123,4.1715271060388135,4.704318677760831,0.2016338611696504,7.042863176247121,0.0,0.0,6.706668682179746,0.01435529297707,2.634593268445757,6.719867928344366,5.062639828286463,1.2387868595871168,2.2357270598380583,5.284292026394312,2.6182386555954547,7.22486992494269,2.137503523749935,3.643856189774725,4.364572432295856,5.635464198167884,4.542877099354142,8.615298579092116,4.891905188211931,0.01435529297707,5.005849075696688,6.341096237957642,5.48058827023386,4.325530331567558,6.238022517825721,5.059614856297222,5.166715444966423,5.706806798597532,3.986410935252045,0.0840642647884745,0.0285691521967709,4.776103988073165,7.11467935294331,1.819668183496456,6.931328484893792,5.56346323668308,6.73903797911741,4.774523529590232,4.310340120612151,5.3384244147835584,0.1763227726404629,5.820689560559215,5.184677020680892,6.948834425578686,4.739848102699328,5.500483401473115,2.920293300211007,4.814037647539975,7.948776034602623,5.059614856297222,4.139960569545456,1.2448870591235344,7.894878379473196,5.360364276543471,7.63618957152566
ACH-000231,6.316145742293356,5.198101209324823,7.400964800327112,4.416839741912829,5.949301468328278,0.3103401206121505,3.6814492653149578,6.9985340182791775,2.372952097911829,4.390254956321868,4.643856189774724,2.403267722339301,7.855429149225015,1.5260688116675876,0.0840642647884745,7.845301861056826,0.0,1.7092906357233577,3.641546029087524,5.15704371014558,0.7990873060740036,3.381283372503784,2.16349873228288,4.7300964655954685,7.32102612859297,0.1505596765753814,5.0716768737518585,3.950468414150123,6.759422185696328,4.485426827170242,7.693626341591109,5.936166777979151,2.104336659814736,5.698218478224414,5.320484678017694,5.314696525656286,4.357552004618084,3.665620164066381,5.421896512042248,5.305970520984387,5.444269502413482,1.967168607532628,0.0976107966264223,0.0840642647884745,5.486392594275964,8.33904828291907,1.0496307677246008,6.8270568365001525,5.0574502721839,6.39694722007283,5.856985689782205,4.88508622529017,5.622051819456376,0.0426443374084937,4.732811872082943,4.747387399652718,7.33788945585985,4.905928478173135,6.075532631167357,0.1505596765753814,4.244887059123535,7.955359305242994,6.045049740837989,3.7644735509926655,1.3103401206121503,8.468664767679588,4.815063017192867,7.43028527297778
ACH-000837,4.968090752045256,0.5558161550616396,6.806581842620928,3.150559676575381,5.940166750482817,0.5655971758542251,4.1945598860226125,0.7484612330040357,1.819668183496456,5.40667271575583,4.0900065299038175,0.2986583155645151,6.7329475083394135,0.0976107966264223,0.0,6.218974857123272,0.070389327891398,2.978195629681652,7.518220380599588,4.828834649468056,0.6135316529179271,1.7990873060740036,5.851749041416057,4.456806149230474,5.618238655595454,0.1243281350022017,4.606442228131607,3.2600256559614555,6.220329954879555,4.630521963471638,7.658711339973922,6.175324989184902,0.2509615735332188,4.053111336459563,4.402585758232587,4.268284666520996,3.2854022188622483,5.237640195035385,6.127014141582809,3.463360885816658,4.650190123496775,3.4982508675278257,0.8073549220576041,0.1763227726404629,4.277240898332067,6.421728238286778,2.568032104771279,6.861335090245255,5.997744026059632,5.246788093844365,6.813909425077029,5.888012585402829,5.930264245235024,0.0426443374084937,5.12391445900198,4.646738698307846,6.539003674268171,4.705977901682522,4.221877081077034,2.4620523187964327,4.5963388642052,7.017810584640528,4.20633064787105,4.6194130105979365,0.933572638261024,7.199574198978244,5.467605550082998,7.029011086659068
