,F2R (2149),EPN3 (55040),IQSEC1 (9922),IQSEC3 (440073),GRK3 (157),GRK2 (156),ADRB3 (155),ADRB2 (154),EPN2 (22905),STAMBP (10617),ADRB1 (153),IGF1R (3480),CLTCL1 (8218),HGS (9146),VPS37C (55048),MVB12B (89853),PIP4K2B (8396),RUFY1 (80230),SMAP2 (64744),HLA-G (3135),FLT1 (2321),STAM (8027),MDM2 (4193),PIKFYVE (200576),VPS37D (155382),PIP5K1A (8394),VPS28 (51160),CHMP2B (25978),MVB12A (93343),PIP5K1B (8395),RAB11FIP1 (80223),ACAP1 (9744),ARRB2 (409),AP2A2 (161),GRK7 (131890),ARRB1 (408),AP2B1 (163),AP2A1 (160),EEA1 (8411),GRK1 (6011),CSF1R (1436),SMURF1 (57154),SH3GLB1 (51100),VPS4A (27183),ARFGAP3 (26286),DNM2 (1785),HSPA8 (3312),VPS36 (51028),PARD6B (84612),RAB31 (11031),RAB11A (8766),TRAF6 (7189),CHMP4A (29082),PDCD6IP (10015),LDLR (3949),PIP5K1C (23396),NEDD4L (23327),ACAP3 (116983),CHMP5 (51510),ARAP2 (116984),IQSEC2 (23096),HLA-F (3134),MET (4233),HLA-E (3133),ARAP3 (64411),ASAP2 (8853),RAB11B (9230),RAB11FIP5 (26056),RBSN (64145),PDGFRA (5156),AGAP1 (116987),DNM3 (26052),AGAP2 (116986),ARFGAP1 (55738),ARAP1 (116985),CHMP4B (128866),CBLC (23624),ACAP2 (23527),VPS25 (84313),RAB22A (57403),EHD1 (10938),PLD1 (5337),PLD2 (5338),ITCH (83737),CDC42 (998),SH3GLB2 (56904),PARD6A (50855),CHMP6 (79643),VTA1 (51534),RNF41 (10193),DNAJC6 (9829),ARF6 (382),CHMP1B (57132),PSD2 (84249),USP8 (9101),PSD4 (23550),WWP1 (11059),HLA-C (3107),CXCR4 (7852),HLA-B (3106),PRKCI (5584),CXCR2 (3579),SH3GL3 (6457),CXCR1 (3577),TSG101 (7251),HLA-A (3105),ERBB4 (2066),HSPA1L (3305),HSPA1B (3304),ERBB3 (2065),HSPA2 (3306),RAB11FIP4 (84440),SH3GL1 (6455),EPS15 (2060),DNM1L (10059),HSPA1A (3303),TFRC (7037),SH3GL2 (6456),SMAP1 (60682),RAB11FIP2 (22841),FGFR2 (2263),KDR (3791),KIT (3815),FGFR4 (2264),GIT2 (9815),DNM1 (1759),FGFR3 (2261),LDLRAP1 (26119),RET (5979),CCR5 (1234),PRKCZ (5590),PSD3 (23362),ASAP3 (55616),HSPA6 (3310),RAB5C (5878),DAB2 (1601),SMURF2 (64750),HRAS (3265),CHMP3 (51652),VPS37A (137492),EGFR (1956),IL2RG (3561),VPS37B (79720),IL2RB (3560),CBLB (868),CBL (867),PSD (5662),NEDD4 (4734),EGF (1950),PARD6G (84552),SH3KBP1 (30011),ARFGAP2 (84364),RAB5B (5869),RAB4A (5867),EHD4 (30844),RAB5A (5868),AP2S1 (1175),EHD2 (30846),IL2RA (3559),EHD3 (30845),AP2M1 (1173),SNF8 (11267),SRC (6714),VPS4B (9525),STAM2 (10254),CHMP2A (27243),GIT1 (28964),GRK6 (2870),RABEP1 (9135),VPS45 (11311),RAB11FIP3 (9727),CLTA (1211),CLTB (1212),CLTC (1213),CHMP4C (92421),GRK4 (2868),PARD3 (56288),GRK5 (2869),ASAP1 (50807),NTRK1 (4914),EPN1 (29924)
ACH-000694,2.090853430451113,5.016139702655253,2.333423733725192,0.0840642647884745,2.0531113364595623,6.405822220511669,0.0,3.671293372481576,4.954661620837898,4.949534933017012,0.4541758931858021,4.260778431893426,2.563158130402808,6.353323291162897,4.101818134227409,0.9781956296816516,4.428276414392509,4.995936703504587,3.414135532984451,0.6040713236688608,0.411426245726465,2.978195629681652,4.12350066435096,2.990954860396993,0.2509615735332188,5.064796645911805,6.065227622775619,4.529196267999391,5.258141995893771,0.5260688116675876,4.7713574089905615,2.15704371014558,5.118941072723508,4.715344295358907,0.2750070474998698,1.6599245584023783,5.609695872862739,5.533874777258546,3.145677455195635,0.01435529297707,0.2868811477881615,4.318316841334983,4.964398632203184,4.612942196304665,3.9354597478052895,6.59260653159917,9.996897125512335,4.490570130446201,1.3103401206121503,3.349082146391089,8.4113414984629,2.587364990936461,7.351469324267079,5.750874439656846,5.3045110418099535,3.232660756790275,3.956985924612576,4.984589350362456,5.609104846618959,2.280956313831056,3.356143810225275,6.013238915113665,4.474436043252266,7.260213886771416,3.4462562298895643,3.969933274697856,5.731997786643742,3.3088850574117634,2.82781902461732,0.01435529297707,3.5310694927259543,0.8875252707415875,0.6870606883398922,5.561937059622433,6.434795003550544,6.965553434987078,4.06177619758669,4.204766750654613,6.542567607764219,3.203201156316611,4.9140860970127225,4.595145567990858,5.223422549934937,4.705977901682522,7.332886916959597,6.482686970937601,0.4854268271702416,4.476381687567235,5.445263208140443,4.319762427669248,1.2570106182060237,6.251340382788616,5.834407841806995,0.1634987322828795,5.477029653013065,3.956056652412403,4.223422549934937,7.766065051474954,0.2750070474998698,10.001267436790776,5.035623909730721,1.1243281350022014,1.1890338243900171,0.0,5.726831217032493,8.01664117047407,0.0565835283663675,1.0071955014042038,8.057991722759176,5.410408949851039,5.55581615506164,3.218781167784069,5.829088444004886,4.009884588931844,5.36702153323231,8.700959826915897,7.316507819103109,0.8953026213333066,3.4369613378336026,2.475084882948783,5.283551423174307,0.1763227726404629,2.403267722339301,2.700439718141092,3.807354922057604,1.541019153133559,5.740657771623893,4.552745936748446,0.137503523749935,0.0285691521967709,4.514122260170708,2.3868109464722167,3.878725341480105,0.3219280948873623,7.20857578421782,0.4541758931858021,4.012568673503056,6.421896512042248,6.634302841662514,3.534808661231747,5.286511557664227,0.4436066514756146,4.614120868789254,0.0976107966264223,1.922197848396367,2.372952097911829,0.8639384504239714,3.527320607877047,1.3673710656485294,2.269033146455237,4.93969674069176,6.063718640152248,5.460742563789644,5.179112900678563,3.85897561429202,4.022367813028454,6.60229058486114,5.25171909260596,0.0,1.1634987322828796,8.739848102699327,7.136581051666501,5.181897643108388,5.454833906898869,3.4620523187964327,7.197413299139368,5.105594275795191,4.759688488427289,4.70984201927331,4.335569005556748,3.778208576398088,7.124431535471043,7.20006486151431,6.535430914871279,4.144862142915734,1.1826922975161902,4.718087583960517,2.689299160535892,3.82273014794452,0.0426443374084937,5.881175155349276
ACH-000619,3.10936055940423,3.343407822297814,3.158660175346498,0.1243281350022017,1.1309308698264486,5.932391940068527,0.01435529297707,3.324810603420484,4.253232938538032,4.59215800212536,0.1890338243900171,3.9945797242157473,2.307428525192248,5.993447932331477,3.4342946179599254,1.859969548221026,3.77082904603249,3.968090752045256,3.488000770834068,0.4646682670034443,0.0426443374084937,3.469885976274464,4.3729520979118295,2.6758159311722696,0.8073549220576041,5.266786540694901,5.551208373946096,4.966707314150316,4.607626220845488,0.0565835283663675,4.1906148602094975,1.3673710656485294,4.656496370553495,4.263785613890803,0.1110313123887439,2.2720231890610485,6.108733527866266,5.390942772802543,2.361768359419153,0.0,1.1953475983222193,4.758089934201813,5.09887428674445,4.6194130105979365,4.205548911173033,6.3079748971135245,9.31707338226096,3.578938713093386,1.7949356628035362,4.470536865092583,7.078844629235234,2.0874628412503395,6.307792796129895,5.069959890459774,6.391802082519346,2.9873208659292536,3.975446765640962,4.386810946472217,5.473137487772256,1.978195629681652,3.689299160535892,6.499845887083206,5.309612772454123,7.495934952376285,2.992768430768924,4.00539998774259,4.963936452144486,3.333423733725192,3.1811025507537978,0.0,2.797012977836145,0.3219280948873623,0.7570232465074596,6.028348134189309,4.944858445807539,7.120808102298621,4.529820946528695,3.9900472195737935,5.682011390800693,3.2203299548795554,5.664482840364682,4.110196177754199,4.255500733148386,4.491211756003092,6.759555343206311,6.5498231649670045,0.9708536543404837,3.765534746362977,4.910252962799278,4.00539998774259,1.6644828403646823,5.294988267691446,5.185866545311334,0.1110313123887439,4.531069492725954,3.560714954474479,4.032982416699428,8.980882160180112,0.1763227726404629,9.712372233433484,4.8529975876133165,0.3448284969974411,0.3448284969974411,0.0,5.200457271428572,9.810121726498522,0.1110313123887439,0.903038270112912,6.955010505215292,5.000450771770857,3.880685525261125,3.2234225499349374,4.990047219573794,3.578938713093386,5.295355692891673,6.936048963676615,6.9014703198242655,0.0426443374084937,3.797012977836145,1.9708536543404835,3.9717734471933728,0.0,0.137503523749935,2.704871964456353,3.428946344769483,4.813011548605618,3.40735275114004,3.992768430768924,0.1505596765753814,0.0,3.963474123974886,2.2448870591235344,3.3950627995175777,0.5260688116675876,6.9818526532897405,0.9486008474933558,3.2448870591235344,6.264348763351165,5.903038270112912,3.527320607877047,5.44857062600553,0.5655971758542251,4.275752048828529,0.3561438102252753,1.5897634869849773,3.001802242633985,0.5558161550616396,3.292781749227846,0.4854268271702416,1.803227036434928,3.750606504835592,5.168321115739722,5.142004915984876,3.189033824390017,3.442280035252584,3.825785627464792,7.123086750981061,5.475733430966398,0.0,1.3161457422933562,8.383315489927405,6.555356038635833,4.937344392150233,4.4495613746132365,3.033863451866284,6.903761365128077,4.700994494168267,4.107687869314374,4.177917792195843,4.510329019490572,3.250961573533219,6.450716388718072,6.527789751572327,6.202025844609336,4.009884588931844,1.5008020530571575,4.751677945687579,1.831877241191673,4.368768349090335,0.0285691521967709,6.086613947409496
ACH-000647,2.871843648509318,4.581953750848818,4.767654798237347,0.0976107966264223,2.782408564927373,5.929790997718597,0.0,2.4462562298895643,4.760753208062987,5.324810603420484,0.722466024471091,4.959770155211468,4.2433644256936605,6.122258567811998,3.377123749129487,2.137503523749935,4.70376517879341,4.215678596607928,3.541019153133559,0.3448284969974411,1.38404980679516,5.072534599722955,5.368419155081396,3.032100843167024,0.6959938131099002,6.568640195419223,6.037162550127378,5.386810946472217,5.80967167790706,1.1634987322828796,4.44028782084042,2.16349873228288,5.528883827274642,3.995484518877507,0.01435529297707,3.404630684217612,7.112387375937597,6.4535175792154975,2.422233000683048,0.070389327891398,0.9486008474933558,4.192194165283345,5.610286657081023,4.290571850852079,4.150559676575382,6.085764553778314,10.786759701267249,5.0900065299038175,3.327687364176047,5.81992359556066,7.751544059089098,2.319039815562536,6.48058827023386,7.169724613214907,5.718909554379232,3.7322691995014496,4.790772037862,4.872828759534886,6.1440463696167065,3.2172307162206693,2.104336659814736,4.713695814843359,6.73903797911741,6.328226118787732,3.144046369616707,4.571676809970931,5.207111961207714,4.523561956057013,4.311793717753649,0.2509615735332188,4.207111961207714,1.0285691521967708,0.632268215499513,6.4197074208102665,5.218781167784069,6.90977310414164,3.882643049361841,4.9481335778404,6.447909748742077,4.214124805352848,6.1440463696167065,3.569248029867182,4.487357715311548,5.659639187015652,7.894878379473196,5.639232163249277,2.3045110418099526,3.972692654004264,5.630813152299126,4.689299160535892,4.036503333738988,5.5163303868259375,5.883376436672842,0.137503523749935,5.0900065299038175,4.3125199674749455,4.139960569545456,7.974299858003734,0.2265085298086797,8.570918255328666,5.593054921669878,0.0,1.5260688116675876,0.01435529297707,5.4409521980296365,8.026578770127715,0.0,1.0356239097307212,6.904002316283692,4.560103513464738,6.413797150189212,3.811471030529836,5.542258049766918,4.404630684217612,5.608809242675524,7.28715827825949,7.961044467371226,1.3950627995175775,4.150559676575382,2.765534746362977,5.227278994468321,0.0426443374084937,0.0426443374084937,4.038260575175349,4.535430914871279,6.232660756790275,3.64961545906341,3.95884267524324,2.1538053360790355,0.0,5.489928219405183,3.12267271882414,4.010779838753242,0.9486008474933558,7.633140549522396,3.2942531364445142,4.9954845188775066,4.888499735514123,7.389050487853527,4.536052900240209,6.238022517825721,0.2265085298086797,5.002702520379824,0.3448284969974411,1.3276873641760472,3.895302621333306,1.1375035237499351,3.5372960670908418,1.879705766282288,1.4382928515791469,3.908812907739547,6.184677020680892,5.3826672527450405,0.0840642647884745,3.882643049361841,5.4269356196483365,8.072052191612796,5.436961337833602,0.1243281350022017,3.0426443374084937,8.573192723781613,7.780047576061869,4.310340120612151,4.160274831408593,3.473786911614367,6.548590750548535,5.184677020680892,5.1838834590322325,5.133399125417198,5.087887100933117,3.776103988073164,7.625708843064466,7.0304464394374415,7.717950543348598,4.350497247084133,1.8439838440483265,5.211790976252541,2.364572432295856,5.547511523644216,0.3103401206121505,6.655065551195028
ACH-000231,5.255878352582786,0.0,3.884597920990065,0.1243281350022017,1.2203299548795556,4.819668183496455,0.0840642647884745,2.702657543390911,3.2172307162206693,4.391630261517429,0.1505596765753814,4.807870078299782,3.396433531250992,6.105384749247602,3.665620164066381,2.957914598632985,4.213347281733441,5.606738317417591,4.780310099043375,1.4222330006830477,5.76633013095037,3.965322548367255,3.902073579310743,3.2141248053528475,0.918386234446348,5.869377924031328,6.181698911096105,5.404630684217612,5.564683016963639,0.0285691521967709,1.7739963251111732,0.9708536543404837,3.715893370547605,4.863442934348041,0.0285691521967709,1.2868811477881614,6.638363505897862,6.403778983950306,3.241840183564671,0.01435529297707,1.292781749227846,4.484782623077873,6.02724253597374,5.294988267691446,5.342696959981934,6.446090773723216,10.14491311343424,4.196134880765161,1.2203299548795556,5.791814071161826,8.17657211071697,2.411426245726465,6.719320364037237,6.683696454306515,5.941341105485299,5.4110872267986005,5.38404980679516,5.638363505897862,7.281049076733573,1.0840642647884746,4.54101915313356,5.774787059601174,6.39694722007283,7.550131104144458,1.9373443921502325,4.128458384146928,5.9941271140031285,4.141596278383818,4.094236069845765,0.933572638261024,3.594548549550354,3.485426827170241,0.3334237337251918,6.408202344852179,3.777156666004501,6.738227400367242,0.070389327891398,4.452858964713811,5.697384630764024,3.351910961103077,4.61882595258744,2.51096191927738,3.906890595608519,4.6656201640663815,8.468664767679588,5.859721128927965,1.7570232465074596,4.140778655782796,6.078951341394822,4.807354922057604,1.6276068381296498,5.4809113460477485,5.582556003014061,1.1634987322828796,5.683415747030431,1.541019153133559,4.118525848935668,10.313790025443684,0.7398481026993274,11.328674927327947,4.882153917287012,0.0840642647884745,0.070389327891398,0.0,5.047014819517589,10.438064085093638,0.01435529297707,0.6870606883398922,6.785681319474753,0.5360529002402097,3.4828482830684653,1.372952097911829,6.361768359419154,4.528571318870758,5.612057559563064,5.992541859109112,6.844611621370311,1.7092906357233577,4.947198584262056,2.7845039829295666,3.127633279725874,0.3334237337251918,0.0565835283663675,0.6135316529179271,4.5915597458278015,5.319039815562536,2.5459683691052923,4.368069876532083,0.1890338243900171,0.0,3.422233000683048,4.351910961103077,4.247927513443585,0.5753123306874368,7.121119039123897,4.910252962799278,4.882153917287012,5.609400390006429,6.149747119504682,5.2671612180222604,3.665620164066381,1.1243281350022014,4.494415610397496,0.0565835283663675,3.517275693209581,3.2479275134435857,1.4005379295837286,4.821199978056451,2.931683057059806,2.8298495598446904,6.090853430451113,5.117279460053921,5.781097381486317,4.365272599764531,5.180704840195555,5.593054921669878,8.41907533441243,6.720552091605108,0.0,2.0806576633452254,9.676168659723668,6.799993887663711,4.88508622529017,5.184280294419382,3.353323291162897,6.884720012560474,4.747387399652718,5.340918270272116,4.04176864995163,5.4535175792154975,5.178316271701453,8.508864374442553,6.476867688933087,6.705977901682522,2.606442228131608,1.839959587489532,3.93451650158608,2.895302621333306,5.910492832288714,0.2265085298086797,6.7554217347342425
ACH-000837,3.007195501404204,4.910252962799278,2.871843648509318,0.0,2.803227036434928,5.756756451307274,0.01435529297707,0.879705766282288,4.471187460386985,5.714245517666122,0.8718436485093178,4.66732447027863,1.0071955014042038,5.631977320238746,4.23112515787905,2.017921907997262,3.7548875021634687,4.621172752683435,3.2720231890610485,0.2265085298086797,0.0285691521967709,4.2471680003747725,4.865423978313134,2.82781902461732,0.3895668117627256,5.850249358286328,7.638291094170947,5.093813673402728,4.657640005207824,0.0840642647884745,3.440952198029637,1.9745293124838816,4.679198570566922,4.282439805006387,0.01435529297707,4.260778431893426,7.025471814621179,4.620586410451877,2.405992359675837,0.0285691521967709,0.0840642647884745,5.232660756790275,4.9354597478052895,5.489928219405183,4.316145742293356,5.844737144060685,10.61710008687589,4.2539892662307865,2.408711861029429,2.286881147788161,8.87817355959088,2.0669502439246266,6.840966704487421,6.04176864995163,6.440620047679168,2.9653225483672547,6.628773595201645,3.324810603420484,6.314696525656286,3.344828496997441,2.049630767724601,0.8718436485093178,5.246788093844365,4.90159099190337,1.3219280948873624,4.991408466764788,5.8407149911410805,3.560714954474479,2.963474123974886,0.0976107966264223,5.063502942306158,1.0285691521967708,0.1634987322828795,5.749534267669262,4.714795011118162,7.0798047546352585,5.098032082960526,4.278728212938939,6.058749412335524,3.803227036434928,6.171326940233305,3.2078928516413328,3.5570424152637194,5.827310943949667,7.199574198978244,5.436961337833602,4.241840183564671,4.327687364176047,5.341630009329911,3.91169158187234,2.782408564927373,5.853496703702325,4.12350066435096,0.01435529297707,4.448240225216066,3.588564737401352,4.316869805064333,6.556276124790035,0.4222330006830478,5.333065878076355,4.554588851677638,0.0,1.2016338611696504,0.070389327891398,5.328405658958567,3.654206377944292,0.1634987322828795,1.541019153133559,7.323009710612814,4.121844297876376,3.158660175346498,2.039138393906958,6.468909092110591,4.074676686294496,6.403949364232865,7.567195561406875,8.119408056682268,0.0,4.224194663970433,2.75702324650746,3.0107798387532423,0.0285691521967709,0.1505596765753814,2.2141248053528475,3.5285713188707577,0.5160151470036647,3.856985689782205,3.3362833878644325,0.0,0.0,3.653060017104565,2.1473066987802936,0.8718436485093178,2.881664619320345,6.655065551195028,0.3219280948873623,5.121844297876376,5.502712485966061,6.73321874260246,3.727920454563199,5.237640195035385,0.5160151470036647,4.927422428739871,0.1243281350022017,2.250961573533219,3.851998837112446,0.5058909297299572,3.424922088210688,0.722466024471091,1.298658315564515,5.557348817524803,6.671859468247477,4.384740587292384,4.868390453054454,4.305970520984387,4.959770155211468,7.42113912553038,4.680886920719692,0.01435529297707,0.4541758931858021,7.742747315580994,7.195544459213688,5.888012585402829,5.241840183564671,2.990954860396993,6.9322738170864415,4.646738698307846,5.1965283609369415,4.842978831788326,4.356143810225276,3.547203024756932,7.473705749619415,6.792725233305726,6.5470487505718,4.480265122054463,0.8237493603082727,5.352617298958503,2.2448870591235344,5.51064550409004,0.0426443374084937,5.942279901705763
