,CDH5 (1003),JAM3 (83700),CDH3 (1001),NLGN3 (54413),CDH4 (1002),CD80 (941),NLGN1 (22871),CD86 (942),CD28 (940),CD274 (29126),PDCD1LG2 (80380),ITGA9 (3680),ITGAL (3683),NRCAM (4897),ITGAM (3684),CD34 (947),CD276 (80381),ICOSLG (23308),CADM3 (57863),ITGA4 (3676),ICOS (29851),SIGLEC1 (6614),CADM1 (23705),HLA-G (3135),CLDN20 (49861),PECAM1 (5175),CD22 (933),ITGB7 (3695),SELL (6402),VCAM1 (7412),ITGAV (3685),SELP (6403),SPN (6693),ITGB1 (3688),SELPLG (6404),ITGB2 (3689),CDH2 (1000),JAM2 (58494),CTLA4 (1493),CLDN18 (51208),CD4 (920),HLA-DRB5 (3127),CNTN1 (1272),NLGN2 (57555),NRXN3 (9369),ALCAM (214),SELE (6401),CD8A (925),CD8B (926),CD6 (923),CLDN17 (26285),L1CAM (3897),ITGB8 (3696),MAG (4099),VCAN (1462),HLA-F (3134),NFASC (23114),HLA-E (3133),NRXN1 (9378),HLA-DPA1 (3113),HLA-DPB1 (3115),HLA-DQA1 (3117),HLA-DQA2 (3118),HLA-DQB1 (3119),NRXN2 (9379),CD2 (914),CLDN16 (10686),CLDN23 (137075),MADCAM1 (8174),SDC2 (6383),SDC4 (6385),SDC1 (6382),OCLN (100506658),PVR (5817),HLA-DRB1 (3123),NECTIN2 (5819),CDH1 (999),HLA-DRA (3122),NECTIN1 (5818),HLA-DOA (3111),HLA-DOB (3112),CLDN10 (9071),ICAM2 (3384),ICAM3 (3385),CLDN8 (9073),CLDN2 (9075),CLDN6 (9074),CLDN5 (7122),CLDN1 (9076),ICAM1 (3383),NEO1 (4756),HLA-C (3107),HLA-B (3106),ESAM (90952),HLA-DMB (3109),HLA-DMA (3108),HLA-A (3105),F11R (50848),PDCD1 (5133),CLDN19 (149461),PTPRF (5792),CLDN15 (24146),CD226 (10666),CD99 (4267),CLDN22 (53842),CNTNAP2 (26047),MPZ (4359),MPZL1 (9019),PTPRC (5788),NECTIN3 (25945),ITGA8 (8516),NCAM2 (4685),NCAM1 (4684),CD58 (965),NEGR1 (257194),CLDN11 (5010),SDC3 (9672),CLDN7 (1366),CLDN4 (1364),PTPRM (5797),CLDN3 (1365),ITGA6 (3655),CNTN2 (6900),CD40LG (959),CNTNAP1 (8506),CD40 (958),GLG1 (2734),CDH15 (1013),CLDN14 (23562),NLGN4X (57502),CLDN9 (9080)
ACH-000694,1.765534746362977,2.1795110502715103,6.732404886784963,0.6690267655096305,0.2868811477881615,0.01435529297707,0.01435529297707,1.4646682670034443,0.01435529297707,0.8718436485093178,0.2868811477881615,0.0565835283663675,0.2141248053528473,0.4854268271702416,0.6870606883398922,0.0,6.377470842849648,1.6825732973475784,0.0,1.510961919277379,0.0,0.01435529297707,0.2868811477881615,0.6040713236688608,0.4646682670034443,0.070389327891398,1.2387868595871168,1.8914191868460783,0.4646682670034443,0.0565835283663675,4.930264245235024,0.0,0.1890338243900171,7.289742265462451,0.8953026213333066,1.6415460290875237,1.4436066514756147,0.01435529297707,0.0,0.0840642647884745,0.2868811477881615,0.765534746362977,4.048759311919856,2.400537929583729,0.0565835283663675,5.224966365000275,0.0,0.0840642647884745,0.0426443374084937,0.070389327891398,0.6507645591169022,4.017031080527841,2.6848187375532224,0.5360529002402097,0.2986583155645151,6.013238915113665,3.452858964713811,7.260213886771416,0.01435529297707,0.5558161550616396,0.2868811477881615,0.0565835283663675,0.070389327891398,0.0565835283663675,0.6959938131099002,0.0,0.722466024471091,0.8639384504239714,0.3334237337251918,2.003602236680196,6.31397137105902,7.998082647124651,4.93451650158608,3.95884267524324,1.632268215499513,4.733354340613827,7.048977225226046,2.9597701552114675,6.278728212938939,0.01435529297707,2.189033824390017,0.0426443374084937,0.4750848829487828,2.049630767724601,3.694880192799191,0.1243281350022017,0.0840642647884745,0.2509615735332188,5.8804406478879,2.1243281350022016,3.919340082442013,7.766065051474954,10.001267436790776,0.3448284969974411,0.6599245584023783,2.403267722339301,8.01664117047407,6.743218729532497,0.01435529297707,0.070389327891398,6.663771557482411,3.710393192170516,0.1634987322828795,6.449231200669493,0.070389327891398,0.5058909297299572,0.070389327891398,4.844486087757799,0.1110313123887439,3.3936907641874536,0.0,0.0285691521967709,0.2265085298086797,3.6982184782244136,0.0285691521967709,1.298658315564515,3.495695162624069,7.771819567898307,8.615923846873196,2.8196681834964554,2.456806149230474,6.3321708504151095,0.1634987322828795,0.0,1.0214797274104517,2.6507645591169022,5.714795011118162,0.01435529297707,0.1110313123887439,0.01435529297707,1.4168397419128294
ACH-000619,2.1538053360790355,0.3219280948873623,7.935282936108164,0.2016338611696504,0.2750070474998698,0.01435529297707,0.0285691521967709,0.5655971758542251,0.0,1.933572638261024,0.4646682670034443,0.0285691521967709,0.1243281350022017,0.4222330006830478,0.5260688116675876,0.01435529297707,6.201829866202339,0.963474123974886,0.01435529297707,0.070389327891398,0.01435529297707,0.01435529297707,0.1763227726404629,0.4646682670034443,0.4222330006830478,0.0285691521967709,4.22881869049588,1.0772429989324606,0.3673710656485294,0.0565835283663675,5.601696516480957,0.0285691521967709,0.1110313123887439,8.28114183367197,0.7048719644563528,2.324810603420484,2.1858665453113337,0.0285691521967709,0.0,0.0840642647884745,0.1634987322828795,0.2986583155645151,0.0840642647884745,3.64961545906341,0.01435529297707,6.302319050948834,0.01435529297707,0.1634987322828795,0.0,0.2016338611696504,0.0,5.097610796626422,3.0143552929770703,2.792855352362489,0.2509615735332188,6.499845887083206,1.6599245584023783,7.495934952376285,0.0,0.2387868595871164,2.877744249949002,0.2986583155645151,0.0,2.572889668420581,0.2750070474998698,0.0,1.0214797274104517,2.797012977836145,0.2141248053528473,0.2750070474998698,7.481799431665752,6.989593184938768,4.238022517825721,5.7420062108667365,1.782408564927373,6.195938100427832,7.657497100444111,1.4750848829487828,5.734167661150761,0.0285691521967709,2.097610796626422,1.5058909297299572,0.2141248053528473,1.5753123306874368,1.0772429989324606,0.1634987322828795,0.1110313123887439,0.0285691521967709,6.610138983705502,4.127633279725874,3.19377174339668,8.980882160180112,9.712372233433484,1.5558161550616396,0.632268215499513,2.114367024952,9.810121726498522,7.014578464922892,0.0,0.0285691521967709,6.8939688694671,3.1473066987802936,0.2986583155645151,7.774852934583075,0.070389327891398,0.01435529297707,0.3785116232537298,5.214513410080016,0.2016338611696504,0.1763227726404629,0.0,0.01435529297707,0.1110313123887439,4.560714954474479,0.0,1.372952097911829,3.920293300211007,8.297145551930386,8.707048470516405,2.073820233291672,3.234194722953812,6.5915597458278015,0.0426443374084937,0.01435529297707,1.1505596765753812,5.198886990956932,6.380071387399655,0.2141248053528473,0.0285691521967709,0.01435529297707,2.7676547982373463
ACH-000647,3.119356177039676,4.009884588931844,6.475247047287838,0.1110313123887439,2.2141248053528475,0.0,0.0,0.0,0.01435529297707,3.607626220845488,2.0107798387532423,0.3103401206121505,0.1634987322828795,1.3334237337251915,0.8318772411916731,0.2016338611696504,4.713145902490259,1.0426443374084935,0.01435529297707,3.674686619927999,0.01435529297707,0.070389327891398,1.765534746362977,0.3448284969974411,0.2750070474998698,0.3219280948873623,2.1984941536390834,0.2868811477881615,0.5753123306874368,0.01435529297707,5.308156975114762,0.0285691521967709,0.0840642647884745,9.146415934170816,1.1375035237499351,5.070818637533277,4.965322548367254,0.01435529297707,0.0,0.070389327891398,0.2509615735332188,0.5058909297299572,0.0840642647884745,4.803743668505225,0.0,5.60229058486114,0.0,0.6690267655096305,0.0,1.1763227726404628,0.0,8.075425665826002,4.087462841250339,2.790772037862,0.1634987322828795,4.713695814843359,3.5197934862411,6.328226118787732,0.0285691521967709,0.4436066514756146,0.2509615735332188,0.1110313123887439,0.1634987322828795,2.8659188145522125,1.875780063068488,0.01435529297707,0.3448284969974411,2.963474123974886,0.2509615735332188,0.137503523749935,8.495055528368018,7.16450472565806,3.978195629681652,6.285217246102088,1.4329594072761065,6.871104373555458,6.943218087426284,0.9927684307689242,4.717539343391165,0.137503523749935,1.0285691521967708,0.0426443374084937,4.238022517825721,2.150559676575381,0.0,0.2630344058337938,0.5558161550616396,0.2630344058337938,5.215678596607928,5.465974464504069,4.725741156503952,7.974299858003734,8.570918255328666,0.963474123974886,2.521050736900963,3.3405622690264134,8.026578770127715,6.719867928344366,0.070389327891398,0.0426443374084937,7.458857705335254,2.570462931026041,0.0,5.246027980528104,0.1110313123887439,2.73768676140986,0.1110313123887439,5.59395128394841,0.2265085298086797,0.0565835283663675,0.0,0.0,0.0565835283663675,4.478971805032942,0.01435529297707,0.2265085298086797,4.3125199674749455,6.453682185872176,7.720415284906329,5.69181329717138,4.07724299893246,5.212958362728285,0.2016338611696504,0.0,3.270528942380718,4.866907978143166,5.966015097404102,1.372952097911829,0.1243281350022017,0.01435529297707,3.594548549550354
ACH-000231,0.0426443374084937,5.198101209324823,3.40735275114004,0.8718436485093178,3.682573297347578,0.0565835283663675,2.980025300238734,0.2750070474998698,0.1110313123887439,4.187451054027326,5.02768487693716,0.070389327891398,0.1634987322828795,2.84197311892718,0.1505596765753814,0.9411063109464316,7.312156888313374,0.6229303509201767,0.0565835283663675,4.633431210355632,0.0,0.0,4.358255586705128,1.4222330006830477,0.4329594072761063,0.0426443374084937,0.2509615735332188,0.8639384504239714,0.9927684307689242,2.873813198359087,5.981624360696356,0.0,0.2016338611696504,9.583007527207686,1.8953026213333068,3.0531113364595623,7.852186155505415,2.104336659814736,0.3334237337251918,0.3895668117627256,0.1243281350022017,0.1763227726404629,0.2509615735332188,4.416164164733128,3.0303360783709588,6.927066807759256,0.0,0.0565835283663675,0.0,0.0426443374084937,0.0,8.240123484034022,3.5372960670908418,0.1890338243900171,7.078097423026661,5.774787059601174,4.542258049766918,7.550131104144458,0.01435529297707,0.5360529002402097,0.4005379295837288,0.2387868595871164,0.0,0.0426443374084937,0.01435529297707,0.0,0.1890338243900171,0.765534746362977,0.5655971758542251,7.831370587967541,7.118214352650125,3.918386234446348,2.931683057059806,6.791162888555018,0.2387868595871164,7.316145742293356,1.7311832415722,0.6599245584023783,3.257010618206024,0.0,2.405992359675837,0.2509615735332188,0.7311832415722002,1.5058909297299572,0.0,0.1890338243900171,0.5360529002402097,0.0,1.613531652917927,3.876762490781555,4.258518924711301,10.313790025443684,11.328674927327947,0.8953026213333066,0.6507645591169022,2.0840642647884744,10.438064085093638,3.641546029087524,0.0,0.0285691521967709,6.32876467228402,2.837943241891028,0.2868811477881615,9.399064255219344,0.2265085298086797,0.0426443374084937,0.3895668117627256,5.530757457461217,0.9411063109464316,5.729552770453971,0.01435529297707,0.1110313123887439,4.7414669864011465,5.324450604656073,0.3895668117627256,2.657640005207824,5.23189316164533,0.84799690655495,1.6040713236688608,3.980025300238734,1.5753123306874368,3.651912744645783,0.1243281350022017,0.01435529297707,3.452858964713811,0.0426443374084937,7.222456825927467,0.7570232465074596,0.1110313123887439,4.861459166361513,1.0
ACH-000837,1.1176950426697545,0.5558161550616396,7.659567835348144,0.3219280948873623,0.3448284969974411,0.01435529297707,0.137503523749935,0.0,0.01435529297707,3.624100894628114,0.3103401206121505,0.0285691521967709,0.3103401206121505,2.937344392150232,0.722466024471091,0.070389327891398,7.4822029262959555,1.4750848829487828,0.01435529297707,0.1634987322828795,0.0,0.0,0.2509615735332188,0.2265085298086797,0.2509615735332188,0.0285691521967709,1.232660756790275,0.4005379295837288,0.5655971758542251,0.0565835283663675,4.71918344048179,0.0,0.070389327891398,8.793993393788456,0.903038270112912,0.9927684307689242,2.8875252707415875,0.2509615735332188,0.0,0.0565835283663675,0.0426443374084937,0.0285691521967709,3.9136075118230993,0.8875252707415875,0.7398481026993274,5.92362461136832,0.0285691521967709,0.2630344058337938,0.01435529297707,0.0285691521967709,0.0,0.3334237337251918,0.9855004303048848,0.0976107966264223,0.2387868595871164,0.8718436485093178,0.070389327891398,4.90159099190337,0.0976107966264223,0.3448284969974411,0.2630344058337938,0.1634987322828795,0.070389327891398,0.0976107966264223,0.2630344058337938,0.01435529297707,0.0976107966264223,0.4222330006830478,0.3448284969974411,1.0356239097307212,7.636914580355878,8.107583261763235,5.466627120041501,5.8494989317201815,0.3673710656485294,4.928844036712568,8.442072641229416,0.6870606883398922,5.043081981895663,0.01435529297707,0.2868811477881615,0.0976107966264223,0.1890338243900171,2.6848187375532224,0.0,0.1505596765753814,0.7311832415722002,0.2630344058337938,3.936402377725064,1.6959938131099002,4.582556003014061,6.556276124790035,5.333065878076355,2.2720231890610485,0.2016338611696504,0.9560566524124028,3.654206377944292,7.518220380599588,0.01435529297707,0.0285691521967709,6.577428828035749,1.3673710656485294,0.137503523749935,8.027905996569885,0.1243281350022017,0.6870606883398922,0.1505596765753814,6.116447935511657,0.2265085298086797,4.064365540263628,0.0285691521967709,1.6369145803558778,1.2448870591235344,4.674121632632394,0.6870606883398922,0.2265085298086797,1.1375035237499351,7.466871789768347,7.736266619459169,3.2203299548795554,2.073820233291672,6.963936452144486,0.01435529297707,0.0,0.2387868595871164,0.070389327891398,7.042097095039193,0.070389327891398,0.0426443374084937,0.1505596765753814,3.842978831788325
