,PLCB2 (5330),GRM5 (2915),SOS2 (6655),ADCY8 (114),PLCB1 (23236),ADCY9 (115),ADCY6 (112),TUBA1A (7846),RAF1 (5894),PRKCB (5579),ADCY7 (113),PRKCA (5578),PLCB3 (5331),PLCB4 (5332),ADCY5 (111),GRM1 (2911),CDK1 (983),PDGFD (80310),TUBB4A (10382),ADRB1 (153),TUBB4B (10383),TUBB3 (10381),PRKCG (5582),PDGFRB (5159),TUBB2A (7280),MAP2K2 (5605),ITPR3 (3710),MAP2K1 (5604),MAP2K5 (5607),LPAR1 (1902),ADCY4 (196883),TUBA1B (10376),NRAS (4893),GRB2 (2885),MAPK3 (5595),DRD1 (1812),GUCY1B1 (2983),DRD2 (1813),MAPK7 (5598),GUCY1A1 (2982),PRKG1 (5592),SOS1 (6654),PRKG2 (5593),MAPK1 (5594),TUBA3D (113457),HRAS (3265),GJD2 (57369),CSNK1D (1453),EGFR (1956),TUBB2B (347733),ITPR1 (3708),ITPR2 (3709),PDGFC (56034),TUBAL3 (79861),GNA11 (2767),KRAS (3845),EGF (1950),PRKX (5613),GJA1 (2697),GNAI1 (2770),HTR2A (3356),TUBA3C (7278),GNAI2 (2771),GUCY1A2 (2977),HTR2C (3358),HTR2B (3357),TUBB8 (347688),TUBA8 (51807),ADCY3 (109),TUBA4A (7277),ADCY2 (108),ADCY1 (107),TUBA1C (84790),TJP1 (7082),TUBB1 (81027),SRC (6714),PDGFA (5154),PDGFB (5155),PDGFRA (5156),PRKACA (5566),PRKACB (5567),GNAQ (2776),PRKACG (5568),GNAS (2778),GNAI3 (2773),TUBB6 (84617),TUBB (203068),MAP3K2 (10746),TUBA3E (112714)
ACH-000694,0.4436066514756146,0.01435529297707,3.690417095532466,0.0,3.277984747299765,3.3103401206121505,3.970853654340484,5.40667271575583,5.314696525656286,0.7824085649273732,6.469560421711221,2.9392265777282085,4.873321062914816,0.2265085298086797,0.3103401206121505,0.0565835283663675,6.28021399581062,0.01435529297707,0.4222330006830478,0.4541758931858021,9.470638539949093,4.291308859828971,0.1243281350022017,0.01435529297707,4.490570130446201,6.606886339275915,4.892391025913404,5.308156975114762,3.3305584000308026,3.4276061727818994,1.1826922975161902,10.229539857739535,3.836934011321092,5.8671551631075145,5.515384460636948,0.0840642647884745,0.6040713236688608,0.0840642647884745,3.795974694206668,0.3673710656485294,0.4956951626240688,3.5459683691052923,1.5897634869849773,5.699051844016849,0.4646682670034443,6.421896512042248,0.0,6.7692427951405385,5.286511557664227,0.6507645591169022,1.570462931026041,2.3701642805402097,2.526068811667588,0.1763227726404629,5.066519781429746,3.932628157022127,1.3673710656485294,4.155425431747197,5.56498780095989,4.782932704820837,0.0,0.0426443374084937,5.963011647599427,0.01435529297707,1.4436066514756147,0.2016338611696504,0.0840642647884745,1.2868811477881614,4.769771739249448,8.034908982789393,0.2265085298086797,1.454175893185802,9.541212800875613,5.800899899920305,0.2265085298086797,5.181897643108388,4.985044962253466,2.3103401206121505,0.01435529297707,4.986410935252045,3.4462562298895643,4.334139178838237,0.0,9.29008798401597,2.073820233291672,7.767125077269071,9.178216662142887,3.986410935252045,0.0840642647884745
ACH-000619,0.765534746362977,0.0,3.212569338850806,0.0,1.0496307677246008,2.8619553641448694,4.354734239970604,2.6507645591169022,5.661920579135087,0.0285691521967709,4.786596361890807,3.189033824390017,4.44028782084042,1.2387868595871168,0.1634987322828795,0.0,5.316869805064333,0.01435529297707,0.2265085298086797,0.1890338243900171,9.801773016068845,4.552131108253784,0.0426443374084937,0.2986583155645151,4.007195501404204,5.846493315964563,5.2505826647875375,5.237257770900372,3.0089887832272546,3.5801454844233804,1.4750848829487828,9.390964261784555,4.141596278383818,5.266411766036114,5.140369670651527,0.0285691521967709,0.0285691521967709,0.137503523749935,3.33771109212829,0.0,0.0426443374084937,2.839959587489532,0.879705766282288,4.939226577728209,0.3219280948873623,6.264348763351165,0.0,6.369117458599815,5.44857062600553,0.9486008474933558,1.584962500721156,2.140778655782796,1.790772037862,0.1763227726404629,4.348374075191163,3.625270489374693,0.4854268271702416,2.411426245726465,0.8073549220576041,4.160274831408593,0.0,0.0,5.915042791371977,0.01435529297707,0.0,0.0285691521967709,0.8237493603082727,0.6135316529179271,5.207892851641333,5.888743248898259,0.0,1.867896463992655,9.246479346108266,4.7300964655954685,0.3448284969974411,4.937344392150233,3.145677455195635,3.097610796626422,0.0,4.908332569782425,3.04788732939655,4.606442228131607,0.0,9.468257468323142,2.144046369616707,6.956521363333119,8.04455805266252,3.346247774082776,0.070389327891398
ACH-000647,1.5945485495503542,0.0426443374084937,3.203201156316611,0.01435529297707,0.8399595874895318,3.8972404255748,4.439623137557117,5.545041683467464,6.998985248258895,0.070389327891398,3.5096958419333872,3.090853430451113,4.425593577653059,2.6622054996536164,0.5558161550616396,0.01435529297707,7.751410160064371,1.144046369616707,2.2570106182060234,0.722466024471091,9.396497752357233,3.944858445807539,1.4489009511451278,1.070389327891398,5.777156666004501,6.433627167084783,5.4114262457264655,5.667040559022988,2.7070829917717063,3.765534746362977,0.918386234446348,10.614341762714847,5.439623137557117,6.017699252693033,5.057016965365539,0.01435529297707,0.2509615735332188,0.4750848829487828,3.648465443027314,0.0565835283663675,1.726831217032493,4.40735275114004,0.5849625007211562,7.632922515461243,0.1505596765753814,4.888499735514123,0.0,6.25285462595139,6.238022517825721,2.411426245726465,4.789207575347344,3.277984747299765,4.921721947009604,0.0426443374084937,5.083213368248981,4.05484847699562,1.879705766282288,2.356143810225275,0.2750070474998698,5.107269393592545,0.0,0.0,6.443772392763739,0.0426443374084937,0.0,0.2141248053528473,1.1243281350022014,2.389566811762726,6.692789834972647,7.228145275667782,0.0,4.096767854714689,9.595798274146922,5.56346323668308,0.3334237337251918,4.310340120612151,3.894332742277694,4.396433531250992,0.2509615735332188,6.004950759951045,4.4269356196483365,4.044394119358453,0.0,9.669877160489095,3.102658131363739,8.88651966409491,9.615372154074452,3.626439136697315,0.0285691521967709
ACH-000231,0.9708536543404837,0.0285691521967709,4.017031080527841,0.0285691521967709,1.0908534304511135,3.316145742293356,4.763411574470007,9.813989565451832,6.630085070002124,0.137503523749935,2.9049657186840263,3.902073579310743,4.111031312388744,4.277984747299765,0.1890338243900171,0.0285691521967709,6.446752484566551,1.8155754288625725,2.104336659814736,0.1505596765753814,9.053029856652644,8.729756680144197,0.3103401206121505,2.389566811762726,8.110561608643462,6.767522386228545,4.519164449806069,6.534964249804655,3.769771739249448,0.8718436485093178,0.1505596765753814,11.345405246717796,5.813524689297811,5.153805336079036,4.910732661902912,0.0976107966264223,1.8237493603082728,1.2750070474998698,4.121844297876376,0.4005379295837288,0.01435529297707,3.266036893995317,0.0,5.727103603522661,0.3785116232537298,5.609400390006429,0.0426443374084937,6.757556688939453,3.665620164066381,5.749266083814806,4.62702310555406,4.178714641175443,4.713145902490259,0.0,5.47021145739054,4.379898163524692,2.931683057059806,3.460742563789644,6.22670118455169,1.7865963618908067,0.7907720378619999,0.0285691521967709,8.558573776240628,1.9818526532897407,0.0426443374084937,0.070389327891398,0.0565835283663675,2.321928094887362,4.354734239970604,7.596040632671138,2.204766750654613,1.922197848396367,9.729620743553038,5.0574502721839,0.3448284969974411,4.88508622529017,3.568032104771279,4.981396031972149,0.933572638261024,6.31124879044183,4.762348815644129,4.812498225333564,0.0,9.815014969266636,3.609991295212679,8.553014841843982,10.609548138999427,3.9307373375628862,0.0426443374084937
ACH-000837,0.2016338611696504,1.1953475983222193,3.137503523749935,0.0,2.277984747299765,1.0356239097307212,3.040892430646901,2.211012193485512,5.39746072605472,0.2141248053528473,4.956056652412403,2.448900951145128,4.49761236561836,2.8094144442358986,0.0426443374084937,0.0426443374084937,6.338067797542616,2.3305584000308026,0.1110313123887439,0.8718436485093178,9.966361247293609,6.488000770834068,0.7990873060740036,0.1505596765753814,3.7463127664254574,6.506049668250324,4.880195728943098,6.855491443101874,3.389566811762726,4.3269687115878925,0.0426443374084937,10.721953612801386,1.292781749227846,5.350850805483376,4.9740703670240265,0.0,2.776103988073164,0.1634987322828795,3.55581615506164,2.6982184782244136,0.2509615735332188,3.2539892662307865,1.8875252707415875,5.241840183564671,0.3673710656485294,5.502712485966061,0.0,6.481880139620285,5.237640195035385,1.0071955014042038,1.5459683691052926,2.521050736900963,4.726286289720674,0.0,4.903520373723376,4.522306892871389,0.722466024471091,3.0107798387532423,0.1110313123887439,3.158660175346498,0.0,0.0,4.631686366311998,0.4005379295837288,0.0,0.1634987322828795,0.411426245726465,1.372952097911829,5.55704241526372,7.8304835164576465,0.0,0.01435529297707,9.908842923552484,5.997744026059632,0.2868811477881615,5.888012585402829,4.064365540263628,4.174725987706133,0.0976107966264223,4.429615964201735,4.55028504908841,3.364572432295856,0.0,9.464566170501396,2.4828482830684653,6.001351892999959,9.19529837890182,3.125981653854716,0.1110313123887439
