,MNAT1 (4331),POLE4 (56655),ERCC4 (2072),POLE3 (54107),ERCC3 (2071),ERCC6 (2074),ERCC5 (2073),GTF2H5 (404672),POLD4 (57804),ERCC2 (2068),RFC4 (5984),CETN2 (1069),RFC5 (5985),RPA1 (6117),RAD23B (5887),RBX1 (9978),DDB2 (1643),RPA3 (6119),POLD3 (10714),RPA2 (6118),RAD23A (5886),PCNA (5111),RPA4 (29935),DDB1 (1642),POLE2 (5427),ERCC1 (2067),POLD1 (5424),POLD2 (5425),POLE (5426),RFC1 (5981),RFC3 (5983),RFC2 (5982),XPC (7508),XPA (7507),GTF2H2 (2966),GTF2H1 (2965),CDK7 (1022),LIG1 (3978),CUL4A (8451),CUL4B (8450),ERCC8 (1161),CCNH (902),GTF2H4 (2968),GTF2H3 (2967)
ACH-000694,5.5456595400254685,5.863938450423972,2.55581615506164,6.350850805483376,5.216066783087033,3.456806149230474,5.699329525673156,2.851998837112446,7.411765185006983,3.805292455600712,5.9941271140031285,4.598722499676621,5.157447996274298,5.882398504053875,6.55105452750064,6.16430358309365,5.618532333976294,5.773996325111173,3.626439136697315,5.324810603420484,6.304145941202946,7.434961760187254,0.1505596765753814,6.742949368993834,4.383358695385111,4.315421315945778,5.423578170981798,6.410408949851039,5.525129251203973,4.484782623077873,5.894090170601479,5.880195728943098,3.571676809970932,4.125981653854716,3.57773093149008,5.009884588931844,5.007644030878014,5.034303767768035,5.567727963304803,4.140778655782796,1.8439838440483265,5.066950243924628,4.884597920990064,5.158256228811341
ACH-000619,5.067380578019059,5.401903471607959,2.3132458517875616,5.711219556894335,5.375387026828883,2.241840183564671,5.416839741912829,2.992768430768924,7.264442600226602,3.9763636357327616,6.036283527988446,5.275379596253622,4.777682717073553,5.150965783556497,6.143230134776893,5.421896512042248,5.600804954989473,6.327866971402036,3.970853654340484,4.973611275519472,5.785288980704021,8.147154035330736,0.0,6.1927859592511245,3.6881803585869264,5.620293149948603,5.580447019598664,6.7230123963923685,5.561937059622433,4.503984703897613,4.612352498752662,5.135863165368679,4.22573765346606,3.228049047884462,2.62993940943954,4.544732655932624,5.024142345897803,5.663344619366085,5.756756451307274,3.628773595201645,2.6870606883398924,4.863938450423972,4.286881147788161,4.119356177039675
ACH-000647,6.155830171556525,6.549207089355683,3.150559676575381,6.537451387653073,5.132988042627442,4.701549056943071,4.590362488463746,3.873813198359087,6.304876050044889,5.081936081719432,6.300306796080063,6.218006150284427,6.121015400961366,6.067165427017112,7.000563442710106,5.644433152406245,5.36387192485753,7.167719198601074,5.477677327565307,5.476381687567235,6.289281178481987,8.095660745495218,0.01435529297707,6.517433184071687,4.068670810665099,5.8740592031411465,5.780047576061869,8.340918270272116,5.574707046415546,5.446917864866026,5.652773284510777,6.243745234733984,4.356848079236522,3.5046203924035524,4.445594291341182,5.2720231890610485,5.500483401473115,5.531381460516312,6.723558561472103,5.932628157022127,3.405992359675837,5.73687542290827,5.316869805064333,5.645298163948631
ACH-000231,5.418527302101609,4.499527024215096,3.092545741543565,6.84987419379562,5.111448698487674,2.980025300238734,5.1026581313637385,3.834913429701039,5.160678213220501,5.589763486984977,5.004950759951045,6.149950301681046,5.120186027531863,5.205548911173033,6.898933871780176,4.902556005344628,4.148120631123964,5.624978179569036,3.802193216941825,6.29020320512607,6.400367145914883,7.609695872862739,0.3103401206121505,6.468746213754123,3.6016965164809576,6.227471546359283,5.674121632632394,6.841469999465799,5.772677470424859,4.93969674069176,4.920293300211007,5.797791200478888,4.409390936137702,3.5360529002402097,4.428946344769483,4.414135532984451,5.970393537914677,5.66732447027863,5.066089190457772,7.149950301681046,3.701549056943071,6.051807107013298,5.666188489872781,5.398487190018967
ACH-000837,6.298658315564516,6.798439398827793,1.839959587489532,6.133193598664106,5.283921772307617,3.538538163629804,4.697106574476975,4.03121873061072,6.295723024539968,4.276496665640356,6.521835962545389,4.212569338850806,5.2502036564992975,5.608809242675524,6.979568100095187,6.084276910531492,5.515384460636948,5.297558281168186,4.387500406480984,5.400537929583729,6.865671417648427,7.291308859828971,0.070389327891398,7.088099183997209,4.649040565634448,5.772941337831336,4.926473911256073,6.5657494793688445,5.610581958492531,4.903038270112912,5.381629467033664,4.5576551547254205,3.5397791916984938,3.777156666004501,4.698774108903683,4.976821852360685,4.925049964727359,4.872336288104642,6.041987621651359,4.310340120612151,2.9011082430145123,5.593353770980297,4.503348735167505,5.074248523347032
