,SOS2 (6655),E2F1 (1869),CHUK (1147),PTPN11 (5781),RAF1 (5894),SHC1 (6464),BAD (572),CTBP2 (1488),CTBP1 (1487),MAP2K2 (5605),BRAF (673),MECOM (2122),MAP2K1 (5604),IKBKB (3551),MDM2 (4193),RB1 (5925),ABL1 (25),AKT1 (207),AKT2 (208),SHC4 (399694),AKT3 (10000),NRAS (4893),GRB2 (2885),STAT5B (6777),SMAD3 (4088),MAPK3 (5595),STAT5A (6776),SMAD4 (4089),NFKB1 (4790),NFKBIA (4792),SOS1 (6654),MYC (4609),MAPK1 (5594),RUNX1 (861),PIK3R5 (23533),IKBKG (8517),HRAS (3265),RELA (5970),GAB2 (9846),CBLB (868),CDKN2A (1029),KRAS (3845),CBL (867),SHC3 (53358),CDKN1B (1027),CDKN1A (1026),TGFB2 (7042),TGFB1 (7040),ARAF (369),TGFBR2 (7048),TGFBR1 (7046),TGFB3 (7043),CCND1 (595),PIK3R3 (8503),BCL2L1 (598),CDK4 (1019),CBLC (23624),TP53 (7157),E2F3 (1871),E2F2 (1870),CRK (1398),PIK3CA (5290),PIK3CB (5291),CDK6 (1021),CRKL (1399),PIK3CD (5293),SHC2 (25759),HDAC1 (3065),BCR (613),HDAC2 (3066),PIK3CG (5294),PIK3R1 (5295),PIK3R2 (5296)
ACH-000694,3.690417095532466,4.4886435398537845,3.8609627978581167,5.482848283068465,5.314696525656286,5.696828464588713,5.883865154509794,5.530757457461217,6.04220656012069,6.606886339275915,2.839959587489532,4.306699707272787,5.308156975114762,3.9523335663696857,4.12350066435096,4.460742563789644,4.740927560318628,6.6849589615938525,5.04788732939655,0.4222330006830478,2.277984747299765,3.836934011321092,5.8671551631075145,4.447579196548882,6.167317780946596,5.515384460636948,0.918386234446348,4.272769732436511,4.956056652412403,6.135247549809567,3.5459683691052923,6.625708843064466,5.699051844016849,3.582556003014061,0.1763227726404629,4.668459556915382,6.421896512042248,5.23189316164533,0.5058909297299572,1.922197848396367,0.2986583155645151,3.932628157022127,2.372952097911829,0.137503523749935,4.506525779043123,6.510803720358323,3.1811025507537978,3.4594316186372973,5.5906618959652645,4.506525779043123,3.4982508675278257,2.16349873228288,8.687235694107043,3.077242998932461,5.644144699932848,6.9478998862482655,4.06177619758669,4.349789870241872,3.27500704749987,3.8708578643637614,5.277240898332067,3.3146965256562866,4.404630684217612,4.128458384146928,5.105175192265479,0.4222330006830478,1.0214797274104517,7.586314393721115,4.665051614289214,6.654063132643982,0.0285691521967709,2.6599245584023783,3.451540833017832
ACH-000619,3.212569338850806,4.533563348214512,3.007195501404204,4.844486087757799,5.661920579135087,6.485587833257222,5.73579292798531,4.963474123974886,5.654206377944292,5.846493315964563,2.6622054996536164,3.3476656563009706,5.237257770900372,4.579542224936903,4.3729520979118295,3.723558561472103,4.043519493662743,6.011003564432669,5.7238315664953205,0.0285691521967709,1.4436066514756147,4.141596278383818,5.266411766036114,4.669026765509631,5.279099802133753,5.140369670651527,3.2539892662307865,3.9001422603598166,4.135042286233651,6.182493674945368,2.839959587489532,6.233811384293157,4.939226577728209,3.351910961103077,0.0,4.3269687115878925,6.264348763351165,5.606738317417591,1.1634987322828796,1.5897634869849773,0.3673710656485294,3.625270489374693,3.001802242633985,0.0840642647884745,4.499527024215096,5.568032104771279,3.609991295212679,4.394376944957055,4.842978831788326,4.046141781644721,4.561937059622433,0.918386234446348,7.834723855003643,2.2898344651775093,5.886306263452426,6.609400390006429,4.529820946528695,5.808899839257769,3.177917792195843,2.3950627995175777,4.534808661231747,3.702657543390911,3.831877241191673,4.588564737401351,4.524815928357506,1.565597175854225,0.0,7.259366654658847,4.4276061727819,6.27015513876653,0.0,2.097610796626422,2.771885578515366
ACH-000647,3.203201156316611,4.915520900751958,4.220329954879555,6.637059538410849,6.998985248258895,8.42097076340615,6.10454633862346,5.76394266044725,6.58781501278806,6.433627167084783,3.624100894628114,0.5753123306874368,5.667040559022988,2.6182386555954547,5.368419155081396,2.855989697308481,5.010779838753242,5.883865154509794,6.14649230697719,0.2016338611696504,3.842978831788325,5.439623137557117,6.017699252693033,4.69655030107857,5.816599706534912,5.057016965365539,3.426264754702098,3.396433531250992,4.542877099354142,4.891905188211931,4.40735275114004,5.911212201558612,7.632922515461243,5.6544928258834615,0.963474123974886,5.005849075696688,4.888499735514123,5.059614856297222,2.8875252707415875,1.3276873641760472,7.060155495254604,4.05484847699562,3.895302621333306,0.2141248053528473,4.912649864897204,7.260778431893426,6.519479002307236,4.682573297347578,4.754353071692127,6.071247819461442,4.119356177039675,1.070389327891398,7.194362890727586,3.346247774082776,7.255028569818729,7.29746657376321,3.882643049361841,6.36562255611334,4.071247819461443,2.786596361890807,5.585263030883869,3.739848102699328,4.072105800480419,4.611762560064872,7.159265883160681,2.920293300211007,0.5058909297299572,7.272396509037485,5.960697039304312,6.855117639487686,0.0426443374084937,1.3391373849195856,3.682573297347578
ACH-000231,4.017031080527841,4.743084055549586,4.416839741912829,5.949301468328278,6.630085070002124,8.024973407408652,5.783194703376154,5.35508676166836,6.4409521980296365,6.767522386228545,3.264536430999025,3.040892430646901,6.534964249804655,4.7300964655954685,3.902073579310743,2.269033146455237,5.765799923285126,7.173926931999809,6.170926525287385,1.4168397419128294,4.519793486241101,5.813524689297811,5.153805336079036,4.068670810665099,5.28318097894557,4.910732661902912,2.169925001442312,5.77663042305105,4.485426827170242,5.936166777979151,3.266036893995317,4.473786911614368,5.727103603522661,4.823239844131022,0.0,5.698218478224414,5.609400390006429,5.421896512042248,1.7311832415722,3.517275693209581,9.013266835091237,4.379898163524692,3.2479275134435857,0.7484612330040357,4.930737337562887,4.877744249949002,7.159467729266766,6.20124177119825,6.304693557471008,4.4121040446775694,5.255878352582786,3.8011586560936985,7.03375335188982,4.640967910449898,6.1661128574014255,7.297191416565856,0.070389327891398,6.468420401864552,4.82781902461732,2.130930869826449,5.078951341394822,3.613531652917927,4.36667191611176,4.0866139474094965,5.700717132821476,3.2387868595871163,0.879705766282288,7.645802514606062,4.562547724199122,7.899175630480513,0.1110313123887439,4.907371413823563,4.118525848935668
ACH-000837,3.137503523749935,4.4809113460477485,3.150559676575381,5.940166750482817,5.39746072605472,5.93451650158608,6.394719912994065,6.22670118455169,7.484863164322325,6.506049668250324,2.5921580021253603,3.534808661231747,6.855491443101874,4.456806149230474,4.865423978313134,3.871843648509318,3.634593268445757,6.476381687567235,5.273515889702116,0.2387868595871164,3.970853654340484,1.292781749227846,5.350850805483376,3.400537929583729,6.459267666703387,4.9740703670240265,0.1110313123887439,4.654206377944292,4.630521963471638,6.175324989184902,3.2539892662307865,5.2253520607761015,5.241840183564671,3.9136075118230993,0.0285691521967709,4.053111336459563,5.502712485966061,6.127014141582809,0.963474123974886,2.250961573533219,0.3561438102252753,4.522306892871389,3.851998837112446,0.2750070474998698,4.760753208062987,4.998195503153252,1.144046369616707,3.62993940943954,4.590362488463746,5.144454313926194,2.908812907739547,1.2868811477881614,8.493455200926176,3.8083850506560935,6.868266971645478,6.90977310414164,5.098032082960526,5.7753139752538125,3.998195503153252,1.4168397419128294,4.964398632203184,3.1842802944193824,4.20945336562895,4.434294617959925,5.270528942380718,0.6507645591169022,0.3561438102252753,7.236205581531685,4.836429131161648,7.204766750654613,0.0285691521967709,2.1667154449664223,3.344828496997441
