,SOS2 (6655),NOTCH4 (4855),NOTCH3 (4854),NOTCH2 (4853),EGFR (1956),NOTCH1 (4851),KRAS (3845),FMN2 (56776),ETV7 (51513),PIWIL3 (440822),ETV6 (2120),PIWIL2 (55124),MAP2K1 (5604),PIWIL1 (9271),GRB2 (2885),SPIRE2 (84501),CPEB1 (64506),MAPK3 (5595),ETS1 (2113),ETS2 (2114),SPIRE1 (56907),SOS1 (6654),PIWIL4 (143689),MAPK1 (5594)
ACH-000694,3.690417095532466,0.2750070474998698,6.821455119102458,3.71699089440494,5.286511557664227,5.002252451731379,3.932628157022127,1.516015147003665,2.2839217723076177,0.01435529297707,2.448900951145128,0.2141248053528473,5.308156975114762,0.1110313123887439,5.8671551631075145,3.2234225499349374,0.1110313123887439,5.515384460636948,2.82781902461732,4.263785613890803,3.424922088210688,3.5459683691052923,0.6135316529179271,5.699051844016849
ACH-000619,3.212569338850806,0.2630344058337938,4.294253136444514,4.523561956057013,5.44857062600553,5.187055089968057,3.625270489374693,0.0565835283663675,3.6380738371807184,0.01435529297707,2.875780063068488,0.0426443374084937,5.237257770900372,0.0,5.266411766036114,3.5084286525318573,0.0285691521967709,5.140369670651527,3.41006969175638,4.609991295212678,3.710393192170516,2.839959587489532,0.4222330006830478,4.939226577728209
ACH-000647,3.203201156316611,0.879705766282288,3.1391420191456887,6.147306698780294,6.238022517825721,2.111031312388744,4.05484847699562,0.0,1.1375035237499351,0.0285691521967709,2.27500704749987,0.1110313123887439,5.667040559022988,0.0,6.017699252693033,2.752748591407134,1.38404980679516,5.057016965365539,5.563768278452033,4.319039815562536,4.760220946466509,4.40735275114004,0.8953026213333066,7.632922515461243
ACH-000231,4.017031080527841,1.3504972470841332,1.769771739249448,5.980939266085512,3.665620164066381,3.6881803585869264,4.379898163524692,3.3757345385831563,2.5360529002402097,0.0,3.810443103845176,0.1505596765753814,6.534964249804655,0.0,5.153805336079036,2.6016965164809576,1.944858445807539,4.910732661902912,5.829088444004886,2.2539892662307865,4.2720231890610485,3.266036893995317,0.5655971758542251,5.727103603522661
ACH-000837,3.137503523749935,0.2265085298086797,4.602884408718419,3.759155833800272,5.237640195035385,2.918386234446348,4.522306892871389,0.1763227726404629,0.070389327891398,0.0,2.356143810225275,0.3673710656485294,6.855491443101874,0.0,5.350850805483376,2.967168607532628,0.01435529297707,4.9740703670240265,6.713970692436053,4.098453246309274,4.409390936137702,3.2539892662307865,1.1309308698264486,5.241840183564671
