,PSMD11 (5717),PSMD12 (5718),PSMD13 (5719),PSMB11 (122706),PSMA1 (5682),PSMD4 (5710),POMP (51371),PSMD6 (9861),PSMD7 (5713),PSMA5 (5686),PSMD8 (5714),PSMA4 (5685),PSMA3 (5684),PSMA2 (5683),PSMF1 (9491),IFNG (3458),PSME4 (23198),PSME3 (10197),PSMB10 (5699),PSMB9 (5698),PSMD2 (5708),PSMD3 (5709),PSMC6 (5706),PSMD1 (5707),PSMC4 (5704),PSMB3 (5691),PSMC5 (5705),PSMD14 (10213),PSMB2 (5690),PSME1 (5720),PSMC3 (5702),PSMB5 (5693),PSME2 (5721),PSMB4 (5692),SEM1 (7979),PSMC1 (5700),PSMB7 (5695),PSMC2 (5701),PSMB6 (5694),PSMB8 (5696),PSMA6 (5687),PSMA7 (5688),PSMB1 (5689),PSMA8 (143471)
ACH-000694,7.0953970227925565,6.090641751917847,7.300947363486878,0.0,7.557501994255944,7.545891168032852,7.620513100914481,5.870118083965933,7.583458910130768,6.093813673402728,6.6464507064831775,8.946760097340826,8.136170874667252,5.987093437058145,6.321386982782167,0.0,4.87528859822269,6.731047439337348,6.193574640446597,6.121222669841959,8.658390023070183,7.276682759809062,7.117383366931484,6.476057595677545,6.393519167988513,8.538227739736,7.773864493883331,6.4441038182283,6.420381341196637,8.183734617615842,8.12003046691988,8.07724299893246,8.36640964765943,8.211060879726666,9.624027763463944,8.892542816648552,8.32025901362267,7.831243896855197,7.997292407636508,6.728736843366021,8.52567740250029,9.009576718455476,8.219991299748603,0.0
ACH-000619,6.3125199674749455,5.146084938616191,6.948834425578686,0.0,6.7812285534681225,6.908332569782425,5.872582544833223,4.969933274697856,6.678776174123884,6.429281193335658,6.76460624310965,7.854743738995535,6.990387651802744,6.668884984266247,6.857359009758642,0.0,4.462052318796433,6.25304379464515,6.045049740837989,6.683556107495676,8.167618854658006,6.464994927265429,6.017476563020462,5.417852514885898,6.206526015877427,7.050284014301706,6.446752484566551,6.279842693520348,5.898692072560488,7.997123014273261,7.002815015607054,6.804776377955828,8.380374479142429,7.812369865972219,9.83070533547486,7.549592167441751,7.5412515273051,7.899598610747254,6.728192635498048,6.56711948795167,7.986524707977225,8.700092874758994,7.417346217270283,0.0
ACH-000647,8.104441503028392,6.582556003014061,6.827565006650136,0.0,7.5851879042121055,8.331051284434999,7.414981142903091,6.61970645004589,6.568792178041528,7.500483401473115,7.992201934888206,8.89099380130831,8.248828916185118,8.987491414057624,6.2951719919885285,0.0,5.14934066928622,7.595816918555854,4.740927560318628,6.151574729766406,9.297627057896484,7.5855634984556914,7.12391445900198,6.853621455748828,7.6178714735311965,8.494255586544979,7.620293149948603,6.650190123496775,6.7307757965120505,7.579014165881818,7.77597234930845,7.232564829728775,8.185321468265926,9.366234775533046,9.56506398689928,8.430619810959776,8.605442477918896,8.515305605451724,7.961218150034518,5.8283269264148165,8.629174450113979,10.131856960608792,8.223132900603353,0.0
ACH-000231,6.079164742037307,5.6946016533561234,6.911451911626604,0.0,7.059614856297222,7.62993940943954,7.011003564432669,7.495615223849099,7.399256559003988,7.329930848970031,8.304647930720396,9.079324771806665,7.812434047080439,7.195150710564713,6.178515470188603,0.0,4.708187236020708,6.36964096451698,5.658782734012828,7.025803990463827,9.04455805266252,6.448240225216066,6.512542955096859,6.486231677981013,7.307337443084771,7.357727932310624,6.904484097901423,6.35860724911781,7.0300049445090815,7.794155897876407,7.531459441924449,7.150762744355418,8.435753591095466,8.717265144960065,8.993079908712994,8.690836097919135,8.365447588550104,8.019868677504466,6.877253453876608,6.986410935252045,8.537956064026375,8.71853287606922,8.812947393184112,0.0
ACH-000837,7.926058738678798,6.329482431025636,7.305058519537434,0.0285691521967709,8.016418317406874,8.286557761607957,7.062208077560245,6.589463892956097,8.060209548008995,6.807354922057604,7.647530379525475,8.890416291671784,8.276915343768826,6.804389198535633,5.759155833800272,0.0,5.56711948795167,6.9970665453987255,5.635464198167884,1.1634987322828796,9.265521285839666,6.889838550766045,7.613015891553622,6.63850831844914,7.054522922432377,7.601027897021115,7.850811922162004,6.69849632031307,6.224580566083445,6.4571345943180365,9.37803469210242,8.689404003749548,8.106170316945143,8.676098120912219,9.128819218996016,8.589089312909623,8.223422549934938,6.5402443021342735,7.892269581825543,0.5459683691052926,8.645766495405718,9.43827205612483,8.023255352300303,0.0
