,PLCB2 (5330),PLCB1 (23236),INPP1 (3628),IPMK (253430),PLCD1 (5333),PLCB3 (5331),PLCB4 (5332),MIOX (55586),TPI1 (7167),INPP5A (3632),INPP5B (3633),INPP4A (3631),INPPL1 (3636),SYNJ2 (8871),PIP4K2B (8396),PLCD3 (113026),PIKFYVE (200576),IMPA1 (3612),IMPA2 (3613),PIP5K1A (8394),PIP5K1B (8395),ISYNA1 (51477),INPP5J (27124),INPP5K (51763),SYNJ1 (8867),PLCD4 (84812),ITPKA (3706),ITPKB (3707),ITPK1 (3705),CDIPT (10423),INPP4B (8821),PLCE1 (51196),ALDH6A1 (4329),PIP5K1C (23396),PIK3C3 (5289),PIK3C2B (5287),PIK3C2G (5288),PIP4K2A (5305),PIK3C2A (5286),PTEN (5728),PIP4K2C (79837),MINPP1 (9562),IPPK (64768),PIK3CA (5290),PIK3CB (5291),PIK3CD (5293),PLCG1 (5335),PLCG2 (5336),PLCZ1 (89869),PI4KB (5298),PIK3CG (5294),INPP5E (56623),OCRL (4952),PI4KA (5297)
ACH-000694,0.4436066514756146,3.277984747299765,4.566206293465506,2.3868109464722167,1.1826922975161902,4.873321062914816,0.2265085298086797,0.0565835283663675,9.586689694844662,3.73768676140986,2.794935662803536,4.601102203376409,6.12907690293063,3.5197934862411,4.428276414392509,5.5496691707264905,2.990954860396993,3.71699089440494,5.022811650915632,5.064796645911805,0.5260688116675876,6.173527238122508,1.839959587489532,4.482202926295956,1.8439838440483265,1.263034405833794,1.859969548221026,2.4168397419128294,5.111448698487674,5.833143096358337,3.2555007331483865,3.1538053360790355,2.5897634869849773,3.232660756790275,3.9873208659292536,4.675251386050259,1.1699250014423124,2.1076878693143737,3.965322548367255,4.558267634055736,4.901108243014512,3.4594316186372973,3.8747969658986654,3.3146965256562866,4.404630684217612,0.4222330006830478,4.993221467368938,2.84197311892718,0.0,4.733896605247495,0.0285691521967709,3.119356177039676,2.956056652412403,4.665051614289214
ACH-000619,0.765534746362977,1.0496307677246008,5.851998837112446,1.6182386555954549,2.543495883425772,4.44028782084042,1.2387868595871168,0.0285691521967709,8.362206855225358,2.752748591407134,2.533563348214512,3.4982508675278257,5.271649772457207,3.699329525673156,3.77082904603249,5.686780634948565,2.6758159311722696,3.665620164066381,4.70984201927331,5.266786540694901,0.0565835283663675,5.352617298958503,1.807354922057604,3.739848102699328,1.903038270112912,0.765534746362977,1.6040713236688608,1.8718436485093173,4.973611275519472,6.165309015597156,4.543495883425772,1.5753123306874368,2.150559676575381,2.9873208659292536,3.547203024756932,2.6205864104518777,0.01435529297707,2.985500430304885,3.865918814552213,4.003602236680195,5.316869805064333,3.91169158187234,4.106013237622119,3.702657543390911,3.831877241191673,1.565597175854225,5.624100894628114,3.10936055940423,0.0285691521967709,4.340562269026414,0.0,4.386810946472217,3.645009884391095,3.5459683691052923
ACH-000647,1.5945485495503542,0.8399595874895318,3.381283372503784,2.957914598632985,2.4776773275653072,4.425593577653059,2.6622054996536164,0.1110313123887439,9.37238625833264,4.046141781644721,2.889473542531109,3.889473542531109,6.008092420948722,4.257010618206024,4.70376517879341,4.774523529590232,3.032100843167024,4.004501392234941,5.915998851738901,6.568640195419223,1.1634987322828796,6.200457271428572,3.0373822220030804,4.090853430451113,3.5046203924035524,1.2690331464552371,2.4982508675278257,2.451540833017832,5.853496703702325,4.927896453728821,5.499527024215096,2.702657543390911,3.0125686735030555,3.7322691995014496,3.797012977836145,3.282439805006387,0.0,3.996388746447621,4.521050736900963,5.087462841250339,5.60733031374961,4.22650852980868,3.701549056943071,3.739848102699328,4.072105800480419,2.920293300211007,5.500483401473115,2.920293300211007,0.0,5.490890978894291,0.0426443374084937,3.257010618206024,4.900625332536066,6.567727963304803
ACH-000231,0.9708536543404837,1.0908534304511135,3.307428525192248,2.5310694927259543,2.3673710656485296,4.111031312388744,4.277984747299765,0.137503523749935,10.281582347705443,3.895302621333306,2.908812907739547,3.3362833878644325,6.543650537983554,5.942749070828886,4.213347281733441,3.8972404255748,3.2141248053528475,4.829342193902803,4.062639828286463,5.869377924031328,0.0285691521967709,2.8094144442358986,1.097610796626422,3.5619370596224327,2.786596361890807,1.6369145803558778,2.5993177936982264,1.6959938131099002,4.522306892871389,5.720278465233327,0.2750070474998698,3.38404980679516,2.381283372503784,5.4110872267986005,5.096346198993175,1.550900664647523,0.0976107966264223,4.033863451866284,4.072963271555224,3.619413010597937,5.284662185483165,4.462052318796433,3.609991295212679,3.613531652917927,4.36667191611176,3.2387868595871163,6.075532631167357,0.1505596765753814,0.1763227726404629,5.265286857565172,0.1110313123887439,3.571676809970932,5.080231272019264,5.956753662671981
ACH-000837,0.2016338611696504,2.277984747299765,3.305970520984386,1.7398481026993275,0.3219280948873623,4.49761236561836,2.8094144442358986,0.0,10.06406908038551,4.386810946472217,1.7004397181410922,3.5185351389821804,5.473137487772256,3.85897561429202,3.7548875021634687,4.203201156316611,2.82781902461732,3.821710215034674,2.9981955031532523,5.850249358286328,0.0840642647884745,5.094658342654544,0.0840642647884745,2.994579724215748,2.0426443374084937,1.1634987322828796,1.8439838440483265,3.344828496997441,4.699329525673156,4.950468414150123,4.700994494168267,1.0214797274104517,1.560714954474479,2.9653225483672547,3.975446765640962,2.176322772640463,1.3334237337251915,3.768713657030485,4.507794640198696,5.101818134227409,4.96254902292306,3.8042601156347375,2.910732661902913,3.1842802944193824,4.20945336562895,0.6507645591169022,4.221877081077034,2.4620523187964327,0.0,5.024142345897803,0.0285691521967709,3.571676809970932,3.523561956057013,4.916954278953217
