,CASP9 (842),SOS2 (6655),E2F1 (1869),CHUK (1147),RAF1 (5894),IGF1 (3479),CREB3L4 (148327),MTOR (2475),CREB3L1 (90993),PDGFD (80310),NKX3-1 (4824),IGF1R (3480),GSTP1 (2950),CREB3 (10488),CREBBP (1387),LEF1 (51176),BAD (572),INS (3630),PDGFRB (5159),ERBB2 (2064),MAP2K2 (5605),TGFA (7039),BRAF (673),MAP2K1 (5604),FGFR2 (2263),PDPK1 (5170),IKBKB (3551),MDM2 (4193),RB1 (5925),CREB1 (1385),AKT1 (207),AKT2 (208),FGFR1 (2260),AKT3 (10000),NRAS (4893),GRB2 (2885),CREB5 (9586),MAPK3 (5595),TCF7 (6932),NFKB1 (4790),INSRR (3645),NFKBIA (4792),SOS1 (6654),TCF7L2 (6934),MAPK1 (5594),PIK3R5 (23533),IKBKG (8517),HRAS (3265),EP300 (2033),EGFR (1956),RELA (5970),PDGFC (56034),GSK3B (2932),KRAS (3845),CDKN1B (1027),EGF (1950),CDKN1A (1026),CTNNB1 (1499),HSP90AA1 (3320),ARAF (369),AR (367),CREB3L3 (84699),HSP90B1 (7184),SRD5A2 (6716),CREB3L2 (64764),CCND1 (595),PTEN (5728),PIK3R3 (8503),BCL2 (596),PDGFA (5154),PDGFB (5155),TCF7L1 (83439),FOXO1 (2308),PDGFRA (5156),CDK2 (1017),HSP90AB1 (3326),TP53 (7157),E2F3 (1871),E2F2 (1870),PIK3CA (5290),PIK3CB (5291),CCNE2 (9134),PIK3CD (5293),KLK3 (354),ATF4 (468),PIK3CG (5294),CCNE1 (898),PIK3R1 (5295),PIK3R2 (5296)
ACH-000694,2.713695814843359,3.690417095532466,4.4886435398537845,3.8609627978581167,5.314696525656286,0.2141248053528473,4.221877081077034,4.768713657030485,0.1505596765753814,0.01435529297707,1.4168397419128294,4.260778431893426,11.874520349074716,4.05484847699562,4.679198570566922,2.673556423990145,5.883865154509794,0.0,0.01435529297707,6.560409266362118,6.606886339275915,3.748461233004035,2.839959587489532,5.308156975114762,5.283551423174307,4.414135532984451,3.9523335663696857,4.12350066435096,4.460742563789644,5.035623909730721,6.6849589615938525,5.04788732939655,3.2433644256936605,2.277984747299765,3.836934011321092,5.8671551631075145,1.298658315564515,5.515384460636948,0.722466024471091,4.956056652412403,0.0,6.135247549809567,3.5459683691052923,3.507160349117523,5.699051844016849,0.1763227726404629,4.668459556915382,6.421896512042248,4.926473911256073,5.286511557664227,5.23189316164533,2.526068811667588,5.105175192265479,3.932628157022127,4.506525779043123,1.3673710656485294,6.510803720358323,6.955591791753994,10.798957747900428,5.5906618959652645,0.5558161550616396,0.0,8.819636253808827,0.0976107966264223,2.682573297347578,8.687235694107043,4.558267634055736,3.077242998932461,0.4854268271702416,4.985044962253466,2.3103401206121505,1.9708536543404835,2.063502942306158,0.01435529297707,5.525129251203973,10.54756935984222,4.349789870241872,3.27500704749987,3.8708578643637614,3.3146965256562866,4.404630684217612,3.257010618206024,0.4222330006830478,0.0,8.071515993345683,0.0285691521967709,2.192194165283345,2.6599245584023783,3.451540833017832
ACH-000619,3.303050084681673,3.212569338850806,4.533563348214512,3.007195501404204,5.661920579135087,0.0,3.8629472480209217,4.390254956321868,0.2868811477881615,0.01435529297707,1.280956313831056,3.9945797242157473,10.047260266260045,4.260778431893426,3.969933274697856,0.4541758931858021,5.73579292798531,0.0,0.2986583155645151,5.199672344836364,5.846493315964563,4.836934011321092,2.6622054996536164,5.237257770900372,3.9717734471933728,3.6005076453457856,4.579542224936903,4.3729520979118295,3.723558561472103,4.414135532984451,6.011003564432669,5.7238315664953205,3.405992359675837,1.4436066514756147,4.141596278383818,5.266411766036114,1.1176950426697545,5.140369670651527,2.84197311892718,4.135042286233651,0.0,6.182493674945368,2.839959587489532,3.097610796626422,4.939226577728209,0.0,4.3269687115878925,6.264348763351165,3.948600847493356,5.44857062600553,5.606738317417591,1.790772037862,3.977279923499916,3.625270489374693,4.499527024215096,0.4854268271702416,5.568032104771279,6.325530331567558,9.27995873575173,4.842978831788326,0.01435529297707,0.0285691521967709,9.40731025831819,0.0426443374084937,2.7398481026993275,7.834723855003643,4.003602236680195,2.2898344651775093,0.2630344058337938,3.145677455195635,3.097610796626422,1.9708536543404835,1.7949356628035362,0.0,5.742814669862893,9.307178035558684,5.808899839257769,3.177917792195843,2.3950627995175777,3.702657543390911,3.831877241191673,2.032100843167024,1.565597175854225,0.0,7.435711926617652,0.0,2.918386234446348,2.097610796626422,2.771885578515366
ACH-000647,3.2387868595871163,3.203201156316611,4.915520900751958,4.220329954879555,6.998985248258895,0.2630344058337938,3.532316959332765,5.459759466619821,1.0772429989324606,1.144046369616707,3.125981653854716,4.959770155211468,9.86834414876462,5.152994605492435,5.1626934322112366,1.722466024471091,6.10454633862346,0.0,1.070389327891398,5.468583317006828,6.433627167084783,5.3348542693316325,3.624100894628114,5.667040559022988,5.227278994468321,4.7489978500981485,2.6182386555954547,5.368419155081396,2.855989697308481,4.589164236699772,5.883865154509794,6.14649230697719,4.509695841933388,3.842978831788325,5.439623137557117,6.017699252693033,2.2203299548795554,5.057016965365539,3.4356285940520905,4.542877099354142,0.0976107966264223,4.891905188211931,4.40735275114004,3.286881147788161,7.632922515461243,0.963474123974886,5.005849075696688,4.888499735514123,4.690975738343275,6.238022517825721,5.059614856297222,4.921721947009604,4.579542224936903,4.05484847699562,4.912649864897204,1.879705766282288,7.260778431893426,6.966707314150316,9.80044696491395,4.754353071692127,0.01435529297707,0.1110313123887439,8.841910238588909,0.0285691521967709,3.1538053360790355,7.194362890727586,5.087462841250339,3.346247774082776,1.7311832415722,3.894332742277694,4.396433531250992,3.884597920990065,1.480265122054463,0.2509615735332188,6.138323004056484,10.41341637465164,6.36562255611334,4.071247819461443,2.786596361890807,3.739848102699328,4.072105800480419,3.927896453728821,2.920293300211007,0.0,8.612352498752662,0.0426443374084937,4.498250867527825,1.3391373849195856,3.682573297347578
ACH-000231,3.791814071161826,4.017031080527841,4.743084055549586,4.416839741912829,6.630085070002124,0.0565835283663675,3.2720231890610485,5.618238655595454,5.299391206126829,1.8155754288625725,3.169925001442312,4.807870078299782,8.634339148207905,6.452035273546195,4.772941337831336,3.0143552929770703,5.783194703376154,0.0,2.389566811762726,4.118525848935668,6.767522386228545,4.214901910160696,3.264536430999025,6.534964249804655,3.127633279725874,4.4276061727819,4.7300964655954685,3.902073579310743,2.269033146455237,4.59395128394841,7.173926931999809,6.170926525287385,6.349259109904453,4.519793486241101,5.813524689297811,5.153805336079036,3.408711861029429,4.910732661902912,2.7092906357233577,4.485426827170242,0.0840642647884745,5.936166777979151,3.266036893995317,3.572889668420581,5.727103603522661,0.0,5.698218478224414,5.609400390006429,3.618238655595455,3.665620164066381,5.421896512042248,4.713145902490259,5.047014819517589,4.379898163524692,4.930737337562887,2.931683057059806,4.877744249949002,8.142617655446577,9.726354416891883,6.304693557471008,2.2479275134435857,0.01435529297707,10.145677455195637,0.0285691521967709,3.682573297347578,7.03375335188982,3.619413010597937,4.640967910449898,0.8318772411916731,3.568032104771279,4.981396031972149,2.0669502439246266,2.908812907739547,0.933572638261024,6.353499735245657,10.140446364195675,6.468420401864552,4.82781902461732,2.130930869826449,3.613531652917927,4.36667191611176,4.4087118610294285,3.2387868595871163,0.0,8.52884476742596,0.1110313123887439,4.666756591884804,4.907371413823563,4.118525848935668
ACH-000837,3.075532631167357,3.137503523749935,4.4809113460477485,3.150559676575381,5.39746072605472,0.0285691521967709,4.004501392234941,4.860962797858116,0.1110313123887439,2.3305584000308026,0.963474123974886,4.66732447027863,1.8639384504239715,5.50747752951693,4.040015678847879,2.485426827170241,6.394719912994065,0.0,0.1505596765753814,5.317593504623472,6.506049668250324,6.176123271147939,2.5921580021253603,6.855491443101874,3.0107798387532423,3.679198570566922,4.456806149230474,4.865423978313134,3.871843648509318,5.020591094773247,6.476381687567235,5.273515889702116,2.451540833017832,3.970853654340484,1.292781749227846,5.350850805483376,2.19534759832222,4.9740703670240265,0.2868811477881615,4.630521963471638,0.0,6.175324989184902,3.2539892662307865,3.9411063109464313,5.241840183564671,0.0285691521967709,4.053111336459563,5.502712485966061,4.601102203376409,5.237640195035385,6.127014141582809,4.726286289720674,4.95837871156634,4.522306892871389,4.760753208062987,0.722466024471091,4.998195503153252,7.651410525912998,10.249943030531488,4.590362488463746,0.070389327891398,0.0565835283663675,9.29648035081223,0.0426443374084937,2.211012193485512,8.493455200926176,5.101818134227409,3.8083850506560935,1.3103401206121503,4.064365540263628,4.174725987706133,0.903038270112912,1.3045110418099528,0.0976107966264223,5.434294617959925,10.200898605038445,5.7753139752538125,3.998195503153252,1.4168397419128294,3.1842802944193824,4.20945336562895,3.430285272977781,0.6507645591169022,0.0,8.162643086028444,0.0285691521967709,3.93451650158608,2.1667154449664223,3.344828496997441
