,GALNT4 (8693),GALNT15 (117248),GALNTL5 (168391),GALNT6 (11226),GALNT5 (11227),GALNT16 (57452),GALNTL6 (442117),GALNT13 (114805),GCNT3 (9245),GALNT10 (55568),ST6GALNAC1 (55808),GALNT9 (50614),GALNT7 (51809),GCNT4 (51301),GALNT11 (63917),GCNT1 (2650),GALNT8 (26290),GALNT14 (79623),B3GNT6 (192134),C1GALT1 (56913),GALNT18 (374378),GALNT12 (79695),GALNT2 (2590),GALNT3 (2591),GALNT17 (64409),GALNT1 (2589),ST3GAL2 (6483),ST3GAL1 (6482),B4GALT5 (9334),C1GALT1C1 (29071)
ACH-000694,1.6870606883398924,0.0,0.0,4.139142019145689,4.841469999465799,0.2986583155645151,0.0976107966264223,0.2265085298086797,1.4698859762744636,3.323370069061269,1.6599245584023783,0.4436066514756146,5.192194165283345,0.2986583155645151,3.743084055549586,4.305240965954483,0.0426443374084937,2.9164766444377164,0.0565835283663675,3.926948247949772,4.589164236699772,5.0900065299038175,6.6504773698971045,5.320845667645722,0.0,4.7718855785153655,1.5558161550616396,4.219555769166913,6.670302170078526,4.70984201927331
ACH-000619,2.1602748314085933,0.0840642647884745,0.0,4.494415610397496,0.1110313123887439,0.1890338243900171,0.0,0.0,1.1505596765753812,3.346247774082776,1.9708536543404835,0.9486008474933558,5.717539343391165,0.5753123306874368,3.51096191927738,3.967168607532628,0.0,4.446256229889564,0.01435529297707,4.408032466130653,3.51096191927738,5.589463892956097,6.528258742758412,6.121429908948958,0.0,4.06522762277562,2.3305584000308026,3.212569338850806,6.20006486151431,5.011674533380918
ACH-000647,1.8519988371124465,0.0426443374084937,0.0,5.275007047499869,0.9411063109464316,2.1009776477248208,0.0,0.1243281350022017,0.070389327891398,4.3384244147835584,0.0285691521967709,0.8237493603082727,5.0785244453890765,0.4646682670034443,4.43229133824778,3.2675357980687347,0.3103401206121505,4.5855634984556914,0.0426443374084937,6.111865963867557,1.7484612330040354,2.3305584000308026,6.524032323405924,5.319401166858324,0.01435529297707,4.090853430451113,3.0303360783709588,4.259272487037594,5.758889432720965,5.079378111118652
ACH-000231,2.176322772640463,0.1505596765753814,0.0,1.9373443921502325,3.810443103845176,1.5897634869849773,0.0,0.0,0.070389327891398,6.208673319629471,0.0,0.01435529297707,4.579542224936903,0.2509615735332188,4.303050084681673,5.862203399053224,0.0,0.0840642647884745,0.0,4.705977901682522,0.1634987322828795,1.3045110418099528,6.783325684813521,0.4222330006830478,4.2890967024199895,5.323009710612814,4.640389560054945,0.7824085649273732,5.631977320238746,6.18566835930362
ACH-000837,1.6507645591169022,0.01435529297707,0.0,5.761817142507141,0.1110313123887439,0.3334237337251918,0.0285691521967709,3.24031432933371,1.3161457422933562,5.327687364176047,4.139142019145689,1.0840642647884746,6.193377510564362,0.0976107966264223,3.211012193485512,2.778208576398088,0.01435529297707,6.688600010999123,0.0565835283663675,5.199672344836364,2.792855352362489,3.38404980679516,6.713970692436053,5.278728212938939,0.0,4.757556688939453,2.0669502439246266,4.60229058486114,4.919340082442012,4.1969217338203295
