,XDH (7498),CYP3A5 (1577),UGT2B28 (54490),UPB1 (51733),CYP3A4 (1576),GMPS (8833),UPP2 (151531),HPRT1 (3251),CDA (978),GUSB (2990),IMPDH1 (3614),IMPDH2 (3615),CES2 (8824),UCKL1 (54963),UGT2B11 (10720),TPMT (7172),NAT1 (9),CES5A (221223),CYP2A13 (1553),UGT2A3 (79799),UGT1A4 (54657),CYP3A7 (1551),UGT1A1 (54658),UGT1A3 (54659),UGT1A10 (54575),UGT1A8 (54576),UGT1A7 (54577),ITPA (3704),UGT1A6 (54578),UGT1A5 (54579),CYP2A6 (1548),CYP2A7 (1549),DPYS (1807),TYMP (1890),DPYD (1806),UMPS (7372),UCK2 (7371),TK1 (7083),TK2 (7084),UPP1 (7378),UGT2A1 (10941),CYP3A43 (64816),CES1 (1066),UGT1A9 (54600),NAT2 (10),UGT2B10 (7365),UGT2B7 (7364),UGT2B4 (7363),UCK1 (83549),UGT2B17 (7367),UGT2B15 (7366)
ACH-000694,1.8991756304805127,2.4905701304462013,0.01435529297707,0.0,0.0426443374084937,5.51064550409004,0.0,6.131754090984813,5.952100554168438,4.714795011118162,4.643278996311979,7.351469324267079,5.012121672712217,4.963011647599427,0.01435529297707,3.4462562298895643,2.5310694927259543,0.0,0.01435529297707,0.01435529297707,1.867896463992655,0.3448284969974411,3.7322691995014496,2.922197848396367,0.1505596765753814,0.8559896973084807,1.4436066514756147,5.659924558402379,8.443813825110803,0.765534746362977,0.1505596765753814,0.01435529297707,0.1505596765753814,4.454175893185802,3.673556423990145,5.671576448130652,5.236492618381302,7.564225720206398,3.593353770980297,4.20006486151431,0.0285691521967709,0.0565835283663675,4.879705766282288,0.0,0.0285691521967709,0.01435529297707,0.070389327891398,0.070389327891398,4.371558862611963,0.0,0.1634987322828795
ACH-000619,2.327687364176047,0.8237493603082727,0.0,0.0285691521967709,0.0285691521967709,6.109778429078662,0.0,5.835671479481623,4.506525779043123,5.75702324650746,5.073820233291672,6.168922781852936,4.512226886513957,5.275752048828529,0.0,3.077242998932461,2.316145742293356,0.0,0.0285691521967709,0.0,0.411426245726465,0.2016338611696504,1.1309308698264486,0.7136958148433591,0.2630344058337938,0.0976107966264223,0.2509615735332188,5.693486957499325,5.001351892999959,0.2387868595871164,0.4541758931858021,0.01435529297707,0.01435529297707,6.311975314461157,3.957914598632985,4.684818737553223,4.800641097329084,7.169624408662625,2.713695814843359,6.360364276543471,0.0,0.0,0.1505596765753814,0.1634987322828795,0.0426443374084937,0.0,0.0426443374084937,0.0285691521967709,4.739848102699328,0.0285691521967709,0.0
ACH-000647,2.763411574470007,0.2868811477881615,0.0,0.1110313123887439,0.0,6.649615459063409,0.0,7.048541365693761,4.714795011118162,6.083851587697961,5.7216460784183925,7.633794454067018,4.141596278383818,5.231509210867047,0.0,5.076815597050831,4.294988267691446,0.0,0.0,0.0,0.0285691521967709,0.0,0.01435529297707,0.1634987322828795,0.2141248053528473,0.0,0.0,5.659068274843228,1.6690267655096307,0.0,0.01435529297707,0.070389327891398,0.2016338611696504,2.495695162624069,3.4828482830684653,4.836429131161648,5.733625498408233,7.890021020258591,3.95884267524324,7.1661128574014255,0.0,0.0285691521967709,0.1505596765753814,0.137503523749935,0.070389327891398,0.0,0.0,0.0,4.672990993827748,0.0,0.0
ACH-000231,0.4222330006830478,0.3673710656485294,0.0,0.2509615735332188,0.01435529297707,6.147306698780294,0.0,7.03342300153745,3.584962500721156,6.365797502459385,5.452529544677926,6.734167661150761,4.699329525673156,4.803743668505225,0.0,5.149747119504682,2.4620523187964327,0.0,0.0,0.0,0.0,0.0,0.0426443374084937,0.0,0.1110313123887439,0.0426443374084937,0.1634987322828795,5.5858639034626885,0.2509615735332188,0.070389327891398,0.137503523749935,0.0426443374084937,0.5058909297299572,2.55581615506164,4.2712762591759255,5.13709360897494,5.260778431893426,6.342696959981934,4.474436043252266,5.3269687115878925,0.0,0.0,0.2016338611696504,0.0426443374084937,0.2387868595871164,0.0,0.0565835283663675,0.0,5.032100843167024,0.0,0.0426443374084937
ACH-000837,3.2883585621936606,0.1763227726404629,0.0,0.1763227726404629,0.0285691521967709,6.58014548442338,0.0285691521967709,5.877253453876608,0.925999418556223,7.011674533380918,2.0107798387532423,7.464178137886827,4.541638734436141,5.021035479511363,0.01435529297707,3.926948247949772,2.500802053057157,0.01435529297707,0.0,0.01435529297707,0.0,0.0285691521967709,0.137503523749935,0.0,0.137503523749935,0.0,0.1763227726404629,5.223422549934937,1.948600847493356,0.0,0.070389327891398,0.0,0.1890338243900171,0.7311832415722002,3.6926503700355298,5.260402093025793,6.052676724303575,7.579315937580014,3.699329525673156,6.597531174224212,0.01435529297707,0.0,1.0840642647884746,0.0,0.2868811477881615,0.0,0.01435529297707,0.0,4.282439805006387,0.3673710656485294,0.0285691521967709
