,SOS2 (6655),CALM2 (805),E2F1 (1869),PRKCB (5579),RAF1 (5894),SHC1 (6464),PRKCA (5578),CALM1 (801),IGF1 (3479),MTOR (2475),IGF1R (3480),PRKCG (5582),PDGFRB (5159),MAP2K2 (5605),TGFA (7039),BRAF (673),MAP2K1 (5604),MDM2 (4193),RB1 (5925),AKT1 (207),SHC4 (399694),AKT2 (208),NRAS (4893),AKT3 (10000),GRB2 (2885),MAPK3 (5595),SOS1 (6654),MAPK1 (5594),PIK3R5 (23533),HRAS (3265),EGFR (1956),KRAS (3845),CDKN2A (1029),SHC3 (53358),CDKN1A (1026),EGF (1950),ARAF (369),CALML5 (51806),CCND1 (595),PTEN (5728),PIK3R3 (8503),PDGFA (5154),CAMK2A (815),PDGFB (5155),CAMK2B (816),PDGFRA (5156),CAMK2D (817),CAMK2G (818),CDK4 (1019),TP53 (7157),E2F3 (1871),CALML3 (810),E2F2 (1870),PIK3CA (5290),PIK3CB (5291),CDK6 (1021),PIK3CD (5293),PLCG1 (5335),SHC2 (25759),PLCG2 (5336),CALM3 (808),PIK3CG (5294),PIK3R1 (5295),PIK3R2 (5296),CALML6 (163688)
ACH-000694,3.690417095532466,9.36640964765943,4.4886435398537845,0.7824085649273732,5.314696525656286,5.696828464588713,2.9392265777282085,8.70611608424485,0.2141248053528473,4.768713657030485,4.260778431893426,0.1243281350022017,0.01435529297707,6.606886339275915,3.748461233004035,2.839959587489532,5.308156975114762,4.12350066435096,4.460742563789644,6.6849589615938525,0.4222330006830478,5.04788732939655,3.836934011321092,2.277984747299765,5.8671551631075145,5.515384460636948,3.5459683691052923,5.699051844016849,0.1763227726404629,6.421896512042248,5.286511557664227,3.932628157022127,0.2986583155645151,0.137503523749935,6.510803720358323,1.3673710656485294,5.5906618959652645,4.15623479785027,8.687235694107043,4.558267634055736,3.077242998932461,4.985044962253466,1.0908534304511135,2.3103401206121505,0.2630344058337938,0.01435529297707,3.855989697308481,4.989139007368233,6.9478998862482655,4.349789870241872,3.27500704749987,1.3617683594191536,3.8708578643637614,3.3146965256562866,4.404630684217612,4.128458384146928,0.4222330006830478,4.993221467368938,1.0214797274104517,2.84197311892718,6.999774561287003,0.0285691521967709,2.6599245584023783,3.451540833017832,0.3219280948873623
ACH-000619,3.212569338850806,8.67302633970603,4.533563348214512,0.0285691521967709,5.661920579135087,6.485587833257222,3.189033824390017,7.240123484034022,0.0,4.390254956321868,3.9945797242157473,0.0426443374084937,0.2986583155645151,5.846493315964563,4.836934011321092,2.6622054996536164,5.237257770900372,4.3729520979118295,3.723558561472103,6.011003564432669,0.0285691521967709,5.7238315664953205,4.141596278383818,1.4436066514756147,5.266411766036114,5.140369670651527,2.839959587489532,4.939226577728209,0.0,6.264348763351165,5.44857062600553,3.625270489374693,0.3673710656485294,0.0840642647884745,5.568032104771279,0.4854268271702416,4.842978831788326,2.350497247084133,7.834723855003643,4.003602236680195,2.2898344651775093,3.145677455195635,1.6040713236688608,3.097610796626422,0.1634987322828795,0.0,2.8318772411916733,4.555202633878297,6.609400390006429,5.808899839257769,3.177917792195843,4.093391153253013,2.3950627995175777,3.702657543390911,3.831877241191673,4.588564737401351,1.565597175854225,5.624100894628114,0.0,3.10936055940423,7.595593169744556,0.0,2.097610796626422,2.771885578515366,0.3895668117627256
ACH-000647,3.203201156316611,11.02396221945364,4.915520900751958,0.070389327891398,6.998985248258895,8.42097076340615,3.090853430451113,7.656067273725599,0.2630344058337938,5.459759466619821,4.959770155211468,1.4489009511451278,1.070389327891398,6.433627167084783,5.3348542693316325,3.624100894628114,5.667040559022988,5.368419155081396,2.855989697308481,5.883865154509794,0.2016338611696504,6.14649230697719,5.439623137557117,3.842978831788325,6.017699252693033,5.057016965365539,4.40735275114004,7.632922515461243,0.963474123974886,4.888499735514123,6.238022517825721,4.05484847699562,7.060155495254604,0.2141248053528473,7.260778431893426,1.879705766282288,4.754353071692127,0.0426443374084937,7.194362890727586,5.087462841250339,3.346247774082776,3.894332742277694,0.070389327891398,4.396433531250992,1.1890338243900171,0.2509615735332188,3.61706334388818,6.12536180635178,7.29746657376321,6.36562255611334,4.071247819461443,2.1009776477248208,2.786596361890807,3.739848102699328,4.072105800480419,4.611762560064872,2.920293300211007,5.500483401473115,0.5058909297299572,2.920293300211007,7.933572638261024,0.0426443374084937,1.3391373849195856,3.682573297347578,0.5945485495503542
ACH-000231,4.017031080527841,9.343008005345,4.743084055549586,0.137503523749935,6.630085070002124,8.024973407408652,3.902073579310743,8.675392543042777,0.0565835283663675,5.618238655595454,4.807870078299782,0.3103401206121505,2.389566811762726,6.767522386228545,4.214901910160696,3.264536430999025,6.534964249804655,3.902073579310743,2.269033146455237,7.173926931999809,1.4168397419128294,6.170926525287385,5.813524689297811,4.519793486241101,5.153805336079036,4.910732661902912,3.266036893995317,5.727103603522661,0.0,5.609400390006429,3.665620164066381,4.379898163524692,9.013266835091237,0.7484612330040357,4.877744249949002,2.931683057059806,6.304693557471008,0.0426443374084937,7.03375335188982,3.619413010597937,4.640967910449898,3.568032104771279,0.4854268271702416,4.981396031972149,1.3561438102252754,0.933572638261024,3.451540833017832,4.514753498439753,7.297191416565856,6.468420401864552,4.82781902461732,0.0,2.130930869826449,3.613531652917927,4.36667191611176,4.0866139474094965,3.2387868595871163,6.075532631167357,0.879705766282288,0.1505596765753814,8.06544306293743,0.1110313123887439,4.907371413823563,4.118525848935668,0.4005379295837288
ACH-000837,3.137503523749935,10.097768793418616,4.4809113460477485,0.2141248053528473,5.39746072605472,5.93451650158608,2.448900951145128,8.222263603528345,0.0285691521967709,4.860962797858116,4.66732447027863,0.7990873060740036,0.1505596765753814,6.506049668250324,6.176123271147939,2.5921580021253603,6.855491443101874,4.865423978313134,3.871843648509318,6.476381687567235,0.2387868595871164,5.273515889702116,1.292781749227846,3.970853654340484,5.350850805483376,4.9740703670240265,3.2539892662307865,5.241840183564671,0.0285691521967709,5.502712485966061,5.237640195035385,4.522306892871389,0.3561438102252753,0.2750070474998698,4.998195503153252,0.722466024471091,4.590362488463746,0.070389327891398,8.493455200926176,5.101818134227409,3.8083850506560935,4.064365540263628,0.0,4.174725987706133,0.2387868595871164,0.0976107966264223,4.773468927905194,4.28835856219366,6.90977310414164,5.7753139752538125,3.998195503153252,0.0,1.4168397419128294,3.1842802944193824,4.20945336562895,4.434294617959925,0.6507645591169022,4.221877081077034,0.3561438102252753,2.4620523187964327,7.622198278523645,0.0285691521967709,2.1667154449664223,3.344828496997441,0.2141248053528473
