,CASP9 (842),RAF1 (5894),PRKCB (5579),PRKCA (5578),PPP3R2 (5535),PPP3CC (5533),PPP3R1 (5534),SH2D2A (9047),PLA2G3 (50487),SPHK1 (8877),BAD (572),PRKCG (5582),JMJD7-PLA2G4B (8681),PLA2G6 (8398),RAC2 (5880),PTK2 (5747),PLA2G2E (30814),PLA2G10 (8399),NOS3 (4846),MAPK11 (5600),MAP2K2 (5605),PLA2G2A (5320),RAC3 (5881),PLA2G4A (5321),PTGS2 (5743),PLA2G5 (5322),MAPK13 (5603),PLA2G12B (84647),MAP2K1 (5604),KDR (3791),PLA2G4B (100137049),AKT1 (207),PLA2G2F (64600),AKT2 (208),NRAS (4893),AKT3 (10000),CHP2 (63928),NFAT5 (10725),MAPK3 (5595),RAC1 (5879),PLA2G1B (5319),MAPK1 (5594),MAPKAPK3 (7867),PIK3R5 (23533),HRAS (3265),NFATC4 (4776),MAPK14 (1432),MAPK12 (6300),NFATC3 (4775),MAPKAPK2 (9261),KRAS (3845),SPHK2 (56848),HSPB1 (3315),VEGFA (7422),PXN (5829),PLA2G4E (123745),SRC (6714),PIK3R3 (8503),PPP3CB (5532),PPP3CA (5530),PIK3CA (5290),PIK3CB (5291),PIK3CD (5293),PLA2G2C (391013),PLCG1 (5335),SHC2 (25759),PLA2G2D (26279),PLCG2 (5336),PLA2G12A (81579),NFATC2 (4773),NFATC1 (4772),PIK3CG (5294),PIK3R1 (5295),CDC42 (998),PIK3R2 (5296),CHP1 (11261)
ACH-000694,2.713695814843359,5.314696525656286,0.7824085649273732,2.9392265777282085,0.01435529297707,2.963474123974886,4.51853513898218,1.9708536543404835,0.0426443374084937,2.568032104771279,5.883865154509794,0.1243281350022017,3.3362833878644325,4.514753498439753,5.221877081077034,5.953730849811491,0.0,3.297191416565856,0.2630344058337938,2.2387868595871168,6.606886339275915,3.40735275114004,2.5310694927259543,3.4168397419128294,2.983677694698067,0.0976107966264223,3.944858445807539,0.0,5.308156975114762,0.1763227726404629,2.925999418556223,6.6849589615938525,1.144046369616707,5.04788732939655,3.836934011321092,2.277984747299765,4.379898163524692,3.422233000683048,5.515384460636948,8.045268215138533,0.0,5.699051844016849,4.099295204337775,0.1763227726404629,6.421896512042248,0.7136958148433591,4.922197848396367,4.017031080527841,3.473786911614367,5.441284271927038,3.932628157022127,2.983677694698067,11.36927016744954,4.222650022451478,6.214707673197644,1.38404980679516,5.181897643108388,3.077242998932461,3.925049964727359,3.814550423461808,3.3146965256562866,4.404630684217612,0.4222330006830478,0.0,4.993221467368938,1.0214797274104517,0.01435529297707,2.84197311892718,4.884597920990064,0.1763227726404629,0.9107326619029126,0.0285691521967709,2.6599245584023783,7.332886916959597,3.451540833017832,5.520736526937641
ACH-000619,3.303050084681673,5.661920579135087,0.0285691521967709,3.189033824390017,0.0,2.298658315564515,4.461397589926158,1.9855004303048849,0.01435529297707,3.868884273028773,5.73579292798531,0.0426443374084937,2.269033146455237,2.9523335663696857,5.340562269026414,5.840966704487421,0.0426443374084937,1.9597701552114672,0.6135316529179271,1.8914191868460783,5.846493315964563,0.5260688116675876,3.811471030529836,1.097610796626422,2.4776773275653072,0.0285691521967709,4.349082146391089,0.0,5.237257770900372,0.0,2.6803243568440163,6.011003564432669,0.4646682670034443,5.7238315664953205,4.141596278383818,1.4436066514756147,0.2016338611696504,3.792855352362489,5.140369670651527,7.803227036434928,0.0,4.939226577728209,3.605257262939004,0.0,6.264348763351165,1.6690267655096307,4.4269356196483365,4.522306892871389,2.873813198359087,4.841469999465799,3.625270489374693,3.0089887832272546,8.508111681193466,5.087038456766948,6.01992426090841,0.137503523749935,4.937344392150233,2.2898344651775093,3.1538053360790355,3.3757345385831563,3.702657543390911,3.831877241191673,1.565597175854225,0.1505596765753814,5.624100894628114,0.0,0.01435529297707,3.10936055940423,3.399171093819823,0.6780719051126377,2.1473066987802936,0.0,2.097610796626422,6.759555343206311,2.771885578515366,5.165911938935689
ACH-000647,3.2387868595871163,6.998985248258895,0.070389327891398,3.090853430451113,0.0,3.38404980679516,5.338780943894699,3.0268000593437154,0.01435529297707,4.597531174224212,6.10454633862346,1.4489009511451278,1.2690331464552371,2.241840183564671,5.494415610397496,6.17672169288105,0.0,0.4329594072761063,0.2630344058337938,2.2357270598380583,6.433627167084783,0.0,6.505573400282018,1.3219280948873624,0.9855004303048848,0.0285691521967709,5.284292026394312,0.0285691521967709,5.667040559022988,0.0426443374084937,2.028569152196771,5.883865154509794,0.1110313123887439,6.14649230697719,5.439623137557117,3.842978831788325,0.0285691521967709,3.979110755015786,5.057016965365539,8.615298579092116,0.0,7.632922515461243,5.6884601404244926,0.963474123974886,4.888499735514123,3.1651079851445365,5.48058827023386,4.325530331567558,3.760220946466509,6.12907690293063,4.05484847699562,3.0789513413948217,7.9217814432688,5.600507645345786,8.342963574398725,0.0,4.310340120612151,3.346247774082776,5.780047576061869,4.912649864897204,3.739848102699328,4.072105800480419,2.920293300211007,0.0,5.500483401473115,0.5058909297299572,0.0,2.920293300211007,5.018812185742817,1.7990873060740036,1.7484612330040354,0.0426443374084937,1.3391373849195856,7.894878379473196,3.682573297347578,5.60733031374961
ACH-000231,3.791814071161826,6.630085070002124,0.137503523749935,3.902073579310743,0.0285691521967709,4.038260575175349,4.714795011118162,0.1110313123887439,0.0426443374084937,4.1969217338203295,5.783194703376154,0.3103401206121505,2.316145742293356,3.158660175346498,3.300123724569014,5.589164236699772,0.0,0.1243281350022017,0.0426443374084937,3.381283372503784,6.767522386228545,0.1110313123887439,2.405992359675837,1.713695814843359,0.4854268271702416,0.0,2.16349873228288,0.0976107966264223,6.534964249804655,0.3334237337251918,1.6825732973475784,7.173926931999809,0.0,6.170926525287385,5.813524689297811,4.519793486241101,0.0,4.493134922305505,4.910732661902912,7.693626341591109,0.1763227726404629,5.727103603522661,5.110196177754199,0.0,5.609400390006429,0.9486008474933558,5.314696525656286,4.357552004618084,4.196134880765161,6.033202725937223,4.379898163524692,4.093391153253013,9.54457811733884,7.2457428347537025,7.273888823668492,0.0,4.88508622529017,4.640967910449898,4.622930350920177,4.517275693209582,3.613531652917927,4.36667191611176,3.2387868595871163,0.01435529297707,6.075532631167357,0.879705766282288,0.0,0.1505596765753814,4.3384244147835584,0.2141248053528473,0.6690267655096305,0.1110313123887439,4.907371413823563,8.468664767679588,4.118525848935668,5.811214117513239
ACH-000837,3.075532631167357,5.39746072605472,0.2141248053528473,2.448900951145128,0.01435529297707,2.673556423990145,5.234577959784565,0.1110313123887439,0.0,4.1945598860226125,6.394719912994065,0.7990873060740036,2.1076878693143737,1.4382928515791469,0.7048719644563528,7.118214352650125,0.0,0.0565835283663675,0.925999418556223,1.7990873060740036,6.506049668250324,0.2265085298086797,4.032100843167024,3.286881147788161,2.438292851579147,0.0,5.851749041416057,0.0,6.855491443101874,0.0285691521967709,2.4329594072761065,6.476381687567235,0.0,5.273515889702116,1.292781749227846,3.970853654340484,0.0,3.933572638261024,4.9740703670240265,7.658711339973922,0.0,5.241840183564671,6.043300754364182,0.0285691521967709,5.502712485966061,1.807354922057604,4.268284666520996,3.2854022188622483,3.6644828403646814,4.978195629681651,4.522306892871389,3.232660756790275,7.229587922740652,5.189429245809757,7.211888294546004,0.0,5.888012585402829,3.8083850506560935,4.368768349090335,3.805292455600712,3.1842802944193824,4.20945336562895,0.6507645591169022,0.0,4.221877081077034,0.3561438102252753,0.0,2.4620523187964327,6.2049623305425134,0.3561438102252753,2.1076878693143737,0.0285691521967709,2.1667154449664223,7.199574198978244,3.344828496997441,5.211401637418471
