,GLUD2 (2747),GFPT2 (9945),AGXT2 (64902),CPS1 (1373),GLS2 (27165),ABAT (18),ADSS2 (159),ADSL (158),GLUD1 (2746),GLS (2744),ASL (435),IL4I1 (259307),GPT (2875),GFPT1 (2673),GPT2 (84706),DDO (8528),ADSS1 (122622),ACY3 (91703),GAD1 (2571),GAD2 (2572),GOT2 (2806),AGXT (189),GLUL (2752),NIT2 (56954),GOT1 (2805),ALDH4A1 (8659),CAD (790),ALDH5A1 (7915),ASS1 (445),ASNS (440),PPAT (5471),ASPA (443)
ACH-000694,0.8559896973084807,0.7824085649273732,0.0,0.5459683691052926,0.8718436485093178,2.778208576398088,5.6656201640663815,6.151371776253954,6.569855608330948,4.560103513464738,3.558267634055736,0.4005379295837288,1.6599245584023783,3.2249663650002742,3.645009884391095,0.3561438102252753,3.5096958419333872,1.3334237337251915,2.454175893185802,0.0426443374084937,7.534808661231747,0.4329594072761063,7.830673649131837,4.2433644256936605,5.512858954449976,3.926948247949772,5.401903471607959,3.564378168565064,8.322423936089843,5.093813673402728,4.107687869314374,0.5160151470036647
ACH-000619,0.7484612330040357,1.7570232465074596,0.0,0.2016338611696504,0.7570232465074596,2.3015876466031866,4.763411574470007,5.0457050645108,5.639232163249277,4.9740703670240265,4.329123596291566,1.2265085298086795,0.8718436485093178,3.6959938131099,3.351910961103077,0.0285691521967709,3.440952198029637,1.1043366598147355,2.0461417816447205,0.0,6.107897061664612,0.137503523749935,7.700092874758994,5.453188309548226,4.191404728852764,2.7224660244710908,4.401220862160216,1.819668183496456,6.866907978143166,4.984133594540979,3.468583317006828,0.0
ACH-000647,0.918386234446348,2.7441610955704103,0.0,0.2509615735332188,2.752748591407134,2.7420062108667365,5.285032249622911,6.511120100851014,6.656210320182599,5.311067102255596,5.411765185006983,0.9560566524124028,0.6507645591169022,4.674121632632394,4.181897643108388,0.0,2.472487771462744,0.3103401206121505,4.351910961103077,0.1505596765753814,6.581200581924957,0.137503523749935,6.949534933017012,6.827310943949667,5.596040632671138,5.098032082960526,6.337175868586299,3.264536430999025,6.77623561482759,5.770036138597918,4.767125077269071,0.0
ACH-000231,0.6870606883398922,4.097610796626422,0.0,3.582556003014061,0.4329594072761063,1.6182386555954549,5.269407240854037,6.054631448782967,5.728192635498048,6.9804823555382605,4.357552004618084,2.4276061727818994,0.8318772411916731,3.71699089440494,4.901108243014512,2.5801454844233804,1.5945485495503542,0.2016338611696504,4.266786540694901,0.0,6.549977142771825,0.0,4.358255586705128,4.857483428286672,4.4329594072761065,3.2249663650002742,4.121844297876376,2.327687364176047,4.642701571833233,5.632849830117706,3.8083850506560935,0.0
ACH-000837,0.6135316529179271,0.8399595874895318,0.0426443374084937,0.6135316529179271,0.0426443374084937,0.2265085298086797,5.47735352663456,6.324450604656073,5.63575439127776,5.482848283068465,6.182493674945368,0.6507645591169022,0.4541758931858021,4.5915597458278015,4.18824265626441,0.0,1.250961573533219,0.0,3.513490745588118,0.0,6.724650271732967,0.0840642647884745,5.66760832567372,5.308521062193259,4.514122260170708,2.6982184782244136,6.1836850003977775,2.1176950426697547,3.065227622775619,5.048323386537814,4.398487190018967,0.0
