,AACS (65985),PDHB (5162),ALDH1B1 (219),ACADS (35),PDHA1 (5160),ABAT (18),PDHA2 (5161),ALDH2 (217),ACAT2 (39),ACAT1 (38),OXCT1 (5019),HADH (3033),BDH1 (622),HADHA (3030),ACSM1 (116285),HMGCL (3155),AKR1B10 (57016),ECHS1 (1892),ALDH9A1 (223),GAD1 (2571),ALDH3A2 (224),ACSM3 (6296),GAD2 (2572),ACSM4 (341392),HMGCS2 (3158),EHHADH (1962),HMGCS1 (3157),ALDH7A1 (501),ALDH5A1 (7915),BDH2 (56898),OXCT2 (64064),ACSM2A (123876),ACSM5 (54988),L2HGDH (79944)
ACH-000694,4.621172752683435,5.26566192452189,3.2047667506546134,3.249445341085839,7.948191994824227,2.778208576398088,0.0,6.519321734629434,4.70984201927331,4.361768359419154,3.787641414483326,5.642990312961163,5.354028938054387,6.359661722333877,0.3103401206121505,4.654779216959517,5.973611275519472,6.333244816996384,5.144862142915734,2.454175893185802,6.063287212206184,0.8318772411916731,0.0426443374084937,0.0,0.0565835283663675,3.654206377944292,5.61559285651096,0.6690267655096305,3.564378168565064,4.531693360861466,0.3219280948873623,0.0,0.0,4.021479727410452
ACH-000619,4.2471680003747725,4.3729520979118295,2.8579809951275723,3.303050084681673,6.8963929564708994,2.3015876466031866,0.0,4.727375938594897,4.862451391325582,4.152994605492435,3.493134922305505,4.804260115634738,4.7349805234358895,5.901108243014512,0.070389327891398,4.458775699080244,2.839959587489532,5.2731428593080825,4.9453267772646265,2.0461417816447205,5.6544928258834615,0.6599245584023783,0.0,0.0,0.0,3.00539998774259,5.817111572795697,6.046796609573758,1.819668183496456,3.800123352826528,0.7398481026993274,0.0,0.0565835283663675,3.4462562298895643
ACH-000647,5.161887682376894,6.028127082317139,4.534186139090097,3.4154882710497003,7.16400181665555,2.7420062108667365,0.0,5.398487190018967,5.680886920719692,5.948834425578686,6.357552004618084,5.339137384919585,5.492173659610827,7.528493181191486,0.0426443374084937,4.71259578044703,1.1890338243900171,6.79259510251225,5.203201156316611,4.351910961103077,5.317231700222606,1.1505596765753812,0.1505596765753814,0.0,0.1110313123887439,2.956056652412403,6.081297014138268,5.35508676166836,3.264536430999025,3.7224660244710894,1.541019153133559,0.0,0.070389327891398,4.726286289720674
ACH-000231,4.489928219405183,6.274261661257048,5.266411766036114,2.780310099043376,7.81082866218542,1.6182386555954549,0.0,1.8914191868460783,5.62993940943954,4.621758856709732,5.234194722953812,4.84749588378871,3.656496370553495,5.913846824263042,0.0976107966264223,4.821199978056451,1.2141248053528475,6.778208576398088,5.255878352582786,4.266786540694901,4.408032466130653,0.3673710656485294,0.0,0.0,0.0,0.6780719051126377,5.967168607532628,6.725468512632615,2.327687364176047,4.307428525192248,0.6959938131099002,0.0,0.1505596765753814,3.2094533656289497
ACH-000837,3.023255352300303,5.696272083925863,3.942045259916047,0.2630344058337938,6.748863714535698,0.2265085298086797,0.0,0.411426245726465,5.222263603528345,5.854743738995535,4.332707933640605,5.032100843167024,4.752213367865143,6.606146078065724,0.0840642647884745,4.423578170981798,1.713695814843359,6.631831850610098,5.565597175854225,3.513490745588118,7.494015517480295,0.4854268271702416,0.0,0.0,0.01435529297707,1.752748591407134,4.785550551739256,5.829342193902803,2.1176950426697547,0.933572638261024,0.4005379295837288,0.0,0.0,4.03121873061072
