,CASP9 (842),E2F1 (1869),STAT3 (6774),CHUK (1147),RAF1 (5894),ARHGEF6 (9459),STAT1 (6772),RAD51 (5888),BAD (572),PGF (5228),MAPK9 (5601),MAPK10 (5602),ERBB2 (2064),RAC2 (5880),BRCA2 (675),TGFA (7039),BRAF (673),RAC3 (5881),MAP2K1 (5604),IKBKB (3551),RB1 (5925),JAK1 (3716),AKT1 (207),AKT2 (208),AKT3 (10000),SMAD3 (4088),MAPK3 (5595),SMAD4 (4089),NFKB1 (4790),RAC1 (5879),SMAD2 (4087),MAPK1 (5594),PIK3R5 (23533),IKBKG (8517),MAPK8 (5599),EGFR (1956),RELA (5970),KRAS (3845),CDKN2A (1029),EGF (1950),TGFB2 (7042),TGFB1 (7040),VEGFA (7422),ARAF (369),VEGFC (7424),VEGFB (7423),TGFBR2 (7048),TGFBR1 (7046),TGFB3 (7043),CCND1 (595),PIK3R3 (8503),RALB (5899),BCL2L1 (598),RALA (5898),CDK4 (1019),VEGFD (2277),RALBP1 (10928),RALGDS (5900),TP53 (7157),E2F3 (1871),E2F2 (1870),PIK3CA (5290),PIK3CB (5291),CDK6 (1021),PIK3CD (5293),PLD1 (5337),PIK3CG (5294),PIK3R1 (5295),CDC42 (998),PIK3R2 (5296)
ACH-000694,2.713695814843359,4.4886435398537845,5.1838834590322325,3.8609627978581167,5.314696525656286,0.1763227726404629,5.134220939760634,4.380590934265922,5.883865154509794,0.6507645591169022,4.504620392403552,3.0942360698457656,6.560409266362118,5.221877081077034,3.119356177039676,3.748461233004035,2.839959587489532,2.5310694927259543,5.308156975114762,3.9523335663696857,4.460742563789644,5.2106226443969055,6.6849589615938525,5.04788732939655,2.277984747299765,6.167317780946596,5.515384460636948,4.272769732436511,4.956056652412403,8.045268215138533,5.3466023752989855,5.699051844016849,0.1763227726404629,4.668459556915382,4.2433644256936605,5.286511557664227,5.23189316164533,3.932628157022127,0.2986583155645151,1.3673710656485294,3.1811025507537978,3.4594316186372973,4.222650022451478,5.5906618959652645,1.4276061727818994,3.765534746362977,4.506525779043123,3.4982508675278257,2.16349873228288,8.687235694107043,3.077242998932461,5.559491813205038,5.644144699932848,4.7938958825488776,6.9478998862482655,1.4436066514756147,5.55028504908841,5.148120631123964,4.349789870241872,3.27500704749987,3.8708578643637614,3.3146965256562866,4.404630684217612,4.128458384146928,0.4222330006830478,4.595145567990858,0.0285691521967709,2.6599245584023783,7.332886916959597,3.451540833017832
ACH-000619,3.303050084681673,4.533563348214512,5.779522386743769,3.007195501404204,5.661920579135087,0.0565835283663675,7.098663781886574,4.635173946674924,5.73579292798531,1.6182386555954549,4.349082146391089,2.2448870591235344,5.199672344836364,5.340562269026414,2.292781749227846,4.836934011321092,2.6622054996536164,3.811471030529836,5.237257770900372,4.579542224936903,3.723558561472103,5.263785613890803,6.011003564432669,5.7238315664953205,1.4436066514756147,5.279099802133753,5.140369670651527,3.9001422603598166,4.135042286233651,7.803227036434928,4.551516017628014,4.939226577728209,0.0,4.3269687115878925,4.37016428054021,5.44857062600553,5.606738317417591,3.625270489374693,0.3673710656485294,0.4854268271702416,3.609991295212679,4.394376944957055,5.087038456766948,4.842978831788326,2.693765712217783,4.819157223674968,4.046141781644721,4.561937059622433,0.918386234446348,7.834723855003643,2.2898344651775093,5.758622982440239,5.886306263452426,4.6865005271832185,6.609400390006429,0.1505596765753814,4.904965718684027,5.05484847699562,5.808899839257769,3.177917792195843,2.3950627995175777,3.702657543390911,3.831877241191673,4.588564737401351,1.565597175854225,4.110196177754199,0.0,2.097610796626422,6.759555343206311,2.771885578515366
ACH-000647,3.2387868595871163,4.915520900751958,6.8378171266725465,4.220329954879555,6.998985248258895,0.84799690655495,6.081510068120917,4.291308859828971,6.10454633862346,3.1243281350022016,5.062639828286463,1.2387868595871168,5.468583317006828,5.494415610397496,3.1811025507537978,5.3348542693316325,3.624100894628114,6.505573400282018,5.667040559022988,2.6182386555954547,2.855989697308481,5.647890091059215,5.883865154509794,6.14649230697719,3.842978831788325,5.816599706534912,5.057016965365539,3.396433531250992,4.542877099354142,8.615298579092116,5.241840183564671,7.632922515461243,0.963474123974886,5.005849075696688,6.341096237957642,6.238022517825721,5.059614856297222,4.05484847699562,7.060155495254604,1.879705766282288,6.519479002307236,4.682573297347578,5.600507645345786,4.754353071692127,1.3448284969974411,4.5777309314900805,6.071247819461442,4.119356177039675,1.070389327891398,7.194362890727586,3.346247774082776,6.154007947559024,7.255028569818729,5.914325330085303,7.29746657376321,0.070389327891398,6.6471705782814015,4.520422248526446,6.36562255611334,4.071247819461443,2.786596361890807,3.739848102699328,4.072105800480419,4.611762560064872,2.920293300211007,3.569248029867182,0.0426443374084937,1.3391373849195856,7.894878379473196,3.682573297347578
ACH-000231,3.791814071161826,4.743084055549586,5.778734244117836,4.416839741912829,6.630085070002124,3.875780063068488,7.473705749619415,4.4809113460477485,5.783194703376154,0.7136958148433591,5.15704371014558,0.7990873060740036,4.118525848935668,3.300123724569014,2.4620523187964327,4.214901910160696,3.264536430999025,2.405992359675837,6.534964249804655,4.7300964655954685,2.269033146455237,5.932628157022127,7.173926931999809,6.170926525287385,4.519793486241101,5.28318097894557,4.910732661902912,5.77663042305105,4.485426827170242,7.693626341591109,6.0259146987507926,5.727103603522661,0.0,5.698218478224414,5.320484678017694,3.665620164066381,5.421896512042248,4.379898163524692,9.013266835091237,2.931683057059806,7.159467729266766,6.20124177119825,7.2457428347537025,6.304693557471008,4.278728212938939,4.301587646603187,4.4121040446775694,5.255878352582786,3.8011586560936985,7.03375335188982,4.640967910449898,5.159064008810545,6.1661128574014255,5.455491620628468,7.297191416565856,0.3561438102252753,5.388533979091799,4.642701571833233,6.468420401864552,4.82781902461732,2.130930869826449,3.613531652917927,4.36667191611176,4.0866139474094965,3.2387868595871163,2.51096191927738,0.1110313123887439,4.907371413823563,8.468664767679588,4.118525848935668
ACH-000837,3.075532631167357,4.4809113460477485,5.4239142676731,3.150559676575381,5.39746072605472,0.0976107966264223,4.903038270112912,5.034303767768035,6.394719912994065,0.3219280948873623,4.828834649468056,0.6135316529179271,5.317593504623472,0.7048719644563528,3.211012193485512,6.176123271147939,2.5921580021253603,4.032100843167024,6.855491443101874,4.456806149230474,3.871843648509318,4.719731056749852,6.476381687567235,5.273515889702116,3.970853654340484,6.459267666703387,4.9740703670240265,4.654206377944292,4.630521963471638,7.658711339973922,6.018589667805939,5.241840183564671,0.0285691521967709,4.053111336459563,4.402585758232587,5.237640195035385,6.127014141582809,4.522306892871389,0.3561438102252753,0.722466024471091,1.144046369616707,3.62993940943954,5.189429245809757,4.590362488463746,3.075532631167357,5.253611151947168,5.144454313926194,2.908812907739547,1.2868811477881614,8.493455200926176,3.8083850506560935,5.873813198359088,6.868266971645478,4.1001366712854495,6.90977310414164,0.3334237337251918,4.886550147324343,3.13586316536868,5.7753139752538125,3.998195503153252,1.4168397419128294,3.1842802944193824,4.20945336562895,4.434294617959925,0.6507645591169022,3.2078928516413328,0.0285691521967709,2.1667154449664223,7.199574198978244,3.344828496997441
