,QDPR (5860),ALPP (250),ALPG (251),DHFR (1719),GGH (8836),GCH1 (2643),FPGS (2356),SPR (6697),ALPL (249),PTS (5805),ALPI (248)
ACH-000694,3.614709844115208,7.059723000297939,7.683556107495676,5.553360503335328,5.813524689297811,2.715893370547605,5.911931212309049,5.503666754576019,1.9523335663696857,4.2024177215751815,0.01435529297707
ACH-000619,4.07638806851284,5.5915597458278015,3.060047383669939,5.057883448899626,5.714245517666122,3.2047667506546134,5.523248292605209,4.670160514126633,0.5260688116675876,4.084914659767938,0.0
ACH-000647,4.501439145158873,6.513964407438903,1.3045110418099528,6.192391456913176,5.015693807105145,3.349082146391089,6.26134275618808,4.864928972289788,0.9560566524124028,5.5453506448223,0.01435529297707
ACH-000231,4.693208148910016,0.8318772411916731,0.0565835283663675,6.309248960816616,7.405652061280371,2.908812907739547,5.482202926295956,3.1667154449664223,0.6870606883398922,5.571373435973201,0.0
ACH-000837,5.565597175854225,1.933572638261024,0.2387868595871164,5.272396509037485,6.060263598738293,3.776103988073164,5.358255586705128,5.936402377725063,2.9011082430145123,5.22380865860602,0.0
