,CASP9 (842),SOS2 (6655),RAF1 (5894),ELK1 (2002),APC2 (10297),LEF1 (51176),BAD (572),ERBB2 (2064),MAP2K2 (5605),BRAF (673),MLH1 (4292),MAP2K1 (5604),PDPK1 (5170),ILK (3611),AKT1 (207),AKT2 (208),NRAS (4893),AKT3 (10000),GRB2 (2885),AXIN1 (8312),AXIN2 (8313),MAPK3 (5595),TCF7 (6932),CTNNA1 (1495),MYC (4609),SOS1 (6654),MAPK1 (5594),TCF7L2 (6934),PIK3R5 (23533),HRAS (3265),EGFR (1956),GSK3B (2932),KRAS (3845),CTNNA2 (1496),EGF (1950),CTNNB1 (1499),ARAF (369),CCND1 (595),PTEN (5728),PIK3R3 (8503),TCF7L1 (83439),FOXO3 (2309),APC (324),TP53 (7157),PIK3CA (5290),PIK3CB (5291),PIK3CD (5293),CTNNA3 (29119),PIK3CG (5294),PIK3R1 (5295),PIK3R2 (5296),CDH1 (999)
ACH-000694,2.713695814843359,3.690417095532466,5.314696525656286,3.880685525261125,0.3334237337251918,2.673556423990145,5.883865154509794,6.560409266362118,6.606886339275915,2.839959587489532,4.526068811667588,5.308156975114762,4.414135532984451,6.124121311829188,6.6849589615938525,5.04788732939655,3.836934011321092,2.277984747299765,5.8671551631075145,4.066089190457772,1.6690267655096307,5.515384460636948,0.722466024471091,7.757156625608085,6.625708843064466,3.5459683691052923,5.699051844016849,3.507160349117523,0.1763227726404629,6.421896512042248,5.286511557664227,5.105175192265479,3.932628157022127,0.01435529297707,1.3673710656485294,6.955591791753994,5.5906618959652645,8.687235694107043,4.558267634055736,3.077242998932461,1.9708536543404835,3.687060688339893,3.3936907641874536,4.349789870241872,3.3146965256562866,4.404630684217612,0.4222330006830478,0.0,0.0285691521967709,2.6599245584023783,3.451540833017832,7.048977225226046
ACH-000619,3.303050084681673,3.212569338850806,5.661920579135087,3.7355221772965375,0.070389327891398,0.4541758931858021,5.73579292798531,5.199672344836364,5.846493315964563,2.6622054996536164,3.969012307516316,5.237257770900372,3.6005076453457856,5.560103513464738,6.011003564432669,5.7238315664953205,4.141596278383818,1.4436066514756147,5.266411766036114,4.131754090984813,0.0565835283663675,5.140369670651527,2.84197311892718,7.058532970201611,6.233811384293157,2.839959587489532,4.939226577728209,3.097610796626422,0.0,6.264348763351165,5.44857062600553,3.977279923499916,3.625270489374693,0.01435529297707,0.4854268271702416,6.325530331567558,4.842978831788326,7.834723855003643,4.003602236680195,2.2898344651775093,1.9708536543404835,4.059182199211692,2.6644828403646823,5.808899839257769,3.702657543390911,3.831877241191673,1.565597175854225,0.0285691521967709,0.0,2.097610796626422,2.771885578515366,7.657497100444111
ACH-000647,3.2387868595871163,3.203201156316611,6.998985248258895,4.37016428054021,1.8155754288625725,1.722466024471091,6.10454633862346,5.468583317006828,6.433627167084783,3.624100894628114,5.338067797542616,5.667040559022988,4.7489978500981485,5.072534599722955,5.883865154509794,6.14649230697719,5.439623137557117,3.842978831788325,6.017699252693033,4.480265122054463,1.0565835283663676,5.057016965365539,3.4356285940520905,7.014690037951128,5.911212201558612,4.40735275114004,7.632922515461243,3.286881147788161,0.963474123974886,4.888499735514123,6.238022517825721,4.579542224936903,4.05484847699562,0.0,1.879705766282288,6.966707314150316,4.754353071692127,7.194362890727586,5.087462841250339,3.346247774082776,3.884597920990065,3.846994686965573,2.849999259466098,6.36562255611334,3.739848102699328,4.072105800480419,2.920293300211007,0.0,0.0426443374084937,1.3391373849195856,3.682573297347578,6.943218087426284
ACH-000231,3.791814071161826,4.017031080527841,6.630085070002124,5.967399198924614,1.2078928516413328,3.0143552929770703,5.783194703376154,4.118525848935668,6.767522386228545,3.264536430999025,5.534808661231747,6.534964249804655,4.4276061727819,6.410917687455214,7.173926931999809,6.170926525287385,5.813524689297811,4.519793486241101,5.153805336079036,3.9307373375628862,1.8914191868460783,4.910732661902912,2.7092906357233577,8.323189901088398,4.473786911614368,3.266036893995317,5.727103603522661,3.572889668420581,0.0,5.609400390006429,3.665620164066381,5.047014819517589,4.379898163524692,0.01435529297707,2.931683057059806,8.142617655446577,6.304693557471008,7.03375335188982,3.619413010597937,4.640967910449898,2.0669502439246266,4.144862142915734,3.708187236020709,6.468420401864552,3.613531652917927,4.36667191611176,3.2387868595871163,0.137503523749935,0.1110313123887439,4.907371413823563,4.118525848935668,1.7311832415722
ACH-000837,3.075532631167357,3.137503523749935,5.39746072605472,4.33199177823206,0.7484612330040357,2.485426827170241,6.394719912994065,5.317593504623472,6.506049668250324,2.5921580021253603,4.79025073883523,6.855491443101874,3.679198570566922,6.33646192818282,6.476381687567235,5.273515889702116,1.292781749227846,3.970853654340484,5.350850805483376,4.083213368248981,0.1634987322828795,4.9740703670240265,0.2868811477881615,7.998985248258895,5.2253520607761015,3.2539892662307865,5.241840183564671,3.9411063109464313,0.0285691521967709,5.502712485966061,5.237640195035385,4.95837871156634,4.522306892871389,0.070389327891398,0.722466024471091,7.651410525912998,4.590362488463746,8.493455200926176,5.101818134227409,3.8083850506560935,0.903038270112912,3.382667252745041,2.8439838440483265,5.7753139752538125,3.1842802944193824,4.20945336562895,0.6507645591169022,0.1763227726404629,0.0285691521967709,2.1667154449664223,3.344828496997441,8.442072641229416
