,RAD54L (8438),XRCC3 (7517),RAD51B (5890),NBN (4683),RAD52 (5893),RAD51D (5892),XRCC2 (7516),POLD4 (57804),BLM (641),EME1 (146956),RPA1 (6117),RAD51 (5888),POLD3 (10714),RAD50 (10111),RPA3 (6119),RPA2 (6118),RPA4 (29935),RAD51C (5889),MRE11 (4361),BRCA2 (675),POLD1 (5424),POLD2 (5425),MUS81 (80198),TOP3A (7156),RAD54B (25788),SEM1 (7979),TOP3B (8940),SSBP1 (6742)
ACH-000694,4.0522419811811385,4.795974694206668,4.394376944957055,4.150559676575382,4.1440463696167065,3.297191416565856,2.823749360308273,7.411765185006983,3.082361969557473,3.679198570566922,5.882398504053875,4.380590934265922,3.626439136697315,4.096767854714689,5.773996325111173,5.324810603420484,0.1505596765753814,4.984589350362456,3.4168397419128294,3.119356177039676,5.423578170981798,6.410408949851039,4.745775149485796,4.2630344058337934,2.9726926540042644,9.624027763463944,4.750070485865693,7.123190240457156
ACH-000619,3.775050541483175,4.866907978143166,3.9763636357327616,3.859969548221026,3.3405622690264134,3.658782734012828,3.077242998932461,7.264442600226602,3.1858665453113337,4.549053029337288,5.150965783556497,4.635173946674924,3.970853654340484,3.563158130402808,6.327866971402036,4.973611275519472,0.0,4.446256229889564,3.3673710656485296,2.292781749227846,5.580447019598664,6.7230123963923685,5.416164164733128,4.078097423026661,2.27500704749987,9.83070533547486,3.634593268445757,6.801546703356778
ACH-000647,4.159467729266766,4.809928865721431,3.408711861029429,4.770300489499416,2.978195629681652,4.248686626873828,3.2141248053528475,6.304876050044889,3.032100843167024,4.004501392234941,6.067165427017112,4.291308859828971,5.477677327565307,3.6959938131099,7.167719198601074,5.476381687567235,0.01435529297707,5.819157223674968,4.584962500721156,3.1811025507537978,5.780047576061869,8.340918270272116,4.58014548442338,5.070818637533277,3.82781902461732,9.56506398689928,5.286881147788161,8.441242766869687
ACH-000231,4.45022149589718,4.5915597458278015,2.954196310386876,4.621172752683435,2.38404980679516,3.6217588567097327,3.403267722339301,5.160678213220501,3.2203299548795554,3.628773595201645,5.205548911173033,4.4809113460477485,3.802193216941825,4.017921907997263,5.624978179569036,6.29020320512607,0.3103401206121505,4.957450336347116,4.003602236680195,2.4620523187964327,5.674121632632394,6.841469999465799,5.167518503735217,4.647890091059215,3.8135246892978105,8.993079908712994,4.377817853083645,7.912230694393633
ACH-000837,4.019701914442548,4.974529312483882,4.161887682376894,4.842476062993939,3.7980505147675134,3.612352498752662,2.550900664647523,6.295723024539968,3.311793717753649,4.502075956045791,5.608809242675524,5.034303767768035,4.387500406480984,4.363171077119244,5.297558281168186,5.400537929583729,0.070389327891398,5.434628227636725,4.715893370547605,3.211012193485512,4.926473911256073,6.5657494793688445,5.361768359419154,4.443606651475615,3.8308637567517576,9.128819218996016,3.5570424152637194,6.939109013042417
