,AMD1 (262),SRM (6723),ADI1 (55256),AHCY (191),DNMT1 (1786),SDS (10993),TRDMT1 (1787),DNMT3A (1788),DNMT3B (1789),LDHC (3948),IL4I1 (259307),SMS (6611),LDHB (3945),ENOPH1 (58478),BHMT (635),GOT2 (2806),CDO1 (1036),APIP (51074),GOT1 (2805),LDHAL6B (92483),TAT (6898),AHCYL1 (10768),MTAP (4507),MAT2B (27430),LDHA (3939),MTR (4548),CBS (875),MAT1A (4143),AHCYL2 (23382),CTH (1491),MAT2A (4144),MPST (4357),LDHAL6A (160287),DNMT3L (29947)
ACH-000694,5.522934560943456,5.447579196548882,5.601102203376409,7.458529652342904,6.638073837180719,0.0426443374084937,1.6415460290875237,2.333423733725192,3.358958825832329,0.0426443374084937,0.4005379295837288,6.497452695977238,9.170976583233674,5.015247773698937,0.2265085298086797,7.534808661231747,0.0426443374084937,4.544732655932624,5.512858954449976,0.3103401206121505,0.0426443374084937,5.341274183692175,4.723558561472103,5.896271848807375,9.353587949195417,3.341985747228616,3.607626220845488,0.3561438102252753,3.27500704749987,2.594548549550354,7.380157991538161,4.958842675243241,0.0285691521967709,0.0
ACH-000619,4.918863237274595,4.899175630480513,4.422233000683048,6.924575003392735,6.208478242211705,0.1110313123887439,1.3045110418099528,3.1292830169449664,2.634593268445757,0.2387868595871164,1.2265085298086795,6.33646192818282,8.146797757779183,4.1626934322112366,0.070389327891398,6.107897061664612,0.0426443374084937,4.381283372503783,4.191404728852764,0.1763227726404629,0.0426443374084937,5.481234349528531,3.925999418556223,5.944155663440363,8.932450997932952,2.533563348214512,2.969012307516316,0.01435529297707,2.3950627995175777,0.9411063109464316,7.115095685112966,4.121015400961366,0.0426443374084937,0.0
ACH-000647,5.9233869155047145,7.015916772106885,4.89287670006069,7.825085984755178,7.0,0.1110313123887439,2.82781902461732,4.521678951603199,2.8257856274647914,0.0,0.9560566524124028,6.853746197008764,8.958813681884365,5.615298579092115,0.0,6.581200581924957,1.5897634869849773,4.569248029867182,5.596040632671138,0.1763227726404629,0.070389327891398,6.111031312388744,5.021479727410452,5.455162801244506,9.424019281833829,3.343407822297814,5.256633295059924,0.1243281350022017,3.612352498752662,3.258518924711301,7.788946666577145,5.021923838554758,0.0840642647884745,0.0
ACH-000231,6.31922050252387,7.115511897172365,5.187451054027326,6.485909791535927,7.229876279124081,0.070389327891398,2.003602236680196,2.521050736900963,2.316145742293356,0.0,2.4276061727818994,8.65617455989802,9.03804103701151,4.747924416238441,0.01435529297707,6.549977142771825,0.3448284969974411,4.521678951603199,4.4329594072761065,0.5360529002402097,0.01435529297707,6.3159646698060286,5.357552004618084,5.941341105485299,10.762382038710392,3.752748591407134,4.857483428286672,0.01435529297707,3.3146965256562866,4.681449265314958,7.971198645384546,3.849999259466098,0.0840642647884745,0.0
ACH-000837,5.342696959981934,6.588114949388078,5.777945670695148,7.28123458464702,7.158256228811341,0.01435529297707,1.9297909977185967,2.403267722339301,4.075532631167357,0.1110313123887439,0.6507645591169022,6.883620816285672,11.11309098344238,6.075318692553354,0.3673710656485294,6.724650271732967,0.0976107966264223,4.6604951318885135,4.514122260170708,0.1890338243900171,0.2265085298086797,5.643278996311979,0.2016338611696504,5.10055722078293,10.31944632940715,3.0107798387532423,2.411426245726465,0.0426443374084937,2.070389327891398,1.0426443374084935,7.828390401568967,3.701549056943071,0.01435529297707,0.0
