,SLC25A10 (1468),GLUD2 (2747),PCK2 (5106),CA2 (760),CA4 (762),PCK1 (5105),GLS2 (27165),FXYD2 (486),MDH1 (4190),SLC38A3 (10991),ATP1A1 (476),GLUD1 (2746),ATP1A3 (478),SLC4A4 (8671),ATP1A2 (477),GLS (2744),ATP1B2 (482),ATP1B3 (483),ATP1A4 (480),ATP1B1 (481),AQP1 (358),ATP1B4 (23439),SLC9A3 (6550)
ACH-000694,4.890446692679906,0.8559896973084807,4.511594541537413,6.125981653854716,0.0,0.0565835283663675,0.8718436485093178,0.1634987322828795,7.448653214381252,0.0285691521967709,7.490650349248018,6.569855608330948,0.7484612330040357,0.0840642647884745,0.0426443374084937,4.560103513464738,0.0976107966264223,8.627059595760349,0.0426443374084937,6.724377421606217,0.7907720378619999,0.0,2.5459683691052923
ACH-000619,3.9001422603598166,0.7484612330040357,4.6194130105979365,6.060695931687554,0.0,0.0285691521967709,0.7570232465074596,0.0285691521967709,6.520265083643574,0.411426245726465,8.171226846915134,5.639232163249277,0.3785116232537298,0.0840642647884745,0.0426443374084937,4.9740703670240265,0.0285691521967709,7.691254978650136,0.7990873060740036,5.57228336665041,0.7824085649273732,0.0,1.3673710656485294
ACH-000647,5.03342300153745,0.918386234446348,4.527320607877047,3.2016338611696504,0.0,0.0565835283663675,2.752748591407134,0.6040713236688608,8.005287693907865,3.354734239970604,7.973037205621765,6.656210320182599,2.8914191868460786,0.5945485495503542,0.2630344058337938,5.311067102255596,2.0461417816447205,6.628919373511362,0.0,5.492494151679432,1.38404980679516,0.0,2.1858665453113337
ACH-000231,4.386810946472217,0.6870606883398922,3.972692654004264,1.7739963251111732,0.1505596765753814,0.0426443374084937,0.4329594072761063,0.1763227726404629,7.005512272837474,0.4854268271702416,8.30410029712983,5.728192635498048,0.2750070474998698,2.028569152196771,0.1763227726404629,6.9804823555382605,0.070389327891398,7.796169429314055,0.01435529297707,7.1264979900833,0.6135316529179271,0.01435529297707,1.9597701552114672
ACH-000837,4.310340120612151,0.6135316529179271,3.1731274334806563,0.5753123306874368,0.0,0.070389327891398,0.0426443374084937,0.0,7.589613697747352,0.0285691521967709,7.949301468328278,5.63575439127776,0.4436066514756146,0.0976107966264223,0.2265085298086797,5.482848283068465,0.01435529297707,6.839959587489532,0.0426443374084937,5.588864518190148,0.3448284969974411,0.0,1.8439838440483265
