,A4GALT (53947),B3GALT5 (10317),GLA (2717),FUT9 (10690),ST3GAL2 (6483),GBGT1 (26301),ST3GAL1 (6482),FUT2 (2524),FUT1 (2523),HEXB (3074),NAGA (4668),ST8SIA1 (6489),B3GALNT1 (8706),HEXA (3073)
ACH-000694,5.04220656012069,0.1634987322828795,5.083213368248981,0.0285691521967709,1.5558161550616396,0.0565835283663675,4.219555769166913,4.491211756003092,2.3015876466031866,6.49281457256712,4.446917864866026,1.5753123306874368,1.4005379295837286,3.150559676575381
ACH-000619,4.646162657157894,0.3448284969974411,5.320484678017694,0.01435529297707,2.3305584000308026,3.111031312388744,3.212569338850806,2.1076878693143737,1.956056652412403,7.152994605492435,4.183486514459391,0.1110313123887439,2.657640005207824,6.633721812641012
ACH-000647,2.608809242675524,0.1763227726404629,5.874796965898665,0.01435529297707,3.0303360783709588,3.300123724569014,4.259272487037594,1.0356239097307212,2.488000770834068,6.617651119427331,4.098453246309274,0.2630344058337938,3.636914580355878,6.494415610397496
ACH-000231,2.726831217032493,0.7739963251111731,5.676662334857967,0.0,4.640389560054945,0.3673710656485294,0.7824085649273732,0.8559896973084807,0.5058909297299572,8.14639047567022,3.64961545906341,1.0772429989324606,4.353323291162897,6.820561927963839
ACH-000837,3.680324356844016,0.2630344058337938,5.767919585801803,0.1110313123887439,2.0669502439246266,0.0426443374084937,4.60229058486114,0.4541758931858021,1.3219280948873624,6.744026509531702,3.485426827170241,0.3673710656485294,0.070389327891398,6.720004786954807
