,CDH5 (1003),JAM3 (83700),AFDN (4301),TXK (7294),ITGAL (3683),ITGAM (3684),ITGA4 (3676),SIPA1 (6494),ROCK1 (6093),MMP2 (4313),PTK2 (5747),MYL7 (58498),NCF4 (4689),MMP9 (4318),NCF2 (4688),CLDN20 (49861),PECAM1 (5175),VAV1 (7409),VASP (7408),VCAM1 (7412),ITGB1 (3688),MYL12A (10627),THY1 (7070),VAV2 (7410),ITGB2 (3689),CTNNA1 (1495),JAM2 (58494),PIK3R5 (23533),CLDN18 (51208),MAPK14 (1432),MAPK12 (6300),VCL (7414),CLDN17 (26285),GNAI1 (2770),MYL2 (4633),GNAI2 (2771),CTNND1 (1500),MYL5 (4636),PXN (5829),RAPGEF3 (10411),MYL10 (93408),ARHGAP5 (394),BCAR1 (9564),GNAI3 (2773),CLDN16 (10686),CLDN23 (137075),EZR (7430),CXCL12 (6387),PLCG1 (5335),PLCG2 (5336),PTK2B (2185),RHOH (399),OCLN (100506658),CDC42 (998),ACTN2 (88),ACTN3 (89),PTPN11 (5781),PRKCB (5579),PRKCA (5578),CLDN10 (9071),CLDN8 (9073),CLDN2 (9075),CLDN6 (9074),MYL9 (10398),CLDN5 (7122),CLDN1 (9076),ICAM1 (3383),RHOA (387),CXCR4 (7852),ESAM (90952),ACTN4 (81),PRKCG (5582),ACTN1 (87),MYLPF (29895),F11R (50848),NOX1 (27035),CLDN19 (149461),RAC2 (5880),MAPK11 (5600),MAPK13 (5603),CLDN15 (24146),CD99 (4267),CLDN22 (53842),ARHGAP35 (2909),ACTG1 (71),RAC1 (5879),ITK (3702),CTNNA2 (1496),RASSF5 (83593),CTNNB1 (1499),CLDN11 (5010),CLDN7 (1366),MYL12B (103910),CLDN4 (1364),CLDN3 (1365),ACTB (60),ROCK2 (9475),RAP1A (5906),PIK3R3 (8503),RAP1B (5908),CLDN14 (23562),PIK3CA (5290),CLDN9 (9080),MSN (4478),PIK3CB (5291),PIK3CD (5293),NCF1 (653361),CTNNA3 (29119),NOX3 (50508),RAPGEF4 (11069),CYBA (1535),PIK3CG (5294),VAV3 (10451),CYBB (1536),PIK3R1 (5295),PIK3R2 (5296)
ACH-000694,1.765534746362977,2.1795110502715103,5.544114402209474,0.411426245726465,0.2141248053528473,0.6870606883398922,1.510961919277379,2.996388746447621,4.200849574637213,3.908812907739547,5.953730849811491,0.2986583155645151,0.4541758931858021,0.6135316529179271,3.873813198359087,0.4646682670034443,0.070389327891398,3.565597175854225,4.690975738343275,0.0565835283663675,7.289742265462451,7.788294188143117,0.4750848829487828,4.3743439890385005,1.6415460290875237,7.757156625608085,0.01435529297707,0.1763227726404629,0.0840642647884745,4.922197848396367,4.017031080527841,5.771093251699539,0.6507645591169022,4.782932704820837,1.5058909297299572,5.963011647599427,7.591933685085199,2.9616233282869446,6.214707673197644,1.7311832415722,0.0,5.500164679492167,4.445594291341182,2.073820233291672,0.722466024471091,0.8639384504239714,8.045868848928402,0.1110313123887439,4.993221467368938,2.84197311892718,4.03738222200308,0.0,4.93451650158608,7.332886916959597,0.0285691521967709,0.01435529297707,5.482848283068465,0.7824085649273732,2.9392265777282085,0.0426443374084937,3.694880192799191,0.1243281350022017,0.0840642647884745,2.7420062108667365,0.2509615735332188,5.8804406478879,2.1243281350022016,7.646882672664623,0.2750070474998698,0.3448284969974411,7.841469999465799,0.1243281350022017,7.331902233804704,0.4222330006830478,6.743218729532497,0.0976107966264223,0.070389327891398,5.221877081077034,2.2387868595871168,3.944858445807539,3.710393192170516,6.449231200669493,0.070389327891398,4.015247773698937,10.488040952288788,8.045268215138533,0.0,0.01435529297707,2.912649864897204,6.955591791753994,1.298658315564515,7.771819567898307,9.114965594215676,8.615923846873196,2.456806149230474,11.068173670150529,3.702657543390911,4.970393537914677,3.077242998932461,6.889960199658641,0.1110313123887439,3.3146965256562866,1.4168397419128294,7.383877059978108,4.404630684217612,0.4222330006830478,1.0285691521967708,0.0,0.0,1.6690267655096307,7.861583231807768,0.0285691521967709,3.784503982929567,0.3561438102252753,2.6599245584023783,3.451540833017832
ACH-000619,2.1538053360790355,0.3219280948873623,4.955591791753994,0.6599245584023783,0.1243281350022017,0.5260688116675876,0.070389327891398,4.813011548605618,3.111031312388744,3.2883585621936606,5.840966704487421,0.0,0.1890338243900171,0.1890338243900171,3.405992359675837,0.4222330006830478,0.0285691521967709,2.657640005207824,5.787118982813345,0.0565835283663675,8.28114183367197,8.147561101969316,0.6780719051126377,4.69655030107857,2.324810603420484,7.058532970201611,0.0285691521967709,0.0,0.0840642647884745,4.4269356196483365,4.522306892871389,5.462052318796433,0.0,4.160274831408593,0.1890338243900171,5.915042791371977,6.6742629002007705,2.4802651220544627,6.01992426090841,2.778208576398088,0.0,4.303780748177103,5.203592714207708,2.144046369616707,1.0214797274104517,2.797012977836145,6.991748577970062,0.0565835283663675,5.624100894628114,3.10936055940423,3.8904466926799057,0.0976107966264223,4.238022517825721,6.759555343206311,0.1763227726404629,0.01435529297707,4.844486087757799,0.0285691521967709,3.189033824390017,1.5058909297299572,1.0772429989324606,0.1634987322828795,0.1110313123887439,4.563158130402808,0.0285691521967709,6.610138983705502,4.127633279725874,7.104860799708199,0.1763227726404629,1.5558161550616396,8.189231548647284,0.0426443374084937,7.03199060858887,0.7484612330040357,7.014578464922892,0.0565835283663675,0.0285691521967709,5.340562269026414,1.8914191868460783,4.349082146391089,3.1473066987802936,7.774852934583075,0.070389327891398,4.467931546026287,10.225448468610738,7.803227036434928,0.070389327891398,0.01435529297707,2.9392265777282085,6.325530331567558,1.372952097911829,8.297145551930386,8.49924796138249,8.707048470516405,3.234194722953812,10.589182967039353,3.232660756790275,4.062639828286463,2.2898344651775093,6.666188489872781,0.0285691521967709,3.702657543390911,2.7676547982373463,6.683836787465606,3.831877241191673,1.565597175854225,0.6780719051126377,0.0285691521967709,0.01435529297707,0.8559896973084807,8.455738185993393,0.0,2.634593268445757,0.2016338611696504,2.097610796626422,2.771885578515366
ACH-000647,3.119356177039676,4.009884588931844,6.253611151947168,1.2265085298086795,0.1634987322828795,0.8318772411916731,3.674686619927999,3.96624587322494,4.269033146455237,0.5459683691052926,6.17672169288105,0.3103401206121505,1.411426245726465,0.0840642647884745,0.6507645591169022,0.2750070474998698,0.3219280948873623,3.71259578044703,6.381283372503783,0.01435529297707,9.146415934170816,9.353014462083072,0.2750070474998698,4.527946098908258,5.070818637533277,7.014690037951128,0.01435529297707,0.963474123974886,0.070389327891398,5.48058827023386,4.325530331567558,7.175025519533409,0.0,5.107269393592545,0.7570232465074596,6.443772392763739,5.626731150672787,1.8439838440483265,8.342963574398725,2.575312330687437,0.1243281350022017,5.444932048942182,6.104965604839979,3.102658131363739,0.3448284969974411,2.963474123974886,7.619486376055549,0.0565835283663675,5.500483401473115,2.920293300211007,3.768713657030485,0.0426443374084937,3.978195629681652,7.894878379473196,0.01435529297707,0.0426443374084937,6.637059538410849,0.070389327891398,3.090853430451113,0.0426443374084937,0.0,0.2630344058337938,0.5558161550616396,7.827183895819525,0.2630344058337938,5.215678596607928,5.465974464504069,8.080817527608327,0.2265085298086797,0.963474123974886,8.698010061537433,1.4489009511451278,8.334854269331633,0.411426245726465,6.719867928344366,0.1890338243900171,0.0426443374084937,5.494415610397496,2.2357270598380583,5.284292026394312,2.570462931026041,5.246027980528104,0.1110313123887439,5.245647773636751,10.332260378172183,8.615298579092116,0.01435529297707,0.0,3.584962500721156,6.966707314150316,0.2265085298086797,6.453682185872176,9.61211286525419,7.720415284906329,4.07724299893246,12.318627538716632,5.074248523347032,6.562089750001036,3.346247774082776,6.985272714253447,0.1243281350022017,3.739848102699328,3.594548549550354,7.596562497404949,4.072105800480419,2.920293300211007,0.5945485495503542,0.0,0.0,0.6870606883398922,8.14358729434393,0.0426443374084937,1.2141248053528475,0.5260688116675876,1.3391373849195856,3.682573297347578
ACH-000231,0.0426443374084937,5.198101209324823,5.469885976274464,0.6780719051126377,0.1634987322828795,0.1505596765753814,4.633431210355632,3.2357270598380583,4.670160514126633,6.8151911371734935,5.589164236699772,0.5260688116675876,0.1634987322828795,0.5459683691052926,2.4905701304462013,0.4329594072761063,0.0426443374084937,0.1243281350022017,7.731319031025064,2.873813198359087,9.583007527207686,9.93193415962969,8.529274367609148,4.7718855785153655,3.0531113364595623,8.323189901088398,2.104336659814736,0.0,0.3895668117627256,5.314696525656286,4.357552004618084,7.356231862655397,0.0,1.7865963618908067,0.0,8.558573776240628,5.689299160535892,3.382667252745041,7.273888823668492,1.5310694927259538,0.2630344058337938,5.200457271428572,6.451870478864323,3.609991295212679,0.1890338243900171,0.765534746362977,7.630594766188627,0.070389327891398,6.075532631167357,0.1505596765753814,1.8237493603082728,0.0840642647884745,2.931683057059806,8.468664767679588,1.3219280948873624,0.0285691521967709,5.949301468328278,0.137503523749935,3.902073579310743,0.2509615735332188,0.0,0.1890338243900171,0.5360529002402097,8.621575724778275,0.0,1.613531652917927,3.876762490781555,9.381802483168777,0.7398481026993274,0.8953026213333066,9.857374562661448,0.3103401206121505,8.959683229289373,1.263034405833794,3.641546029087524,0.01435529297707,0.0285691521967709,3.300123724569014,3.381283372503784,2.16349873228288,2.837943241891028,9.399064255219344,0.2265085298086797,5.1715271060388135,12.022853253717834,7.693626341591109,0.01435529297707,0.01435529297707,2.2570106182060234,8.142617655446577,2.657640005207824,0.84799690655495,9.376168810595372,1.6040713236688608,1.5753123306874368,12.7652239301173,3.485426827170241,6.62541662207078,4.640967910449898,8.300215263228408,0.1110313123887439,3.613531652917927,1.0,9.148756196409488,4.36667191611176,3.2387868595871163,0.2141248053528473,0.137503523749935,0.070389327891398,1.250961573533219,6.953265239014844,0.1110313123887439,1.516015147003665,0.84799690655495,4.907371413823563,4.118525848935668
ACH-000837,1.1176950426697545,0.5558161550616396,5.79025073883523,0.3561438102252753,0.3103401206121505,0.722466024471091,0.1634987322828795,3.082361969557473,4.124328135002202,0.3219280948873623,7.118214352650125,0.1890338243900171,1.01435529297707,1.38404980679516,2.321928094887362,0.2509615735332188,0.0285691521967709,4.12267271882414,6.615298579092115,0.0565835283663675,8.793993393788456,8.389437748108115,0.0840642647884745,3.725741156503952,0.9927684307689242,7.998985248258895,0.2509615735332188,0.0285691521967709,0.0565835283663675,4.268284666520996,3.2854022188622483,5.793375711264754,0.0,3.158660175346498,0.9107326619029126,4.631686366311998,6.298291730620124,3.6205864104518777,7.211888294546004,3.41006969175638,0.0,4.838447592548459,6.491372117815172,2.4828482830684653,0.0976107966264223,0.4222330006830478,7.754620311674532,0.0,4.221877081077034,2.4620523187964327,3.374343989038501,0.2265085298086797,5.466627120041501,7.199574198978244,0.0426443374084937,0.0426443374084937,5.940166750482817,0.2141248053528473,2.448900951145128,0.0976107966264223,0.0,0.1505596765753814,0.7311832415722002,0.3448284969974411,0.2630344058337938,3.936402377725064,1.6959938131099002,7.574404309022579,0.4222330006830478,2.2720231890610485,8.244887059123535,0.7990873060740036,8.180307019969433,0.2265085298086797,7.518220380599588,0.01435529297707,0.0285691521967709,0.7048719644563528,1.7990873060740036,5.851749041416057,1.3673710656485294,8.027905996569885,0.1243281350022017,4.54101915313356,10.321589923606158,7.658711339973922,0.0565835283663675,0.070389327891398,1.726831217032493,7.651410525912998,0.2265085298086797,7.466871789768347,8.504977844135425,7.736266619459169,2.073820233291672,12.082614780988798,3.4867143730307024,5.282810439572558,3.8083850506560935,7.129798173187144,0.0426443374084937,3.1842802944193824,3.842978831788325,0.8318772411916731,4.20945336562895,0.6507645591169022,0.1243281350022017,0.1763227726404629,0.01435529297707,0.2509615735332188,5.9593064897596575,0.0285691521967709,2.475084882948783,0.4329594072761063,2.1667154449664223,3.344828496997441
