,AOX1 (316),ALDH1B1 (219),ACADS (35),ACADSB (36),ABAT (18),ALDH2 (217),ACADM (34),ACAT2 (39),HSD17B10 (3028),ACAT1 (38),OXCT1 (5019),ACAA2 (10449),IL4I1 (259307),HADH (3033),MCEE (84693),HADHB (3032),DBT (1629),HADHA (3030),ALDH6A1 (4329),HMGCL (3155),IVD (3712),BCKDHB (594),ACAD8 (27034),ECHS1 (1892),ALDH9A1 (223),ALDH3A2 (224),PCCB (5096),HIBCH (26275),DLD (1738),HMGCS2 (3158),EHHADH (1962),HMGCS1 (3157),PCCA (5095),ALDH7A1 (501),HIBADH (11112),ACAA1 (30),OXCT2 (64064),MMUT (4594),MCCC2 (64087),BCAT1 (586),AUH (549),BCAT2 (587),BCKDHA (593),MCCC1 (56922)
ACH-000694,0.2630344058337938,3.2047667506546134,3.249445341085839,2.646162657157894,2.778208576398088,6.519321734629434,4.911212201558612,4.70984201927331,7.102973004241397,4.361768359419154,3.787641414483326,2.364572432295856,0.4005379295837288,5.642990312961163,4.260025655961456,5.9886846867721655,3.412781525338476,6.359661722333877,2.5897634869849773,4.654779216959517,5.786596361890807,3.455491620628468,3.2234225499349374,6.333244816996384,5.144862142915734,6.063287212206184,5.485748821377781,3.949534933017012,6.955359305242994,0.0565835283663675,3.654206377944292,5.61559285651096,3.784503982929567,0.6690267655096305,5.737686761409861,5.199279721336625,0.3219280948873623,3.787641414483326,5.487036080031899,4.067810783789621,3.990954860396993,5.110196177754199,3.846994686965573,4.783980413683795
ACH-000619,0.7398481026993274,2.8579809951275723,3.303050084681673,1.7355221772965377,2.3015876466031866,4.727375938594897,4.7938958825488776,4.862451391325582,6.0650121504369485,4.152994605492435,3.493134922305505,1.9708536543404835,1.2265085298086795,4.804260115634738,3.2387868595871163,5.628481994383899,2.6915341649192,5.901108243014512,2.150559676575381,4.458775699080244,4.51096191927738,3.4356285940520905,3.581351247168777,5.2731428593080825,4.9453267772646265,5.6544928258834615,4.009884588931844,4.039138393906958,5.7998644108818525,0.0,3.00539998774259,5.817111572795697,3.3175935046234715,6.046796609573758,5.284292026394312,4.952333566369686,0.7398481026993274,2.9653225483672547,5.045268215138534,0.8073549220576041,3.578938713093386,5.274634402517586,3.305970520984386,4.766065051474954
ACH-000647,0.925999418556223,4.534186139090097,3.4154882710497003,2.469885976274464,2.7420062108667365,5.398487190018967,6.664198369291911,5.680886920719692,6.563768278452033,5.948834425578686,6.357552004618084,5.27015513876653,0.9560566524124028,5.339137384919585,3.082361969557473,7.640027973286244,3.787641414483326,7.528493181191486,3.0125686735030555,4.71259578044703,5.81326814176608,4.369466483650723,4.333423733725192,6.79259510251225,5.203201156316611,5.317231700222606,5.34801990922869,4.25171909260596,7.868513923895463,0.1110313123887439,2.956056652412403,6.081297014138268,4.004501392234941,5.35508676166836,6.74604398299834,5.402585758232587,1.541019153133559,4.127633279725874,5.784242222057781,0.2868811477881615,3.682573297347578,5.925049964727359,4.431622959713292,5.567727963304803
ACH-000231,3.082361969557473,5.266411766036114,2.780310099043376,2.823749360308273,1.6182386555954549,1.8914191868460783,5.37016428054021,5.62993940943954,7.638870286246128,4.621758856709732,5.234194722953812,4.955126781261366,2.4276061727818994,4.84749588378871,3.494415610397496,5.308156975114762,3.2078928516413328,5.913846824263042,2.381283372503784,4.821199978056451,5.575312330687437,3.9136075118230993,4.058316495590823,6.778208576398088,5.255878352582786,4.408032466130653,5.159871336778389,3.211012193485512,6.6169163625788086,0.0,0.6780719051126377,5.967168607532628,2.666756591884804,6.725468512632615,5.133810091106031,6.015693807105145,0.6959938131099002,4.1440463696167065,5.413458688007979,5.317593504623472,3.056583528366368,5.404290064444837,4.728464765092534,4.227278994468321
ACH-000837,2.582556003014061,3.942045259916047,0.2630344058337938,2.908812907739547,0.2265085298086797,0.411426245726465,4.281698250098829,5.222263603528345,6.424250286084049,5.854743738995535,4.332707933640605,4.51096191927738,0.6507645591169022,5.032100843167024,3.51096191927738,6.098032082960526,2.587364990936461,6.606146078065724,1.560714954474479,4.423578170981798,0.7824085649273732,3.234194722953812,4.026800059343715,6.631831850610098,5.565597175854225,7.494015517480295,4.868884273028773,3.726831217032493,5.16430358309365,0.01435529297707,1.752748591407134,4.785550551739256,2.584962500721156,5.829342193902803,5.15704371014558,5.2543672814408335,0.4005379295837288,2.778208576398088,5.149747119504682,3.877744249949002,2.713695814843359,4.460742563789644,3.85897561429202,4.845991770664573
