,CASP9 (842),TNF (7124),CAT (847),PPP3R2 (5535),PPP3CC (5533),PPP3R1 (5534),ALS2 (57679),BAD (572),CCS (9973),MAP3K5 (4217),TOMM40L (84134),GRIN1 (2902),GRIN2A (2903),MAPK11 (5600),GRIN2B (2904),SOD1 (6647),GRIN2C (2905),BID (637),GRIN2D (2906),MAP2K3 (5606),MAPK13 (5603),NOS1 (4842),BAX (581),NEFM (4741),GRIA2 (2891),SLC1A2 (6506),NEFH (4744),GRIA1 (2890),MAP2K6 (5608),TNFRSF1B (7133),CASP1 (834),CASP3 (836),NEFL (4747),TNFRSF1A (7132),DAXX (1616),CHP2 (63928),RAC1 (5879),MAPK14 (1432),MAPK12 (6300),APAF1 (317),GPX1 (2876),RAB5A (5868),BCL2 (596),BCL2L1 (598),PRPH2 (5961),PPP3CB (5532),TP53 (7157),PPP3CA (5530),PRPH (5630),DERL1 (79139),CYCS (54205),TOMM40 (10452),CHP1 (11261)
ACH-000694,2.713695814843359,0.0840642647884745,4.882643049361842,0.01435529297707,2.963474123974886,4.51853513898218,3.371558862611963,5.883865154509794,5.148934104526339,2.381283372503784,3.1160319934471103,0.0285691521967709,0.1110313123887439,2.2387868595871168,0.0840642647884745,8.003152448666922,0.1890338243900171,6.184478671187091,3.04788732939655,5.331633567171029,3.944858445807539,1.1953475983222193,6.899417348675079,1.769771739249448,0.2141248053528473,0.0,0.0565835283663675,0.01435529297707,2.028569152196771,1.0071955014042038,5.496334513417112,5.74604398299834,3.568032104771279,6.40667271575583,5.544732655932624,4.379898163524692,8.045268215138533,4.922197848396367,4.017031080527841,3.212569338850806,6.068240861312821,4.022367813028454,0.4854268271702416,5.644144699932848,0.0,3.925049964727359,4.349789870241872,3.814550423461808,1.411426245726465,5.532628657517167,7.383445102418999,5.622637566537459,5.520736526937641
ACH-000619,3.303050084681673,0.0976107966264223,4.395062799517578,0.0,2.298658315564515,4.461397589926158,3.4646682670034443,5.73579292798531,5.625854931368057,2.718087583960517,2.941106310946432,1.722466024471091,0.0426443374084937,1.8914191868460783,0.0,7.215581533665725,0.137503523749935,4.9963887464476215,3.851998837112446,5.096767854714689,4.349082146391089,0.6870606883398922,7.124948426681075,1.2868811477881614,0.0,0.0,0.0285691521967709,0.0,0.9560566524124028,2.985500430304885,4.4409521980296365,3.624100894628114,0.3673710656485294,6.15562781584529,5.560714954474479,0.2016338611696504,7.803227036434928,4.4269356196483365,4.522306892871389,2.969012307516316,7.171126746652066,3.825785627464792,0.2630344058337938,5.886306263452426,0.0285691521967709,3.1538053360790355,5.808899839257769,3.3757345385831563,0.2141248053528473,6.053328593449791,6.576975554206532,5.500164679492167,5.165911938935689
ACH-000647,3.2387868595871163,0.2265085298086797,4.6904170955324656,0.0,3.38404980679516,5.338780943894699,4.720825666089835,6.10454633862346,4.807870078299782,3.1521834190550453,4.608809242675524,3.0686708106650986,0.0,2.2357270598380583,0.0,8.68404726161302,0.2387868595871164,7.03738222200308,3.1858665453113337,5.84749588378871,5.284292026394312,0.0,7.574782720838753,2.350497247084133,0.0976107966264223,0.1505596765753814,0.1243281350022017,0.01435529297707,0.7739963251111731,1.7865963618908067,0.5753123306874368,3.643856189774725,0.1890338243900171,5.540089281982523,6.098032082960526,0.0285691521967709,8.615298579092116,5.48058827023386,4.325530331567558,3.0373822220030804,7.814165858607901,5.4269356196483365,1.7311832415722,7.255028569818729,0.0565835283663675,5.780047576061869,6.36562255611334,4.912649864897204,0.4329594072761063,5.917909073852982,8.597158683183727,6.902556005344628,5.60733031374961
ACH-000231,3.791814071161826,0.1243281350022017,3.583759753639499,0.0285691521967709,4.038260575175349,4.714795011118162,3.625270489374693,5.783194703376154,4.463360885816658,1.74416109557041,3.33771109212829,0.4436066514756146,0.01435529297707,3.381283372503784,0.01435529297707,8.54055429247515,0.2016338611696504,6.15279185163912,0.2868811477881615,5.036063688743695,2.16349873228288,0.0,7.296732704584347,0.0,0.2387868595871164,0.2016338611696504,0.1505596765753814,1.6599245584023783,0.2868811477881615,0.2750070474998698,2.2265085298086795,5.0716768737518585,1.5058909297299572,6.2389778817708965,6.439623137557117,0.0,7.693626341591109,5.314696525656286,4.357552004618084,3.6599245584023774,7.249255699936582,5.593054921669878,0.8318772411916731,6.1661128574014255,0.0426443374084937,4.622930350920177,6.468420401864552,4.517275693209582,0.5558161550616396,6.2268938135713885,7.31786479839195,6.429950657403768,5.811214117513239
ACH-000837,3.075532631167357,0.2141248053528473,3.526068811667588,0.01435529297707,2.673556423990145,5.234577959784565,4.009884588931844,6.394719912994065,5.143638309922037,2.910732661902913,3.307428525192248,0.7484612330040357,0.0565835283663675,1.7990873060740036,0.01435529297707,8.29195343397636,0.1110313123887439,6.177718511162183,0.1505596765753814,6.636624620543649,5.851749041416057,0.01435529297707,6.682573297347578,0.137503523749935,0.070389327891398,0.0840642647884745,0.1110313123887439,0.2016338611696504,0.0,0.070389327891398,0.01435529297707,4.606442228131607,0.137503523749935,6.44012167872693,5.715344295358907,0.0,7.658711339973922,4.268284666520996,3.2854022188622483,2.7484612330040354,1.1176950426697545,4.959770155211468,1.3103401206121503,6.868266971645478,0.01435529297707,4.368768349090335,5.7753139752538125,3.805292455600712,0.0976107966264223,6.280770770130602,8.033478065182841,6.94216258558121,5.211401637418471
