,SOS2 (6655),CHUK (1147),STAT3 (6774),ZBTB16 (7704),RAF1 (5894),RARA (5914),PML (5371),JUP (3728),MTOR (2475),CEBPA (1050),LEF1 (51176),EIF4EBP1 (1978),BAD (572),PIM2 (11040),MAP2K2 (5605),BRAF (673),MAP2K1 (5604),KIT (3815),FLT3 (2322),SPI1 (6688),IKBKB (3551),AKT1 (207),AKT2 (208),RPS6KB1 (6198),NRAS (4893),AKT3 (10000),RPS6KB2 (6199),GRB2 (2885),STAT5B (6777),MAPK3 (5595),TCF7 (6932),STAT5A (6776),NFKB1 (4790),MYC (4609),SOS1 (6654),TCF7L2 (6934),MAPK1 (5594),RUNX1 (861),PIK3R5 (23533),IKBKG (8517),HRAS (3265),RUNX1T1 (862),RELA (5970),KRAS (3845),CCNA1 (8900),ARAF (369),CCND1 (595),PIK3R3 (8503),TCF7L1 (83439),PPARD (5467),PIK3CA (5290),PIK3CB (5291),PIM1 (5292),PIK3CD (5293),PIK3CG (5294),PIK3R1 (5295),PIK3R2 (5296)
ACH-000694,3.690417095532466,3.8609627978581167,5.1838834590322325,0.070389327891398,5.314696525656286,4.207111961207714,4.879705766282288,9.384287299899707,4.768713657030485,3.324810603420484,2.673556423990145,4.522306892871389,5.883865154509794,2.286881147788161,6.606886339275915,2.839959587489532,5.308156975114762,2.403267722339301,0.0976107966264223,0.1505596765753814,3.9523335663696857,6.6849589615938525,5.04788732939655,4.218006150284427,3.836934011321092,2.277984747299765,6.150559676575382,5.8671551631075145,4.447579196548882,5.515384460636948,0.722466024471091,0.918386234446348,4.956056652412403,6.625708843064466,3.5459683691052923,3.507160349117523,5.699051844016849,3.582556003014061,0.1763227726404629,4.668459556915382,6.421896512042248,0.0426443374084937,5.23189316164533,3.932628157022127,3.119356177039676,5.5906618959652645,8.687235694107043,3.077242998932461,1.9708536543404835,4.534808661231747,3.3146965256562866,4.404630684217612,4.473137487772256,0.4222330006830478,0.0285691521967709,2.6599245584023783,3.451540833017832
ACH-000619,3.212569338850806,3.007195501404204,5.779522386743769,0.0,5.661920579135087,3.661065479806948,5.139551352398794,7.570083384302932,4.390254956321868,2.1342209397606338,0.4541758931858021,5.390598905552461,5.73579292798531,2.350497247084133,5.846493315964563,2.6622054996536164,5.237257770900372,0.137503523749935,0.0,0.0426443374084937,4.579542224936903,6.011003564432669,5.7238315664953205,3.456806149230474,4.141596278383818,1.4436066514756147,5.307428525192248,5.266411766036114,4.669026765509631,5.140369670651527,2.84197311892718,3.2539892662307865,4.135042286233651,6.233811384293157,2.839959587489532,3.097610796626422,4.939226577728209,3.351910961103077,0.0,4.3269687115878925,6.264348763351165,0.0,5.606738317417591,3.625270489374693,0.2016338611696504,4.842978831788326,7.834723855003643,2.2898344651775093,1.9708536543404835,4.00539998774259,3.702657543390911,3.831877241191673,4.544114402209474,1.565597175854225,0.0,2.097610796626422,2.771885578515366
ACH-000647,3.203201156316611,4.220329954879555,6.8378171266725465,0.0,6.998985248258895,4.120186027531863,3.6205864104518777,6.912889336229962,5.459759466619821,3.4342946179599254,1.722466024471091,5.471187460386985,6.10454633862346,3.102658131363739,6.433627167084783,3.624100894628114,5.667040559022988,0.0426443374084937,0.1634987322828795,0.1110313123887439,2.6182386555954547,5.883865154509794,6.14649230697719,4.399171093819823,5.439623137557117,3.842978831788325,5.948834425578686,6.017699252693033,4.69655030107857,5.057016965365539,3.4356285940520905,3.426264754702098,4.542877099354142,5.911212201558612,4.40735275114004,3.286881147788161,7.632922515461243,5.6544928258834615,0.963474123974886,5.005849075696688,4.888499735514123,0.0,5.059614856297222,4.05484847699562,1.541019153133559,4.754353071692127,7.194362890727586,3.346247774082776,3.884597920990065,3.784503982929567,3.739848102699328,4.072105800480419,4.6656201640663815,2.920293300211007,0.0426443374084937,1.3391373849195856,3.682573297347578
ACH-000231,4.017031080527841,4.416839741912829,5.778734244117836,0.01435529297707,6.630085070002124,4.826294245499634,6.088947204618769,4.6194130105979365,5.618238655595454,0.6870606883398922,3.0143552929770703,6.3008558712687615,5.783194703376154,3.75702324650746,6.767522386228545,3.264536430999025,6.534964249804655,0.0565835283663675,0.0565835283663675,0.0565835283663675,4.7300964655954685,7.173926931999809,6.170926525287385,3.960697039304312,5.813524689297811,4.519793486241101,4.690975738343275,5.153805336079036,4.068670810665099,4.910732661902912,2.7092906357233577,2.169925001442312,4.485426827170242,4.473786911614368,3.266036893995317,3.572889668420581,5.727103603522661,4.823239844131022,0.0,5.698218478224414,5.609400390006429,0.7398481026993274,5.421896512042248,4.379898163524692,3.218781167784069,6.304693557471008,7.03375335188982,4.640967910449898,2.0669502439246266,4.934988201783478,3.613531652917927,4.36667191611176,4.257764968571387,3.2387868595871163,0.1110313123887439,4.907371413823563,4.118525848935668
ACH-000837,3.137503523749935,3.150559676575381,5.4239142676731,0.0565835283663675,5.39746072605472,3.513490745588118,3.412781525338476,7.005175391331941,4.860962797858116,1.622930350920177,2.485426827170241,5.655065551195028,6.394719912994065,0.8318772411916731,6.506049668250324,2.5921580021253603,6.855491443101874,0.1505596765753814,0.0285691521967709,0.1243281350022017,4.456806149230474,6.476381687567235,5.273515889702116,3.996388746447621,1.292781749227846,3.970853654340484,5.86616616903904,5.350850805483376,3.400537929583729,4.9740703670240265,0.2868811477881615,0.1110313123887439,4.630521963471638,5.2253520607761015,3.2539892662307865,3.9411063109464313,5.241840183564671,3.9136075118230993,0.0285691521967709,4.053111336459563,5.502712485966061,0.0426443374084937,6.127014141582809,4.522306892871389,0.0976107966264223,4.590362488463746,8.493455200926176,3.8083850506560935,0.903038270112912,3.0942360698457656,3.1842802944193824,4.20945336562895,4.393690764187454,0.6507645591169022,0.0285691521967709,2.1667154449664223,3.344828496997441
