,JUN (3725),HLA-DOA (3111),HLA-DOB (3112),PRKCB (5579),STAT1 (6772),ELK1 (2002),TNF (7124),ITGAM (3684),ITGA4 (3676),MYD88 (4615),FCGR1A (2209),HLA-DMB (3109),HLA-DMA (3108),PTPN6 (5777),IRAK4 (51135),IL12B (3593),MAPK11 (5600),NCF4 (4689),NCF2 (4688),PTGS2 (5743),MAPK13 (5603),IL12A (3592),NOS2 (4843),MAP3K7 (6885),IL1A (3552),JAK1 (3716),JAK2 (3717),ITGB1 (3688),ITGB2 (3689),CR1 (1378),MAPK3 (5595),FCGR3B (2215),NFKB1 (4790),FCGR2A (2212),IL10 (3586),NFKBIB (4793),NFKBIA (4792),FCGR3A (2214),MARCKSL1 (65108),MAPK1 (5594),HLA-DRB5 (3127),MAPK14 (1432),MAPK12 (6300),RELA (5970),IFNGR2 (3460),TRAF6 (7189),TGFB2 (7042),TGFB1 (7040),IFNG (3458),IFNGR1 (3459),TAB2 (23118),IL1B (3553),IRAK1 (3654),TGFB3 (7043),HLA-DPA1 (3113),HLA-DPB1 (3115),HLA-DQA1 (3117),HLA-DQA2 (3118),HLA-DQB1 (3119),C3 (718),NCF1 (653361),TLR4 (7099),TAB1 (10454),IL4 (3565),TLR2 (7097),FOS (2353),CYBA (1535),HLA-DRB1 (3123),HLA-DRA (3122)
ACH-000694,6.937815168803419,0.01435529297707,2.189033824390017,0.7824085649273732,5.134220939760634,3.880685525261125,0.0840642647884745,0.6870606883398922,1.510961919277379,4.949067965852913,0.4222330006830478,0.6599245584023783,2.403267722339301,5.159467729266766,3.513490745588118,0.01435529297707,2.2387868595871168,0.4541758931858021,3.873813198359087,2.983677694698067,3.944858445807539,0.722466024471091,0.0426443374084937,4.032982416699428,1.5058909297299572,5.2106226443969055,1.7782085763980875,7.289742265462451,1.6415460290875237,0.01435529297707,5.515384460636948,0.0,4.956056652412403,0.1890338243900171,0.0,3.984589350362457,6.135247549809567,0.0,4.0557162635125446,5.699051844016849,0.765534746362977,4.922197848396367,4.017031080527841,5.23189316164533,4.053111336459563,2.587364990936461,3.1811025507537978,3.4594316186372973,0.0,5.803485375595953,4.645009884391095,1.5753123306874368,6.745909572503913,2.16349873228288,0.5558161550616396,0.2868811477881615,0.0565835283663675,0.070389327891398,0.0565835283663675,4.381975478557301,1.0285691521967708,0.0,4.208673319629471,0.0,0.01435529297707,9.978996396088938,7.861583231807768,1.632268215499513,2.9597701552114675
ACH-000619,5.486070743735668,0.0285691521967709,2.097610796626422,0.0285691521967709,7.098663781886574,3.7355221772965375,0.0976107966264223,0.5260688116675876,0.070389327891398,4.628190334615213,0.2387868595871164,0.632268215499513,2.114367024952,4.715893370547605,3.4195388915137843,0.0426443374084937,1.8914191868460783,0.1890338243900171,3.405992359675837,2.4776773275653072,4.349082146391089,0.9107326619029126,0.0,3.8011586560936985,3.788685710613534,5.263785613890803,1.2016338611696504,8.28114183367197,2.324810603420484,0.0,5.140369670651527,0.01435529297707,4.135042286233651,0.0285691521967709,0.0,4.371558862611963,6.182493674945368,0.01435529297707,5.699329525673156,4.939226577728209,0.2986583155645151,4.4269356196483365,4.522306892871389,5.606738317417591,4.376429311069923,2.0874628412503395,3.609991295212679,4.394376944957055,0.0,6.149747119504682,4.494415610397496,5.2268938135713885,6.631831850610098,0.918386234446348,0.2387868595871164,2.877744249949002,0.2986583155645151,0.0,2.572889668420581,7.260966564519485,0.6780719051126377,1.0214797274104517,3.2600256559614555,0.0,2.372952097911829,7.042644337408494,8.455738185993393,1.782408564927373,1.4750848829487828
ACH-000647,7.547819956577703,0.137503523749935,1.0285691521967708,0.070389327891398,6.081510068120917,4.37016428054021,0.2265085298086797,0.8318772411916731,3.674686619927999,4.22881869049588,0.1763227726404629,2.521050736900963,3.3405622690264134,4.63575439127776,2.8639384504239715,0.070389327891398,2.2357270598380583,1.411426245726465,0.6507645591169022,0.9855004303048848,5.284292026394312,1.3103401206121503,0.0,4.23342794374847,0.6229303509201767,5.647890091059215,1.3448284969974411,9.146415934170816,5.070818637533277,0.0285691521967709,5.057016965365539,0.0,4.542877099354142,0.1890338243900171,0.1243281350022017,5.30560578958543,4.891905188211931,0.0,5.277984747299765,7.632922515461243,0.5058909297299572,5.48058827023386,4.325530331567558,5.059614856297222,4.587364990936461,2.319039815562536,6.519479002307236,4.682573297347578,0.0,4.938285791884053,4.934988201783478,0.7570232465074596,7.754219433135143,1.070389327891398,0.4436066514756146,0.2509615735332188,0.1110313123887439,0.1634987322828795,2.8659188145522125,5.474111513942408,0.5945485495503542,0.0285691521967709,3.8972404255748,0.0,0.0,9.78909343356629,8.14358729434393,1.4329594072761065,0.9927684307689242
ACH-000231,6.316145742293356,0.0,2.405992359675837,0.137503523749935,7.473705749619415,5.967399198924614,0.1243281350022017,0.1505596765753814,4.633431210355632,5.994353436858858,0.5160151470036647,0.6507645591169022,2.0840642647884744,0.7739963251111731,3.587364990936461,0.0,3.381283372503784,0.1634987322828795,2.4905701304462013,0.4854268271702416,2.16349873228288,0.7048719644563528,0.01435529297707,5.138732569720239,0.3785116232537298,5.932628157022127,2.689299160535892,9.583007527207686,3.0531113364595623,0.0,4.910732661902912,0.0426443374084937,4.485426827170242,0.8399595874895318,0.0285691521967709,4.635173946674924,5.936166777979151,0.0,7.364222221093532,5.727103603522661,0.1763227726404629,5.314696525656286,4.357552004618084,5.421896512042248,5.095080491901415,2.411426245726465,7.159467729266766,6.20124177119825,0.0,5.0457050645108,5.919101679559393,1.1763227726404628,7.330827266943999,3.8011586560936985,0.5360529002402097,0.4005379295837288,0.2387868595871164,0.0,0.0426443374084937,3.2249663650002742,0.2141248053528473,4.237257770900372,3.658782734012828,0.0,0.1505596765753814,5.527633387290932,6.953265239014844,0.2387868595871164,0.6599245584023783
ACH-000837,4.968090752045256,0.01435529297707,0.2868811477881615,0.2141248053528473,4.903038270112912,4.33199177823206,0.2141248053528473,0.722466024471091,0.1634987322828795,1.454175893185802,0.2141248053528473,0.2016338611696504,0.9560566524124028,4.804260115634738,3.4475791965488827,0.070389327891398,1.7990873060740036,1.01435529297707,2.321928094887362,2.438292851579147,5.851749041416057,1.1826922975161902,0.01435529297707,3.989139007368233,0.8953026213333066,4.719731056749852,1.516015147003665,8.793993393788456,0.9927684307689242,0.0,4.9740703670240265,0.0,4.630521963471638,0.1505596765753814,0.0,4.4950555283680185,6.175324989184902,0.0,0.8875252707415875,5.241840183564671,0.0285691521967709,4.268284666520996,3.2854022188622483,6.127014141582809,5.021923838554758,2.0669502439246266,1.144046369616707,3.62993940943954,0.0,4.12267271882414,5.220716891998917,0.1505596765753814,7.614268135164198,1.2868811477881614,0.3448284969974411,0.2630344058337938,0.1634987322828795,0.070389327891398,0.0976107966264223,2.0669502439246266,0.1243281350022017,1.761285273361619,3.63575439127776,0.0,0.070389327891398,5.566510755857876,5.9593064897596575,0.3673710656485294,0.6870606883398922
