,ALAS1 (211),COX10 (1352),UGT1A10 (54575),ALAS2 (212),UGT1A8 (54576),UGT1A7 (54577),ALAD (210),UGT1A6 (54578),CPOX (1371),BLVRA (644),UGT2B28 (54490),BLVRB (645),UGT1A5 (54579),UROS (7390),HCCS (3052),UGT2A1 (10941),GUSB (2990),FTMT (94033),UGT1A9 (54600),MMAB (326625),FECH (2235),HMOX1 (3162),HMOX2 (3163),UGT2B11 (10720),PPOX (5498),FTH1 (2495),UGT2B10 (7365),UGT2B7 (7364),UROD (7389),UGT2B4 (7363),COX15 (1355),HMBS (3145),CP (1356),UGT2A3 (79799),UGT1A4 (54657),EARS2 (124454),UGT2B17 (7367),UGT1A1 (54658),EPRS1 (2058),UGT2B15 (7366),UGT1A3 (54659)
ACH-000694,4.189824558880018,4.314696525656286,0.1505596765753814,0.0,0.8559896973084807,1.4436066514756147,5.177917792195843,8.443813825110803,4.028569152196771,4.510329019490572,0.01435529297707,7.149035756458098,0.765534746362977,4.522306892871389,5.711494906650088,0.0285691521967709,4.714795011118162,0.0,0.0,5.079378111118652,3.8186460828225393,2.250961573533219,5.869624686204322,0.01435529297707,3.326249700837456,11.6448026478727,0.01435529297707,0.070389327891398,5.454833906898869,0.070389327891398,4.802193216941825,4.403267722339301,2.2078928516413328,0.01435529297707,1.867896463992655,4.524815928357506,0.0,3.7322691995014496,6.223422549934937,0.1634987322828795,2.922197848396367
ACH-000619,4.418189947945766,3.082361969557473,0.2630344058337938,0.0285691521967709,0.0976107966264223,0.2509615735332188,4.130107178658833,5.001351892999959,3.7070829917717054,5.118110505607367,0.0,6.904965718684027,0.2387868595871164,4.4356285940520905,4.879705766282288,0.0,5.75702324650746,0.0,0.1634987322828795,4.71259578044703,3.203201156316611,3.472487771462744,5.431622959713292,0.0,3.187451054027326,11.421433711978503,0.0,0.0426443374084937,5.287250643254617,0.0285691521967709,3.674686619927999,4.524189078449365,1.6644828403646823,0.0,0.411426245726465,3.753818443173543,0.0285691521967709,1.1309308698264486,5.356848079236522,0.0,0.7136958148433591
ACH-000647,5.272769732436511,3.9001422603598166,0.2141248053528473,0.0285691521967709,0.0,0.0,3.9616233282869446,1.6690267655096307,4.671293372481576,6.141187525005,0.0,6.312156888313374,0.0,5.888499735514123,5.405992359675837,0.0,6.083851587697961,0.0,0.137503523749935,5.2761244052742375,3.8904466926799057,4.117695042669754,6.401391544803525,0.0,3.3936907641874536,10.690347249968758,0.0,0.0,6.4564776293518165,0.0,5.06177619758669,5.462379571841023,0.137503523749935,0.0,0.0285691521967709,4.348374075191163,0.0,0.01435529297707,6.919578445935473,0.0,0.1634987322828795
ACH-000231,5.255878352582786,3.168321115739723,0.1110313123887439,0.1763227726404629,0.0426443374084937,0.1634987322828795,4.9818526532897405,0.2509615735332188,4.100977647724821,5.343052434922969,0.0,5.587364990936461,0.070389327891398,5.812241495189477,6.471675214392045,0.0,6.365797502459385,0.0,0.0426443374084937,4.845991770664573,4.927422428739871,4.142413437873741,5.767389962065719,0.0,3.85897561429202,10.59898297103609,0.0,0.0565835283663675,6.976592762238586,0.0,4.263785613890803,4.028569152196771,0.3785116232537298,0.0,0.0,4.024142345897803,0.0,0.0426443374084937,6.097400107317411,0.0426443374084937,0.0
ACH-000837,5.972922364225416,3.937344392150232,0.137503523749935,0.070389327891398,0.0,0.1763227726404629,3.0303360783709588,1.948600847493356,3.7059779016825214,4.716442236843321,0.0,7.087250664613308,0.0,5.639232163249277,5.442280035252584,0.01435529297707,7.011674533380918,0.0,0.0,4.355439197248685,5.150559676575382,3.786596361890807,6.152183419055046,0.01435529297707,3.372952097911829,12.689866970159532,0.0,0.01435529297707,5.478324711485028,0.0,3.657640005207824,5.561020577829269,0.6690267655096305,0.01435529297707,0.0,4.107687869314374,0.3673710656485294,0.137503523749935,6.45335295377561,0.0285691521967709,0.0
