,CYP2E1 (1571),CYP3A5 (1577),UGT2B28 (54490),CYP3A4 (1576),GSTP1 (2950),GSTZ1 (2954),CYP2C18 (1562),CYP2D6 (1565),ADH1B (125),FMO4 (2329),ADH1C (126),ADH4 (127),ADH5 (128),GSTO1 (9446),ADH1A (124),GSTA5 (221357),MGST2 (4258),MGST1 (4257),FMO1 (2326),FMO2 (2327),MGST3 (4259),FMO3 (2328),GSTA3 (2940),GSTM1 (2944),UGT2B11 (10720),CYP2C9 (1559),FMO5 (2330),GSTA4 (2941),CYP2C19 (1557),GSTM4 (2948),CYP2C8 (1558),GSTM3 (2947),CYP2B6 (1555),GSTM2 (2946),UGT2A3 (79799),CYP2A13 (1553),UGT1A4 (54657),UGT1A1 (54658),CYP3A7 (1551),UGT1A3 (54659),GSTM5 (2949),UGT1A10 (54575),UGT1A8 (54576),UGT1A7 (54577),GSTA1 (2938),UGT1A6 (54578),MAOB (4129),GSTA2 (2939),MAOA (4128),AOX1 (316),ALDH3A1 (218),UGT1A5 (54579),GSTK1 (373156),CYP2A6 (1548),CYP2A7 (1549),ADH7 (131),CYP1A2 (1544),ADH6 (130),UGT2A1 (10941),ALDH1A3 (220),ALDH3B1 (221),ALDH3B2 (222),CYP3A43 (64816),UGT1A9 (54600),GSTO2 (119391),UGT2B10 (7365),UGT2B7 (7364),UGT2B4 (7363),UGT2B17 (7367),UGT2B15 (7366)
ACH-000694,1.1176950426697545,2.4905701304462013,0.01435529297707,0.0426443374084937,11.874520349074716,5.897482468196102,0.4541758931858021,1.879705766282288,0.01435529297707,2.0,6.082574866339516,0.0565835283663675,6.722602636851373,6.469885976274464,0.1243281350022017,0.0,7.075425665826001,8.12861303870471,0.0285691521967709,0.0426443374084937,6.185271905593818,0.0285691521967709,0.0,0.1110313123887439,0.01435529297707,0.2750070474998698,1.063502942306158,3.6959938131099,0.2016338611696504,2.056583528366368,0.4436066514756146,4.393690764187454,0.0285691521967709,0.8953026213333066,0.01435529297707,0.01435529297707,1.867896463992655,3.7322691995014496,0.3448284969974411,2.922197848396367,0.0,0.1505596765753814,0.8559896973084807,1.4436066514756147,0.6780719051126377,8.443813825110803,0.0426443374084937,0.137503523749935,4.85049941375812,0.2630344058337938,8.727273818967115,0.765534746362977,5.939931764727612,0.1505596765753814,0.01435529297707,2.910732661902913,0.0565835283663675,0.411426245726465,0.0285691521967709,8.410027278884572,6.400367145914883,5.914803677251784,0.0565835283663675,0.0,3.534808661231747,0.01435529297707,0.070389327891398,0.070389327891398,0.0,0.1634987322828795
ACH-000619,0.5945485495503542,0.8237493603082727,0.0,0.0285691521967709,10.047260266260045,4.245647773636751,0.0,1.74416109557041,0.0,1.7398481026993275,0.0,0.0,5.662205499653616,5.964398632203184,0.0,0.0,5.273515889702116,1.0565835283663676,0.0,0.0,6.2671612180222604,0.0,0.0,0.0,0.0,0.0,1.3448284969974411,2.5801454844233804,0.01435529297707,2.405992359675837,0.1505596765753814,4.275752048828529,0.0565835283663675,1.0071955014042038,0.0,0.0285691521967709,0.411426245726465,1.1309308698264486,0.2016338611696504,0.7136958148433591,0.2016338611696504,0.2630344058337938,0.0976107966264223,0.2509615735332188,0.0,5.001351892999959,0.2016338611696504,0.0,2.321928094887362,0.7398481026993274,3.78345665436024,0.2387868595871164,6.39780296186249,0.4541758931858021,0.01435529297707,0.0840642647884745,0.0,0.137503523749935,0.0,8.445677050270842,5.772941337831336,1.584962500721156,0.0,0.1634987322828795,3.2357270598380583,0.0,0.0426443374084937,0.0285691521967709,0.0285691521967709,0.0
ACH-000647,0.070389327891398,0.2868811477881615,0.0,0.0,9.86834414876462,4.364572432295856,0.0,1.411426245726465,0.0,1.992768430768924,0.070389327891398,0.0,6.448240225216066,6.182890892745479,0.0,0.0,4.864928972289788,8.12391445900198,0.0,0.0,5.921721947009604,0.0,0.0,5.864433796365624,0.0,0.0,1.280956313831056,0.925999418556223,0.0,2.57773093149008,0.137503523749935,6.998082647124651,0.01435529297707,2.1210154009613658,0.0,0.0,0.0285691521967709,0.01435529297707,0.0,0.1634987322828795,0.0426443374084937,0.2141248053528473,0.0,0.0,0.0285691521967709,1.6690267655096307,1.1375035237499351,0.0,1.622930350920177,0.925999418556223,1.8519988371124465,0.0,6.47864829453918,0.01435529297707,0.070389327891398,0.01435529297707,0.0976107966264223,0.0976107966264223,0.0,7.858416225388646,4.0557162635125446,0.765534746362977,0.0285691521967709,0.137503523749935,4.73226919950145,0.0,0.0,0.0,0.0,0.0
ACH-000231,1.070389327891398,0.3673710656485294,0.0,0.01435529297707,8.634339148207905,3.700439718141092,0.0565835283663675,1.6040713236688608,0.0,2.0840642647884744,0.070389327891398,0.01435529297707,6.615445725304786,7.035623909730721,0.0565835283663675,0.0,4.54101915313356,4.513490745588118,0.0,0.0285691521967709,6.280585202564472,0.3334237337251918,0.0,0.0,0.0,0.0976107966264223,1.91456452349394,3.583759753639499,0.0,4.259272487037594,2.2016338611696504,6.997856908579222,0.0,4.056583528366367,0.0,0.0,0.0,0.0426443374084937,0.0,0.0,0.137503523749935,0.1110313123887439,0.0426443374084937,0.1634987322828795,2.689299160535892,0.2509615735332188,1.3276873641760472,0.8318772411916731,1.1699250014423124,3.082361969557473,0.4329594072761063,0.070389327891398,6.223036337901875,0.137503523749935,0.0426443374084937,0.0,0.01435529297707,0.5160151470036647,0.0,5.563158130402808,3.871843648509318,0.0285691521967709,0.0,0.0426443374084937,0.8237493603082727,0.0,0.0565835283663675,0.0,0.0,0.0426443374084937
ACH-000837,1.232660756790275,0.1763227726404629,0.0,0.0285691521967709,1.8639384504239715,2.666756591884804,0.01435529297707,0.5360529002402097,0.0,1.1176950426697545,0.070389327891398,0.0,6.524659241412916,5.776103988073165,0.0,0.0,5.066089190457772,9.370513052460412,0.01435529297707,0.0,7.005063080013454,0.0,0.0,0.2016338611696504,0.01435529297707,0.0,0.6229303509201767,0.4005379295837288,0.0,0.7048719644563528,0.0,0.2750070474998698,0.0,0.2750070474998698,0.01435529297707,0.0,0.0,0.137503523749935,0.0285691521967709,0.0,0.0,0.137503523749935,0.0,0.1763227726404629,0.0,1.948600847493356,0.0285691521967709,0.0,1.480265122054463,2.582556003014061,8.421054946924242,0.0,4.007195501404204,0.070389327891398,0.0,0.070389327891398,0.0565835283663675,0.0976107966264223,0.01435529297707,9.26322224452176,4.607034345948616,2.400537929583729,0.0,0.0,4.210232990095849,0.0,0.01435529297707,0.0,0.3673710656485294,0.0285691521967709
