,TRIP6 (7205),CASP8 (841),CHUK (1147),TAB3 (257397),CXCL1 (2919),RIPK2 (8767),TNF (7124),BIRC3 (330),CCL2 (6347),XIAP (331),CCL5 (6352),NOD1 (10392),CARD6 (84674),CCL13 (6357),CCL11 (6356),CCL8 (6355),CARD8 (22900),CCL7 (6354),MEFV (4210),CXCL8 (3576),MAPK9 (5601),MAPK10 (5602),MAPK11 (5600),ERBIN (55914),MAPK13 (5603),CASP5 (838),IKBKB (3551),NOD2 (64127),MAP3K7 (6885),CASP1 (834),CARD18 (59082),TNFAIP3 (7128),SUGT1 (10910),MAPK3 (5595),PSTPIP1 (9051),NFKB1 (4790),NFKBIB (4793),NFKBIA (4792),MAPK1 (5594),IKBKG (8517),CARD9 (64170),MAPK8 (5599),MAPK14 (1432),MAPK12 (6300),IL18 (3606),RELA (5970),PYDC1 (260434),TRAF6 (7189),HSP90AA1 (3320),PYCARD (29108),TAB2 (23118),NLRC4 (58484),IL1B (3553),HSP90B1 (7184),NLRP3 (114548),NLRP1 (22861),NAIP (4671),BIRC2 (329),CXCL2 (2920),HSP90AB1 (3326),TAB1 (10454),IL6 (3569)
ACH-000694,6.696272083925863,4.6959938131099,3.8609627978581167,3.78345665436024,2.4828482830684653,3.016139702655253,0.0840642647884745,0.632268215499513,0.2750070474998698,4.257764968571387,1.7949356628035362,2.9818526532897405,3.1731274334806563,0.0,0.0,0.0,4.1906148602094975,0.0,0.0285691521967709,3.137503523749935,4.504620392403552,3.0942360698457656,2.2387868595871168,3.19377174339668,3.944858445807539,0.1505596765753814,3.9523335663696857,0.6959938131099002,4.032982416699428,5.496334513417112,1.6276068381296498,1.3161457422933562,6.075746538060906,5.515384460636948,0.6135316529179271,4.956056652412403,3.984589350362457,6.135247549809567,5.699051844016849,4.668459556915382,0.8953026213333066,4.2433644256936605,4.922197848396367,4.017031080527841,6.159669547136702,5.23189316164533,0.0,2.587364990936461,10.798957747900428,6.360364276543471,4.645009884391095,0.2750070474998698,1.5753123306874368,8.819636253808827,0.0285691521967709,5.044831233447812,2.3103401206121505,3.765534746362977,0.5753123306874368,10.54756935984222,4.208673319629471,0.2141248053528473
ACH-000619,7.187648995310601,4.577126661307052,3.007195501404204,4.112700132749362,3.097610796626422,3.5801454844233804,0.0976107966264223,3.687060688339893,0.2387868595871164,3.8972404255748,6.739578112048051,2.9011082430145123,2.1602748314085933,0.0,0.0,0.0,4.147306698780294,0.0,0.01435529297707,2.7420062108667365,4.349082146391089,2.2448870591235344,1.8914191868460783,4.715344295358907,4.349082146391089,0.0,4.579542224936903,0.632268215499513,3.8011586560936985,4.4409521980296365,0.0,4.0574502721839,4.835924074254375,5.140369670651527,0.3219280948873623,4.135042286233651,4.371558862611963,6.182493674945368,4.939226577728209,4.3269687115878925,1.4276061727818994,4.37016428054021,4.4269356196483365,4.522306892871389,5.261906859828068,5.606738317417591,0.0,2.0874628412503395,9.27995873575173,5.788424707439437,4.494415610397496,0.2509615735332188,5.2268938135713885,9.40731025831819,0.0840642647884745,5.405652061280371,1.4905701304462011,4.467931546026287,1.6870606883398924,9.307178035558684,3.2600256559614555,2.7070829917717063
ACH-000647,6.779391059535914,3.661065479806948,4.220329954879555,4.57106999816771,3.495695162624069,4.000901402741532,0.2265085298086797,6.111865963867557,0.2509615735332188,4.234194722953812,0.0285691521967709,3.888499735514123,0.903038270112912,0.0,0.0,0.0,4.043519493662743,0.0,0.0285691521967709,2.634593268445757,5.062639828286463,1.2387868595871168,2.2357270598380583,4.843983844048327,5.284292026394312,0.0,2.6182386555954547,0.137503523749935,4.23342794374847,0.5753123306874368,0.0,4.386810946472217,6.707635219545296,5.057016965365539,0.411426245726465,4.542877099354142,5.30560578958543,4.891905188211931,7.632922515461243,5.005849075696688,4.955591791753994,6.341096237957642,5.48058827023386,4.325530331567558,5.318316841334983,5.059614856297222,0.0426443374084937,2.319039815562536,9.80044696491395,3.073820233291672,4.934988201783478,0.3103401206121505,0.7570232465074596,8.841910238588909,0.0565835283663675,3.82781902461732,1.3391373849195856,7.362031472895834,2.1858665453113337,10.41341637465164,3.8972404255748,8.413712542087795
ACH-000231,6.843230150496545,3.915520900751959,4.416839741912829,4.624685810525398,0.3103401206121505,4.683134985126093,0.1243281350022017,2.625270489374693,6.333065878076355,5.3045110418099535,6.9985340182791775,2.372952097911829,1.541019153133559,0.070389327891398,0.0,0.0,4.782932704820837,0.1890338243900171,0.070389327891398,1.7092906357233577,5.15704371014558,0.7990873060740036,3.381283372503784,6.459431618637297,2.16349873228288,0.0,4.7300964655954685,0.1505596765753814,5.138732569720239,2.2265085298086795,0.0,4.032100843167024,4.817623257511431,4.910732661902912,0.3561438102252753,4.485426827170242,4.635173946674924,5.936166777979151,5.727103603522661,5.698218478224414,1.063502942306158,5.320484678017694,5.314696525656286,4.357552004618084,0.2387868595871164,5.421896512042248,0.0,2.411426245726465,9.726354416891883,0.4222330006830478,5.919101679559393,0.1634987322828795,1.1763227726404628,10.145677455195637,0.0976107966264223,2.903038270112912,2.6016965164809576,5.216842842837263,0.3103401206121505,10.140446364195675,3.658782734012828,3.475084882948783
ACH-000837,5.056149961108142,4.7554217347342425,3.150559676575381,3.319039815562536,0.5655971758542251,4.084064264788474,0.2141248053528473,5.009884588931844,0.137503523749935,3.814550423461808,0.7484612330040357,1.819668183496456,2.0531113364595623,0.0976107966264223,0.0,0.0,4.24412594328373,0.0,0.0,2.978195629681652,4.828834649468056,0.6135316529179271,1.7990873060740036,5.083638879250706,5.851749041416057,0.1505596765753814,4.456806149230474,0.0976107966264223,3.989139007368233,0.01435529297707,0.0,2.922197848396367,6.089159131911238,4.9740703670240265,0.01435529297707,4.630521963471638,4.4950555283680185,6.175324989184902,5.241840183564671,4.053111336459563,0.6040713236688608,4.402585758232587,4.268284666520996,3.2854022188622483,5.051807107013298,6.127014141582809,0.3448284969974411,2.0669502439246266,10.249943030531488,0.2750070474998698,5.220716891998917,0.4005379295837288,0.1505596765753814,9.29648035081223,0.1890338243900171,0.4750848829487828,1.4276061727818994,5.409390936137702,1.298658315564515,10.200898605038445,3.63575439127776,0.7398481026993274
