,ACSS2 (55902),ALDH1B1 (219),ABAT (18),ALDH2 (217),ACADM (34),ACAT2 (39),ACAT1 (38),LDHC (3948),MCEE (84693),HADHA (3030),ALDH6A1 (4329),ACSS1 (84532),LDHB (3945),ECHS1 (1892),ALDH9A1 (223),ALDH3A2 (224),PCCB (5096),HIBCH (26275),EHHADH (1962),PCCA (5095),ALDH7A1 (501),LDHAL6B (92483),SUCLG1 (8802),MLYCD (23417),LDHA (3939),SUCLA2 (8803),ACACB (32),MMUT (4594),SUCLG2 (8801),ACACA (31),ACSS3 (79611),LDHAL6A (160287)
ACH-000694,5.0386995513055854,3.2047667506546134,2.778208576398088,6.519321734629434,4.911212201558612,4.70984201927331,4.361768359419154,0.0426443374084937,4.260025655961456,6.359661722333877,2.5897634869849773,3.324810603420484,9.170976583233674,6.333244816996384,5.144862142915734,6.063287212206184,5.485748821377781,3.949534933017012,3.654206377944292,3.784503982929567,0.6690267655096305,0.3103401206121505,6.983791683165783,1.2265085298086795,9.353587949195417,5.502712485966061,2.035623909730721,3.787641414483326,4.7938958825488776,5.724923070266613,0.01435529297707,0.0285691521967709
ACH-000619,5.105594275795191,2.8579809951275723,2.3015876466031866,4.727375938594897,4.7938958825488776,4.862451391325582,4.152994605492435,0.2387868595871164,3.2387868595871163,5.901108243014512,2.150559676575381,2.1984941536390834,8.146797757779183,5.2731428593080825,4.9453267772646265,5.6544928258834615,4.009884588931844,4.039138393906958,3.00539998774259,3.3175935046234715,6.046796609573758,0.1763227726404629,5.4409521980296365,1.2868811477881614,8.932450997932952,4.181102550753798,1.3448284969974411,2.9653225483672547,4.168321115739722,5.356495987705577,0.0,0.0426443374084937
ACH-000647,5.004051884507083,4.534186139090097,2.7420062108667365,5.398487190018967,6.664198369291911,5.680886920719692,5.948834425578686,0.0,3.082361969557473,7.528493181191486,3.0125686735030555,2.414135532984451,8.958813681884365,6.79259510251225,5.203201156316611,5.317231700222606,5.34801990922869,4.25171909260596,2.956056652412403,4.004501392234941,5.35508676166836,0.1763227726404629,6.937815168803419,1.550900664647523,9.424019281833829,6.2193621578077165,2.6415460290875235,4.127633279725874,5.277984747299765,5.034743949324734,0.0,0.0840642647884745
ACH-000231,3.693765712217783,5.266411766036114,1.6182386555954549,1.8914191868460783,5.37016428054021,5.62993940943954,4.621758856709732,0.0,3.494415610397496,5.913846824263042,2.381283372503784,0.5058909297299572,9.03804103701151,6.778208576398088,5.255878352582786,4.408032466130653,5.159871336778389,3.211012193485512,0.6780719051126377,2.666756591884804,6.725468512632615,0.5360529002402097,5.449231200669493,1.867896463992655,10.762382038710392,4.6656201640663815,2.1858665453113337,4.1440463696167065,4.773996325111173,4.95093492831454,0.4956951626240688,0.0840642647884745
ACH-000837,5.090853430451113,3.942045259916047,0.2265085298086797,0.411426245726465,4.281698250098829,5.222263603528345,5.854743738995535,0.1110313123887439,3.51096191927738,6.606146078065724,1.560714954474479,0.137503523749935,11.11309098344238,6.631831850610098,5.565597175854225,7.494015517480295,4.868884273028773,3.726831217032493,1.752748591407134,2.584962500721156,5.829342193902803,0.1890338243900171,6.277798821010329,0.963474123974886,10.31944632940715,4.982765462583646,0.1634987322828795,2.778208576398088,5.2253520607761015,4.1969217338203295,0.0,0.01435529297707
