,CCL26 (10344),STAT3 (6774),STAT1 (6772),STAT2 (6773),CCL2 (6347),GNB4 (59345),CCL3 (6348),GRK3 (157),GRK2 (156),CCL5 (6352),CCL4 (6351),CX3CR1 (1524),CCL13 (6357),CCL11 (6356),CCL8 (6355),CCL7 (6354),CCL3L3 (414062),ROCK1 (6093),PTK2 (5747),BRAF (673),CXCL14 (9547),VAV1 (7409),CCL14 (6358),CCL15 (6359),IKBKB (3551),AKT1 (207),AKT2 (208),JAK3 (3718),SHC4 (399694),DOCK2 (1794),JAK2 (3717),CCL18 (6362),GRK7 (131890),ARRB2 (409),CCL17 (6361),ARRB1 (408),CCL20 (6364),VAV2 (7410),CCL19 (6363),AKT3 (10000),NRAS (4893),CCL21 (6366),CCL23 (6368),TIAM1 (7074),CCL22 (6367),GNG13 (51764),STAT5B (6777),NFKB1 (4790),GRK1 (6011),NFKBIB (4793),NFKBIA (4792),CCL16 (6360),PIK3R5 (23533),RELA (5970),GNG7 (2788),GNG5 (2787),KRAS (3845),SHC3 (53358),FGR (2268),GNB3 (2784),GNB2 (2783),CCL24 (6369),PRKX (5613),GNG4 (2786),GNG3 (2785),GNAI1 (2770),GNG10 (2790),GNAI2 (2771),GNG11 (2791),GNGT1 (2792),CX3CL1 (6376),GNGT2 (2793),XCL1 (6375),CXCL5 (6374),ADCY3 (109),CXCL11 (6373),GNG2 (54331),ADCY2 (108),CXCL6 (6372),ADCY1 (107),CCR9 (10803),CCR2 (729230),CCL25 (6370),PXN (5829),CXCR3 (2833),CSK (1445),CCL4L2 (9560),FOXO3 (2309),PRKACA (5566),BCAR1 (9564),PRKACB (5567),GNB5 (10681),PRKACG (5568),PAK1 (5058),GNAI3 (2773),CRK (1398),CXCL12 (6387),CCR10 (2826),GNB1 (2782),CRKL (1399),XCR1 (2829),PTK2B (2185),CDC42 (998),PLCB2 (5330),SOS2 (6655),ADCY8 (114),CXCL10 (3627),PLCB1 (23236),ADCY9 (115),ADCY6 (112),CHUK (1147),RAF1 (5894),PRKCB (5579),ADCY7 (113),CXCL1 (2919),SHC1 (6464),PLCB3 (5331),PLCB4 (5332),ADCY5 (111),CXCR5 (643),CCL27 (10850),WAS (7454),PREX1 (57580),RHOA (387),CXCR4 (7852),CXCR2 (3579),GNG8 (94235),CXCR1 (3577),CCL28 (56477),PRKCD (5580),HCK (3055),CXCL8 (3576),RAC2 (5880),WASL (8976),RASGRP2 (10235),MAP2K1 (5604),ADCY4 (196883),CCR3 (1232),CCR4 (1233),CXCR6 (10663),CCR5 (1234),PRKCZ (5590),CCR6 (1235),CCR7 (1236),CCR8 (1237),GRB2 (2885),MAPK3 (5595),CXCL16 (58191),RAC1 (5879),SOS1 (6654),MAPK1 (5594),IKBKG (8517),HRAS (3265),GSK3B (2932),CCR1 (1230),GSK3A (2931),XCL2 (6846),ITK (3702),CCL1 (6346),CXCL13 (10563),GNG12 (55970),ROCK2 (9475),RAP1A (5906),PIK3R3 (8503),RAP1B (5908),TIAM2 (26230),PF4 (5196),CXCL2 (2920),CXCL3 (2921),PF4V1 (5197),GRK6 (2870),PIK3CA (5290),PIK3CB (5291),CXCL9 (4283),PIK3CD (5293),NCF1 (653361),ELMO1 (9844),SHC2 (25759),PPBP (5473),GRK4 (2868),PARD3 (56288),GRK5 (2869),PIK3CG (5294),PIK3R1 (5295),VAV3 (10451),LYN (4067),PIK3R2 (5296)
ACH-000694,4.381283372503783,5.1838834590322325,5.134220939760634,5.146899560343589,0.2750070474998698,1.7739963251111732,0.1110313123887439,2.0531113364595623,6.405822220511669,1.7949356628035362,0.0,0.0426443374084937,0.0,0.0,0.0,0.0,0.0840642647884745,4.200849574637213,5.953730849811491,2.839959587489532,1.3276873641760472,3.565597175854225,0.0,0.0,3.9523335663696857,6.6849589615938525,5.04788732939655,0.137503523749935,0.4222330006830478,0.137503523749935,1.7782085763980875,0.0,0.2750070474998698,5.118941072723508,0.7048719644563528,1.6599245584023783,0.0840642647884745,4.3743439890385005,0.0,2.277984747299765,3.836934011321092,0.0,0.0,3.3936907641874536,0.5849625007211562,0.1890338243900171,4.447579196548882,4.956056652412403,0.01435529297707,3.984589350362457,6.135247549809567,0.0,0.1763227726404629,5.23189316164533,0.2387868595871164,6.065227622775619,3.932628157022127,0.137503523749935,0.0565835283663675,2.137503523749935,7.3346755299346515,0.5849625007211562,4.155425431747197,2.548436624696042,0.8073549220576041,4.782932704820837,5.640967910449898,5.963011647599427,0.6599245584023783,0.8318772411916731,0.0426443374084937,0.0,2.1984941536390834,0.1505596765753814,4.769771739249448,0.0426443374084937,0.2141248053528473,0.2265085298086797,0.0285691521967709,1.454175893185802,0.0,0.070389327891398,0.0,6.214707673197644,0.0426443374084937,5.449891473010944,0.0,3.687060688339893,4.986410935252045,4.445594291341182,3.4462562298895643,4.175524601089875,0.0,3.4918530963296748,2.073820233291672,5.277240898332067,0.1110313123887439,0.2986583155645151,6.737957106213592,5.105175192265479,0.0285691521967709,4.03738222200308,7.332886916959597,0.4436066514756146,3.690417095532466,0.0,0.0840642647884745,3.277984747299765,3.3103401206121505,3.970853654340484,3.8609627978581167,5.314696525656286,0.7824085649273732,6.469560421711221,2.4828482830684653,5.696828464588713,4.873321062914816,0.2265085298086797,0.3103401206121505,0.0,0.137503523749935,0.3673710656485294,1.5360529002402097,7.646882672664623,0.2750070474998698,1.1243281350022014,0.0,0.0,1.7311832415722,5.06177619758669,0.2868811477881615,3.137503523749935,5.221877081077034,3.6322682154995127,0.3895668117627256,5.308156975114762,1.1826922975161902,0.0976107966264223,0.0565835283663675,0.2750070474998698,0.0285691521967709,4.514122260170708,0.0,0.4005379295837288,0.0,5.8671551631075145,5.515384460636948,6.213541701926564,8.045268215138533,3.5459683691052923,5.699051844016849,4.668459556915382,6.421896512042248,5.105175192265479,0.0840642647884745,4.22573765346606,0.1634987322828795,0.0,0.0,0.070389327891398,4.379898163524692,3.702657543390911,4.970393537914677,3.077242998932461,6.889960199658641,2.475084882948783,0.0,0.5753123306874368,0.6690267655096305,0.0,4.759688488427289,3.3146965256562866,4.404630684217612,0.0,0.4222330006830478,1.0285691521967708,2.513490745588118,1.0214797274104517,0.1505596765753814,1.1826922975161902,4.718087583960517,2.689299160535892,0.0285691521967709,2.6599245584023783,3.784503982929567,3.2555007331483865,3.451540833017832
ACH-000619,2.821710215034674,5.779522386743769,7.098663781886574,6.381110294099054,0.2387868595871164,2.2265085298086795,0.0,1.1309308698264486,5.932391940068527,6.739578112048051,0.0,0.01435529297707,0.0,0.0,0.0,0.0,0.070389327891398,3.111031312388744,5.840966704487421,2.6622054996536164,0.070389327891398,2.657640005207824,0.0,0.0,4.579542224936903,6.011003564432669,5.7238315664953205,1.1243281350022014,0.0285691521967709,0.1243281350022017,1.2016338611696504,0.0,0.1110313123887439,4.656496370553495,0.5360529002402097,2.2720231890610485,0.5160151470036647,4.69655030107857,0.0,1.4436066514756147,4.141596278383818,0.0,0.0,2.2839217723076177,1.2570106182060237,0.2016338611696504,4.669026765509631,4.135042286233651,0.0,4.371558862611963,6.182493674945368,0.0,0.0,5.606738317417591,0.0840642647884745,6.401220862160216,3.625270489374693,0.0840642647884745,0.3219280948873623,1.4059923596758368,8.120808102298621,0.1243281350022017,2.411426245726465,1.2016338611696504,0.2509615735332188,4.160274831408593,5.582556003014061,5.915042791371977,1.722466024471091,0.8237493603082727,0.137503523749935,0.070389327891398,1.4222330006830477,0.0565835283663675,5.207892851641333,0.4329594072761063,0.2265085298086797,0.0,0.2868811477881615,1.867896463992655,0.01435529297707,0.0,0.0,6.01992426090841,0.0285691521967709,4.83035674741922,0.0,4.059182199211692,4.908332569782425,5.203592714207708,3.04788732939655,3.922197848396367,0.0,4.563158130402808,2.144046369616707,4.534808661231747,0.0565835283663675,0.1505596765753814,6.576522137920503,4.524815928357506,0.01435529297707,3.8904466926799057,6.759555343206311,0.765534746362977,3.212569338850806,0.0,0.4750848829487828,1.0496307677246008,2.8619553641448694,4.354734239970604,3.007195501404204,5.661920579135087,0.0285691521967709,4.786596361890807,3.097610796626422,6.485587833257222,4.44028782084042,1.2387868595871168,0.1634987322828795,0.01435529297707,0.3219280948873623,0.5753123306874368,1.831877241191673,7.104860799708199,0.1763227726404629,0.3448284969974411,0.0,0.0,1.819668183496456,4.601696516480957,0.0285691521967709,2.7420062108667365,5.340562269026414,3.6915341649192,0.8718436485093178,5.237257770900372,1.4750848829487828,0.0840642647884745,0.01435529297707,0.137503523749935,0.0,3.963474123974886,0.0,0.2986583155645151,0.0,5.266411766036114,5.140369670651527,5.891662207993943,7.803227036434928,2.839959587489532,4.939226577728209,4.3269687115878925,6.264348763351165,3.977279923499916,0.070389327891398,4.714795011118162,0.137503523749935,0.070389327891398,0.0,0.0,4.689858236319245,3.232660756790275,4.062639828286463,2.2898344651775093,6.666188489872781,1.8559896973084808,0.0,1.6870606883398924,0.9107326619029126,0.0,4.107687869314374,3.702657543390911,3.831877241191673,0.0565835283663675,1.565597175854225,0.6780719051126377,0.1110313123887439,0.0,0.0,1.5008020530571575,4.751677945687579,1.831877241191673,0.0,2.097610796626422,2.634593268445757,4.064365540263628,2.771885578515366
ACH-000647,0.3448284969974411,6.8378171266725465,6.081510068120917,5.549977142771825,0.2509615735332188,3.618238655595455,0.0840642647884745,2.782408564927373,5.929790997718597,0.0285691521967709,0.0,0.01435529297707,0.0,0.0,0.0,0.0,0.84799690655495,4.269033146455237,6.17672169288105,3.624100894628114,1.5008020530571575,3.71259578044703,0.0,0.0,2.6182386555954547,5.883865154509794,6.14649230697719,1.232660756790275,0.2016338611696504,2.3868109464722167,1.3448284969974411,0.0,0.01435529297707,5.528883827274642,0.0,3.404630684217612,0.3561438102252753,4.527946098908258,0.0,3.842978831788325,5.439623137557117,0.0426443374084937,0.0,3.787641414483326,0.01435529297707,0.7570232465074596,4.69655030107857,4.542877099354142,0.070389327891398,5.30560578958543,4.891905188211931,0.0,0.963474123974886,5.059614856297222,1.38404980679516,7.634738459915802,4.05484847699562,0.2141248053528473,0.0285691521967709,1.4646682670034443,7.310431013353771,0.0,2.356143810225275,4.763411574470007,0.1763227726404629,5.107269393592545,6.2433644256936605,6.443772392763739,3.455491620628468,0.6507645591169022,0.0426443374084937,0.9781956296816516,0.0,0.1634987322828795,6.692789834972647,0.0,0.4750848829487828,0.0,0.1243281350022017,4.096767854714689,0.0285691521967709,0.0,0.0,8.342963574398725,0.0285691521967709,4.774523529590232,0.0,3.846994686965573,6.004950759951045,6.104965604839979,4.4269356196483365,4.820689560559215,0.0,5.820689560559215,3.102658131363739,5.585263030883869,0.0565835283663675,0.8155754288625725,7.865238370957231,7.159265883160681,0.0285691521967709,3.768713657030485,7.894878379473196,1.5945485495503542,3.203201156316611,0.01435529297707,0.0,0.8399595874895318,3.8972404255748,4.439623137557117,4.220329954879555,6.998985248258895,0.070389327891398,3.5096958419333872,3.495695162624069,8.42097076340615,4.425593577653059,2.6622054996536164,0.5558161550616396,0.0285691521967709,0.2509615735332188,0.2986583155645151,3.559491813205038,8.080817527608327,0.2265085298086797,0.0,0.0,0.01435529297707,3.613531652917927,4.20163386116965,0.4541758931858021,2.634593268445757,5.494415610397496,4.509062386361898,1.944858445807539,5.667040559022988,0.918386234446348,0.2265085298086797,0.070389327891398,0.2016338611696504,0.0,5.489928219405183,0.0565835283663675,0.137503523749935,0.0285691521967709,6.017699252693033,5.057016965365539,6.408032466130653,8.615298579092116,4.40735275114004,7.632922515461243,5.005849075696688,4.888499735514123,4.579542224936903,0.070389327891398,5.581351247168778,0.0,0.01435529297707,0.0,0.0,5.520736526937641,5.074248523347032,6.562089750001036,3.346247774082776,6.985272714253447,2.835924074254375,0.0,2.1858665453113337,0.8875252707415875,0.0,5.1838834590322325,3.739848102699328,4.072105800480419,0.01435529297707,2.920293300211007,0.5945485495503542,0.137503523749935,0.5058909297299572,0.0,1.8439838440483265,5.211790976252541,2.364572432295856,0.0426443374084937,1.3391373849195856,1.2141248053528475,4.139960569545456,3.682573297347578
ACH-000231,3.144046369616707,5.778734244117836,7.473705749619415,6.572586549385767,6.333065878076355,4.2471680003747725,0.0840642647884745,1.2203299548795556,4.819668183496455,6.9985340182791775,0.0,0.0565835283663675,0.070389327891398,0.0,0.0,0.1890338243900171,0.0,4.670160514126633,5.589164236699772,3.264536430999025,2.003602236680196,0.1243281350022017,0.0,0.0,4.7300964655954685,7.173926931999809,6.170926525287385,0.1505596765753814,1.4168397419128294,6.192588721566644,2.689299160535892,0.0,0.0285691521967709,3.715893370547605,0.0976107966264223,1.2868811477881614,0.1505596765753814,4.7718855785153655,0.0,4.519793486241101,5.813524689297811,0.0,0.0,0.5753123306874368,0.01435529297707,1.1243281350022014,4.068670810665099,4.485426827170242,0.01435529297707,4.635173946674924,5.936166777979151,0.0,0.0,5.421896512042248,1.831877241191673,7.777353957634332,4.379898163524692,0.7484612330040357,0.1763227726404629,3.215678596607928,7.672849601654273,0.0,3.460742563789644,2.0,0.4750848829487828,1.7865963618908067,6.029232003134638,8.558573776240628,3.938285791884053,0.0,1.8155754288625725,0.0565835283663675,0.0565835283663675,0.7136958148433591,4.354734239970604,3.7803100990433753,3.77082904603249,2.204766750654613,0.1505596765753814,1.922197848396367,0.0,0.0,0.0,7.273888823668492,0.0,5.856985689782205,0.0,4.144862142915734,6.31124879044183,6.451870478864323,4.762348815644129,5.590063018812253,0.0,4.732811872082943,3.609991295212679,5.078951341394822,0.070389327891398,0.5360529002402097,8.42050766622985,5.700717132821476,0.0,1.8237493603082728,8.468664767679588,0.9708536543404837,4.017031080527841,0.0285691521967709,4.335569005556748,1.0908534304511135,3.316145742293356,4.763411574470007,4.416839741912829,6.630085070002124,0.137503523749935,2.9049657186840263,0.3103401206121505,8.024973407408652,4.111031312388744,4.277984747299765,0.1890338243900171,0.0285691521967709,0.0840642647884745,0.6780719051126377,1.978195629681652,9.381802483168777,0.7398481026993274,0.0840642647884745,1.3391373849195856,0.0,0.01435529297707,3.807354922057604,0.1110313123887439,1.7092906357233577,3.300123724569014,3.950468414150123,0.137503523749935,6.534964249804655,0.1505596765753814,0.0285691521967709,0.0840642647884745,0.1763227726404629,0.0,3.422233000683048,0.0,0.0,0.0,5.153805336079036,4.910732661902912,4.182692297516191,7.693626341591109,3.266036893995317,5.727103603522661,5.698218478224414,5.609400390006429,5.047014819517589,0.1763227726404629,5.730639955916791,0.0,0.01435529297707,0.0,0.0565835283663675,6.687340687378304,3.485426827170241,6.62541662207078,4.640967910449898,8.300215263228408,5.743353390944915,0.0,0.3103401206121505,0.3103401206121505,0.0,5.340918270272116,3.613531652917927,4.36667191611176,0.6599245584023783,3.2387868595871163,0.2141248053528473,1.3561438102252754,0.879705766282288,0.0,1.839959587489532,3.93451650158608,2.895302621333306,0.1110313123887439,4.907371413823563,1.516015147003665,3.7644735509926655,4.118525848935668
ACH-000837,0.3448284969974411,5.4239142676731,4.903038270112912,4.36737106564853,0.137503523749935,0.0840642647884745,0.0840642647884745,2.803227036434928,5.756756451307274,0.7484612330040357,0.070389327891398,0.0565835283663675,0.0976107966264223,0.0,0.0,0.0,0.0426443374084937,4.124328135002202,7.118214352650125,2.5921580021253603,0.2141248053528473,4.12267271882414,0.0,0.0,4.456806149230474,6.476381687567235,5.273515889702116,0.0285691521967709,0.2387868595871164,0.2986583155645151,1.516015147003665,0.0426443374084937,0.01435529297707,4.679198570566922,0.5459683691052926,4.260778431893426,1.9373443921502325,3.725741156503952,0.0,3.970853654340484,1.292781749227846,0.0,0.0,4.093391153253013,1.1826922975161902,0.0565835283663675,3.400537929583729,4.630521963471638,0.0285691521967709,4.4950555283680185,6.175324989184902,0.0,0.0285691521967709,6.127014141582809,0.0565835283663675,6.84987419379562,4.522306892871389,0.2750070474998698,0.070389327891398,1.4168397419128294,6.307064162255372,0.0,3.0107798387532423,3.6959938131099,0.7484612330040357,3.158660175346498,5.504620392403552,4.631686366311998,0.0285691521967709,0.0,0.0840642647884745,0.0,0.01435529297707,0.4956951626240688,5.55704241526372,0.0285691521967709,0.0565835283663675,0.0,0.0426443374084937,0.01435529297707,0.01435529297707,0.0285691521967709,0.0426443374084937,7.211888294546004,0.0,6.813909425077029,0.0565835283663675,3.382667252745041,4.429615964201735,6.491372117815172,4.55028504908841,3.426264754702098,0.0,5.12391445900198,2.4828482830684653,4.964398632203184,0.0,0.070389327891398,7.415572775079063,5.270528942380718,0.0,3.374343989038501,7.199574198978244,0.2016338611696504,3.137503523749935,0.0,0.0285691521967709,2.277984747299765,1.0356239097307212,3.040892430646901,3.150559676575381,5.39746072605472,0.2141248053528473,4.956056652412403,0.5655971758542251,5.93451650158608,4.49761236561836,2.8094144442358986,0.0426443374084937,0.0,0.0,0.3334237337251918,0.0840642647884745,7.574404309022579,0.4222330006830478,0.0,0.0,0.070389327891398,1.4276061727818994,3.794935662803536,0.0426443374084937,2.978195629681652,0.7048719644563528,2.881664619320345,0.4646682670034443,6.855491443101874,0.0426443374084937,1.4168397419128294,0.1110313123887439,0.7739963251111731,0.0,3.653060017104565,0.0,0.0840642647884745,0.0285691521967709,5.350850805483376,4.9740703670240265,4.111865963867557,7.658711339973922,3.2539892662307865,5.241840183564671,4.053111336459563,5.502712485966061,4.95837871156634,0.5260688116675876,5.06177619758669,0.0,0.0565835283663675,0.0,0.0285691521967709,4.775050541483175,3.4867143730307024,5.282810439572558,3.8083850506560935,7.129798173187144,2.8257856274647914,0.0,1.298658315564515,1.752748591407134,0.0,5.1965283609369415,3.1842802944193824,4.20945336562895,0.0,0.6507645591169022,0.1243281350022017,0.3673710656485294,0.3561438102252753,0.0976107966264223,0.8237493603082727,5.352617298958503,2.2448870591235344,0.0285691521967709,2.1667154449664223,2.475084882948783,4.6194130105979365,3.344828496997441
