,ACOT4 (122970),TECR (9524),BAAT (570),ELOVL5 (60481),ELOVL6 (79071),ACOT2 (10965),YOD1 (55432),ELOVL2 (54898),FADS1 (3992),FADS2 (9415),ACOX3 (8310),PECR (55825),SCD5 (79966),SCD (6319),HACD1 (9200),ACAA1 (30),HADHA (3030),ACOT1 (641371),ACOT7 (11332),ACOX1 (51),HSD17B12 (51144),HACD2 (201562)
ACH-000694,0.5558161550616396,7.493295070503581,0.01435529297707,4.971773447193373,4.416839741912829,3.229587922740652,3.351910961103077,0.0840642647884745,4.815063017192867,2.3476656563009706,2.298658315564515,2.6205864104518777,5.121844297876376,6.862823299823681,2.035623909730721,5.199279721336625,6.359661722333877,1.1243281350022014,5.594847089653,4.37016428054021,6.11332544304199,5.92837032301897
ACH-000619,1.839959587489532,6.830103175920036,0.01435529297707,6.23687524536694,4.24031432933371,3.884597920990065,3.1795110502715103,0.3895668117627256,5.896271848807375,4.480265122054463,2.2720231890610485,2.38404980679516,3.2357270598380583,7.690836097919134,3.9900472195737935,4.952333566369686,5.901108243014512,2.6599245584023783,5.7420062108667365,3.807354922057604,6.174526265266431,4.79025073883523
ACH-000647,3.346247774082776,6.384567923173826,0.137503523749935,6.562242424221073,3.266036893995317,4.815063017192867,3.75595576955096,0.2986583155645151,4.360364276543471,2.925999418556223,3.111031312388744,3.102658131363739,3.5360529002402097,2.280956313831056,5.582556003014061,5.402585758232587,7.528493181191486,2.6982184782244136,6.609104846618959,4.204766750654613,5.332707933640605,5.915998851738901
ACH-000231,0.7570232465074596,6.88508622529017,0.2265085298086797,7.499128346499322,4.789207575347344,4.7230123963923685,2.769771739249448,1.6088092426755238,4.176322772640463,5.150965783556497,3.694880192799191,2.9049657186840263,3.0125686735030555,7.273329386561673,4.500802053057158,6.015693807105145,5.913846824263042,2.6803243568440163,7.836050355058069,3.476381687567235,4.750606504835592,6.09887428674445
ACH-000837,3.303050084681673,6.821582672706793,0.1505596765753814,5.175923742063755,3.64961545906341,5.520422248526446,3.526068811667588,0.0285691521967709,4.671859468247477,2.8298495598446904,3.816599706534912,2.669026765509631,4.302319050948834,4.857483428286672,4.28318097894557,5.2543672814408335,6.606146078065724,3.3950627995175777,6.709979832240018,3.1473066987802936,6.0386995513055854,5.016139702655253
