,UGT1A10 (54575),UGT1A8 (54576),RPE (6120),UGT1A7 (54577),UGT1A6 (54578),UGT2B28 (54490),UGT1A5 (54579),CRYL1 (51084),UGDH (7358),UGT2A1 (10941),GUSB (2990),UGT1A9 (54600),DCXR (51181),RPEL1 (729020),DHDH (27294),UGT2B11 (10720),UGP2 (7360),XYLB (9942),UGT2B10 (7365),AKR1B1 (231),UGT2B7 (7364),UGT2B4 (7363),UGT2A3 (79799),UGT1A4 (54657),UGT2B17 (7367),UGT1A1 (54658),UGT1A3 (54659),UGT2B15 (7366)
ACH-000694,0.1505596765753814,0.8559896973084807,5.557348817524803,1.4436066514756147,8.443813825110803,0.01435529297707,0.765534746362977,3.72137265947682,4.863442934348041,0.0285691521967709,4.714795011118162,0.0,6.5136486501513895,0.2630344058337938,1.883620816285672,0.01435529297707,6.095291520211728,1.4750848829487828,0.01435529297707,6.069959890459774,0.070389327891398,0.070389327891398,0.01435529297707,1.867896463992655,0.0,3.7322691995014496,2.922197848396367,0.1634987322828795
ACH-000619,0.2630344058337938,0.0976107966264223,5.321928094887363,0.2509615735332188,5.001351892999959,0.0,0.2387868595871164,3.4019034716079584,4.705977901682522,0.0,5.75702324650746,0.1634987322828795,5.6884601404244926,0.2509615735332188,1.6870606883398924,0.0,5.697384630764024,1.1375035237499351,0.0,6.2925977202664525,0.0426443374084937,0.0285691521967709,0.0,0.411426245726465,0.0285691521967709,1.1309308698264486,0.7136958148433591,0.0
ACH-000647,0.2141248053528473,0.0,5.893604904858294,0.0,1.6690267655096307,0.0,0.0,2.6915341649192,4.83035674741922,0.0,6.083851587697961,0.137503523749935,6.6801836815924895,0.2265085298086797,1.883620816285672,0.0,6.9199359173494575,1.584962500721156,0.0,7.582932282988257,0.0,0.0,0.0,0.0285691521967709,0.0,0.01435529297707,0.1634987322828795,0.0
ACH-000231,0.1110313123887439,0.0426443374084937,5.209843230525496,0.1634987322828795,0.2509615735332188,0.0,0.070389327891398,2.990954860396993,4.714795011118162,0.0,6.365797502459385,0.0426443374084937,5.910732661902912,0.1890338243900171,0.5160151470036647,0.0,6.675533686225485,1.6780719051126378,0.0,6.823494624712857,0.0565835283663675,0.0,0.0,0.0,0.0,0.0426443374084937,0.0,0.0426443374084937
ACH-000837,0.137503523749935,0.0,5.668459556915382,0.1763227726404629,1.948600847493356,0.0,0.0,3.45022149589718,6.119356177039675,0.01435529297707,7.011674533380918,0.0,6.087674986687217,0.2750070474998698,0.137503523749935,0.01435529297707,6.2761244052742375,2.4329594072761065,0.0,5.971083657536011,0.01435529297707,0.0,0.01435529297707,0.0,0.3673710656485294,0.137503523749935,0.0,0.0285691521967709
