,HLA-DOA (3111),HLA-DOB (3112),KLRC3 (3823),KLRD1 (3824),KLRC1 (3821),KLRC2 (3822),RFXAP (5994),RFX5 (5993),IFNA5 (3442),IFNA4 (3441),IFNA2 (3440),IFNA1 (3439),LGMN (5641),PSME3 (10197),CTSS (1520),HLA-C (3107),HLA-B (3106),HLA-DMB (3109),HLA-DMA (3108),HLA-A (3105),HSPA1L (3305),HSPA1B (3304),HSPA2 (3306),HLA-G (3135),KIR3DL1 (3811),KIR3DL2 (3812),HSPA1A (3303),RFXANK (8625),CREB1 (1385),IFNA17 (3451),HSPA5 (3309),CD74 (972),HSPA4 (3308),IFNA21 (3452),CTSL (1514),IFNA6 (3443),IFI30 (10437),IFNA7 (3444),IFNA8 (3445),IFNA10 (3446),IFNA13 (3447),CIITA (4261),IFNA14 (3448),IFNA16 (3449),HSPA6 (3310),CD4 (920),KIR2DL1 (3802),HLA-DRB5 (3127),LTA (4049),KIR3DL3 (115653),TAP2 (6891),TAPBP (6892),CD8A (925),CD8B (926),TAP1 (6890),HSPA8 (3312),KIR2DL4 (3805),CANX (821),KIR2DL3 (3804),KLRC4 (8302),NFYC (4802),HSP90AA1 (3320),NFYA (4800),NFYB (4801),HLA-F (3134),CTSB (1508),HLA-E (3133),CALR (811),HLA-DPA1 (3113),HLA-DPB1 (3115),HLA-DQA1 (3117),PDIA3 (2923),HLA-DQA2 (3118),HLA-DQB1 (3119),PSME1 (5720),PSME2 (5721),HSP90AB1 (3326),B2M (567),HLA-DRB1 (3123),HLA-DRA (3122)
ACH-000694,0.01435529297707,2.189033824390017,0.0,0.01435529297707,0.0,0.0,2.733354340613827,4.8011586560936985,0.0285691521967709,0.0,0.0,0.1243281350022017,6.7414669864011465,6.731047439337348,5.013908845490639,7.766065051474954,10.001267436790776,0.6599245584023783,2.403267722339301,8.01664117047407,1.0071955014042038,8.057991722759176,5.55581615506164,0.6040713236688608,0.0,0.0,8.700959826915897,6.054414387917307,5.035623909730721,0.0,7.676098120912218,1.811471030529836,6.231317197152663,0.0,6.070389327891398,0.0,5.490890978894291,0.0,0.0285691521967709,0.0,0.0426443374084937,0.9927684307689242,0.0,0.0,0.3219280948873623,0.2868811477881615,0.0,0.765534746362977,0.0285691521967709,0.0,5.3995129241829645,5.5867647433551415,0.0840642647884745,0.0426443374084937,4.937344392150233,9.996897125512335,0.0,8.980739385526528,0.0,0.0,5.556429415449573,10.798957747900428,3.7246502717329673,4.798569003556882,6.013238915113665,7.739375585896123,7.260213886771416,9.068778277985412,0.5558161550616396,0.2868811477881615,0.0565835283663675,8.312973687968318,0.070389327891398,0.0565835283663675,8.183734617615842,8.36640964765943,10.54756935984222,11.45732957321571,1.632268215499513,2.9597701552114675
ACH-000619,0.0285691521967709,2.097610796626422,0.0426443374084937,0.0,0.0,0.0840642647884745,2.144046369616707,4.636914580355878,0.0,0.0,0.0,0.2016338611696504,6.0916998341368105,6.25304379464515,4.507794640198696,8.980882160180112,9.712372233433484,0.632268215499513,2.114367024952,9.810121726498522,0.903038270112912,6.955010505215292,3.880685525261125,0.4646682670034443,0.0,0.0,6.936048963676615,5.462052318796433,4.414135532984451,0.0,8.654063132643982,3.9307373375628862,5.70376517879341,0.0,8.237257770900372,0.01435529297707,7.163196797430707,0.0,0.0,0.0,0.01435529297707,1.1309308698264486,0.0,0.0,0.5260688116675876,0.1634987322828795,0.0,0.2986583155645151,0.2016338611696504,0.0,6.237448995639321,6.540554292475151,0.1634987322828795,0.0,6.160073098199723,9.31707338226096,0.0,9.15071198009,0.0,0.0,4.6293566200796095,9.27995873575173,3.418189947945766,3.964398632203184,6.499845887083206,6.948484044267701,7.495934952376285,9.66998342462503,0.2387868595871164,2.877744249949002,0.2986583155645151,9.159291115468376,0.0,2.572889668420581,7.997123014273261,8.380374479142429,9.307178035558684,12.492729467709616,1.782408564927373,1.4750848829487828
ACH-000647,0.137503523749935,1.0285691521967708,0.0,1.967168607532628,0.0565835283663675,0.1763227726404629,2.38404980679516,5.295355692891673,0.0,0.0,0.0,0.1110313123887439,5.646738698307846,7.595816918555854,0.903038270112912,7.974299858003734,8.570918255328666,2.521050736900963,3.3405622690264134,8.026578770127715,1.0356239097307212,6.904002316283692,6.413797150189212,0.3448284969974411,0.0,0.1110313123887439,7.28715827825949,6.584661907941469,4.589164236699772,0.0,9.204546691583657,5.783456654360239,6.85049941375812,0.0,6.277612870756686,0.0,6.391114675697104,0.0,0.0,0.0,0.0,0.2630344058337938,0.0,0.0,0.9486008474933558,0.2509615735332188,0.0,0.5058909297299572,0.0976107966264223,0.0,7.14700135572489,5.325890061039784,0.6690267655096305,0.0,5.634883636775385,10.786759701267249,0.1505596765753814,8.659924558402379,0.0,0.0,5.509379148914689,9.80044696491395,4.503984703897613,4.4114262457264655,4.713695814843359,6.862947248020921,6.328226118787732,9.634556968295016,0.4436066514756146,0.2509615735332188,0.1110313123887439,8.377297306427849,0.1634987322828795,2.8659188145522125,7.579014165881818,8.185321468265926,10.41341637465164,10.07400762583596,1.4329594072761065,0.9927684307689242
ACH-000231,0.0,2.405992359675837,0.2630344058337938,0.4956951626240688,0.0,2.3015876466031866,2.715893370547605,5.249824548616183,0.0426443374084937,0.0,0.0,0.4222330006830478,6.932864335305521,6.36964096451698,3.14893410452634,10.313790025443684,11.328674927327947,0.6507645591169022,2.0840642647884744,10.438064085093638,0.6870606883398922,6.785681319474753,3.4828482830684653,1.4222330006830477,0.0,0.0,5.992541859109112,6.203005337511982,4.59395128394841,0.0,8.91211090901986,0.8875252707415875,6.745775149485796,0.0426443374084937,6.509695841933388,0.0,5.338780943894699,0.0,0.0426443374084937,0.0,0.0,0.4005379295837288,0.0,0.0,0.5753123306874368,0.1243281350022017,0.0,0.1763227726404629,0.1505596765753814,0.0,5.866660750819986,6.77636722957392,0.0565835283663675,0.0,6.966937979278457,10.14491311343424,0.0,9.524424179083942,0.0,0.1890338243900171,5.466627120041501,9.726354416891883,4.25171909260596,4.916476644437717,5.774787059601174,8.387069532589274,7.550131104144458,10.613973587380224,0.5360529002402097,0.4005379295837288,0.2387868595871164,9.732523602690472,0.0,0.0426443374084937,7.794155897876407,8.435753591095466,10.140446364195675,13.355488751597942,0.2387868595871164,0.6599245584023783
ACH-000837,0.01435529297707,0.2868811477881615,0.1505596765753814,0.0565835283663675,0.0426443374084937,0.8718436485093178,1.948600847493356,2.752748591407134,0.0,0.0,0.0,0.0,5.720004786954807,6.9970665453987255,0.8318772411916731,6.556276124790035,5.333065878076355,0.2016338611696504,0.9560566524124028,3.654206377944292,1.541019153133559,7.323009710612814,3.158660175346498,0.2265085298086797,0.01435529297707,0.0426443374084937,7.567195561406875,6.002252451731379,5.020591094773247,0.0,8.453887917785664,1.454175893185802,6.850874415720346,0.0,6.036723106005525,0.0,4.257010618206024,0.0,0.0,0.0,0.0,0.4436066514756146,0.0,0.0,2.881664619320345,0.0426443374084937,0.0,0.0285691521967709,0.3219280948873623,0.0,4.925049964727359,4.918863237274595,0.2630344058337938,0.01435529297707,3.0617761975866897,10.61710008687589,0.0,9.183163916555978,0.01435529297707,0.0,5.536363792395467,10.249943030531488,3.919340082442013,4.766065051474954,0.8718436485093178,6.84799690655495,4.90159099190337,9.557004110405144,0.3448284969974411,0.2630344058337938,0.1634987322828795,8.843826857025366,0.070389327891398,0.0976107966264223,6.4571345943180365,8.106170316945143,10.200898605038445,9.105384749247602,0.3673710656485294,0.6870606883398922
