,IDH3B (3420),DLST (1743),PCK2 (5106),CS (1431),PDHB (5162),PCK1 (5105),PDHA1 (5160),PDHA2 (5161),FH (2271),SDHD (6392),OGDH (4967),SDHB (6390),IDH3A (3419),SDHC (6391),IDH2 (3418),IDH1 (3417),ACO1 (48),ACLY (47),MDH2 (4191),DLD (1738),MDH1 (4190),DLAT (1737),OGDHL (55753),PC (5091),SDHA (6389),SUCLG1 (8802),SUCLA2 (8803),SUCLG2 (8801),IDH3G (3421),ACO2 (50)
ACH-000694,6.51317488460363,6.377817853083645,4.511594541537413,6.774787059601174,5.26566192452189,0.0565835283663675,7.948191994824227,0.0,7.033533126726686,6.851749041416057,4.632268215499513,6.833775607675798,5.624978179569036,7.624247145836196,4.218006150284427,6.599764103072517,2.263034405833794,5.676944359106912,7.697454136463018,6.955359305242994,7.448653214381252,4.100977647724821,1.097610796626422,3.211012193485512,7.400964800327112,6.983791683165783,5.502712485966061,4.7938958825488776,5.933100474931368,6.520422248526446
ACH-000619,6.332528928113868,5.66732447027863,4.6194130105979365,5.971773447193373,4.3729520979118295,0.0285691521967709,6.8963929564708994,0.0,5.8594726668519375,5.892633883424437,5.3739961421312366,5.759155833800272,4.898692072560488,6.857483428286672,5.184280294419382,6.035843815994525,2.5310694927259543,5.619999829821357,7.234577959784565,5.7998644108818525,6.520265083643574,3.831877241191673,1.0426443374084935,4.452858964713811,6.114991613333596,5.4409521980296365,4.181102550753798,4.168321115739722,5.044394119358453,5.196134880765161
ACH-000647,6.413797150189212,6.732811872082943,4.527320607877047,7.46115198997535,6.028127082317139,0.0565835283663675,7.16400181665555,0.0,7.4432751117658045,6.672142432853835,6.731997786643742,7.492974756328,6.057016965365539,8.637240715499948,6.638653116466112,4.979110755015785,4.906409617094015,6.466953337123929,7.628263255085338,7.868513923895463,8.005287693907865,4.979568100095187,3.372952097911829,4.200849574637213,8.137349819357771,6.937815168803419,6.2193621578077165,5.277984747299765,6.175923742063755,5.0192571186810815
ACH-000231,6.24050514939098,6.254934118606487,3.972692654004264,6.742140985498147,6.274261661257048,0.0426443374084937,7.81082866218542,0.0,6.836807807844575,5.849749117282395,5.4409521980296365,6.997518234519788,5.946964741155799,7.709152756902506,6.870118083965933,5.550900664647523,4.020591094773247,6.574858391292778,7.223036337901875,6.6169163625788086,7.005512272837474,3.71918344048179,0.5849625007211562,3.1651079851445365,6.745775149485796,5.449231200669493,4.6656201640663815,4.773996325111173,6.584210901308018,5.717265144960065
ACH-000837,5.08533966935737,6.049630767724601,3.1731274334806563,6.300672869424044,5.696272083925863,0.070389327891398,6.748863714535698,0.0,6.727239777484807,6.5763709674859445,4.954661620837898,6.815447343006325,5.872336288104642,7.621319301014191,5.759688488427289,4.982765462583646,3.270528942380718,5.309612772454123,6.416164164733128,5.16430358309365,7.589613697747352,5.388533979091799,0.0565835283663675,4.584361252518709,6.835797782396204,6.277798821010329,4.982765462583646,5.2253520607761015,5.23189316164533,5.514122260170708
