,JUN (3725),CALM2 (805),ELK1 (2002),CALM1 (801),MAP2K4 (6416),JMJD7-PLA2G4B (8681),MMP2 (4313),PLA2G2E (30814),PLA2G6 (8398),PLA2G10 (8399),MAP3K1 (4214),MAP3K3 (4215),ITPR3 (3710),MAP3K4 (4216),PLA2G4B (100137049),CGA (1081),PLA2G2F (64600),NRAS (4893),MAPK14 (1432),MAPK12 (6300),KRAS (3845),GNA11 (2767),PRKX (5613),CALML5 (51806),ADCY3 (109),ADCY2 (108),ADCY1 (107),PLA2G4E (123745),CAMK2A (815),CAMK2B (816),CAMK2D (817),CAMK2G (818),PRKACA (5566),GNAQ (2776),PRKACB (5567),PRKACG (5568),GNRHR (2798),GNAS (2778),GNRH2 (2797),GNRH1 (2796),CALML3 (810),PLA2G2D (26279),PLD1 (5337),PLA2G12A (81579),PLD2 (5338),HBEGF (1839),CALM3 (808),PTK2B (2185),MAP3K2 (10746),CDC42 (998),PLCB2 (5330),ADCY8 (114),SOS2 (6655),ADCY9 (115),PLCB1 (23236),ADCY6 (112),ADCY7 (113),PRKCB (5579),RAF1 (5894),PLCB3 (5331),PRKCA (5578),ADCY5 (111),PLCB4 (5332),PLA2G3 (50487),PRKCD (5580),MAPK9 (5601),MAPK10 (5602),MAPK11 (5600),PLA2G2A (5320),MAP2K2 (5605),CACNA1D (776),PLA2G4A (5321),MAP2K3 (5606),PLA2G5 (5322),MAPK13 (5603),PLA2G12B (84647),MAP2K1 (5604),CACNA1C (775),MAP2K7 (5609),CACNA1F (778),MAP2K6 (5608),CACNA1S (779),ADCY4 (196883),GRB2 (2885),MAPK3 (5595),MAPK7 (5598),SOS1 (6654),PLA2G1B (5319),MAPK1 (5594),HRAS (3265),MAPK8 (5599),ITPR1 (3708),EGFR (1956),ITPR2 (3709),MMP14 (4323),SRC (6714),FSHB (2488),LHB (3972),PLA2G2C (391013),ATF4 (468),CALML6 (163688)
ACH-000694,6.937815168803419,9.36640964765943,3.880685525261125,8.70611608424485,4.05484847699562,3.3362833878644325,3.908812907739547,0.0,4.514753498439753,3.297191416565856,1.819668183496456,2.797012977836145,4.892391025913404,4.073820233291672,2.925999418556223,0.2387868595871164,1.144046369616707,3.836934011321092,4.922197848396367,4.017031080527841,3.932628157022127,5.066519781429746,4.155425431747197,4.15623479785027,4.769771739249448,0.2265085298086797,1.454175893185802,1.38404980679516,1.0908534304511135,0.2630344058337938,3.855989697308481,4.989139007368233,4.986410935252045,4.334139178838237,3.4462562298895643,0.0,0.137503523749935,9.29008798401597,0.3103401206121505,1.0426443374084935,1.3617683594191536,0.01435529297707,4.595145567990858,4.884597920990064,5.223422549934937,1.7990873060740036,6.999774561287003,4.03738222200308,3.986410935252045,7.332886916959597,0.4436066514756146,0.0,3.690417095532466,3.3103401206121505,3.277984747299765,3.970853654340484,6.469560421711221,0.7824085649273732,5.314696525656286,4.873321062914816,2.9392265777282085,0.3103401206121505,0.2265085298086797,0.0426443374084937,5.06177619758669,4.504620392403552,3.0942360698457656,2.2387868595871168,3.40735275114004,6.606886339275915,0.2750070474998698,3.4168397419128294,5.331633567171029,0.0976107966264223,3.944858445807539,0.0,5.308156975114762,0.8875252707415875,4.383358695385111,0.5655971758542251,2.028569152196771,0.0,1.1826922975161902,5.8671551631075145,5.515384460636948,3.795974694206668,3.5459683691052923,0.0,5.699051844016849,6.421896512042248,4.2433644256936605,1.570462931026041,5.286511557664227,2.3701642805402097,7.417599388288022,5.181897643108388,0.0,0.3895668117627256,0.0,8.071515993345683,0.3219280948873623
ACH-000619,5.486070743735668,8.67302633970603,3.7355221772965375,7.240123484034022,3.5298209465286954,2.269033146455237,3.2883585621936606,0.0426443374084937,2.9523335663696857,1.9597701552114672,2.6870606883398924,3.0669502439246266,5.2505826647875375,3.885574364371426,2.6803243568440163,0.1110313123887439,0.4646682670034443,4.141596278383818,4.4269356196483365,4.522306892871389,3.625270489374693,4.348374075191163,2.411426245726465,2.350497247084133,5.207892851641333,0.0,1.867896463992655,0.137503523749935,1.6040713236688608,0.1634987322828795,2.8318772411916733,4.555202633878297,4.908332569782425,4.606442228131607,3.04788732939655,0.0,0.0285691521967709,9.468257468323142,0.0426443374084937,1.292781749227846,4.093391153253013,0.01435529297707,4.110196177754199,3.399171093819823,4.255500733148386,2.277984747299765,7.595593169744556,3.8904466926799057,3.346247774082776,6.759555343206311,0.765534746362977,0.0,3.212569338850806,2.8619553641448694,1.0496307677246008,4.354734239970604,4.786596361890807,0.0285691521967709,5.661920579135087,4.44028782084042,3.189033824390017,0.1634987322828795,1.2387868595871168,0.01435529297707,4.601696516480957,4.349082146391089,2.2448870591235344,1.8914191868460783,0.5260688116675876,5.846493315964563,0.2387868595871164,1.097610796626422,5.096767854714689,0.0285691521967709,4.349082146391089,0.0,5.237257770900372,0.070389327891398,4.138323004056484,0.2986583155645151,0.9560566524124028,0.0,1.4750848829487828,5.266411766036114,5.140369670651527,3.33771109212829,2.839959587489532,0.0,4.939226577728209,6.264348763351165,4.37016428054021,1.584962500721156,5.44857062600553,2.140778655782796,6.8988129772361,4.937344392150233,0.0,2.5993177936982264,0.1505596765753814,7.435711926617652,0.3895668117627256
ACH-000647,7.547819956577703,11.02396221945364,4.37016428054021,7.656067273725599,4.328405658958567,1.2690331464552371,0.5459683691052926,0.0,2.241840183564671,0.4329594072761063,3.374343989038501,4.04176864995163,5.4114262457264655,3.687060688339893,2.028569152196771,0.1634987322828795,0.1110313123887439,5.439623137557117,5.48058827023386,4.325530331567558,4.05484847699562,5.083213368248981,2.356143810225275,0.0426443374084937,6.692789834972647,0.0,4.096767854714689,0.0,0.070389327891398,1.1890338243900171,3.61706334388818,6.12536180635178,6.004950759951045,4.044394119358453,4.4269356196483365,0.0,0.0426443374084937,9.669877160489095,0.1243281350022017,1.2448870591235344,2.1009776477248208,0.0,3.569248029867182,5.018812185742817,4.487357715311548,4.814037647539975,7.933572638261024,3.768713657030485,3.626439136697315,7.894878379473196,1.5945485495503542,0.01435529297707,3.203201156316611,3.8972404255748,0.8399595874895318,4.439623137557117,3.5096958419333872,0.070389327891398,6.998985248258895,4.425593577653059,3.090853430451113,0.5558161550616396,2.6622054996536164,0.01435529297707,4.20163386116965,5.062639828286463,1.2387868595871168,2.2357270598380583,0.0,6.433627167084783,1.6825732973475784,1.3219280948873624,5.84749588378871,0.0285691521967709,5.284292026394312,0.0285691521967709,5.667040559022988,0.0840642647884745,4.191404728852764,0.01435529297707,0.7739963251111731,0.0,0.918386234446348,6.017699252693033,5.057016965365539,3.648465443027314,4.40735275114004,0.0,7.632922515461243,4.888499735514123,6.341096237957642,4.789207575347344,6.238022517825721,3.277984747299765,4.477029653013065,4.310340120612151,0.0,0.5849625007211562,0.0,8.612352498752662,0.5945485495503542
ACH-000231,6.316145742293356,9.343008005345,5.967399198924614,8.675392543042777,3.6814492653149578,2.316145742293356,6.8151911371734935,0.0,3.158660175346498,0.1243281350022017,3.451540833017832,3.918386234446348,4.519164449806069,5.109778429078662,1.6825732973475784,0.5753123306874368,0.0,5.813524689297811,5.314696525656286,4.357552004618084,4.379898163524692,5.47021145739054,3.460742563789644,0.0426443374084937,4.354734239970604,2.204766750654613,1.922197848396367,0.0,0.4854268271702416,1.3561438102252754,3.451540833017832,4.514753498439753,6.31124879044183,4.812498225333564,4.762348815644129,0.0,0.1763227726404629,9.815014969266636,0.918386234446348,2.321928094887362,0.0,0.0,2.51096191927738,4.3384244147835584,3.906890595608519,4.244887059123535,8.06544306293743,1.8237493603082728,3.9307373375628862,8.468664767679588,0.9708536543404837,0.0285691521967709,4.017031080527841,3.316145742293356,1.0908534304511135,4.763411574470007,2.9049657186840263,0.137503523749935,6.630085070002124,4.111031312388744,3.902073579310743,0.1890338243900171,4.277984747299765,0.0426443374084937,3.807354922057604,5.15704371014558,0.7990873060740036,3.381283372503784,0.1110313123887439,6.767522386228545,0.2016338611696504,1.713695814843359,5.036063688743695,0.0,2.16349873228288,0.0976107966264223,6.534964249804655,0.5849625007211562,4.155425431747197,0.0,0.2868811477881615,0.0,0.1505596765753814,5.153805336079036,4.910732661902912,4.121844297876376,3.266036893995317,0.1763227726404629,5.727103603522661,5.609400390006429,5.320484678017694,4.62702310555406,3.665620164066381,4.178714641175443,8.352882086522959,4.88508622529017,0.0,1.996388746447621,0.01435529297707,8.52884476742596,0.4005379295837288
ACH-000837,4.968090752045256,10.097768793418616,4.33199177823206,8.222263603528345,4.1945598860226125,2.1076878693143737,0.3219280948873623,0.0,1.4382928515791469,0.0565835283663675,2.070389327891398,1.6369145803558778,4.880195728943098,3.902073579310743,2.4329594072761065,0.0565835283663675,0.0,1.292781749227846,4.268284666520996,3.2854022188622483,4.522306892871389,4.903520373723376,3.0107798387532423,0.070389327891398,5.55704241526372,0.0,0.01435529297707,0.0,0.0,0.2387868595871164,4.773468927905194,4.28835856219366,4.429615964201735,3.364572432295856,4.55028504908841,0.0,0.2630344058337938,9.464566170501396,0.0,0.6870606883398922,0.0,0.0,3.2078928516413328,6.2049623305425134,3.5570424152637194,4.5963388642052,7.622198278523645,3.374343989038501,3.125981653854716,7.199574198978244,0.2016338611696504,0.0,3.137503523749935,1.0356239097307212,2.277984747299765,3.040892430646901,4.956056652412403,0.2141248053528473,5.39746072605472,4.49761236561836,2.448900951145128,0.0426443374084937,2.8094144442358986,0.0,3.794935662803536,4.828834649468056,0.6135316529179271,1.7990873060740036,0.2265085298086797,6.506049668250324,1.2265085298086795,3.286881147788161,6.636624620543649,0.0,5.851749041416057,0.0,6.855491443101874,0.01435529297707,4.147306698780294,0.0,0.0,0.01435529297707,0.0426443374084937,5.350850805483376,4.9740703670240265,3.55581615506164,3.2539892662307865,0.0,5.241840183564671,5.502712485966061,4.402585758232587,1.5459683691052926,5.237640195035385,2.521050736900963,1.070389327891398,5.888012585402829,0.0,0.0,0.0,8.162643086028444,0.2141248053528473
