,CARS2 (79587),DARS2 (55157),RARS1 (5917),SARS1 (6301),VARS2 (57176),YARS2 (51067),WARS1 (7453),AARS1 (16),FARSA (2193),HARS1 (3035),SARS2 (54938),RARS2 (57038),NARS1 (4677),LARS2 (23395),FARSB (10056),AARS2 (57505),YARS1 (8565),NARS2 (79731),GARS1 (2617),IARS2 (55699),KARS1 (3735),WARS2 (10352),TARS3 (123283),LARS1 (51520),VARS1 (7407),PARS2 (25973),MARS2 (92935),CARS1 (833),IARS1 (3376),TARS2 (80222),SEPSECS (51091),MTFMT (123263),TARS1 (6897),DARS1 (1615),HARS2 (23438),PSTK (118672),QARS1 (5859),EARS2 (124454),EPRS1 (2058),FARS2 (10667),MARS1 (4141)
ACH-000694,5.253232938538032,5.053545817727984,6.116655861582622,6.386638529974744,4.06177619758669,4.34766565630097,6.870734593970994,6.256444596473442,6.238404739325079,5.819412726206565,4.460742563789644,4.522306892871389,6.960928667311696,3.3673710656485296,4.653633311386255,3.305970520984386,6.198494153639083,2.8972404255747994,6.4409521980296365,6.539313931267408,7.157346935362843,2.673556423990145,2.715893370547605,5.6959938131099,5.399854673572431,2.1984941536390834,2.9653225483672547,4.987320865929254,6.143230134776893,4.257010618206024,1.8155754288625725,3.910732661902913,6.845615497232954,5.827310943949667,4.997292407636508,1.5945485495503542,7.296182057615491,4.524815928357506,6.223422549934937,3.980939266085512,6.994692854585606
ACH-000619,5.644433152406245,4.311793717753649,5.108942568660791,6.164906926675688,3.4449320489421824,3.614709844115208,7.172227467735444,6.158862106208455,5.141187525005,5.253611151947168,4.55704241526372,4.128458384146928,5.87528859822269,2.636914580355878,3.665620164066381,2.773996325111173,5.828072997866966,2.625270489374693,5.645009884391095,5.637494325206311,6.243173983472951,2.1602748314085933,1.454175893185802,4.842978831788326,4.809928865721431,2.056583528366368,2.3701642805402097,5.175125349657719,6.073177559716166,4.249445341085838,1.996388746447621,3.2539892662307865,6.327687364176047,5.557348817524803,4.555202633878297,1.1890338243900171,6.2505826647875375,3.753818443173543,5.356848079236522,3.111031312388744,6.151574729766406
ACH-000647,5.842727469292544,6.0961353249095005,6.161686174583998,7.135452784185173,4.875780063068488,4.654779216959517,6.83932978216199,6.516803117442659,5.904002316283692,6.028127082317139,5.228433920513366,4.941106310946432,5.842978831788326,3.997292407636508,5.20945336562895,3.920293300211007,6.623515741490549,5.003602236680195,7.833585883396175,6.740657771623893,6.8402114326574734,4.067810783789621,3.111031312388744,5.737145919776202,6.323009710612814,2.2448870591235344,3.212569338850806,4.419538891513785,6.847871667174613,5.451211111832329,1.063502942306158,3.5993177936982264,8.716750882395635,5.836681593327116,4.436295119839363,2.6915341649192,7.191898177241776,4.348374075191163,6.919578445935473,3.564378168565064,7.518299076633475
ACH-000231,4.924099885640741,3.9001422603598166,6.665478047626244,7.4984902329086065,4.860962797858116,3.62760683812965,8.198494153639084,6.680324356844016,6.076601848618572,6.717265144960065,4.725195817226664,5.363521543546545,7.349612971824522,4.056583528366367,4.208673319629471,3.4828482830684653,7.335836940378002,3.1667154449664223,6.620879611355415,5.953963598870782,7.192490092611494,3.2265085298086795,2.643856189774725,6.383877059978108,6.00786824333334,1.7355221772965377,1.8953026213333068,5.562547724199122,6.307428525192248,4.491211756003092,1.5260688116675876,3.842978831788325,7.794675787986858,5.477029653013065,5.561631630375841,3.594548549550354,7.761484747270114,4.024142345897803,6.097400107317411,3.570462931026041,7.551977360180863
ACH-000837,5.364922558505775,5.752481004456373,6.313064414946363,6.342163583289351,4.643856189774724,5.863442934348041,6.431121472526426,7.351999272249365,6.4775154361842375,5.904243227203662,4.677508242264722,3.9354597478052895,7.012009900870915,3.782408564927373,5.262658655072225,3.111031312388744,6.582857034844238,3.887525270741588,7.089794727063991,6.884597920990064,8.166564821669459,2.6182386555954547,3.12267271882414,6.04023491675437,6.505732173741804,1.713695814843359,2.604071323668861,4.740927560318628,6.280770770130602,4.329123596291566,2.673556423990145,4.119356177039675,7.43779367792528,6.175524601089875,4.28835856219366,2.933572638261024,7.006634643394229,4.107687869314374,6.45335295377561,3.189033824390017,6.977966757619478
