,NMNAT1 (64802),NT5C2 (22978),ENPP3 (5169),ENPP1 (5167),BST1 (683),NNT (23530),AOX1 (316),CD38 (952),NT5M (56953),NADSYN1 (55191),NUDT12 (83594),NT5C1B (93034),NT5C3A (51251),NMRK1 (54981),NT5C1A (84618),QPRT (23475),NAMPT (10135),NT5C (30833),NMNAT3 (349565),PNP (4860),NMNAT2 (23057),NT5E (4907),NADK (65220),NNMT (4837)
ACH-000694,2.5360529002402097,6.186460940035483,0.0,0.2509615735332188,0.1505596765753814,3.440952198029637,0.2630344058337938,0.2509615735332188,1.1375035237499351,6.140574177709902,2.57773093149008,0.4646682670034443,5.305240965954483,4.165911938935689,0.0285691521967709,0.3673710656485294,6.336104825448103,5.843481425432457,2.944858445807539,6.651912744645783,0.632268215499513,3.29130885982897,5.425593577653059,0.5160151470036647
ACH-000619,2.669026765509631,5.157447996274298,0.070389327891398,0.0565835283663675,0.411426245726465,4.442943495848728,0.7398481026993274,1.0356239097307212,0.903038270112912,5.4571345943180365,1.3785116232537298,0.4329594072761063,6.513490745588118,4.072963271555224,0.0285691521967709,0.3448284969974411,5.565292520581023,5.218006150284427,2.021479727410452,5.892391025913404,3.782408564927373,4.684257705058931,5.484138131201669,1.0840642647884746
ACH-000647,2.513490745588118,5.456806149230474,0.1243281350022017,1.7398481026993275,0.1505596765753814,5.229972385112252,0.925999418556223,0.1763227726404629,1.7782085763980875,4.901108243014512,2.797012977836145,0.5360529002402097,6.014801602351361,3.921245888585589,0.3895668117627256,5.182295025025483,6.713145902490259,4.858478390423273,0.9411063109464316,7.182394353404529,5.6904170955324656,7.170525999176848,6.266786540694901,7.289096702419989
ACH-000231,3.215678596607928,6.2469780596147215,0.2509615735332188,3.082361969557473,4.912649864897204,5.37608196665007,3.082361969557473,0.5849625007211562,1.232660756790275,5.043081981895663,2.6205864104518777,0.2986583155645151,4.795455272044121,3.3291235962915664,0.0,0.5360529002402097,7.425257871999213,4.388189537156084,1.3276873641760472,5.238786859587116,0.7484612330040357,7.870857864363762,5.803227036434928,6.663344619366085
ACH-000837,2.056583528366368,5.24069594421251,0.1634987322828795,1.0565835283663676,0.4750848829487828,1.7739963251111732,2.582556003014061,0.2868811477881615,0.903038270112912,4.150559676575382,2.55581615506164,0.3103401206121505,5.575009720294951,2.761285273361619,0.0,4.528571318870758,4.735522177296538,4.3008558712687615,0.0285691521967709,7.111448698487674,0.3895668117627256,7.329033873660803,5.975905273523699,0.5260688116675876
