,SOAT1 (6646),LSS (4047),SQLE (6713),EBP (10682),CYP51A1 (1595),DHCR7 (1717),CYP27B1 (1594),DHCR24 (1718),HSD17B7 (51478),MSMO1 (6307),FDFT1 (2222),SC5D (6309),LIPA (3988),CEL (1056),TM7SF2 (7108),NSDHL (50814),SOAT2 (8435)
ACH-000694,3.382667252745041,3.922197848396367,4.921721947009604,7.036393435049856,5.113533819591914,5.664482840364682,0.6690267655096305,7.020702203791045,4.241840183564671,4.659924558402379,6.765004246250036,4.994579724215747,5.160678213220501,1.4489009511451278,3.533563348214512,4.939226577728209,0.137503523749935
ACH-000619,4.0574502721839,3.969933274697856,5.66760832567372,7.370861740085285,6.627460927126655,6.655351828612554,0.5945485495503542,7.555892826867833,3.985500430304885,5.569248029867182,7.167418145831737,4.798569003556882,5.906409617094015,3.2600256559614555,4.074676686294496,4.9954845188775066,0.3334237337251918
ACH-000647,4.808385050656093,4.393004256898322,5.144454313926194,6.45038647903429,5.368069876532083,6.056149961108142,0.7824085649273732,7.062423969074437,3.657640005207824,4.759688488427289,6.993787563134839,5.1815001517046095,6.168521698992168,0.5753123306874368,2.9653225483672547,5.343052434922969,0.0976107966264223
ACH-000231,5.010779838753242,5.183486514459391,5.168722254360655,7.763876285390723,5.224966365000275,5.172727518012846,2.776103988073164,7.2384047393250786,3.3146965256562866,5.016585460434449,7.656996822268725,6.808385050656093,6.010556078374215,1.1176950426697545,2.4276061727818994,5.500483401473115,0.2986583155645151
ACH-000837,4.655351828612554,2.277984747299765,5.330199832850905,6.763013131648357,6.226123143125237,5.66732447027863,3.704871964456353,5.601993581248998,4.139960569545456,4.512858954449976,5.484782623077873,5.44028782084042,4.3750394313469245,0.4329594072761063,3.9616233282869446,4.422233000683048,0.01435529297707
