,SUV39H2 (79723),AASDHPPT (60496),DLST (1743),ALDH1B1 (219),AASDH (132949),ALDH2 (217),ACAT2 (39),PLOD2 (5352),PLOD1 (5351),TMLHE (55217),EHMT2 (10919),ACAT1 (38),KMT5A (387893),HADH (3033),SETMAR (6419),OGDH (4967),HADHA (3030),BBOX1 (8424),AASS (10157),ECHS1 (1892),ALDH9A1 (223),ALDH3A2 (224),KMT5B (51111),SUV39H1 (6839),ASH1L (55870),SETD1B (23067),DOT1L (84444),NSD2 (7468),EHHADH (1962),OGDHL (55753),SETD1A (9739),GCDH (2639),KMT5C (84787),SETD7 (80854),ALDH7A1 (501),NSD3 (54904),EHMT1 (79813),SETDB1 (9869),AADAT (51166),SETD2 (29072),SETDB2 (83852),PLOD3 (8985),NSD1 (64324),PIPOX (51268)
ACH-000694,2.871843648509318,4.253232938538032,6.377817853083645,3.2047667506546134,2.729008870337863,6.519321734629434,4.70984201927331,4.683696454306515,5.4202128906107845,1.6915341649192002,4.852498298789891,4.361768359419154,5.264161071288078,5.642990312961163,2.548436624696042,4.632268215499513,6.359661722333877,2.611172380044005,1.7865963618908067,6.333244816996384,5.144862142915734,6.063287212206184,5.163096138436012,3.760220946466509,3.9457949567400608,3.270528942380718,3.715893370547605,4.926473911256073,3.654206377944292,1.097610796626422,3.553360503335328,4.625270489374693,3.685940148445977,4.906409617094015,0.6690267655096305,4.589164236699772,5.469234793667656,4.43028527297778,1.5459683691052926,3.918386234446348,2.039138393906958,4.344828496997441,4.343407822297814,0.6959938131099002
ACH-000619,3.075532631167357,3.6644828403646814,5.66732447027863,2.8579809951275723,2.2479275134435857,4.727375938594897,4.862451391325582,5.253232938538032,6.376602951924786,3.092545741543565,4.4886435398537845,4.152994605492435,4.836429131161648,4.804260115634738,2.9467308601403097,5.3739961421312366,5.901108243014512,0.1110313123887439,0.84799690655495,5.2731428593080825,4.9453267772646265,5.6544928258834615,4.24260250592898,3.1651079851445365,3.4802651220544627,2.5160151470036647,2.895302621333306,5.186659017202113,3.00539998774259,1.0426443374084935,3.158660175346498,3.61706334388818,3.84197311892718,2.992768430768924,6.046796609573758,4.609991295212678,6.527164192737208,4.431622959713292,1.0285691521967708,3.563158130402808,1.819668183496456,7.256161502308773,3.657640005207824,0.4329594072761063
ACH-000647,4.662775171937776,4.960233671694454,6.732811872082943,4.534186139090097,2.910732661902913,5.398487190018967,5.680886920719692,5.219555769166913,6.663202278579536,3.9945797242157473,4.820689560559215,5.948834425578686,5.649328040984784,5.339137384919585,3.970853654340484,6.731997786643742,7.528493181191486,0.0,3.2357270598380583,6.79259510251225,5.203201156316611,5.317231700222606,5.075532631167357,3.3978029618624896,4.511594541537413,2.763411574470007,3.2555007331483865,6.065873846768905,2.956056652412403,3.372952097911829,3.587364990936461,4.666188489872781,3.868884273028773,3.944858445807539,5.35508676166836,5.197314999473818,5.564378168565064,4.834407841806995,2.4828482830684653,4.46401472450489,2.1342209397606338,5.895787316463311,3.8308637567517576,0.7048719644563528
ACH-000231,3.777156666004501,4.050501697446727,6.254934118606487,5.266411766036114,2.2203299548795554,1.8914191868460783,5.62993940943954,7.775709035739387,8.882795869132218,3.7147950111181625,5.268658955027672,4.621758856709732,5.746312766425459,4.84749588378871,4.709290635723358,5.4409521980296365,5.913846824263042,0.0,3.177917792195843,6.778208576398088,5.255878352582786,4.408032466130653,3.9411063109464313,4.470536865092583,4.119356177039675,3.499527024215096,4.365272599764531,5.975905273523699,0.6780719051126377,0.5849625007211562,3.8042601156347375,4.15704371014558,3.448900951145128,4.139960569545456,6.725468512632615,4.8283269264148165,5.612352498752662,5.203592714207708,2.523561956057013,4.957914598632986,1.4646682670034443,7.408881659775095,4.358958825832329,1.2868811477881614
ACH-000837,4.0900065299038175,5.37920505996061,6.049630767724601,3.942045259916047,2.2357270598380583,0.411426245726465,5.222263603528345,4.805808348701467,5.56346323668308,3.307428525192248,4.885574364371426,5.854743738995535,5.753551054600655,5.032100843167024,2.859969548221026,4.954661620837898,6.606146078065724,1.3895668117627256,0.4750848829487828,6.631831850610098,5.565597175854225,7.494015517480295,5.12969515665378,3.838951766951943,4.342696959981934,2.634593268445757,4.049630767724601,7.273609132231856,1.752748591407134,0.0565835283663675,3.2809563138310565,4.403267722339301,2.7845039829295666,4.663913842115978,5.829342193902803,3.2957230245399685,5.843983844048327,4.990954860396993,2.885574364371426,3.887525270741588,1.713695814843359,4.408032466130653,3.831877241191673,0.5160151470036647
