,ZAP70 (7535),CD4 (920),TNFRSF13C (115650),IKBKG (8517),IL2RG (3561),RFXAP (5994),TAP2 (6891),RFX5 (5993),CD8A (925),CD8B (926),TAP1 (6890),ICOS (29851),UNG (7374),IL7R (3575),ADA (100),CD40LG (959),CD40 (958),AICDA (57379),BTK (695),BLNK (29760),CD19 (930),RAG2 (5897),RAG1 (5896),CD3D (915),CD3E (916),RFXANK (8625),AIRE (326),CD79A (973),TNFRSF13B (23495),JAK3 (3718),IGLL1 (3543),CIITA (4261),LCK (3932),PTPRC (5788),DCLRE1C (64421)
ACH-000694,0.1634987322828795,0.2868811477881615,0.6229303509201767,4.668459556915382,0.4436066514756146,2.733354340613827,5.3995129241829645,4.8011586560936985,0.0840642647884745,0.0426443374084937,4.937344392150233,0.0,5.780835001738229,1.1953475983222193,3.901108243014512,0.0,2.6507645591169022,0.0,0.2750070474998698,2.389566811762726,0.0976107966264223,0.3895668117627256,1.5753123306874368,0.1243281350022017,0.4541758931858021,6.054414387917307,0.0,0.1890338243900171,0.0,0.137503523749935,0.1505596765753814,0.9927684307689242,0.3448284969974411,0.1110313123887439,2.298658315564515
ACH-000619,0.2509615735332188,0.1634987322828795,0.903038270112912,4.3269687115878925,0.5655971758542251,2.144046369616707,6.237448995639321,4.636914580355878,0.1634987322828795,0.0,6.160073098199723,0.01435529297707,4.813524689297811,3.5372960670908418,5.107687869314374,0.01435529297707,5.198886990956932,0.0565835283663675,0.1634987322828795,1.298658315564515,0.0976107966264223,0.0,0.4329594072761063,0.1763227726404629,0.1110313123887439,5.462052318796433,0.0,0.3673710656485294,0.0426443374084937,1.1243281350022014,0.1110313123887439,1.1309308698264486,0.4222330006830478,0.2016338611696504,3.089159131911238
ACH-000647,0.3334237337251918,0.2509615735332188,0.7398481026993274,5.005849075696688,0.2265085298086797,2.38404980679516,7.14700135572489,5.295355692891673,0.6690267655096305,0.0,5.634883636775385,0.01435529297707,6.69752363881355,4.448900951145128,4.170726276131552,0.0,4.866907978143166,0.0,0.3895668117627256,0.0285691521967709,0.0840642647884745,0.0,0.4436066514756146,0.1763227726404629,0.0,6.584661907941469,0.0,0.5360529002402097,0.0426443374084937,1.232660756790275,0.2265085298086797,0.2630344058337938,0.4541758931858021,0.2265085298086797,4.3269687115878925
ACH-000231,0.0976107966264223,0.1243281350022017,1.3673710656485294,5.698218478224414,1.1243281350022014,2.715893370547605,5.866660750819986,5.249824548616183,0.0565835283663675,0.0,6.966937979278457,0.0,5.409390936137702,6.868266971645478,2.0143552929770703,0.01435529297707,0.0426443374084937,0.0,0.411426245726465,0.0565835283663675,0.01435529297707,0.0,0.3103401206121505,0.1243281350022017,0.0,6.203005337511982,0.1505596765753814,0.1505596765753814,0.2265085298086797,0.1505596765753814,0.137503523749935,0.4005379295837288,0.0426443374084937,0.9411063109464316,2.867896463992655
ACH-000837,0.1763227726404629,0.0426443374084937,0.2509615735332188,4.053111336459563,0.5160151470036647,1.948600847493356,4.925049964727359,2.752748591407134,0.2630344058337938,0.01435529297707,3.0617761975866897,0.0,5.256255873202732,1.15704371014558,3.512226886513957,0.0,0.070389327891398,0.0565835283663675,0.4541758931858021,0.3219280948873623,0.1505596765753814,0.1110313123887439,0.7136958148433591,0.3219280948873623,0.1505596765753814,6.002252451731379,0.0,0.4436066514756146,0.0,0.0285691521967709,0.2630344058337938,0.4436066514756146,0.4329594072761063,0.2265085298086797,2.849999259466098
