,ACSS2 (55902),GCK (2645),PGK2 (5232),PGK1 (5230),PDHB (5162),PDHA1 (5160),PDHA2 (5161),PGM2 (55276),TPI1 (7167),ACSS1 (84532),FBP1 (2203),ADH1B (125),HK2 (3099),ADH1C (126),HK1 (3098),HK3 (3101),ADH4 (127),PGAM2 (5224),ADH5 (128),PGAM1 (5223),ADH1A (124),ALDOC (230),ALDH7A1 (501),LDHAL6B (92483),PKLR (5313),LDHAL6A (160287),ENO1 (2023),PKM (5315),PFKP (5214),BPGM (669),PCK2 (5106),PCK1 (5105),ALDH1B1 (219),ALDH2 (217),ALDH3A1 (218),AKR1A1 (10327),FBP2 (8789),PFKM (5213),PFKL (5211),LDHC (3948),GAPDH (2597),ENO3 (2027),ENO2 (2026),PGAM4 (441531),ADH7 (131),ADH6 (130),LDHB (3945),ALDH1A3 (220),ALDH3B1 (221),ALDH3B2 (222),ALDH9A1 (223),ALDH3A2 (224),GALM (130589),ALDOA (226),DLD (1738),DLAT (1737),ALDOB (229),G6PC2 (57818),LDHA (3939),G6PC (2538),PGM1 (5236),GPI (2821)
ACH-000694,5.0386995513055854,0.2868811477881615,0.0,8.02297805492676,5.26566192452189,7.948191994824227,0.0,4.659924558402379,9.586689694844662,3.324810603420484,0.9927684307689242,0.01435529297707,3.7224660244710894,6.082574866339516,6.2104278304014855,0.1243281350022017,0.0565835283663675,0.070389327891398,6.722602636851373,8.569855608330947,0.1243281350022017,4.968090752045256,0.6690267655096305,0.3103401206121505,0.01435529297707,0.0285691521967709,10.584868572205163,10.656335474198729,5.837186385159029,3.670160514126634,4.511594541537413,0.0565835283663675,3.2047667506546134,6.519321734629434,8.727273818967115,7.178117045706399,0.4646682670034443,5.666188489872781,6.094658342654544,0.0426443374084937,11.712011045839024,3.049630767724601,2.8579809951275723,0.5360529002402097,2.910732661902913,0.411426245726465,9.170976583233674,8.410027278884572,6.400367145914883,5.914803677251784,5.144862142915734,6.063287212206184,0.1634987322828795,10.270178504330117,6.955359305242994,4.100977647724821,0.0,0.0285691521967709,9.353587949195417,0.0,2.73768676140986,7.183784233127527
ACH-000619,5.105594275795191,0.2016338611696504,0.0,7.321116350602373,4.3729520979118295,6.8963929564708994,0.0,4.067810783789621,8.362206855225358,2.1984941536390834,1.1375035237499351,0.0,4.157852169141737,0.0,5.014801602351361,0.0,0.0,0.3334237337251918,5.662205499653616,7.548359555594772,0.0,5.170325694415555,6.046796609573758,0.1763227726404629,0.0285691521967709,0.0426443374084937,9.723012396392368,9.509200978536652,6.44045394382303,3.1342209397606338,4.6194130105979365,0.0285691521967709,2.8579809951275723,4.727375938594897,3.78345665436024,6.594249947657352,0.1890338243900171,4.608809242675524,5.492494151679432,0.2387868595871164,10.836523809651029,3.636914580355878,3.550900664647523,0.3219280948873623,0.0840642647884745,0.137503523749935,8.146797757779183,8.445677050270842,5.772941337831336,1.584962500721156,4.9453267772646265,5.6544928258834615,2.927896453728821,9.540593036584854,5.7998644108818525,3.831877241191673,0.0285691521967709,0.0,8.932450997932952,0.0,5.0259146987507926,7.180207547770208
ACH-000647,5.004051884507083,0.1505596765753814,0.0,8.1311881769025,6.028127082317139,7.16400181665555,0.0,4.668459556915382,9.37238625833264,2.414135532984451,0.632268215499513,0.0,3.541019153133559,0.070389327891398,6.822347757597036,0.0426443374084937,0.0,0.1110313123887439,6.448240225216066,8.452735441014871,0.0,5.81992359556066,5.35508676166836,0.1763227726404629,0.0,0.0840642647884745,11.255146625139028,10.337510406568294,7.093496794891906,3.614709844115208,4.527320607877047,0.0565835283663675,4.534186139090097,5.398487190018967,1.8519988371124465,5.488000770834068,0.1110313123887439,4.7713574089905615,5.469560421711221,0.0,11.691787130816836,4.266786540694901,4.503348735167505,0.2265085298086797,0.01435529297707,0.0976107966264223,8.958813681884365,7.858416225388646,4.0557162635125446,0.765534746362977,5.203201156316611,5.317231700222606,3.0531113364595623,9.562585882154105,7.868513923895463,4.979568100095187,0.070389327891398,0.0,9.424019281833829,0.0,5.889960199658641,7.55727222306003
ACH-000231,3.693765712217783,0.5753123306874368,0.0,10.112830428079402,6.274261661257048,7.81082866218542,0.0,4.998195503153252,10.281582347705443,0.5058909297299572,0.5849625007211562,0.0,4.589763486984977,0.070389327891398,6.387328072366118,0.0426443374084937,0.01435529297707,0.2387868595871164,6.615445725304786,9.560027065114514,0.0565835283663675,1.4698859762744636,6.725468512632615,0.5360529002402097,0.01435529297707,0.0840642647884745,11.861203247678525,12.30543478999523,7.797856033420856,3.936402377725064,3.972692654004264,0.0426443374084937,5.266411766036114,1.8914191868460783,0.4329594072761063,6.743488039789185,0.0,5.289465630958221,7.062316027355716,0.0,12.619692696404972,2.9011082430145123,6.206916672538598,0.84799690655495,0.0,0.5160151470036647,9.03804103701151,5.563158130402808,3.871843648509318,0.0285691521967709,5.255878352582786,4.408032466130653,2.307428525192248,11.238165862755134,6.6169163625788086,3.71918344048179,0.0285691521967709,0.0,10.762382038710392,0.0,6.0103322832848205,8.41333174421571
ACH-000837,5.090853430451113,0.01435529297707,0.0,7.673061684718365,5.696272083925863,6.748863714535698,0.0,4.6604951318885135,10.06406908038551,0.137503523749935,0.1243281350022017,0.0,5.392317422778761,0.070389327891398,5.2890967024199895,0.0426443374084937,0.0,0.0,6.524659241412916,7.353235061028577,0.0,1.3161457422933562,5.829342193902803,0.1890338243900171,0.0426443374084937,0.01435529297707,11.138655785014365,11.98687308114478,6.522463835492255,2.711494906650088,3.1731274334806563,0.070389327891398,3.942045259916047,0.411426245726465,8.421054946924242,5.732811872082943,0.0285691521967709,2.6644828403646823,5.776893568522074,0.1110313123887439,12.574238722636666,3.949534933017012,1.111031312388744,0.4329594072761063,0.070389327891398,0.0976107966264223,11.11309098344238,9.26322224452176,4.607034345948616,2.400537929583729,5.565597175854225,7.494015517480295,0.3334237337251918,10.26666943407193,5.16430358309365,5.388533979091799,0.0840642647884745,0.0,10.31944632940715,0.0,4.885574364371426,7.641762763864599
