,CASP9 (842),MAX (4149),E2F1 (1869),CHUK (1147),LAMA1 (284217),RARB (5915),PIAS3 (10401),FN1 (2335),BIRC3 (330),XIAP (331),ITGA3 (3675),ITGA2B (3674),COL4A6 (1288),PTK2 (5747),COL4A1 (1282),COL4A2 (1284),PTGS2 (5743),NOS2 (4843),COL4A4 (1286),RXRB (6257),RXRG (6258),IKBKB (3551),RXRA (6256),RB1 (5925),SKP2 (6502),AKT1 (207),AKT2 (208),PIAS2 (9063),ITGAV (3685),LAMC2 (3918),ITGB1 (3688),AKT3 (10000),LAMB2 (3913),LAMB3 (3914),LAMC1 (3915),LAMA4 (3910),LAMA5 (3911),LAMB1 (3912),NFKB1 (4790),NFKBIA (4792),MYC (4609),PIK3R5 (23533),PIAS1 (8554),IKBKG (8517),LAMB4 (22798),RELA (5970),APAF1 (317),CDKN1B (1027),LAMA3 (3909),LAMA2 (3908),TRAF6 (7189),TRAF5 (7188),TRAF3 (7187),CDKN2B (1030),TRAF2 (7186),FHIT (2272),TRAF1 (7185),ITGA6 (3655),CCND1 (595),PTEN (5728),ITGA2 (3673),TRAF4 (9618),PIK3R3 (8503),BCL2 (596),BCL2L1 (598),BIRC2 (329),CDK2 (1017),PIAS4 (51588),CDK4 (1019),LAMC3 (10319),TP53 (7157),E2F3 (1871),E2F2 (1870),PIK3CA (5290),PIK3CB (5291),CCNE2 (9134),CYCS (54205),CDK6 (1021),PIK3CD (5293),PIK3CG (5294),CCNE1 (898),PIK3R1 (5295),CKS1B (1163),PIK3R2 (5296)
ACH-000694,2.713695814843359,6.327687364176047,4.4886435398537845,3.8609627978581167,1.1699250014423124,3.3405622690264134,5.306699707272787,5.063502942306158,0.632268215499513,4.257764968571387,5.885574364371426,1.5058909297299572,1.8439838440483265,5.953730849811491,4.7554217347342425,4.9368734618242325,2.983677694698067,0.0426443374084937,0.4854268271702416,4.649040565634448,0.0426443374084937,3.9523335663696857,6.239550796613645,4.460742563789644,4.414812060565847,6.6849589615938525,5.04788732939655,2.594548549550354,4.930264245235024,6.215678596607928,7.289742265462451,2.277984747299765,7.348197003077914,7.688040447318729,6.170926525287385,0.8718436485093178,8.192292814470767,5.933808661990121,4.956056652412403,6.135247549809567,6.625708843064466,0.1763227726404629,5.46532151358055,4.668459556915382,0.1763227726404629,5.23189316164533,3.212569338850806,4.506525779043123,5.986183362881372,0.8073549220576041,2.587364990936461,2.4828482830684653,3.612352498752662,0.0285691521967709,4.344118334521428,0.3103401206121505,0.1634987322828795,6.3321708504151095,8.687235694107043,4.558267634055736,3.077242998932461,6.100977647724821,3.077242998932461,0.4854268271702416,5.644144699932848,3.765534746362977,5.525129251203973,4.216454865144756,6.9478998862482655,1.5801454844233804,4.349789870241872,3.27500704749987,3.8708578643637614,3.3146965256562866,4.404630684217612,3.257010618206024,7.383445102418999,4.128458384146928,0.4222330006830478,0.0285691521967709,2.192194165283345,2.6599245584023783,7.856425528625531,3.451540833017832
ACH-000619,3.303050084681673,5.198101209324823,4.533563348214512,3.007195501404204,0.0565835283663675,0.0976107966264223,4.11603199344711,4.71918344048179,3.687060688339893,3.8972404255748,7.7712913742020895,2.1602748314085933,1.372952097911829,5.840966704487421,5.628481994383899,7.207209595630036,2.4776773275653072,0.0,0.0976107966264223,4.07724299893246,0.0426443374084937,4.579542224936903,5.946028989515477,3.723558561472103,4.0925457415435655,6.011003564432669,5.7238315664953205,1.9107326619029128,5.601696516480957,6.988343852410407,8.28114183367197,1.4436066514756147,6.612794794512364,7.545891168032852,6.363521543546545,2.140778655782796,8.268799288186763,6.682854168572234,4.135042286233651,6.182493674945368,6.233811384293157,0.0,3.71918344048179,4.3269687115878925,0.3785116232537298,5.606738317417591,2.969012307516316,4.499527024215096,5.936402377725063,0.4005379295837288,2.0874628412503395,2.596935142387232,3.4594316186372973,1.1634987322828796,6.272396509037485,0.963474123974886,1.8875252707415875,6.5915597458278015,7.834723855003643,4.003602236680195,4.708739041359579,6.2925977202664525,2.2898344651775093,0.2630344058337938,5.886306263452426,4.467931546026287,5.742814669862893,3.1795110502715103,6.609400390006429,0.6135316529179271,5.808899839257769,3.177917792195843,2.3950627995175777,3.702657543390911,3.831877241191673,2.032100843167024,6.576975554206532,4.588564737401351,1.565597175854225,0.0,2.918386234446348,2.097610796626422,7.504779270773945,2.771885578515366
ACH-000647,3.2387868595871163,5.498889086976805,4.915520900751958,4.220329954879555,3.981852653289741,0.0426443374084937,4.436295119839363,3.035623909730721,6.111865963867557,4.234194722953812,8.116551902293015,1.5753123306874368,2.021479727410452,6.17672169288105,5.930264245235024,7.065227622775619,0.9855004303048848,0.0,0.1890338243900171,3.905928478173135,0.0565835283663675,2.6182386555954547,4.788685710613533,2.855989697308481,6.278914019499939,5.883865154509794,6.14649230697719,3.00539998774259,5.308156975114762,7.806646281732129,9.146415934170816,3.842978831788325,6.200457271428572,6.398829182444627,7.547280155663464,2.560714954474479,9.254390904103094,8.358035754160035,4.542877099354142,4.891905188211931,5.911212201558612,0.963474123974886,4.253232938538032,5.005849075696688,1.292781749227846,5.059614856297222,3.0373822220030804,4.912649864897204,5.900866807980749,0.8953026213333066,2.319039815562536,2.4802651220544627,4.742545233866053,3.776103988073164,5.207892851641333,0.1243281350022017,1.9411063109464315,5.212958362728285,7.194362890727586,5.087462841250339,7.725059450192119,6.988571084264851,3.346247774082776,1.7311832415722,7.255028569818729,7.362031472895834,6.138323004056484,3.653060017104565,7.29746657376321,1.4436066514756147,6.36562255611334,4.071247819461443,2.786596361890807,3.739848102699328,4.072105800480419,3.927896453728821,8.597158683183727,4.611762560064872,2.920293300211007,0.0426443374084937,4.498250867527825,1.3391373849195856,9.125749242248752,3.682573297347578
ACH-000231,3.791814071161826,5.876516946564999,4.743084055549586,4.416839741912829,2.867896463992655,4.989139007368233,5.317593504623472,9.933882411487424,2.625270489374693,5.3045110418099535,7.522149933175767,0.4329594072761063,0.5260688116675876,5.589164236699772,8.288220118846967,8.262799573076558,0.4854268271702416,0.01435529297707,1.570462931026041,5.214513410080016,0.1110313123887439,4.7300964655954685,4.204766750654613,2.269033146455237,4.708187236020708,7.173926931999809,6.170926525287385,3.879705766282288,5.981624360696356,1.510961919277379,9.583007527207686,4.519793486241101,8.697697380042476,3.333423733725192,7.305970520984387,4.454833906898869,7.189725740766969,7.408796762900331,4.485426827170242,5.936166777979151,4.473786911614368,0.0,4.625854931368057,5.698218478224414,0.2141248053528473,5.421896512042248,3.6599245584023774,4.930737337562887,2.3673710656485296,1.2203299548795556,2.411426245726465,3.017921907997262,4.387500406480984,6.400879436282184,4.62993940943954,0.6599245584023783,4.241077458175037,3.651912744645783,7.03375335188982,3.619413010597937,2.724650271732968,5.297558281168186,4.640967910449898,0.8318772411916731,6.1661128574014255,5.216842842837263,6.353499735245657,3.981852653289741,7.297191416565856,0.3103401206121505,6.468420401864552,4.82781902461732,2.130930869826449,3.613531652917927,4.36667191611176,4.4087118610294285,7.31786479839195,4.0866139474094965,3.2387868595871163,0.1110313123887439,4.666756591884804,4.907371413823563,7.89087223954207,4.118525848935668
ACH-000837,3.075532631167357,5.70376517879341,4.4809113460477485,3.150559676575381,0.01435529297707,0.137503523749935,5.138323004056484,3.1292830169449664,5.009884588931844,3.814550423461808,8.326069892145146,0.2016338611696504,0.7136958148433591,7.118214352650125,1.6040713236688608,1.7355221772965377,2.438292851579147,0.01435529297707,0.1763227726404629,4.192983169973992,0.0,4.456806149230474,4.318316841334983,3.871843648509318,4.033863451866284,6.476381687567235,5.273515889702116,2.693765712217783,4.71918344048179,8.473137487772256,8.793993393788456,3.970853654340484,7.315874125039256,8.810250286028182,7.163096138436012,0.137503523749935,8.852123718743417,6.863690713660096,4.630521963471638,6.175324989184902,5.2253520607761015,0.0285691521967709,4.777156666004501,4.053111336459563,0.0840642647884745,6.127014141582809,2.7484612330040354,4.760753208062987,8.023366256327792,1.7570232465074596,2.0669502439246266,0.1505596765753814,4.044394119358453,0.0426443374084937,5.248307120087241,0.7739963251111731,0.8639384504239714,6.963936452144486,8.493455200926176,5.101818134227409,5.737145919776202,6.758356482939917,3.8083850506560935,1.3103401206121503,6.868266971645478,5.409390936137702,5.434294617959925,4.161887682376894,6.90977310414164,0.2265085298086797,5.7753139752538125,3.998195503153252,1.4168397419128294,3.1842802944193824,4.20945336562895,3.430285272977781,8.033478065182841,4.434294617959925,0.6507645591169022,0.0285691521967709,3.93451650158608,2.1667154449664223,8.552438555253538,3.344828496997441
