,SRM (6723),AZIN2 (113451),GLUD2 (2747),GLS2 (27165),ARG1 (383),ARG2 (384),GLUD1 (2746),GLS (2744),ASL (435),CKMT1A (548596),P4HA2 (8974),SMS (6611),CKB (1152),NOS3 (4846),NOS2 (4843),NOS1 (4842),GOT2 (2806),GLUL (2752),P4HA1 (5033),AOC1 (26),ALDH7A1 (501),LAP3 (51056),AGMAT (79814),GOT1 (2805),PYCR1 (5831),ASS1 (445),ALDH18A1 (5832),SAT1 (6303),NAGS (162417),DAO (1610),AMD1 (262),MAOB (4129),MAOA (4128),CPS1 (1373),P4HA3 (283208),ALDH1B1 (219),GATM (2628),ALDH2 (217),OTC (5009),PRODH2 (58510),OAT (4942),CKM (1158),ACY1 (95),SAT2 (112483),ALDH9A1 (223),ALDH3A2 (224),CKMT1B (1159),PYCR3 (65263),GAMT (2593),PRODH (5625),ALDH4A1 (8659),CKMT2 (1160),PYCR2 (29920),ODC1 (4953)
ACH-000694,5.447579196548882,1.3276873641760472,0.8559896973084807,0.8718436485093178,0.1763227726404629,2.469885976274464,6.569855608330948,4.560103513464738,3.558267634055736,6.081936081719432,5.345183447187665,6.497452695977238,7.359661722333877,0.2630344058337938,0.0426443374084937,1.1953475983222193,7.534808661231747,7.830673649131837,4.169925001442312,3.1060132376221192,0.6690267655096305,4.434294617959925,0.0285691521967709,5.512858954449976,5.068240861312821,8.322423936089843,5.05484847699562,7.411256746220791,0.3448284969974411,0.0,5.522934560943456,0.0426443374084937,4.85049941375812,0.5459683691052926,0.1505596765753814,3.2047667506546134,1.9855004303048849,6.519321734629434,0.0,0.0,6.785550551739256,0.0565835283663675,4.3125199674749455,5.147306698780294,5.144862142915734,6.063287212206184,6.26171884978794,3.4195388915137843,4.612942196304665,5.988457472811402,3.926948247949772,0.4329594072761063,6.599020177391675,5.474436043252266
ACH-000619,4.899175630480513,1.883620816285672,0.7484612330040357,0.7570232465074596,0.0426443374084937,1.3161457422933562,5.639232163249277,4.9740703670240265,4.329123596291566,4.732811872082943,5.865423978313134,6.33646192818282,5.887768948647899,0.6135316529179271,0.0,0.6870606883398922,6.107897061664612,7.700092874758994,4.600507645345786,2.8639384504239715,6.046796609573758,5.839455765224628,1.875780063068488,4.191404728852764,4.117695042669754,6.866907978143166,5.012121672712217,7.917610768320648,2.070389327891398,0.0,4.918863237274595,0.2016338611696504,2.321928094887362,0.2016338611696504,0.2630344058337938,2.8579809951275723,1.6735564239901446,4.727375938594897,0.0,0.0,5.657354181523702,0.0565835283663675,4.165911938935689,5.516645557780962,4.9453267772646265,5.6544928258834615,4.43028527297778,3.396433531250992,2.1342209397606338,1.6644828403646823,2.7224660244710908,0.1110313123887439,6.197904697025821,5.007195501404204
ACH-000647,7.015916772106885,1.0285691521967708,0.918386234446348,2.752748591407134,0.1110313123887439,3.250961573533219,6.656210320182599,5.311067102255596,5.411765185006983,5.077670274232752,4.760753208062987,6.853746197008764,6.9354597478052895,0.2630344058337938,0.0,0.0,6.581200581924957,6.949534933017012,5.295355692891673,0.137503523749935,5.35508676166836,4.614120868789254,3.5993177936982264,5.596040632671138,5.850999394716474,6.77623561482759,5.278728212938939,7.735183667465826,2.0107798387532423,0.0,5.9233869155047145,1.1375035237499351,1.622930350920177,0.2509615735332188,0.5360529002402097,4.534186139090097,4.60821785302146,5.398487190018967,0.0,0.0426443374084937,7.503189699170993,0.2265085298086797,5.05484847699562,6.298658315564516,5.203201156316611,5.317231700222606,4.199279721336625,4.013462259806563,1.9818526532897407,2.4462562298895643,5.098032082960526,0.722466024471091,6.1081062236861285,5.829342193902803
ACH-000231,7.115511897172365,2.0461417816447205,0.6870606883398922,0.4329594072761063,0.1634987322828795,1.7355221772965377,5.728192635498048,6.9804823555382605,4.357552004618084,0.933572638261024,6.51127826508303,8.65617455989802,7.212277502086204,0.0426443374084937,0.01435529297707,0.0,6.549977142771825,4.358255586705128,7.690905919820703,0.0840642647884745,6.725468512632615,6.7348450781894975,1.3161457422933562,4.4329594072761065,5.3729520979118295,4.642701571833233,6.552592254187354,7.099715999160909,0.8237493603082727,0.0,6.31922050252387,1.3276873641760472,1.1699250014423124,3.582556003014061,0.5260688116675876,5.266411766036114,2.060047383669939,1.8914191868460783,0.0,0.0,5.353323291162897,0.0,3.9439213265534856,5.710944154575872,5.255878352582786,4.408032466130653,0.9411063109464316,2.821710215034674,3.404630684217612,0.0840642647884745,3.2249663650002742,0.5558161550616396,5.749534267669262,6.553974808237472
ACH-000837,6.588114949388078,0.4222330006830478,0.6135316529179271,0.0426443374084937,0.0565835283663675,3.007195501404204,5.63575439127776,5.482848283068465,6.182493674945368,0.0,4.82781902461732,6.883620816285672,5.734167661150761,0.925999418556223,0.01435529297707,0.01435529297707,6.724650271732967,5.66760832567372,5.141187525005,0.0285691521967709,5.829342193902803,7.049086169537284,1.3895668117627256,4.514122260170708,5.67072705449947,3.065227622775619,4.60229058486114,6.9701634246609965,0.0976107966264223,0.01435529297707,5.342696959981934,0.0285691521967709,1.480265122054463,0.6135316529179271,0.2509615735332188,3.942045259916047,1.3448284969974411,0.411426245726465,0.0,0.0565835283663675,8.24731043953576,0.0976107966264223,5.069959890459774,4.690975738343275,5.565597175854225,7.494015517480295,0.1634987322828795,4.700994494168267,4.266786540694901,0.3895668117627256,2.6982184782244136,0.2016338611696504,6.0955025176586695,6.331812683819207
