,SOS2 (6655),RAF1 (5894),PRKCB (5579),PRKCA (5578),PDPK1 (5170),TNF (7124),MAP2K4 (6416),PLA2G3 (50487),FCER1G (2207),MS4A2 (2206),FCER1A (2205),PRKCD (5580),INPP5D (3635),PRKCE (5581),JMJD7-PLA2G4B (8681),MAPK9 (5601),MAPK10 (5602),PLA2G6 (8398),RAC2 (5880),IL13 (3596),PLA2G2E (30814),PLA2G10 (8399),MAPK11 (5600),MAP2K2 (5605),PLA2G2A (5320),RAC3 (5881),MAP2K3 (5606),PLA2G4A (5321),MAPK13 (5603),PLA2G5 (5322),PLA2G12B (84647),MAP2K1 (5604),VAV1 (7409),MAP2K7 (5609),PLA2G4B (100137049),MAP2K6 (5608),AKT1 (207),PLA2G2F (64600),AKT2 (208),VAV2 (7410),AKT3 (10000),NRAS (4893),GRB2 (2885),MAPK3 (5595),RAC1 (5879),SOS1 (6654),PLA2G1B (5319),MAPK1 (5594),CSF2 (1437),PIK3R5 (23533),HRAS (3265),MAPK8 (5599),IL3 (3562),MAPK14 (1432),MAPK12 (6300),GAB2 (9846),KRAS (3845),LAT (27040),SYK (6850),PLA2G4E (123745),BTK (695),PIK3R3 (8503),PIK3CA (5290),PIK3CB (5291),LCP2 (3937),PIK3CD (5293),PLA2G2C (391013),PLCG1 (5335),PLA2G2D (26279),PLCG2 (5336),PLA2G12A (81579),IL4 (3565),FYN (2534),IL5 (3567),PIK3CG (5294),VAV3 (10451),LYN (4067),PIK3R1 (5295),PIK3R2 (5296)
ACH-000694,3.690417095532466,5.314696525656286,0.7824085649273732,2.9392265777282085,4.414135532984451,0.0840642647884745,4.05484847699562,0.0426443374084937,0.3673710656485294,0.0,0.0,5.06177619758669,0.3334237337251918,2.3015876466031866,3.3362833878644325,4.504620392403552,3.0942360698457656,4.514753498439753,5.221877081077034,0.070389327891398,0.0,3.297191416565856,2.2387868595871168,6.606886339275915,3.40735275114004,2.5310694927259543,5.331633567171029,3.4168397419128294,3.944858445807539,0.0976107966264223,0.0,5.308156975114762,3.565597175854225,4.383358695385111,2.925999418556223,2.028569152196771,6.6849589615938525,1.144046369616707,5.04788732939655,4.3743439890385005,2.277984747299765,3.836934011321092,5.8671551631075145,5.515384460636948,8.045268215138533,3.5459683691052923,0.0,5.699051844016849,0.1763227726404629,0.1763227726404629,6.421896512042248,4.2433644256936605,0.0,4.922197848396367,4.017031080527841,0.5058909297299572,3.932628157022127,2.2539892662307865,4.6865005271832185,1.38404980679516,0.2750070474998698,3.077242998932461,3.3146965256562866,4.404630684217612,0.070389327891398,0.4222330006830478,0.0,4.993221467368938,0.01435529297707,2.84197311892718,4.884597920990064,0.0,2.8439838440483265,0.0,0.0285691521967709,3.784503982929567,3.2555007331483865,2.6599245584023783,3.451540833017832
ACH-000619,3.212569338850806,5.661920579135087,0.0285691521967709,3.189033824390017,3.6005076453457856,0.0976107966264223,3.5298209465286954,0.01435529297707,0.0,0.01435529297707,0.0,4.601696516480957,0.4854268271702416,2.077242998932461,2.269033146455237,4.349082146391089,2.2448870591235344,2.9523335663696857,5.340562269026414,0.0426443374084937,0.0426443374084937,1.9597701552114672,1.8914191868460783,5.846493315964563,0.5260688116675876,3.811471030529836,5.096767854714689,1.097610796626422,4.349082146391089,0.0285691521967709,0.0,5.237257770900372,2.657640005207824,4.138323004056484,2.6803243568440163,0.9560566524124028,6.011003564432669,0.4646682670034443,5.7238315664953205,4.69655030107857,1.4436066514756147,4.141596278383818,5.266411766036114,5.140369670651527,7.803227036434928,2.839959587489532,0.0,4.939226577728209,0.9411063109464316,0.0,6.264348763351165,4.37016428054021,0.0,4.4269356196483365,4.522306892871389,1.1634987322828796,3.625270489374693,2.1342209397606338,5.177917792195843,0.137503523749935,0.1634987322828795,2.2898344651775093,3.702657543390911,3.831877241191673,0.070389327891398,1.565597175854225,0.1505596765753814,5.624100894628114,0.01435529297707,3.10936055940423,3.399171093819823,0.0,2.263034405833794,0.0,0.0,2.634593268445757,4.064365540263628,2.097610796626422,2.771885578515366
ACH-000647,3.203201156316611,6.998985248258895,0.070389327891398,3.090853430451113,4.7489978500981485,0.2265085298086797,4.328405658958567,0.01435529297707,0.3448284969974411,0.0,0.0,4.20163386116965,0.1763227726404629,3.4594316186372973,1.2690331464552371,5.062639828286463,1.2387868595871168,2.241840183564671,5.494415610397496,0.0840642647884745,0.0,0.4329594072761063,2.2357270598380583,6.433627167084783,0.0,6.505573400282018,5.84749588378871,1.3219280948873624,5.284292026394312,0.0285691521967709,0.0285691521967709,5.667040559022988,3.71259578044703,4.191404728852764,2.028569152196771,0.7739963251111731,5.883865154509794,0.1110313123887439,6.14649230697719,4.527946098908258,3.842978831788325,5.439623137557117,6.017699252693033,5.057016965365539,8.615298579092116,4.40735275114004,0.0,7.632922515461243,0.7048719644563528,0.963474123974886,4.888499735514123,6.341096237957642,0.0,5.48058827023386,4.325530331567558,2.8875252707415875,4.05484847699562,0.9107326619029126,3.125981653854716,0.0,0.3895668117627256,3.346247774082776,3.739848102699328,4.072105800480419,0.01435529297707,2.920293300211007,0.0,5.500483401473115,0.0,2.920293300211007,5.018812185742817,0.0,4.100977647724821,0.0426443374084937,0.0426443374084937,1.2141248053528475,4.139960569545456,1.3391373849195856,3.682573297347578
ACH-000231,4.017031080527841,6.630085070002124,0.137503523749935,3.902073579310743,4.4276061727819,0.1243281350022017,3.6814492653149578,0.0426443374084937,0.933572638261024,0.0285691521967709,0.0,3.807354922057604,0.137503523749935,1.7355221772965377,2.316145742293356,5.15704371014558,0.7990873060740036,3.158660175346498,3.300123724569014,0.2630344058337938,0.0,0.1243281350022017,3.381283372503784,6.767522386228545,0.1110313123887439,2.405992359675837,5.036063688743695,1.713695814843359,2.16349873228288,0.0,0.0976107966264223,6.534964249804655,0.1243281350022017,4.155425431747197,1.6825732973475784,0.2868811477881615,7.173926931999809,0.0,6.170926525287385,4.7718855785153655,4.519793486241101,5.813524689297811,5.153805336079036,4.910732661902912,7.693626341591109,3.266036893995317,0.1763227726404629,5.727103603522661,0.3895668117627256,0.0,5.609400390006429,5.320484678017694,0.0,5.314696525656286,4.357552004618084,1.7311832415722,4.379898163524692,2.4436066514756147,0.0426443374084937,0.0,0.411426245726465,4.640967910449898,3.613531652917927,4.36667191611176,0.0565835283663675,3.2387868595871163,0.01435529297707,6.075532631167357,0.0,0.1505596765753814,4.3384244147835584,0.0,6.1224656581792365,0.0976107966264223,0.1110313123887439,1.516015147003665,3.7644735509926655,4.907371413823563,4.118525848935668
ACH-000837,3.137503523749935,5.39746072605472,0.2141248053528473,2.448900951145128,3.679198570566922,0.2141248053528473,4.1945598860226125,0.0,0.2387868595871164,0.0,0.0,3.794935662803536,0.2986583155645151,2.9597701552114675,2.1076878693143737,4.828834649468056,0.6135316529179271,1.4382928515791469,0.7048719644563528,0.0426443374084937,0.0,0.0565835283663675,1.7990873060740036,6.506049668250324,0.2265085298086797,4.032100843167024,6.636624620543649,3.286881147788161,5.851749041416057,0.0,0.0,6.855491443101874,4.12267271882414,4.147306698780294,2.4329594072761065,0.0,6.476381687567235,0.0,5.273515889702116,3.725741156503952,3.970853654340484,1.292781749227846,5.350850805483376,4.9740703670240265,7.658711339973922,3.2539892662307865,0.0,5.241840183564671,2.344828496997441,0.0285691521967709,5.502712485966061,4.402585758232587,0.0,4.268284666520996,3.2854022188622483,0.963474123974886,4.522306892871389,1.2016338611696504,2.5993177936982264,0.0,0.4541758931858021,3.8083850506560935,3.1842802944193824,4.20945336562895,0.1243281350022017,0.6507645591169022,0.0,4.221877081077034,0.0,2.4620523187964327,6.2049623305425134,0.0,2.563158130402808,0.0840642647884745,0.0285691521967709,2.475084882948783,4.6194130105979365,2.1667154449664223,3.344828496997441
