,MLH3 (27030),POLD1 (5424),MLH1 (4292),POLD2 (5425),RFC1 (5981),MSH2 (4436),RFC3 (5983),RFC2 (5982),MSH3 (4437),POLD4 (57804),PMS2 (5395),RFC4 (5984),LIG1 (3978),RFC5 (5985),RPA1 (6117),MSH6 (2956),RPA3 (6119),POLD3 (10714),RPA2 (6118),PCNA (5111),SSBP1 (6742),RPA4 (29935),EXO1 (9156)
ACH-000694,3.29130885982897,5.423578170981798,4.526068811667588,6.410408949851039,4.484782623077873,4.624685810525398,5.894090170601479,5.880195728943098,3.049630767724601,7.411765185006983,3.576522137920503,5.9941271140031285,5.034303767768035,5.157447996274298,5.882398504053875,4.937344392150233,5.773996325111173,3.626439136697315,5.324810603420484,7.434961760187254,7.123190240457156,0.1505596765753814,3.1292830169449664
ACH-000619,2.786596361890807,5.580447019598664,3.969012307516316,6.7230123963923685,4.503984703897613,4.525442506018121,4.612352498752662,5.135863165368679,2.6182386555954547,7.264442600226602,3.350497247084133,6.036283527988446,5.663344619366085,4.777682717073553,5.150965783556497,4.589164236699772,6.327866971402036,3.970853654340484,4.973611275519472,8.147154035330736,6.801546703356778,0.0,3.4620523187964327
ACH-000647,3.1747259877061333,5.780047576061869,5.338067797542616,8.340918270272116,5.446917864866026,6.639521599510833,5.652773284510777,6.243745234733984,3.1795110502715103,6.304876050044889,4.3750394313469245,6.300306796080063,5.531381460516312,6.121015400961366,6.067165427017112,6.582254908357664,7.167719198601074,5.477677327565307,5.476381687567235,8.095660745495218,8.441242766869687,0.01435529297707,4.843481425432457
ACH-000231,3.082361969557473,5.674121632632394,5.534808661231747,6.841469999465799,4.93969674069176,4.820178962415188,4.920293300211007,5.797791200478888,3.6158870739160567,5.160678213220501,3.1210154009613658,5.004950759951045,5.66732447027863,5.120186027531863,5.205548911173033,5.1440463696167065,5.624978179569036,3.802193216941825,6.29020320512607,7.609695872862739,7.912230694393633,0.3103401206121505,4.007195501404204
ACH-000837,3.3603642765434705,4.926473911256073,4.79025073883523,6.5657494793688445,4.903038270112912,5.323009710612814,5.381629467033664,4.5576551547254205,3.2957230245399685,6.295723024539968,3.404630684217612,6.521835962545389,4.872336288104642,5.2502036564992975,5.608809242675524,5.142004915984876,5.297558281168186,4.387500406480984,5.400537929583729,7.291308859828971,6.939109013042417,0.070389327891398,4.172327491657617
