,MAOB (4129),MAOA (4128),HPD (3242),AOX1 (316),AOC2 (314),TYR (7299),HGD (3081),METTL6 (131965),ALDH3A1 (218),COMT (1312),AOC3 (8639),BUD23 (114049),IL4I1 (259307),GSTZ1 (2954),DDC (1644),ADH7 (131),DBH (1621),ADH6 (130),METTL2B (55798),ADH1B (125),ALDH1A3 (220),ADH1C (126),ALDH3B1 (221),ADH4 (127),ALDH3B2 (222),ADH5 (128),HEMK1 (51409),ADH1A (124),GOT2 (2806),LCMT2 (9836),TRMT11 (60487),GOT1 (2805),TYRP1 (7306),TAT (6898),MIF (4282),NAA80 (24142),PNMT (5409),DCT (1638),LCMT1 (51451),TPO (7173),TH (7054),FAH (2184)
ACH-000694,0.0426443374084937,4.85049941375812,0.2265085298086797,0.2630344058337938,2.950468414150123,0.01435529297707,0.2868811477881615,3.40735275114004,8.727273818967115,7.421054946924242,2.941106310946432,6.904965718684027,0.4005379295837288,5.897482468196102,0.1110313123887439,2.910732661902913,0.01435529297707,0.411426245726465,3.739848102699328,0.01435529297707,8.410027278884572,6.082574866339516,6.400367145914883,0.0565835283663675,5.914803677251784,6.722602636851373,2.538538163629804,0.1243281350022017,7.534808661231747,3.249445341085839,3.469885976274464,5.512858954449976,0.137503523749935,0.0426443374084937,8.623808347726394,2.280956313831056,0.2509615735332188,0.1110313123887439,4.487357715311548,0.1243281350022017,0.2016338611696504,3.292781749227846
ACH-000619,0.2016338611696504,2.321928094887362,0.1243281350022017,0.7398481026993274,0.8237493603082727,0.0426443374084937,0.0976107966264223,3.572889668420581,3.78345665436024,6.296273846706719,0.7048719644563528,6.870734593970994,1.2265085298086795,4.245647773636751,0.0565835283663675,0.0840642647884745,0.0565835283663675,0.137503523749935,3.1473066987802936,0.0,8.445677050270842,0.0,5.772941337831336,0.0,1.584962500721156,5.662205499653616,2.935459747805289,0.0,6.107897061664612,2.7420062108667365,3.364572432295856,4.191404728852764,0.0285691521967709,0.0426443374084937,7.6605664377103935,1.922197848396367,0.3673710656485294,0.070389327891398,4.473137487772256,0.0426443374084937,2.0426443374084937,4.2630344058337934
ACH-000647,1.1375035237499351,1.622930350920177,0.8155754288625725,0.925999418556223,1.3561438102252754,0.0426443374084937,0.137503523749935,5.003602236680195,1.8519988371124465,8.157144792299476,0.5849625007211562,7.462215954597764,0.9560566524124028,4.364572432295856,0.411426245726465,0.01435529297707,0.1505596765753814,0.0976107966264223,4.720278465233327,0.0,7.858416225388646,0.070389327891398,4.0557162635125446,0.0,0.765534746362977,6.448240225216066,3.085764553778314,0.0,6.581200581924957,3.028569152196771,4.247927513443585,5.596040632671138,0.0426443374084937,0.070389327891398,10.209940680290192,2.8298495598446904,1.1505596765753812,0.0565835283663675,4.890446692679906,0.3219280948873623,0.2630344058337938,4.203984165855989
ACH-000231,1.3276873641760472,1.1699250014423124,2.538538163629804,3.082361969557473,0.8399595874895318,0.0285691521967709,1.1505596765753812,4.3957483281790335,0.4329594072761063,8.088629255297176,0.5360529002402097,7.084170591577843,2.4276061727818994,3.700439718141092,0.137503523749935,0.0,0.01435529297707,0.5160151470036647,4.161887682376894,0.0,5.563158130402808,0.070389327891398,3.871843648509318,0.01435529297707,0.0285691521967709,6.615445725304786,3.8509993947164736,0.0565835283663675,6.549977142771825,3.4892860226258766,4.398487190018967,4.4329594072761065,1.38404980679516,0.01435529297707,9.34910426801738,3.4905701304462013,0.1110313123887439,0.1110313123887439,5.2720231890610485,0.0,0.0426443374084937,4.621758856709732
ACH-000837,0.0285691521967709,1.480265122054463,0.2387868595871164,2.582556003014061,0.925999418556223,0.0,0.1110313123887439,3.75595576955096,8.421054946924242,8.56711948795167,0.4005379295837288,6.169724613214907,0.6507645591169022,2.666756591884804,0.7048719644563528,0.070389327891398,0.0,0.0976107966264223,3.586164245930909,0.0,9.26322224452176,0.070389327891398,4.607034345948616,0.0,2.400537929583729,6.524659241412916,3.18269229751619,0.0,6.724650271732967,2.931683057059806,4.210232990095849,4.514122260170708,0.1243281350022017,0.2265085298086797,9.174026838169365,1.918386234446348,0.0,0.01435529297707,4.2539892662307865,0.8318772411916731,0.7398481026993274,4.418189947945766
