,UQCR10 (29796),NAE1 (8883),CALM2 (805),NDUFA5 (4698),NDUFA4 (4697),CALM1 (801),ATP2A1 (487),PPP3R2 (5535),EIF2AK3 (9451),PPP3CC (5533),ATP2A3 (489),PPP3R1 (5534),ATP2A2 (488),NDUFS7 (374291),MT-CYB (4519),ADAM17 (6868),BACE2 (25825),ATP5PO (539),MT-CO2 (4513),MT-CO1 (4512),COX8C (341947),MME (4311),MT-CO3 (4514),COX5B (1329),ITPR3 (3710),PSENEN (55851),LRP1 (4035),COX4I1 (1327),APOE (348),MT-ATP6 (4508),MT-ATP8 (4509),CHP2 (63928),ATP5PD (10476),NDUFA2 (4695),NDUFA3 (4696),NDUFA1 (4694),CAPN2 (824),LPL (4023),CAPN1 (823),APAF1 (317),HSD17B10 (3028),APH1A (51107),UQCRQ (27089),ATP5F1D (513),CALML5 (51806),GAPDH (2597),ATF6 (22926),COX7A2L (9167),IDE (3416),ATP5MC3 (518),ATP5MC2 (517),ADAM10 (102),ATP5MC1 (516),ATP5PB (515),ATP5F1E (514),COX5A (9377),CDK5R1 (8851),ERN1 (2081),GNAQ (2776),UQCRHL (440567),ATP5F1A (498),BACE1 (23621),CALML3 (810),APBB1 (322),ATP5PF (522),CYCS (54205),SDHA (6389),CALM3 (808),NDUFA4L2 (56901),NCSTN (23385),CASP9 (842),PLCB2 (5330),COX8A (1351),CASP8 (841),COX7C (1350),CASP7 (840),PLCB1 (23236),PLCB3 (5331),PLCB4 (5332),TNF (7124),RYR3 (6263),FADD (8772),SDHD (6392),SDHB (6390),SDHC (6391),COX7B (1349),BAD (572),COX7A1 (1346),COX7A2 (1347),COX6C (1345),ATP5F1B (506),GRIN1 (2902),GRIN2A (2903),GRIN2B (2904),COX6B1 (1340),CACNA1D (776),BID (637),ATP5F1C (509),GRIN2C (2905),GRIN2D (2906),CACNA1C (775),NOS1 (4842),CACNA1F (778),CACNA1S (779),COX7B2 (170712),CASP3 (836),TNFRSF1A (7132),UQCRB (7381),COX6A2 (1339),MAPK3 (5595),COX6A1 (1337),UQCRH (7388),UQCRFS1 (7386),UQCRC2 (7385),UQCRC1 (7384),MAPK1 (5594),NDUFB3 (4709),NDUFB1 (4707),NDUFB2 (4708),ITPR1 (3708),NDUFA10 (4705),ITPR2 (3709),NDUFAB1 (4706),PSEN2 (5664),GSK3B (2932),PSEN1 (5663),NDUFA9 (4704),NDUFA7 (4701),NDUFA8 (4702),UQCR11 (10975),NDUFA6 (4700),NDUFV3 (4731),COX6B2 (125965),COX4I2 (84701),IL1B (3553),SNCA (6622),MAPT (4137),NDUFB10 (4716),NDUFS8 (4728),NDUFC1 (4717),NDUFC2 (4718),NDUFS1 (4719),NDUFV2 (4729),NDUFB6 (4712),NDUFS4 (4724),NDUFB7 (4713),NDUFV1 (4723),NDUFB8 (4714),NDUFS6 (4726),NDUFB9 (4715),NDUFS5 (4725),NDUFS2 (4720),PPP3CB (5532),NDUFB4 (4710),NDUFS3 (4722),PPP3CA (5530),APP (351),NDUFB5 (4711),CDK5 (1020),FAS (355),CYC1 (1537),CHP1 (11261),CALML6 (163688)
ACH-000694,7.035733867052591,5.608513578151302,9.36640964765943,5.293885430302371,7.017699252693033,8.70611608424485,2.1243281350022016,0.01435529297707,3.3348542693316325,2.963474123974886,2.451540833017832,4.51853513898218,7.186659017202113,7.085976949073639,12.646288685814447,4.563768278452033,3.2957230245399685,7.380850637553213,14.53320804236937,14.160028965299812,0.1634987322828795,4.467279480459983,14.12339396367116,8.060533822013706,4.892391025913404,4.8718436485093175,4.903038270112912,9.862265401117863,0.7136958148433591,14.00290289640024,15.985397250922428,4.379898163524692,8.958117666413022,6.567575868524113,7.087993146362316,7.85598969730848,7.6915341649192,0.2141248053528473,8.028182348460566,3.212569338850806,7.102973004241397,7.037931255400462,7.98042523154384,6.318859105968651,4.15623479785027,11.712011045839024,3.76659516172927,6.274448043925208,4.068670810665099,8.833301250187207,8.36391571653872,7.107897061664612,8.503865481113365,7.614562622824107,6.494415610397496,8.518889160097421,0.903038270112912,2.4672794804599825,4.334139178838237,4.180307019969433,8.417599388288023,2.788685710613534,1.3617683594191536,0.411426245726465,7.204473331100186,7.383445102418999,7.400964800327112,6.999774561287003,1.6915341649192002,5.76394266044725,2.713695814843359,0.4436066514756146,9.243816625240015,4.6959938131099,9.689071974098365,4.646162657157894,3.277984747299765,4.873321062914816,0.2265085298086797,0.0840642647884745,0.84799690655495,7.421896512042248,6.851749041416057,6.833775607675798,7.624247145836196,9.627351484189232,5.883865154509794,0.3785116232537298,8.178615059119087,8.268658955027671,9.558286769845648,0.0285691521967709,0.1110313123887439,0.0840642647884745,8.660815980336604,0.2750070474998698,6.184478671187091,8.204864543912803,0.1890338243900171,3.04788732939655,0.8875252707415875,1.1953475983222193,0.5655971758542251,0.0,0.0,5.74604398299834,6.40667271575583,8.41400864873692,0.0,5.515384460636948,9.361285860047063,9.501936677681266,4.534808661231747,7.996897125512336,7.645802514606062,5.699051844016849,6.449891473010944,8.873136468833458,7.221587121264805,1.570462931026041,6.916476644437717,2.3701642805402097,7.292689737681472,2.521050736900963,5.105175192265479,5.4584476274379226,6.73159057159445,6.37364821133469,7.431873637952182,6.600210274420093,6.257576417954784,4.008988783227255,1.063502942306158,0.0,1.5753123306874368,5.18626283566979,0.722466024471091,7.703349915166396,8.121119039123897,6.867649406017757,7.189033824390017,5.833902076669164,6.73633427697511,5.43229133824778,4.869377924031328,7.932864335305521,8.481274719879321,7.891236894116651,7.3466023752989855,8.342741399139815,8.867340524041522,6.695437110405369,3.925049964727359,8.272676435638154,6.818646082822539,3.814550423461808,7.548898952865642,6.887037791419196,3.424922088210688,2.18269229751619,7.383963435972199,5.520736526937641,0.3219280948873623
ACH-000619,5.989593184938768,5.674969030624974,8.67302633970603,5.072963271555224,6.023477151830433,7.240123484034022,1.9523335663696857,0.0,3.745237332129749,2.298658315564515,2.485426827170241,4.461397589926158,6.793635820350628,5.496654082593496,13.697727782606473,4.782932704820837,5.035183996618336,6.081936081719432,15.905998027703363,15.420091804602317,0.0,0.1634987322828795,15.451211111832327,6.9886846867721655,5.2505826647875375,6.27015513876653,4.02768487693716,8.759854902675555,3.824767853143294,14.942147920394849,16.95311652109383,0.2016338611696504,7.869254527115468,5.883620816285672,7.124017889122889,6.549207089355683,6.861335090245255,0.01435529297707,7.90436366757948,2.969012307516316,6.0650121504369485,6.904965718684027,7.399085623572404,5.564378168565064,2.350497247084133,10.836523809651029,3.543495883425772,6.252476214135217,3.089159131911238,8.011395000908111,7.7254003436132574,7.158357226049009,7.399598369120114,5.369466483650723,6.418695949602051,7.281327329659484,0.6870606883398922,1.9855004303048849,4.606442228131607,3.4342946179599254,6.883132015657282,3.27500704749987,4.093391153253013,1.570462931026041,6.383531504278039,6.576975554206532,6.114991613333596,7.595593169744556,0.2868811477881615,6.091488279764279,3.303050084681673,0.765534746362977,8.773996325111174,4.577126661307052,8.722329399153418,3.921245888585589,1.0496307677246008,4.44028782084042,1.2387868595871168,0.0976107966264223,0.3334237337251918,5.896756218474805,5.892633883424437,5.759155833800272,6.857483428286672,8.029011086659068,5.73579292798531,0.2509615735332188,7.583458910130768,8.074248523347032,8.190713617442714,1.722466024471091,0.0426443374084937,0.0,8.785027362235466,0.2387868595871164,4.9963887464476215,7.741466986401146,0.137503523749935,3.851998837112446,0.070389327891398,0.6870606883398922,0.2986583155645151,0.0,0.0,3.624100894628114,6.15562781584529,7.723148957047578,0.0,5.140369670651527,8.644252876369062,8.457052490055949,4.550900664647523,6.771093251699539,6.394033895367782,4.939226577728209,5.6946016533561234,8.176322772640463,6.864557606281245,1.584962500721156,5.955126781261366,2.140778655782796,6.527789751572327,4.105175192265479,3.977279923499916,5.255123014847789,5.431622959713292,5.73903797911741,6.017476563020462,6.1426176554465775,4.950468414150123,3.3854310371935203,3.527320607877047,0.0565835283663675,5.2268938135713885,3.023255352300303,0.2509615735332188,6.735251375786425,7.012009900870915,5.048759311919856,6.821710215034674,4.76128527336162,6.106641452324356,4.750606504835592,5.287620044112067,6.741601811413243,7.43704459345534,5.521050736900963,5.469885976274464,7.647602329007619,7.841344192180706,5.802451741275622,3.1538053360790355,6.901228945381526,5.637494325206311,3.3757345385831563,8.327328082629952,6.048105374442063,3.324810603420484,3.2539892662307865,6.204766750654613,5.165911938935689,0.3895668117627256
ACH-000647,6.870611313044545,6.070603998681302,11.02396221945364,5.951168128838912,7.641184732088092,7.656067273725599,0.6415460290875237,0.0,4.189824558880018,3.38404980679516,3.654206377944292,5.338780943894699,7.185866545311334,6.098242680003582,12.386212788498389,4.1715271060388135,4.819157223674968,7.838699701774244,14.720458038393296,13.904352376721366,0.070389327891398,0.2750070474998698,13.265746887082493,7.282254452010578,5.4114262457264655,6.049848549450561,2.3045110418099526,8.944858445807538,7.895181422102683,13.28886607416582,15.142067159211011,0.0285691521967709,8.56947590177766,6.424418265945785,7.308885057411763,7.259837400589506,7.800123352826528,0.4329594072761063,6.763544364293921,3.0373822220030804,6.563768278452033,7.57689999472078,7.818070832815228,5.994353436858858,0.0426443374084937,11.691787130816836,4.425593577653059,7.549284113196009,4.134220939760634,8.086030043012034,7.611983815343411,6.931328484893792,8.439041288369602,8.212082911441064,7.861335090245255,7.965495716796161,2.1667154449664223,2.62993940943954,4.044394119358453,3.855989697308481,7.381023747109563,3.743084055549586,2.1009776477248208,3.215678596607928,8.25630305633491,8.597158683183727,8.137349819357771,7.933572638261024,0.2750070474998698,6.62629310754178,3.2387868595871163,1.5945485495503542,8.2629404773178,3.661065479806948,8.40582222051167,4.153805336079036,0.8399595874895318,4.425593577653059,2.6622054996536164,0.2265085298086797,0.5753123306874368,5.499845887083206,6.672142432853835,7.492974756328,8.637240715499948,8.749768887653893,6.10454633862346,0.2141248053528473,7.420549772116318,8.180257284727134,9.440163216049063,3.0686708106650986,0.0,0.0,8.796753476973697,1.6825732973475784,7.03738222200308,8.12350066435096,0.2387868595871164,3.1858665453113337,0.0840642647884745,0.0,0.01435529297707,0.0,0.070389327891398,3.643856189774725,5.540089281982523,7.613605318063384,0.0,5.057016965365539,8.987178727086304,9.309248960816616,4.95093492831454,7.032100843167024,7.405141463136344,7.632922515461243,6.5163303868259375,7.778799939117547,8.296319739062453,4.789207575347344,6.800899899920305,3.277984747299765,7.141800611652467,4.718635616271338,4.579542224936903,5.129283016944966,6.555049212807179,5.94673086014031,6.539003674268171,6.372081483534501,5.560409266362118,5.172727518012846,3.4918530963296748,0.0,0.7570232465074596,3.016139702655253,2.5459683691052923,6.811471030529836,7.3215673760354045,5.648177795724818,8.99016070590942,5.999098033705607,8.403651185532238,6.084702108011991,6.223615617187268,7.608439652551589,7.624978179569036,7.455984709225996,7.606072031049468,8.202417721575182,9.30615285211144,7.380504356113594,5.780047576061869,7.239646260305385,5.857732233157667,4.912649864897204,8.16354904861529,6.534653055877458,3.8094144442358986,3.933572638261024,6.822602695756541,5.60733031374961,0.5945485495503542
ACH-000231,5.499208090856686,6.527320607877047,9.343008005345,5.478324711485028,6.79012038464125,8.675392543042777,2.3701642805402097,0.0285691521967709,3.763411574470007,4.038260575175349,0.3673710656485294,4.714795011118162,6.896756218474805,6.359837392963122,11.628810041160062,4.390254956321868,7.269220205780087,7.955417430383144,13.533086342167612,13.372457000417915,0.0,3.3146965256562866,13.438012087651131,6.936755705219598,4.519164449806069,5.930264245235024,6.2931497367418645,9.498968844559869,2.130930869826449,12.81968015694713,15.223888582257189,0.0,7.755288195136712,6.790772037862,6.829595899177507,8.108838052049677,7.563539503172188,1.2016338611696504,5.562547724199122,3.6599245584023774,7.638870286246128,6.903038270112912,8.606109055032658,5.627315001365048,0.0426443374084937,12.619692696404972,4.478971805032942,6.245267466519513,4.01435529297707,7.6516975294531875,7.902977995832404,6.8270568365001525,7.2185874524375695,8.065712317905623,6.097400107317411,8.142770799657844,1.0356239097307212,1.5897634869849773,4.812498225333564,3.8698714061777126,8.368942914404952,5.216454865144756,0.0,3.6016965164809576,7.915042791371977,7.31786479839195,6.745775149485796,8.06544306293743,1.2690331464552371,6.804260115634738,3.791814071161826,0.9708536543404837,8.67549840172433,3.915520900751959,9.346691011986318,4.443606651475615,1.0908534304511135,4.111031312388744,4.277984747299765,0.1243281350022017,1.5459683691052926,4.167518503735217,5.849749117282395,6.997518234519788,7.709152756902506,9.488924661273415,5.783194703376154,0.3219280948873623,8.405652061280371,8.076815597050832,8.951517858962452,0.4436066514756146,0.01435529297707,0.01435529297707,9.510823496171913,0.2016338611696504,6.15279185163912,7.967456841014274,0.2016338611696504,0.2868811477881615,0.5849625007211562,0.0,0.0,0.0,0.0,5.0716768737518585,6.2389778817708965,8.113481728275959,0.0,4.910732661902912,8.65399150465991,9.218030375884377,5.12474169241965,6.860342096974779,8.190367937546275,5.727103603522661,6.214513410080016,8.46984528597138,8.283505122847247,4.62702310555406,5.915520900751958,4.178714641175443,6.820689560559215,3.9476661567960094,5.047014819517589,5.142413437873741,6.162894799374784,5.95489421979703,6.827310943949667,6.392489161966022,6.389738878676984,4.894332742277694,0.6959938131099002,0.0,1.1763227726404628,0.01435529297707,0.4005379295837288,6.805034439854537,6.486231677981013,5.902797157880231,7.868637384170314,5.511910748670928,7.04023491675437,6.678071905112637,6.972692654004264,7.635899465946381,6.437127844272808,7.264911693074464,6.401050159321362,7.521992956401672,9.95544649207506,6.350143602017798,4.622930350920177,8.32337006906127,5.904965718684027,4.517275693209582,9.004894596640444,6.117279460053921,4.923149180472309,4.839959587489532,6.59946657883123,5.811214117513239,0.4005379295837288
ACH-000837,6.600210274420093,6.725741156503952,10.097768793418616,4.28318097894557,5.942749070828886,8.222263603528345,1.1890338243900171,0.01435529297707,3.6005076453457856,2.673556423990145,0.2630344058337938,5.234577959784565,7.025693273680773,6.176322772640463,12.915431267311472,5.40667271575583,1.6088092426755238,8.06963772847826,15.532234153181506,14.992717101244756,0.137503523749935,0.7048719644563528,14.433324626715926,6.445428759238323,4.880195728943098,5.577126661307052,1.713695814843359,9.638725510025145,1.0426443374084935,14.215229625747924,15.927546505015396,0.0,7.707566202632283,5.941810579957678,6.787771992846169,6.654636028527968,8.644793636913978,0.070389327891398,7.623076720832633,2.7484612330040354,6.424250286084049,7.169323753239866,7.517590657743283,5.889716891615078,0.070389327891398,12.574238722636666,4.166715444966423,6.56711948795167,2.980025300238734,8.067111634252852,8.227664072554388,6.861335090245255,7.898631616422826,7.935813306204532,6.914923239265765,8.591185709622112,1.4750848829487828,2.543495883425772,3.364572432295856,3.73768676140986,8.392274484787391,1.765534746362977,0.0,0.5160151470036647,7.2404097425172305,8.033478065182841,6.835797782396204,7.622198278523645,0.3561438102252753,6.464504909131913,3.075532631167357,0.2016338611696504,9.353499735245656,4.7554217347342425,9.120756272978472,4.394376944957055,2.277984747299765,4.49761236561836,2.8094144442358986,0.2141248053528473,0.7739963251111731,5.672708195622218,6.5763709674859445,6.815447343006325,7.621319301014191,8.113794247962549,6.394719912994065,0.2868811477881615,7.828199967727632,9.044394119358454,8.801482036060733,0.7484612330040357,0.0565835283663675,0.01435529297707,8.443316558396397,1.2265085298086795,6.177718511162183,7.116863757690899,0.1110313123887439,0.1505596765753814,0.01435529297707,0.01435529297707,0.0,0.01435529297707,0.0,4.606442228131607,6.44012167872693,8.288127815901262,0.0,4.9740703670240265,8.367371065648529,8.871812852948382,4.894332742277694,7.006859012763404,7.925346736176555,5.241840183564671,6.213152835336369,8.17961057050339,5.963936452144486,1.5459683691052926,6.205939832470884,2.521050736900963,7.180307019969433,4.604664415163704,4.95837871156634,5.097189387235113,6.650190123496775,5.324090516037983,5.66760832567372,6.251529750123781,5.912889336229962,4.532940288372874,0.01435529297707,0.0,0.1505596765753814,0.4222330006830478,0.2509615735332188,6.9299093241522,6.97315203787724,6.485104761080973,8.244221104725728,5.856736756119109,6.903761365128077,5.777682717073553,6.785288980704021,7.044503410297552,6.828199967727632,6.854494418154875,7.052785389617594,8.753985535869075,8.515305605451724,6.958030640864368,4.368768349090335,7.533874777258546,7.074034394212556,3.805292455600712,8.787118982813345,6.400025517914023,2.9597701552114675,0.411426245726465,8.124845063253419,5.211401637418471,0.2141248053528473
