,POLR2G (5436),NT5C2 (22978),POLR2H (5437),ENPP3 (5169),POLR2E (5434),POLR2F (5435),ENPP1 (5167),XDH (7498),POLR2I (5438),POLR2J (5439),POLE3 (54107),ADSS2 (159),PRPS2 (5634),ADSL (158),NME6 (10201),POLR1D (51082),PNPT1 (87178),POLR2K (5440),PDE11A (50940),POLD3 (10714),POLR2L (5441),AK1 (203),NME1-NME2 (654364),AK2 (204),AK4 (205),POLA2 (23649),CANT1 (124583),AMPD1 (270),AMPD3 (272),AMPD2 (271),NME4 (4833),GUCY2D (3000),NME1 (4830),ATIC (471),NME2 (4831),DGUOK (1716),POLR3C (10623),NME3 (4832),POLR3G (10622),POLR3F (10621),PRUNE1 (58497),ADPRM (56985),PDE4B (5142),PDE4C (5143),PDE3B (5140),PDE4A (5141),NUDT2 (318),GMPR2 (51292),PDE6C (5146),PDE6D (5147),PDE4D (5144),PDE6A (5145),PRIM1 (5557),PRIM2 (5558),AK5 (26289),GMPR (2766),NME5 (8382),PDE7B (27115),PDE5A (8654),POLD4 (57804),GUCY1A2 (2977),FHIT (2272),ADCY3 (109),ADCY2 (108),ADCY1 (107),POLA1 (5422),PDE3A (5139),PDE2A (5138),PDE1C (5137),ADSS1 (122622),ADA (100),ENTPD8 (377841),POLE2 (5427),PDE8A (5151),PDE9A (5152),PDE1B (5153),NUDT9 (53343),POLD1 (5424),GDA (9615),POLD2 (5425),POLE (5426),PDE6B (5158),PDE7A (5150),PRPS1 (5631),POLR1E (64425),PAICS (10606),NT5C1A (84618),POLR2B (5431),POLR3A (11128),PDE6H (5149),POLR2A (5430),PDE6G (5148),POLR2D (5433),DCK (1633),POLR2C (5432),ADCY8 (114),ADCY9 (115),ADCY6 (112),AK7 (122481),ADCY7 (113),ADCY5 (111),GMPS (8833),ADCY10 (55811),POLR3K (51728),POLR1B (84172),PNP (4860),RRM2B (50484),PDE1A (5136),POLR2J2 (246721),HPRT1 (3251),GART (2618),PAPSS1 (9061),PAPSS2 (9060),NT5M (56953),ADCY4 (196883),IMPDH1 (3614),IMPDH2 (3615),POLR3H (171568),POLR2J3 (548644),POLR1A (25885),POLR3B (55703),GUCY1B1 (2983),PKLR (5313),GUCY2C (2984),ENTPD4 (9583),PKM (5315),GUCY1A1 (2982),GUK1 (2987),GUCY2F (2986),ADK (132),ITPA (3704),POLR1C (9533),URAD (646625),POLE4 (56655),RRM1 (6240),POLR3D (661),RRM2 (6241),NT5C3A (51251),PDE8B (8622),POLR3GL (84265),NT5E (4907),NPR2 (4882),NPR1 (4881),PDE10A (10846),ENTPD6 (955),ENTPD2 (954),ENTPD5 (957),ENTPD3 (956),NUDT5 (11164),ENTPD1 (953),PFAS (5198),NT5C1B (93034),APRT (353),PRPS1L1 (221823),PPAT (5471),NME7 (29922),NT5C (30833),ALLC (55821),POLR1H (30834)
ACH-000694,6.517905553529951,6.186460940035483,6.700439718141092,0.0,7.392231545518049,6.800899899920305,0.2509615735332188,1.8991756304805127,5.449231200669493,6.622783966156123,6.350850805483376,5.6656201640663815,5.401220862160216,6.151371776253954,3.982765462583646,7.735115955967403,5.122258567811998,5.612647377658316,0.0,3.626439136697315,7.778077129535358,6.015693807105145,4.491211756003092,7.473218681741431,4.105175192265479,4.2861418728343015,5.674404153937691,0.0840642647884745,2.475084882948783,4.028569152196771,2.438292851579147,1.0772429989324606,7.973037205621765,7.083638879250706,9.646864676655756,5.931683057059805,4.501439145158873,5.285772093249838,2.735522177296537,2.867896463992655,3.6016965164809576,2.733354340613827,0.0565835283663675,0.0,1.2750070474998698,0.4436066514756146,4.683696454306515,6.890568290306586,0.0426443374084937,4.33699741660501,1.7355221772965377,0.4329594072761063,5.255500733148386,4.297191416565856,0.070389327891398,0.8318772411916731,0.0,0.1243281350022017,3.2957230245399685,7.411765185006983,0.01435529297707,0.3103401206121505,4.769771739249448,0.2265085298086797,1.454175893185802,3.753818443173543,0.3785116232537298,0.8073549220576041,0.3448284969974411,3.5096958419333872,3.901108243014512,0.925999418556223,4.383358695385111,4.002702520379824,1.765534746362977,0.2750070474998698,5.089159131911238,5.423578170981798,5.416839741912829,6.410408949851039,5.525129251203973,0.0840642647884745,3.496973580998276,5.597531174224212,3.5298209465286954,6.719046503929944,0.0285691521967709,6.15562781584529,3.187451054027326,0.0,6.109778429078662,0.1634987322828795,4.425593577653059,3.775050541483175,6.2720231890610485,0.0,3.3103401206121505,3.970853654340484,1.3617683594191536,6.469560421711221,0.3103401206121505,5.51064550409004,0.137503523749935,4.655924213083815,3.428946344769483,6.651912744645783,1.790772037862,0.0,1.831877241191673,6.131754090984813,5.308885057411763,5.108524456778169,2.3103401206121505,1.1375035237499351,1.1826922975161902,4.643278996311979,7.351469324267079,4.451540833017832,5.590063018812253,3.835924074254375,3.0461417816447205,0.6040713236688608,0.01435529297707,0.01435529297707,4.118525848935668,10.656335474198729,0.3673710656485294,8.040399323323186,0.0285691521967709,5.96116025813664,5.659924558402379,5.705701496845794,0.0,5.863938450423972,6.314877757368213,3.656496370553495,6.514122260170708,5.305240965954483,0.9486008474933558,4.448900951145128,3.29130885982897,0.1890338243900171,0.1763227726404629,0.0840642647884745,4.560103513464738,1.1043366598147355,3.10936055940423,1.2203299548795556,5.881909289047191,1.0071955014042038,4.935931139752267,0.4646682670034443,7.127530108485376,0.0,4.107687869314374,4.192983169973992,5.843481425432457,0.01435529297707,4.749534267669262
ACH-000619,6.585713708778164,5.157447996274298,6.672566775728865,0.070389327891398,6.033202725937223,6.2761244052742375,0.0565835283663675,2.327687364176047,6.018367115543116,7.07692245939234,5.711219556894335,4.763411574470007,5.0798047546352585,5.0457050645108,3.2172307162206693,6.214901910160696,4.932628157022127,6.0192571186810815,0.1890338243900171,3.970853654340484,7.182295025025483,6.0386995513055854,3.350497247084133,7.156841524588401,4.888986721186558,5.107269393592545,5.761019265240484,0.0285691521967709,2.521050736900963,4.55704241526372,5.761019265240484,0.7990873060740036,7.195938100427832,6.087887100933117,8.862978233406409,6.350497247084133,3.805292455600712,5.627898615871748,2.2172307162206693,3.1554254317471973,3.2942531364445142,2.7845039829295666,0.4222330006830478,0.1763227726404629,0.1763227726404629,1.989139007368233,3.357552004618084,5.910013053421343,0.01435529297707,4.082361969557474,2.596935142387232,0.0,4.776103988073165,4.000901402741532,0.0426443374084937,1.883620816285672,0.0,0.137503523749935,2.111031312388744,7.264442600226602,0.01435529297707,0.963474123974886,5.207892851641333,0.0,1.867896463992655,3.289834465177509,0.0,0.2986583155645151,0.1634987322828795,3.440952198029637,5.107687869314374,2.3757345385831563,3.6881803585869264,3.959770155211468,2.1858665453113337,0.1110313123887439,3.7037651787934096,5.580447019598664,5.04788732939655,6.7230123963923685,5.561937059622433,0.070389327891398,3.679198570566922,4.858478390423273,2.990954860396993,5.545968369105292,0.0285691521967709,4.842476062993939,2.411426245726465,0.0840642647884745,5.322288723570877,0.0840642647884745,4.512226886513957,3.2094533656289497,5.360013042204331,0.0,2.8619553641448694,4.354734239970604,1.298658315564515,4.786596361890807,0.1634987322828795,6.109778429078662,0.137503523749935,4.379898163524692,3.137503523749935,5.892391025913404,2.875780063068488,0.0565835283663675,2.2265085298086795,5.835671479481623,5.243745234733984,4.1034976397033365,5.690975738343275,0.903038270112912,1.4750848829487828,5.073820233291672,6.168922781852936,4.069530325162305,5.660780334032546,2.933572638261024,1.541019153133559,0.0285691521967709,0.0285691521967709,0.0565835283663675,4.49761236561836,9.509200978536652,0.0,7.113533819591914,0.0,4.818646082822539,5.693486957499325,4.780835001738229,0.0,5.401903471607959,5.757556688939453,3.349082146391089,5.861211003457162,6.513490745588118,0.411426245726465,4.404630684217612,4.684257705058931,2.568032104771279,0.0976107966264223,0.3103401206121505,6.154007947559024,2.6959938131099,2.503348735167504,0.2265085298086797,6.012568673503056,0.3785116232537298,4.043519493662743,0.4329594072761063,6.011227255423254,0.0,3.468583317006828,3.931683057059806,5.218006150284427,0.0,4.601102203376409
ACH-000647,5.870611313044545,5.456806149230474,7.092757140919852,0.1243281350022017,7.244506551395919,7.414220116283563,1.7398481026993275,2.763411574470007,6.445925298579273,6.834028534577023,6.537451387653073,5.285032249622911,4.842476062993939,6.511120100851014,4.351204277257994,6.547203024756931,5.5351198215998005,6.12969515665378,0.6415460290875237,5.477677327565307,6.525599107922306,6.627898615871748,3.91456452349394,7.472081550133609,4.956521363333119,4.45022149589718,6.104965604839979,0.01435529297707,1.622930350920177,4.28021399581062,6.593054921669878,0.2141248053528473,8.639810977716776,6.526694845541976,9.692598067208078,6.356319909711718,5.311067102255596,5.167518503735217,3.361768359419153,3.786596361890807,4.311793717753649,2.55581615506164,0.6135316529179271,0.0,1.632268215499513,0.9708536543404837,4.61706334388818,6.146084938616191,0.01435529297707,4.787118982813345,2.007195501404204,0.0285691521967709,5.261154672615572,5.191799501065075,0.2265085298086797,1.5310694927259538,0.0,0.0840642647884745,3.745237332129749,6.304876050044889,0.0426443374084937,0.1243281350022017,6.692789834972647,0.0,4.096767854714689,3.4369613378336026,0.01435529297707,1.5360529002402097,0.0976107966264223,2.472487771462744,4.170726276131552,1.1043366598147355,4.068670810665099,4.073820233291672,3.1473066987802936,1.144046369616707,4.66732447027863,5.780047576061869,4.714245517666122,8.340918270272116,5.574707046415546,0.4646682670034443,3.953265239014844,6.773337048473603,4.753283616460879,7.135863165368679,0.3895668117627256,6.160678213220501,4.6865005271832185,0.2509615735332188,5.718635616271338,0.4329594072761063,4.788685710613533,4.23342794374847,5.729280846027402,0.01435529297707,3.8972404255748,4.439623137557117,0.5360529002402097,3.5096958419333872,0.5558161550616396,6.649615459063409,0.0840642647884745,5.008540671702954,3.875780063068488,7.182394353404529,3.670160514126634,0.0,1.622930350920177,7.048541365693761,6.634157606343431,4.820178962415188,3.15704371014558,1.7782085763980875,0.918386234446348,5.7216460784183925,7.633794454067018,4.425593577653059,5.165911938935689,4.842476062993939,3.3132458517875616,0.2509615735332188,0.0,0.0285691521967709,4.934988201783478,10.337510406568294,0.0565835283663675,8.468746213754123,0.0285691521967709,7.3110671022555955,5.659068274843228,5.404971223589166,0.0,6.549207089355683,5.876025732722702,3.871843648509318,7.397203995910633,6.014801602351361,0.2750070474998698,3.881664619320345,7.170525999176848,3.3950627995175777,0.903038270112912,0.1243281350022017,5.165911938935689,2.451540833017832,3.297191416565856,0.2750070474998698,6.596786095944526,0.9781956296816516,4.85897561429202,0.5360529002402097,7.260496186946641,0.0285691521967709,4.767125077269071,5.608513578151302,4.858478390423273,0.01435529297707,4.3045110418099535
ACH-000231,6.3995129241829645,6.2469780596147215,6.406502656812875,0.2509615735332188,7.680746300314991,5.902314812492626,3.082361969557473,0.4222330006830478,6.422569410860832,6.577579887670554,6.84987419379562,5.269407240854037,6.254556251909489,6.054631448782967,4.651338766105931,5.985272714253447,4.324090516037983,6.980939266085512,0.0976107966264223,3.802193216941825,7.382580799109606,5.1440463696167065,4.3348542693316325,7.942866339273648,5.952799477899938,4.142413437873741,4.941106310946432,0.0426443374084937,1.5310694927259538,6.2143191208007655,5.153805336079036,0.0,7.352705566879903,5.876271360550127,8.868729972443498,5.948834425578686,5.39780296186249,3.0874628412503395,2.286881147788161,3.3673710656485296,3.694880192799191,2.8439838440483265,3.119356177039676,0.0976107966264223,0.0426443374084937,1.292781749227846,5.607922067261143,5.506843098969815,0.0426443374084937,4.455491620628468,2.4802651220544627,0.3561438102252753,4.292781749227846,4.571676809970931,2.790772037862,3.389566811762726,1.903038270112912,1.292781749227846,2.877744249949002,5.160678213220501,1.9818526532897407,0.6599245584023783,4.354734239970604,2.204766750654613,1.922197848396367,4.522306892871389,0.8399595874895318,0.2868811477881615,5.991635216476986,1.5945485495503542,2.0143552929770703,0.137503523749935,3.6016965164809576,4.954196310386875,0.7311832415722002,0.0426443374084937,3.77082904603249,5.674121632632394,0.1890338243900171,6.841469999465799,5.772677470424859,0.2387868595871164,3.085764553778314,6.8593484197657055,5.347311316365285,6.4886435398537845,0.0,5.88410945135923,3.428946344769483,0.0565835283663675,6.179909090014935,0.2141248053528473,4.43028527297778,4.058316495590823,6.683836787465606,0.0285691521967709,3.316145742293356,4.763411574470007,0.1505596765753814,2.9049657186840263,0.1890338243900171,6.147306698780294,0.1634987322828795,4.323370069061268,3.14893410452634,5.238786859587116,3.493134922305505,0.4329594072761063,2.2479275134435857,7.03342300153745,5.937579799679659,5.786073551578548,5.490890978894291,1.232660756790275,0.1505596765753814,5.452529544677926,6.734167661150761,5.1715271060388135,6.094869432718697,3.282439805006387,2.5360529002402097,1.8237493603082728,0.01435529297707,0.0840642647884745,5.1969217338203295,12.30543478999523,0.4005379295837288,8.716750882395635,0.01435529297707,5.304876050044889,5.5858639034626885,5.737686761409861,0.0,4.499527024215096,5.989593184938768,4.4269356196483365,6.744699314207836,4.795455272044121,0.8875252707415875,4.962086249850644,7.870857864363762,4.23189316164533,0.0840642647884745,0.4646682670034443,4.357552004618084,0.1505596765753814,3.298658315564515,0.2016338611696504,5.956056652412403,0.6040713236688608,4.295723024539968,0.2986583155645151,6.436295119839363,0.0,3.8083850506560935,5.562852959583925,4.388189537156084,0.0,4.416839741912829
ACH-000837,7.007083347243857,5.24069594421251,7.1708264041838445,0.1634987322828795,7.651554034819998,6.182890892745479,1.0565835283663676,3.2883585621936606,6.603032826499619,5.128458384146928,6.133193598664106,5.47735352663456,4.9354597478052895,6.324450604656073,4.590362488463746,6.78959885005233,5.7167165917059695,6.924812503605781,0.01435529297707,4.387500406480984,7.758289850372144,4.831370587967541,4.460742563789644,7.79584485619723,5.014801602351361,5.080657663345225,5.988457472811402,0.137503523749935,1.6088092426755238,4.914564523493939,7.756422887910517,0.0,8.2994369994275,7.694949819258069,9.30649466087785,6.23035674505615,5.348728154231077,5.042644337408494,4.247927513443585,3.0617761975866897,3.414135532984451,2.553360503335328,0.1243281350022017,0.4436066514756146,1.7092906357233577,0.1763227726404629,3.657640005207824,6.344828496997441,0.01435529297707,3.75702324650746,2.495695162624069,0.070389327891398,4.715893370547605,4.234194722953812,0.1634987322828795,0.2141248053528473,0.0,0.0426443374084937,2.114367024952,6.295723024539968,0.4005379295837288,0.7739963251111731,5.55704241526372,0.0,0.01435529297707,2.929790997718597,0.0840642647884745,0.411426245726465,0.0565835283663675,1.250961573533219,3.512226886513957,1.0071955014042038,4.649040565634448,4.929790997718597,2.8875252707415875,0.01435529297707,5.334496768390418,4.926473911256073,0.070389327891398,6.5657494793688445,5.610581958492531,0.070389327891398,3.3348542693316325,5.583158003874408,5.040454121349624,7.1580542131223055,0.0,5.7366048753142485,3.5197934862411,0.0426443374084937,5.866907978143166,0.1243281350022017,4.707082991771706,4.257764968571387,6.472000292140353,0.0,1.0356239097307212,3.040892430646901,0.2750070474998698,4.956056652412403,0.0426443374084937,6.58014548442338,0.0565835283663675,5.187055089968057,3.985500430304885,7.111448698487674,3.353323291162897,0.0840642647884745,1.0,5.877253453876608,6.373126157758923,4.320484678017694,2.563158130402808,0.903038270112912,0.0426443374084937,2.0107798387532423,7.464178137886827,4.617651119427331,3.4776773275653072,4.0574502721839,2.711494906650088,2.776103988073164,0.0426443374084937,0.0840642647884745,4.016139702655253,11.98687308114478,2.6982184782244136,7.452694264098199,0.0,6.110822574047804,5.223422549934937,5.428946344769483,0.0,6.798439398827793,6.056583528366367,3.797012977836145,7.626074036090307,5.575009720294951,0.3103401206121505,3.919340082442013,7.329033873660803,2.9891390073682333,0.0976107966264223,0.9560566524124028,7.0298945496633385,0.9107326619029126,3.339137384919585,0.0,5.18626283566979,0.4005379295837288,5.290571850852079,0.3103401206121505,8.09971599916091,0.0,4.398487190018967,5.155425431747197,4.3008558712687615,0.3561438102252753,4.702103406629387
