,GCK (2645),CALM2 (805),PPARGC1A (10891),ELK1 (2002),CALM1 (801),EIF4E (1977),EIF4EBP1 (1978),PRKAG2 (51422),FBP1 (2203),HK2 (3099),HK1 (3098),RHEB (6009),BRAF (673),PDPK1 (5170),IKBKB (3551),EXOC7 (23265),AKT1 (207),SHC4 (399694),AKT2 (208),NRAS (4893),AKT3 (10000),PYGB (5834),PYGM (5837),ACACB (32),INPP5K (51763),PYGL (5836),ACACA (31),PIK3R5 (23533),PDE3B (5140),PHKB (5257),PHKA2 (5256),PHKA1 (5255),FLOT2 (2319),KRAS (3845),SHC3 (53358),SOCS1 (8651),PRKX (5613),PRKAB2 (5565),CALML5 (51806),PRKAB1 (5564),PRKAA2 (5563),PRKAA1 (5562),PDE3A (5139),SOCS3 (9021),FOXO1 (2308),PRKACA (5566),PRKACB (5567),G6PC2 (57818),PRKACG (5568),IRS2 (8660),CBLC (23624),CALML3 (810),FLOT1 (10211),CRK (1398),SH2B2 (10603),CRKL (1399),RHOQ (23433),PRKAG1 (5571),PRKAR1A (5573),PRKAR2A (5576),PRKAR1B (5575),CALM3 (808),PTPN1 (5770),SOS2 (6655),RAF1 (5894),SHC1 (6464),PRKAR2B (5577),TSC2 (7249),SORBS1 (10580),SLC2A4 (6517),MTOR (2475),MKNK1 (8569),SOCS2 (8835),FASN (2194),PHKG1 (5260),BAD (572),INS (3630),PHKG2 (5261),PRKCI (5584),GYS1 (2997),GYS2 (2998),INPP5D (3635),MAPK9 (5601),HK3 (3101),MAPK10 (5602),MAP2K2 (5605),PTPRF (5792),MAP2K1 (5604),PRKAG3 (53632),RPTOR (57521),PPP1R3C (5507),RAPGEF1 (2889),PPP1R3A (5506),RPS6KB1 (6198),RPS6KB2 (6199),PRKCZ (5590),TSC1 (7248),GRB2 (2885),PPP1CC (5501),PPP1CA (5499),PPP1CB (5500),MAPK3 (5595),PKLR (5313),INSR (3643),SOS1 (6654),RPS6 (6194),PPP1R3D (5509),MAPK1 (5594),HRAS (3265),MAPK8 (5599),PCK2 (5106),PCK1 (5105),GSK3B (2932),CBLB (868),CBL (867),EIF4E1B (253314),FBP2 (8789),LIPE (3991),MKNK2 (2872),EIF4E2 (9470),ARAF (369),TRIP10 (9322),PPP1R3B (79660),PIK3R3 (8503),SOCS4 (122809),PIK3CA (5290),PIK3CB (5291),PIK3CD (5293),SHC2 (25759),G6PC (2538),SREBF1 (6720),IRS1 (3667),PIK3CG (5294),IRS4 (8471),PIK3R1 (5295),PIK3R2 (5296),CALML6 (163688)
ACH-000694,0.2868811477881615,9.36640964765943,0.6040713236688608,3.880685525261125,8.70611608424485,6.660067222930642,4.522306892871389,3.0107798387532423,0.9927684307689242,3.7224660244710894,6.2104278304014855,5.96624587322494,2.839959587489532,4.414135532984451,3.9523335663696857,5.593054921669878,6.6849589615938525,0.4222330006830478,5.04788732939655,3.836934011321092,2.277984747299765,4.104336659814735,0.5160151470036647,2.035623909730721,4.482202926295956,6.719320364037237,5.724923070266613,0.1763227726404629,1.2750070474998698,6.282439805006387,4.010779838753242,2.493134922305505,5.969472864596329,3.932628157022127,0.137503523749935,0.6229303509201767,4.155425431747197,4.062639828286463,4.15623479785027,3.736604875314249,0.8953026213333066,5.331633567171029,0.3785116232537298,4.139960569545456,2.063502942306158,4.986410935252045,3.4462562298895643,0.0285691521967709,0.0,1.0356239097307212,4.06177619758669,1.3617683594191536,6.015247773698937,5.277240898332067,2.0669502439246266,5.105175192265479,3.442280035252584,5.690137692986635,6.822220271621528,3.39231742277876,4.15704371014558,6.999774561287003,5.12267271882414,3.690417095532466,5.314696525656286,5.696828464588713,3.559491813205038,5.572889668420581,0.7824085649273732,0.411426245726465,4.768713657030485,5.323370069061268,1.925999418556223,6.253422057636538,0.4541758931858021,5.883865154509794,0.0,5.016139702655253,5.035623909730721,5.072534599722955,0.0,0.3334237337251918,4.504620392403552,0.1243281350022017,3.0942360698457656,6.606886339275915,6.663771557482411,5.308156975114762,0.2265085298086797,4.1626934322112366,0.2630344058337938,4.131754090984813,0.0,4.218006150284427,6.150559676575382,4.514122260170708,4.521678951603199,5.8671551631075145,6.624832002453465,8.410536151071462,6.242030801922732,5.515384460636948,0.01435529297707,1.8155754288625725,3.5459683691052923,9.971256135872146,2.594548549550354,5.699051844016849,6.421896512042248,4.2433644256936605,4.511594541537413,0.0565835283663675,5.105175192265479,1.922197848396367,2.372952097911829,0.0,0.4646682670034443,1.6461626571578936,5.695158678475356,6.975446765640962,5.5906618959652645,5.486070743735668,1.6507645591169022,3.077242998932461,3.928844036712568,3.3146965256562866,4.404630684217612,0.4222330006830478,1.0214797274104517,0.0,7.679480099505446,2.543495883425772,0.0285691521967709,0.070389327891398,2.6599245584023783,3.451540833017832,0.3219280948873623
ACH-000619,0.2016338611696504,8.67302633970603,0.01435529297707,3.7355221772965375,7.240123484034022,5.491211756003092,5.390598905552461,3.527320607877047,1.1375035237499351,4.157852169141737,5.014801602351361,6.642123916153487,2.6622054996536164,3.6005076453457856,4.579542224936903,5.334139178838237,6.011003564432669,0.0285691521967709,5.7238315664953205,4.141596278383818,1.4436066514756147,5.2268938135713885,0.632268215499513,1.3448284969974411,3.739848102699328,6.323189901088398,5.356495987705577,0.0,0.1763227726404629,5.308156975114762,3.9439213265534856,1.996388746447621,5.529820946528695,3.625270489374693,0.0840642647884745,0.8399595874895318,2.411426245726465,3.523561956057013,2.350497247084133,3.612352498752662,1.232660756790275,4.8894735425311096,0.0,3.655351828612554,1.7949356628035362,4.908332569782425,3.04788732939655,0.0,0.0,1.9818526532897407,4.529820946528695,4.093391153253013,5.977966757619478,4.534808661231747,1.2868811477881614,4.524815928357506,3.5459683691052923,4.850999394716474,5.926473911256073,2.994579724215748,3.571676809970932,7.595593169744556,5.23687524536694,3.212569338850806,5.661920579135087,6.485587833257222,0.2509615735332188,5.329841176530628,1.0071955014042038,0.2387868595871164,4.390254956321868,5.066089190457772,1.292781749227846,6.9804823555382605,0.8718436485093178,5.73579292798531,0.0,4.692092375427572,4.8529975876133165,4.724650271732967,0.0,0.4854268271702416,4.349082146391089,0.0,2.2448870591235344,5.846493315964563,6.8939688694671,5.237257770900372,0.0976107966264223,3.20006486151431,0.0426443374084937,4.508428652531857,0.0,3.456806149230474,5.307428525192248,3.963474123974886,4.615298579092115,5.266411766036114,5.965553434987078,7.510091610470939,5.400879436282184,5.140369670651527,0.0285691521967709,2.6484654430273142,2.839959587489532,9.53896488745146,2.587364990936461,4.939226577728209,6.264348763351165,4.37016428054021,4.6194130105979365,0.0285691521967709,3.977279923499916,1.5897634869849773,3.001802242633985,0.0,0.1890338243900171,3.234194722953812,5.581351247168778,5.575614877619633,4.842978831788326,5.876516946564999,1.613531652917927,2.2898344651775093,3.676944359106912,3.702657543390911,3.831877241191673,1.565597175854225,0.0,0.0,7.314787144358046,2.9392265777282085,0.0,0.0,2.097610796626422,2.771885578515366,0.3895668117627256
ACH-000647,0.1505596765753814,11.02396221945364,0.01435529297707,4.37016428054021,7.656067273725599,6.684397983637571,5.471187460386985,4.303780748177103,0.632268215499513,3.541019153133559,6.822347757597036,8.0686170740028,3.624100894628114,4.7489978500981485,2.6182386555954547,5.424250286084049,5.883865154509794,0.2016338611696504,6.14649230697719,5.439623137557117,3.842978831788325,4.676380255466924,0.4005379295837288,2.6415460290875235,4.090853430451113,7.893301530860564,5.034743949324734,0.963474123974886,1.632268215499513,5.467605550082998,3.918386234446348,2.782408564927373,5.777156666004501,4.05484847699562,0.2141248053528473,1.7355221772965377,2.356143810225275,3.527320607877047,0.0426443374084937,4.390942772802543,2.805292455600712,6.542103245856593,0.01435529297707,4.737145919776202,1.480265122054463,6.004950759951045,4.4269356196483365,0.0,0.0,3.289834465177509,3.882643049361841,2.1009776477248208,6.744295669055036,5.585263030883869,1.790772037862,7.159265883160681,5.1965283609369415,5.8671551631075145,6.950468414150123,4.803743668505225,5.4276061727819,7.933572638261024,6.31124879044183,3.203201156316611,6.998985248258895,8.42097076340615,3.0789513413948217,5.389222616355895,1.655351828612554,0.5360529002402097,5.459759466619821,5.661350569233997,3.670160514126634,5.889716891615078,1.0772429989324606,6.10454633862346,0.0,4.558879853475442,5.593054921669878,5.266411766036114,0.0,0.1763227726404629,5.062639828286463,0.0426443374084937,1.2387868595871168,6.433627167084783,7.458857705335254,5.667040559022988,0.0,3.713695814843359,1.925999418556223,4.838951766951944,0.01435529297707,4.399171093819823,5.948834425578686,5.489928219405183,4.3125199674749455,6.017699252693033,7.260496186946641,7.99734886767138,7.401306206006015,5.057016965365539,0.0,2.090853430451113,4.40735275114004,10.04535013447236,3.469885976274464,7.632922515461243,4.888499735514123,6.341096237957642,4.527320607877047,0.0565835283663675,4.579542224936903,1.3276873641760472,3.895302621333306,0.0285691521967709,0.1110313123887439,2.669026765509631,4.779785005301132,5.846744023244868,4.754353071692127,5.946028989515477,2.2265085298086795,3.346247774082776,4.212569338850806,3.739848102699328,4.072105800480419,2.920293300211007,0.5058909297299572,0.0,4.683696454306515,3.9136075118230993,0.0426443374084937,0.0,1.3391373849195856,3.682573297347578,0.5945485495503542
ACH-000231,0.5753123306874368,9.343008005345,1.1375035237499351,5.967399198924614,8.675392543042777,6.510170751151772,6.3008558712687615,4.501439145158873,0.5849625007211562,4.589763486984977,6.387328072366118,7.971773447193373,3.264536430999025,4.4276061727819,4.7300964655954685,5.239932613485237,7.173926931999809,1.4168397419128294,6.170926525287385,5.813524689297811,4.519793486241101,5.443938115013176,0.3334237337251918,2.1858665453113337,3.5619370596224327,7.064473328753415,4.95093492831454,0.0,0.0426443374084937,4.40667271575583,4.575312330687437,1.807354922057604,4.921245888585589,4.379898163524692,0.7484612330040357,2.403267722339301,3.460742563789644,4.458119481174506,0.0426443374084937,4.503348735167505,2.51096191927738,5.870857864363762,0.8399595874895318,2.903038270112912,2.908812907739547,6.31124879044183,4.762348815644129,0.0,0.0,2.2078928516413328,0.070389327891398,0.0,8.115355831721113,5.078951341394822,1.3334237337251915,5.700717132821476,4.443606651475615,5.475409193401062,6.2712762591759255,4.753818443173543,3.1127001327493624,8.06544306293743,5.325890061039784,4.017031080527841,6.630085070002124,8.024973407408652,3.645009884391095,5.768978250344548,1.989139007368233,0.0426443374084937,5.618238655595454,4.775050541483175,3.654206377944292,5.91528186586766,1.4329594072761065,5.783194703376154,0.0,5.129283016944966,4.882153917287012,6.01992426090841,0.0,0.137503523749935,5.15704371014558,0.0426443374084937,0.7990873060740036,6.767522386228545,6.32876467228402,6.534964249804655,0.0,3.63575439127776,3.674686619927999,4.753283616460879,0.01435529297707,3.960697039304312,4.690975738343275,3.422233000683048,4.277984747299765,5.153805336079036,6.490088723943468,6.904965718684027,6.808256324799136,4.910732661902912,0.01435529297707,1.7311832415722,3.266036893995317,10.468929450612253,1.8914191868460783,5.727103603522661,5.609400390006429,5.320484678017694,3.972692654004264,0.0426443374084937,5.047014819517589,3.517275693209581,3.2479275134435857,0.0,0.0,2.4646682670034443,6.0710332444568245,6.496654082593496,6.304693557471008,5.857483428286672,2.853995647176393,4.640967910449898,3.922197848396367,3.613531652917927,4.36667191611176,3.2387868595871163,0.879705766282288,0.0,5.635464198167884,3.5084286525318573,0.1110313123887439,0.01435529297707,4.907371413823563,4.118525848935668,0.4005379295837288
ACH-000837,0.01435529297707,10.097768793418616,0.1505596765753814,4.33199177823206,8.222263603528345,7.018033222764563,5.655065551195028,4.22573765346606,0.1243281350022017,5.392317422778761,5.2890967024199895,5.751945681615022,2.5921580021253603,3.679198570566922,4.456806149230474,5.009884588931844,6.476381687567235,0.2387868595871164,5.273515889702116,1.292781749227846,3.970853654340484,7.111865963867557,0.6415460290875237,0.1634987322828795,2.994579724215748,6.491211756003092,4.1969217338203295,0.0285691521967709,1.7092906357233577,6.628919373511362,3.158660175346498,2.974529312483882,4.881175155349276,4.522306892871389,0.2750070474998698,2.2078928516413328,3.0107798387532423,4.131754090984813,0.070389327891398,4.152994605492435,1.807354922057604,5.707635219545296,0.0840642647884745,3.212569338850806,1.3045110418099528,4.429615964201735,4.55028504908841,0.0,0.0,2.873813198359087,5.098032082960526,0.0,6.375908263075014,4.964398632203184,0.3785116232537298,5.270528942380718,3.349082146391089,5.23035674505615,6.546585829008101,4.2890967024199895,5.243745234733984,7.622198278523645,5.0522419811811385,3.137503523749935,5.39746072605472,5.93451650158608,1.01435529297707,5.043956872790206,0.765534746362977,0.0840642647884745,4.860962797858116,4.942045259916046,3.311793717753649,6.315240152507242,0.4222330006830478,6.394719912994065,0.0,4.739308070860385,4.554588851677638,4.601696516480957,0.0,0.2986583155645151,4.828834649468056,0.0426443374084937,0.6135316529179271,6.506049668250324,6.577428828035749,6.855491443101874,0.0,3.981852653289741,0.0426443374084937,4.292045492492862,0.0,3.996388746447621,5.86616616903904,3.653060017104565,3.736604875314249,5.350850805483376,6.28021399581062,7.771423440756639,6.883987308105472,4.9740703670240265,0.0426443374084937,0.9411063109464316,3.2539892662307865,10.006606594769428,2.372952097911829,5.241840183564671,5.502712485966061,4.402585758232587,3.1731274334806563,0.070389327891398,4.95837871156634,2.250961573533219,3.851998837112446,0.01435529297707,0.0285691521967709,0.3448284969974411,5.94766615679601,6.473786911614368,4.590362488463746,6.301587646603187,1.5260688116675876,3.8083850506560935,4.115199749385445,3.1842802944193824,4.20945336562895,0.6507645591169022,0.3561438102252753,0.0,5.654206377944292,2.773996325111173,0.0285691521967709,0.2265085298086797,2.1667154449664223,3.344828496997441,0.2141248053528473
