,CACNA2D1 (781),CACNB1 (782),COX8A (1351),CACNB2 (783),UQCR10 (29796),COX7C (1350),CACNB3 (784),CACNB4 (785),CACNG1 (786),FXYD2 (486),CACNG8 (59283),RYR2 (6262),CACNG6 (59285),ATP2A2 (488),CACNG7 (59284),TPM2 (7169),MT-CYB (4519),TPM1 (7168),ATP1B2 (482),ATP1B3 (483),ATP1A4 (480),ATP1B1 (481),MT-CO2 (4513),COX7B (1349),MT-CO1 (4512),COX7A1 (1346),COX7A2 (1347),COX8C (341947),COX6C (1345),MT-CO3 (4514),CACNA2D3 (55799),COX6B1 (1340),CACNA1D (776),SLC8A1 (6546),COX5B (1329),SLC9A1 (6548),CACNA1C (775),TNNI3 (7137),CACNA1F (778),COX4I1 (1327),ATP1A1 (476),CACNA2D2 (9254),CACNA1S (779),COX7B2 (170712),ATP1A3 (478),TNNC1 (7134),ATP1A2 (477),UQCRB (7381),COX6A2 (1339),SLC9A6 (10479),TPM4 (7171),ACTC1 (70),COX6A1 (1337),CACNA2D4 (93589),UQCRH (7388),UQCRFS1 (7386),UQCRC2 (7385),TPM3 (7170),UQCRC1 (7384),CACNG2 (10369),CACNG3 (10368),UQCR11 (10975),UQCRQ (27089),MYL3 (4634),TNNT2 (7139),MYL2 (4633),COX6B2 (125965),COX4I2 (84701),COX7A2L (9167),COX5A (9377),CACNG5 (27091),CACNG4 (27092),UQCRHL (440567),CYC1 (1537),MYH7 (4625),MYH6 (4624),ATP1B4 (23439)
ACH-000694,0.3561438102252753,2.389566811762726,9.243816625240015,0.2630344058337938,7.035733867052591,9.689071974098365,4.219555769166913,0.1763227726404629,0.7824085649273732,0.1634987322828795,0.2016338611696504,0.84799690655495,0.1110313123887439,7.186659017202113,0.01435529297707,5.269033146455237,12.646288685814447,6.590212761408359,0.0976107966264223,8.627059595760349,0.0426443374084937,6.724377421606217,14.53320804236937,9.627351484189232,14.160028965299812,0.3785116232537298,8.178615059119087,0.1634987322828795,8.268658955027671,14.12339396367116,0.0565835283663675,8.660815980336604,0.2750070474998698,0.3561438102252753,8.060533822013706,4.4329594072761065,0.8875252707415875,0.632268215499513,0.5655971758542251,9.862265401117863,7.490650349248018,0.4646682670034443,0.0,0.0,0.7484612330040357,3.785550551739256,0.0426443374084937,8.41400864873692,0.0,3.257010618206024,7.78666169986056,0.0565835283663675,9.361285860047063,0.1890338243900171,9.501936677681266,4.534808661231747,7.996897125512336,8.8060017610634,7.645802514606062,0.0,0.0,6.600210274420093,7.98042523154384,0.0,3.658782734012828,1.5058909297299572,1.063502942306158,0.0,6.274448043925208,8.518889160097421,0.0,4.816087658600206,4.180307019969433,7.383963435972199,0.0,0.0840642647884745,0.0
ACH-000619,0.1110313123887439,2.4195388915137843,8.773996325111174,0.6690267655096305,5.989593184938768,8.722329399153418,3.938285791884053,0.0840642647884745,0.0,0.0285691521967709,0.0285691521967709,0.1505596765753814,0.01435529297707,6.793635820350628,0.0285691521967709,6.932155684432056,13.697727782606473,5.768713657030485,0.0285691521967709,7.691254978650136,0.7990873060740036,5.57228336665041,15.905998027703363,8.029011086659068,15.420091804602317,0.2509615735332188,7.583458910130768,0.0,8.074248523347032,15.451211111832327,0.0565835283663675,8.785027362235466,0.2387868595871164,0.7484612330040357,6.9886846867721655,4.678071905112637,0.070389327891398,1.807354922057604,0.2986583155645151,8.759854902675555,8.171226846915134,0.5459683691052926,0.0,0.0,0.3785116232537298,1.1699250014423124,0.0426443374084937,7.723148957047578,0.0,3.1009776477248208,7.843418610801299,0.2016338611696504,8.644252876369062,0.6507645591169022,8.457052490055949,4.550900664647523,6.771093251699539,8.589651146514786,6.394033895367782,0.0,0.0,6.1426176554465775,7.399085623572404,0.0,1.6735564239901446,0.1890338243900171,3.527320607877047,0.0565835283663675,6.252476214135217,7.281327329659484,0.0,1.3895668117627256,3.4342946179599254,6.204766750654613,0.0,0.0,0.0
ACH-000647,3.700439718141092,1.903038270112912,8.2629404773178,0.4854268271702416,6.870611313044545,8.40582222051167,3.996388746447621,0.2387868595871164,0.0,0.6040713236688608,0.070389327891398,1.38404980679516,2.6182386555954547,7.185866545311334,0.01435529297707,7.773402989696317,12.386212788498389,9.016808287686557,2.0461417816447205,6.628919373511362,0.0,5.492494151679432,14.720458038393296,8.749768887653893,13.904352376721366,0.2141248053528473,7.420549772116318,0.070389327891398,8.180257284727134,13.265746887082493,0.0976107966264223,8.796753476973697,1.6825732973475784,3.349082146391089,7.282254452010578,4.516645557780962,0.0840642647884745,4.008092420948722,0.01435529297707,8.944858445807538,7.973037205621765,0.879705766282288,0.0,0.070389327891398,2.8914191868460786,6.048105374442063,0.2630344058337938,7.613605318063384,0.0,3.690417095532466,7.7989577479004275,0.7048719644563528,8.987178727086304,0.2750070474998698,9.309248960816616,4.95093492831454,7.032100843167024,10.255736756877484,7.405141463136344,0.137503523749935,0.0,6.372081483534501,7.818070832815228,0.6040713236688608,1.5753123306874368,0.7570232465074596,3.4918530963296748,0.0,7.549284113196009,7.965495716796161,0.0,2.3978029618624896,3.855989697308481,6.822602695756541,0.0,0.0,0.0
ACH-000231,3.5801454844233804,2.060047383669939,8.67549840172433,1.0908534304511135,5.499208090856686,9.346691011986318,4.23112515787905,1.063502942306158,0.0,0.1763227726404629,1.6690267655096307,0.4854268271702416,0.1890338243900171,6.896756218474805,0.3219280948873623,6.671717965129234,11.628810041160062,11.988862172783447,0.070389327891398,7.796169429314055,0.01435529297707,7.1264979900833,13.533086342167612,9.488924661273415,13.372457000417915,0.3219280948873623,8.405652061280371,0.0,8.076815597050832,13.438012087651131,0.7990873060740036,9.510823496171913,0.2016338611696504,2.475084882948783,6.936755705219598,4.928844036712568,0.5849625007211562,0.7048719644563528,0.0,9.498968844559869,8.30410029712983,0.933572638261024,0.0,0.0,0.2750070474998698,0.879705766282288,0.1763227726404629,8.113481728275959,0.0,4.099295204337775,10.308566566618214,1.8639384504239715,8.65399150465991,0.0565835283663675,9.218030375884377,5.12474169241965,6.860342096974779,9.800414606971549,8.190367937546275,0.0,0.0,6.392489161966022,8.606109055032658,0.0426443374084937,0.01435529297707,0.0,0.6959938131099002,0.0,6.245267466519513,8.142770799657844,0.0,2.835924074254375,3.8698714061777126,6.59946657883123,0.01435529297707,0.0,0.01435529297707
ACH-000837,2.150559676575381,1.097610796626422,9.353499735245656,0.8718436485093178,6.600210274420093,9.120756272978472,1.411426245726465,0.2387868595871164,0.070389327891398,0.0,0.8718436485093178,1.2868811477881614,0.84799690655495,7.025693273680773,0.0565835283663675,0.9107326619029126,12.915431267311472,8.022922589055629,0.01435529297707,6.839959587489532,0.0426443374084937,5.588864518190148,15.532234153181506,8.113794247962549,14.992717101244756,0.2868811477881615,7.828199967727632,0.137503523749935,9.044394119358454,14.433324626715926,0.0,8.443316558396397,1.2265085298086795,1.632268215499513,6.445428759238323,4.416839741912829,0.01435529297707,0.2630344058337938,0.0,9.638725510025145,7.949301468328278,0.137503523749935,0.01435529297707,0.0,0.4436066514756146,2.765534746362977,0.2265085298086797,8.288127815901262,0.0,2.704871964456353,7.998477604607171,0.2986583155645151,8.367371065648529,0.1110313123887439,8.871812852948382,4.894332742277694,7.006859012763404,9.573003321641302,7.925346736176555,0.01435529297707,0.0,6.251529750123781,7.517590657743283,0.0285691521967709,0.9486008474933558,0.9107326619029126,0.01435529297707,0.0,6.56711948795167,8.591185709622112,0.0,1.0908534304511135,3.73768676140986,8.124845063253419,0.0,0.0,0.0
