,ALG13 (79868),DOLPP1 (57171),RPN1 (6184),ALG14 (199857),MAN1B1 (11253),ALG3 (10195),B4GALT1 (2683),MGAT5 (4249),RPN2 (6185),STT3A (3703),MGAT3 (4248),DAD1 (1603),MGAT2 (4247),ALG12 (79087),TUSC3 (7991),MAN1C1 (57134),DPM2 (8818),DPM1 (8813),GANAB (23193),ALG1 (56052),MGAT4A (11320),ALG10B (144245),STT3B (201595),MAN1A2 (10905),ALG10 (84920),ALG11 (440138),ALG8 (79053),ALG2 (85365),DPAGT1 (1798),RFT1 (91869),DPM3 (54344),DDOST (1650),MGAT4B (11282),ALG6 (29929),MAN2A2 (4122),MAN1A1 (4121),MAN2A1 (4124),ST6GAL1 (6480),B4GALT3 (8703),ALG5 (29880),B4GALT2 (8704),MGAT5B (146664),ALG9 (79796),MOGS (7841),FUT8 (2530),MGAT1 (4245)
ACH-000694,4.878725341480106,4.822220271621528,7.373300196608389,2.533563348214512,5.347311316365285,6.125568451778029,5.213347281733441,3.125981653854716,7.660352509670921,6.572889668420581,3.282439805006387,8.396219440247751,4.963474123974886,4.421559944901823,0.7136958148433591,0.5160151470036647,5.848998430400023,6.259649120649155,7.528649452318251,4.897240425574799,1.2570106182060237,2.6848187375532224,5.24450655139592,3.228049047884462,2.929790997718597,3.886550147324343,4.616475328782878,5.046141781644721,4.965784284662087,4.15704371014558,5.681449265314958,7.692092375427572,6.047014819517589,3.78135971352466,3.092545741543565,0.8399595874895318,4.368069876532083,1.9855004303048849,4.531069492725954,4.517275693209582,4.345538310070007,1.1699250014423124,3.1858665453113337,4.987320865929254,4.345538310070007,5.4269356196483365
ACH-000619,4.297191416565856,4.284662185483165,7.570311124318804,2.1731274334806563,7.7713574089905615,5.9095331149468935,5.242221395098369,3.582556003014061,8.782539617753997,7.060479781407595,0.4222330006830478,7.676027578651691,5.050501697446727,3.571676809970932,5.9963887464476215,1.2690331464552371,5.185073637876762,6.33199177823206,8.025748633134393,4.544732655932624,2.19534759832222,2.7506065048355923,5.429281193335658,3.543495883425772,2.704871964456353,3.2063306478710496,4.506525779043123,4.642701571833233,4.957450336347116,4.4409521980296365,6.401732849522621,8.433168115419818,6.581803148516525,3.857980995127572,3.951401291674311,1.790772037862,4.462706750670158,1.84799690655495,4.783980413683795,4.454175893185802,4.687620632084895,2.364572432295856,3.76234881564413,5.627606838129649,4.013462259806563,5.807097274938268
ACH-000647,5.505255800932163,5.217230716220669,7.11332544304199,3.249445341085839,5.667040559022988,5.683134985126093,6.2193621578077165,5.263410058756341,8.194461391737482,7.638653116466112,1.0,7.465729642537666,5.512542955096859,3.438292851579147,6.706116084244851,1.584962500721156,5.821455119102458,7.7436226760676545,6.573041204058648,4.73226919950145,3.825785627464792,2.9467308601403097,7.162592738088642,4.995032192477536,2.963474123974886,4.846493315964563,6.17951105027151,5.155425431747197,4.794935662803536,4.913607511823099,5.711770203863191,8.517275693209582,6.647026632654853,4.387500406480984,4.295723024539968,2.655351828612554,4.509695841933388,0.4005379295837288,6.159467729266766,4.87528859822269,5.279471295644468,4.616475328782878,4.10936055940423,5.8671551631075145,5.160678213220501,6.051372101721025
ACH-000231,5.675251386050259,4.311793717753649,8.110874761464506,2.845991770664573,7.125568451778029,6.076174256724248,6.864928972289788,3.857980995127572,8.684433051151116,7.426600226169925,0.0976107966264223,8.444062394208746,5.4202128906107845,2.920293300211007,5.925287386770335,2.16349873228288,6.379378367071262,6.440786132413236,8.231749192077721,4.551516017628014,0.7990873060740036,2.558267634055736,6.567423757707283,4.180307019969433,2.324810603420484,3.704871964456353,4.747387399652718,4.910732661902912,4.595742339474399,4.5777309314900805,6.950001749083499,9.183585760842046,7.871720462321232,3.710393192170516,4.986410935252045,1.4222330006830477,4.975446765640962,0.6507645591169022,5.2731428593080825,4.740387932468353,5.341274183692175,3.624100894628114,3.9439213265534856,4.816087658600206,5.717539343391165,6.529508641074312
ACH-000837,4.985044962253466,4.280956313831056,7.30542338930187,2.250961573533219,6.285032249622911,6.510012465448515,6.184081890370264,3.882643049361841,9.375625950151694,8.186906575423098,0.137503523749935,8.70580515486547,5.284662185483165,3.651912744645783,5.6884601404244926,0.1763227726404629,5.1034976397033365,6.523561956057013,8.3460261040547,4.252476214135217,1.7739963251111732,4.111031312388744,6.186064704097565,3.802193216941825,5.084914659767938,3.882643049361841,6.051154549878513,4.526068811667588,6.044831233447812,5.548436624696042,5.777419715515831,7.938285791884053,6.66746640495737,3.657640005207824,5.211401637418471,1.9373443921502325,4.403949364232865,0.2750070474998698,5.672990993827748,5.424922088210688,5.177120502846516,2.1176950426697547,4.142413437873741,5.534497433738168,7.195938100427832,6.005175391331941
