,NEIL2 (252969),MPG (4350),SMUG1 (23583),XRCC1 (7515),POLE4 (56655),HMGB1 (3146),POLE3 (54107),POLD4 (57804),MBD4 (8930),OGG1 (4968),UNG (7374),POLD3 (10714),PCNA (5111),NEIL1 (79661),POLE2 (5427),PARP4 (143),PARP3 (10039),PARP2 (10038),POLB (5423),APEX1 (328),POLL (27343),POLD1 (5424),POLD2 (5425),POLE (5426),NEIL3 (55247),TDG (6996),APEX2 (27301),LIG3 (3980),NTHL1 (4913),FEN1 (2237),LIG1 (3978),MUTYH (4595),PARP1 (142)
ACH-000694,2.007195501404204,5.533563348214512,5.447909748742077,4.687060688339892,5.863938450423972,10.345183447187663,6.350850805483376,7.411765185006983,4.724104519866845,2.929790997718597,5.780835001738229,3.626439136697315,7.434961760187254,3.631104282365877,4.383358695385111,4.139960569545456,3.718087583960517,5.916476644437717,3.776103988073164,8.545698147275987,3.944858445807539,5.423578170981798,6.410408949851039,5.525129251203973,2.6599245584023783,4.94063660720115,4.0916998341368105,3.8083850506560935,4.695437110405369,6.3466023752989855,5.034303767768035,4.445594291341182,7.053545817727984
ACH-000619,2.2957230245399685,5.725195817226664,5.213347281733441,4.689299160535892,5.401903471607959,8.631722738761946,5.711219556894335,7.264442600226602,4.428946344769483,3.475084882948783,4.813524689297811,3.970853654340484,8.147154035330736,3.007195501404204,3.6881803585869264,4.3729520979118295,3.554588851677637,4.914564523493939,4.176322772640463,6.829595899177507,3.351910961103077,5.580447019598664,6.7230123963923685,5.561937059622433,2.232660756790275,3.895302621333306,3.553360503335328,3.5285713188707577,4.351204277257994,5.479618608469416,5.663344619366085,3.920293300211007,5.923149180472309
ACH-000647,3.1176950426697547,5.491211756003092,5.175125349657719,5.394376944957055,6.549207089355683,9.545601627212466,6.537451387653073,6.304876050044889,4.344828496997441,4.913128767819739,6.69752363881355,5.477677327565307,8.095660745495218,1.7484612330040354,4.068670810665099,4.2539892662307865,4.259272487037594,5.589763486984977,4.256255873202732,7.5725107596749,3.368768349090334,5.780047576061869,8.340918270272116,5.574707046415546,3.3175935046234715,3.6644828403646814,4.189033824390017,4.514753498439753,4.693208148910016,5.917431755390104,5.531381460516312,3.944858445807539,7.145371767083274
ACH-000231,3.261530815243406,5.275379596253622,4.464668267003445,4.904484097901423,4.499527024215096,9.098900597692172,6.84987419379562,5.160678213220501,4.880685525261125,4.083213368248981,5.409390936137702,3.802193216941825,7.609695872862739,3.64961545906341,3.6016965164809576,4.9941271140031285,4.593353770980297,4.9354597478052895,4.899175630480513,7.739375585896123,3.608809242675524,5.674121632632394,6.841469999465799,5.772677470424859,3.063502942306158,4.984133594540979,4.835924074254375,3.2555007331483865,3.3103401206121505,5.806066226089032,5.66732447027863,3.711494906650088,7.157852169141737
ACH-000837,2.7070829917717063,4.786073551578548,5.070818637533277,4.993674361750585,6.798439398827793,9.425006041484934,6.133193598664106,6.295723024539968,3.857980995127572,3.18269229751619,5.256255873202732,4.387500406480984,7.291308859828971,2.835924074254375,4.649040565634448,5.084914659767938,1.8639384504239715,5.964860664245848,5.12969515665378,7.785027362235466,2.839959587489532,4.926473911256073,6.5657494793688445,5.610581958492531,3.1554254317471973,4.886062338345599,4.001802242633985,4.182692297516191,4.75595576955096,6.377991326905882,4.872336288104642,4.303050084681673,7.216066783087033
