,MTHFD2 (10797),GART (2618),TYMS (7298),FTCD (10841),ALDH1L1 (10840),MTHFS (10588),MTFMT (123263),AMT (275),MTHFD2L (441024),DHFR (1719),SHMT1 (6470),MTHFD1L (25902),MTHFD1 (4522),MTR (4548),ATIC (471),MTHFR (4524),SHMT2 (6472)
ACH-000694,5.995710628907104,5.308885057411763,6.886306263452426,0.5849625007211562,0.2750070474998698,6.020368851063204,3.910732661902913,1.7311832415722,2.967168607532628,5.553360503335328,5.211401637418471,3.697106574476975,7.237640195035385,3.341985747228616,7.083638879250706,2.885574364371426,7.373387208160593
ACH-000619,5.0785244453890765,5.243745234733984,6.2193621578077165,0.137503523749935,0.879705766282288,4.710393192170516,3.2539892662307865,1.2203299548795556,2.75702324650746,5.057883448899626,5.4154882710497,4.2890967024199895,6.155425431747197,2.533563348214512,6.087887100933117,2.541019153133559,6.070389327891398
ACH-000647,7.252381595670458,6.634157606343431,8.8804406478879,0.6690267655096305,1.070389327891398,5.17951105027151,3.5993177936982264,0.7136958148433591,2.7420062108667365,6.192391456913176,5.797531839571962,4.656496370553495,7.12742692986628,3.343407822297814,6.526694845541976,3.2265085298086795,7.493615313577235
ACH-000231,5.96254902292306,5.937579799679659,7.743353390944915,1.0071955014042038,0.0565835283663675,5.3269687115878925,3.842978831788325,1.6040713236688608,2.6599245584023783,6.309248960816616,4.486714373030702,5.110196177754199,7.0522419811811385,3.752748591407134,5.876271360550127,2.752748591407134,6.837943241891027
ACH-000837,6.942397208291255,6.373126157758923,6.580748491763774,0.1634987322828795,0.01435529297707,6.36614733152048,4.119356177039675,0.8718436485093178,3.4449320489421824,5.272396509037485,4.997744026059632,4.993674361750585,7.493935485580522,3.0107798387532423,7.694949819258069,3.1521834190550453,6.999323578150824
