,CYP2E1 (1571),CYP3A5 (1577),CYP2J2 (1573),CYP3A4 (1576),PLA2G3 (50487),AKR1B10 (57016),CYP2C18 (1562),CYP1A2 (1544),ALOX15 (246),PLA2G4E (123745),JMJD7-PLA2G4B (8681),PLA2G6 (8398),PLA2G2E (30814),PLA2G10 (8399),PLA2G2A (5320),PLA2G4A (5321),CYP3A43 (64816),PLA2G5 (5322),PLA2G12B (84647),PLA2G4B (100137049),PLA2G2F (64600),PLA2G2C (391013),PLA2G2D (26279),CYP2C9 (1559),PLA2G12A (81579),CYP2C19 (1557),CYP2C8 (1558),CYP3A7 (1551),PLA2G1B (5319)
ACH-000694,1.1176950426697545,2.4905701304462013,1.989139007368233,0.0426443374084937,0.0426443374084937,5.973611275519472,0.4541758931858021,0.0565835283663675,2.056583528366368,1.38404980679516,3.3362833878644325,4.514753498439753,0.0,3.297191416565856,3.40735275114004,3.4168397419128294,0.0565835283663675,0.0976107966264223,0.0,2.925999418556223,1.144046369616707,0.0,0.01435529297707,0.2750070474998698,4.884597920990064,0.2016338611696504,0.4436066514756146,0.3448284969974411,0.0
ACH-000619,0.5945485495503542,0.8237493603082727,1.1309308698264486,0.0285691521967709,0.01435529297707,2.839959587489532,0.0,0.0,0.2868811477881615,0.137503523749935,2.269033146455237,2.9523335663696857,0.0426443374084937,1.9597701552114672,0.5260688116675876,1.097610796626422,0.0,0.0285691521967709,0.0,2.6803243568440163,0.4646682670034443,0.1505596765753814,0.01435529297707,0.0,3.399171093819823,0.01435529297707,0.1505596765753814,0.2016338611696504,0.0
ACH-000647,0.070389327891398,0.2868811477881615,1.9597701552114672,0.0,0.01435529297707,1.1890338243900171,0.0,0.0976107966264223,1.8718436485093173,0.0,1.2690331464552371,2.241840183564671,0.0,0.4329594072761063,0.0,1.3219280948873624,0.0285691521967709,0.0285691521967709,0.0285691521967709,2.028569152196771,0.1110313123887439,0.0,0.0,0.0,5.018812185742817,0.0,0.137503523749935,0.0,0.0
ACH-000231,1.070389327891398,0.3673710656485294,0.5753123306874368,0.01435529297707,0.0426443374084937,1.2141248053528475,0.0565835283663675,0.01435529297707,0.01435529297707,0.0,2.316145742293356,3.158660175346498,0.0,0.1243281350022017,0.1110313123887439,1.713695814843359,0.0,0.0,0.0976107966264223,1.6825732973475784,0.0,0.01435529297707,0.0,0.0976107966264223,4.3384244147835584,0.0,2.2016338611696504,0.0,0.1763227726404629
ACH-000837,1.232660756790275,0.1763227726404629,2.364572432295856,0.0285691521967709,0.0,1.713695814843359,0.01435529297707,0.0565835283663675,0.2265085298086797,0.0,2.1076878693143737,1.4382928515791469,0.0,0.0565835283663675,0.2265085298086797,3.286881147788161,0.0,0.0,0.0,2.4329594072761065,0.0,0.0,0.0,0.0,6.2049623305425134,0.0,0.0,0.0285691521967709,0.0
