,DNA2 (1763),POLE4 (56655),POLE3 (54107),PRIM1 (5557),PRIM2 (5558),POLD4 (57804),RFC4 (5984),RFC5 (5985),RPA1 (6117),POLA1 (5422),RPA3 (6119),POLD3 (10714),RNASEH2B (79621),RPA2 (6118),PCNA (5111),RPA4 (29935),RNASEH1 (246243),RNASEH2C (84153),MCM4 (4173),POLE2 (5427),MCM3 (4172),MCM6 (4175),MCM5 (4174),POLA2 (23649),MCM7 (4176),POLD1 (5424),POLD2 (5425),RNASEH2A (10535),POLE (5426),RFC1 (5981),RFC3 (5983),RFC2 (5982),MCM2 (4171),FEN1 (2237),LIG1 (3978),SSBP1 (6742)
ACH-000694,3.14893410452634,5.863938450423972,6.350850805483376,5.255500733148386,4.297191416565856,7.411765185006983,5.9941271140031285,5.157447996274298,5.882398504053875,3.753818443173543,5.773996325111173,3.626439136697315,5.370861740085285,5.324810603420484,7.434961760187254,0.1505596765753814,4.545968369105292,5.2471680003747725,7.139142019145689,4.383358695385111,6.703903573444664,5.18824265626441,6.000450771770857,4.2861418728343015,7.568640195419223,5.423578170981798,6.410408949851039,5.706806798597532,5.525129251203973,4.484782623077873,5.894090170601479,5.880195728943098,6.371733090622668,6.3466023752989855,5.034303767768035,7.123190240457156
ACH-000619,2.671293372481576,5.401903471607959,5.711219556894335,4.776103988073165,4.000901402741532,7.264442600226602,6.036283527988446,4.777682717073553,5.150965783556497,3.289834465177509,6.327866971402036,3.970853654340484,4.469885976274464,4.973611275519472,8.147154035330736,0.0,4.148120631123964,4.377817853083645,6.755154643177265,3.6881803585869264,6.363521543546545,5.4239142676731,5.745237332129749,5.107269393592545,8.388749213549058,5.580447019598664,6.7230123963923685,5.212958362728285,5.561937059622433,4.503984703897613,4.612352498752662,5.135863165368679,5.943218087426284,5.479618608469416,5.663344619366085,6.801546703356778
ACH-000647,4.236492618381302,6.549207089355683,6.537451387653073,5.261154672615572,5.191799501065075,6.304876050044889,6.300306796080063,6.121015400961366,6.067165427017112,3.4369613378336026,7.167719198601074,5.477677327565307,6.225159225777366,5.476381687567235,8.095660745495218,0.01435529297707,4.766065051474954,5.910252962799278,6.554435365317485,4.068670810665099,6.968781973830046,5.529196267999391,5.95814667376272,4.45022149589718,7.228049047884462,5.780047576061869,8.340918270272116,5.672425341971495,5.574707046415546,5.446917864866026,5.652773284510777,6.243745234733984,5.69849632031307,5.917431755390104,5.531381460516312,8.441242766869687
ACH-000231,3.527320607877047,4.499527024215096,6.84987419379562,4.292781749227846,4.571676809970931,5.160678213220501,5.004950759951045,5.120186027531863,5.205548911173033,4.522306892871389,5.624978179569036,3.802193216941825,4.2890967024199895,6.29020320512607,7.609695872862739,0.3103401206121505,4.61706334388818,4.234961094839504,6.960465374102548,3.6016965164809576,6.985614274853446,5.1715271060388135,4.607626220845488,4.142413437873741,7.494575616502123,5.674121632632394,6.841469999465799,5.869624686204322,5.772677470424859,4.93969674069176,4.920293300211007,5.797791200478888,6.1141587687205465,5.806066226089032,5.66732447027863,7.912230694393633
ACH-000837,3.439623137557117,6.798439398827793,6.133193598664106,4.715893370547605,4.234194722953812,6.295723024539968,6.521835962545389,5.2502036564992975,5.608809242675524,2.929790997718597,5.297558281168186,4.387500406480984,5.36667191611176,5.400537929583729,7.291308859828971,0.070389327891398,5.760753208062987,5.774259951432764,7.158862106208455,4.649040565634448,6.200261079813271,5.062639828286463,5.900866807980749,5.080657663345225,6.416333088688697,4.926473911256073,6.5657494793688445,6.178117045706399,5.610581958492531,4.903038270112912,5.381629467033664,4.5576551547254205,5.934988201783478,6.377991326905882,4.872336288104642,6.939109013042417
