,HLA-DOA (3111),HLA-DOB (3112),CD80 (941),CD86 (942),CD28 (940),IFNA5 (3442),IFNA4 (3441),IFNA2 (3440),TSHR (7253),TSHB (7252),IFNA1 (3439),HLA-C (3107),HLA-B (3106),HLA-DMB (3109),HLA-DMA (3108),HLA-A (3105),HLA-G (3135),TG (7038),CGA (1081),IFNA17 (3451),IFNA21 (3452),IFNA6 (3443),IFNA7 (3444),PRF1 (5551),IFNA8 (3445),IFNA10 (3446),IFNA13 (3447),IFNA14 (3448),GZMB (3002),IFNA16 (3449),TPO (7173),IL10 (3586),CTLA4 (1493),HLA-DRB5 (3127),HLA-F (3134),HLA-E (3133),IL2 (3558),CD40LG (959),HLA-DPA1 (3113),CD40 (958),HLA-DPB1 (3115),HLA-DQA1 (3117),HLA-DQA2 (3118),HLA-DQB1 (3119),FAS (355),FASLG (356),IL4 (3565),IL5 (3567),HLA-DRB1 (3123),HLA-DRA (3122)
ACH-000694,0.01435529297707,2.189033824390017,0.01435529297707,1.4646682670034443,0.01435529297707,0.0285691521967709,0.0,0.0,0.0565835283663675,0.0,0.1243281350022017,7.766065051474954,10.001267436790776,0.6599245584023783,2.403267722339301,8.01664117047407,0.6040713236688608,0.4222330006830478,0.2387868595871164,0.0,0.0,0.0,0.0,0.0285691521967709,0.0285691521967709,0.0,0.0426443374084937,0.0,0.0426443374084937,0.0,0.1243281350022017,0.0,0.0,0.765534746362977,6.013238915113665,7.260213886771416,0.0,0.0,0.5558161550616396,2.6507645591169022,0.2868811477881615,0.0565835283663675,0.070389327891398,0.0565835283663675,2.18269229751619,0.0,0.0,0.0,1.632268215499513,2.9597701552114675
ACH-000619,0.0285691521967709,2.097610796626422,0.01435529297707,0.5655971758542251,0.0,0.0,0.0,0.0,0.0565835283663675,0.0,0.2016338611696504,8.980882160180112,9.712372233433484,0.632268215499513,2.114367024952,9.810121726498522,0.4646682670034443,0.2387868595871164,0.1110313123887439,0.0,0.0,0.01435529297707,0.0,0.0,0.0,0.0,0.01435529297707,0.0,0.1243281350022017,0.0,0.0426443374084937,0.0,0.0,0.2986583155645151,6.499845887083206,7.495934952376285,0.0,0.01435529297707,0.2387868595871164,5.198886990956932,2.877744249949002,0.2986583155645151,0.0,2.572889668420581,3.2539892662307865,0.0,0.0,0.0,1.782408564927373,1.4750848829487828
ACH-000647,0.137503523749935,1.0285691521967708,0.0,0.0,0.01435529297707,0.0,0.0,0.0,0.0285691521967709,0.1763227726404629,0.1110313123887439,7.974299858003734,8.570918255328666,2.521050736900963,3.3405622690264134,8.026578770127715,0.3448284969974411,0.2750070474998698,0.1634987322828795,0.0,0.0,0.0,0.0,0.1110313123887439,0.0,0.0,0.0,0.0,1.263034405833794,0.0,0.3219280948873623,0.1243281350022017,0.0,0.5058909297299572,4.713695814843359,6.328226118787732,0.0,0.0,0.4436066514756146,4.866907978143166,0.2509615735332188,0.1110313123887439,0.1634987322828795,2.8659188145522125,3.933572638261024,0.0,0.0,0.0426443374084937,1.4329594072761065,0.9927684307689242
ACH-000231,0.0,2.405992359675837,0.0565835283663675,0.2750070474998698,0.1110313123887439,0.0426443374084937,0.0,0.0,0.4956951626240688,0.0,0.4222330006830478,10.313790025443684,11.328674927327947,0.6507645591169022,2.0840642647884744,10.438064085093638,1.4222330006830477,0.01435529297707,0.5753123306874368,0.0,0.0426443374084937,0.0,0.0,0.0,0.0426443374084937,0.0,0.0,0.0,0.0,0.0,0.0,0.0285691521967709,0.3334237337251918,0.1763227726404629,5.774787059601174,7.550131104144458,0.0,0.01435529297707,0.5360529002402097,0.0426443374084937,0.4005379295837288,0.2387868595871164,0.0,0.0426443374084937,4.839959587489532,0.0426443374084937,0.0,0.0976107966264223,0.2387868595871164,0.6599245584023783
ACH-000837,0.01435529297707,0.2868811477881615,0.01435529297707,0.0,0.01435529297707,0.0,0.0,0.0,0.0285691521967709,0.0,0.0,6.556276124790035,5.333065878076355,0.2016338611696504,0.9560566524124028,3.654206377944292,0.2265085298086797,0.3103401206121505,0.0565835283663675,0.0,0.0,0.0,0.0,0.0285691521967709,0.0,0.0,0.0,0.0,0.0,0.0,0.8318772411916731,0.0,0.0,0.0285691521967709,0.8718436485093178,4.90159099190337,0.0,0.0,0.3448284969974411,0.070389327891398,0.2630344058337938,0.1634987322828795,0.070389327891398,0.0976107966264223,0.411426245726465,0.0,0.0,0.0840642647884745,0.3673710656485294,0.6870606883398922
