,PLCB2 (5330),CALM2 (805),INPP1 (3628),PLCB1 (23236),PLCD1 (5333),PRKCB (5579),PRKCA (5578),PLCB3 (5331),CALM1 (801),PLCB4 (5332),DGKZ (8525),INPP5A (3632),DGKE (8526),INPP5B (3633),DGKD (8527),INPP4A (3631),PRKCG (5582),INPPL1 (3636),DGKH (160851),INPP5D (3635),SYNJ2 (8871),PIP4K2B (8396),ITPR3 (3710),PLCD3 (113026),PIKFYVE (200576),IMPA1 (3612),IMPA2 (3613),PIP5K1A (8394),PIP5K1B (8395),INPP5J (27124),CDS1 (1040),INPP5K (51763),SYNJ1 (8867),PLCD4 (84812),ITPKA (3706),PIK3R5 (23533),ITPKB (3707),ITPK1 (3705),CDIPT (10423),ITPR1 (3708),ITPR2 (3709),DGKQ (1609),CDS2 (8760),INPP4B (8821),DGKB (1607),DGKG (1608),DGKA (1606),DGKI (9162),PLCE1 (51196),CALML5 (51806),PIP5K1C (23396),PIK3C3 (5289),PIK3C2B (5287),PIK3C2G (5288),PIP4K2A (5305),PIK3C2A (5286),PTEN (5728),PIK3R3 (8503),PIP4K2C (79837),IPPK (64768),CALML3 (810),PIK3CA (5290),PIK3CB (5291),PIK3CD (5293),PLCG1 (5335),PLCG2 (5336),PLCZ1 (89869),PI4KB (5298),CALM3 (808),INPP5E (56623),PIK3CG (5294),PIK3R1 (5295),OCRL (4952),PIK3R2 (5296),CALML6 (163688),PI4KA (5297)
ACH-000694,0.4436066514756146,9.36640964765943,4.566206293465506,3.277984747299765,1.1826922975161902,0.7824085649273732,2.9392265777282085,4.873321062914816,8.70611608424485,0.2265085298086797,5.107687869314374,3.73768676140986,1.918386234446348,2.794935662803536,3.111031312388744,4.601102203376409,0.1243281350022017,6.12907690293063,2.292781749227846,0.3334237337251918,3.5197934862411,4.428276414392509,4.892391025913404,5.5496691707264905,2.990954860396993,3.71699089440494,5.022811650915632,5.064796645911805,0.5260688116675876,1.839959587489532,3.512226886513957,4.482202926295956,1.8439838440483265,1.263034405833794,1.859969548221026,0.1763227726404629,2.4168397419128294,5.111448698487674,5.833143096358337,1.570462931026041,2.3701642805402097,2.718087583960517,3.2555007331483865,3.2555007331483865,0.0285691521967709,1.807354922057604,6.609991295212678,0.0840642647884745,3.1538053360790355,4.15623479785027,3.232660756790275,3.9873208659292536,4.675251386050259,1.1699250014423124,2.1076878693143737,3.965322548367255,4.558267634055736,3.077242998932461,4.901108243014512,3.8747969658986654,1.3617683594191536,3.3146965256562866,4.404630684217612,0.4222330006830478,4.993221467368938,2.84197311892718,0.0,4.733896605247495,6.999774561287003,3.119356177039676,0.0285691521967709,2.6599245584023783,2.956056652412403,3.451540833017832,0.3219280948873623,4.665051614289214
ACH-000619,0.765534746362977,8.67302633970603,5.851998837112446,1.0496307677246008,2.543495883425772,0.0285691521967709,3.189033824390017,4.44028782084042,7.240123484034022,1.2387868595871168,4.7554217347342425,2.752748591407134,2.4828482830684653,2.533563348214512,3.507160349117523,3.4982508675278257,0.0426443374084937,5.271649772457207,2.669026765509631,0.4854268271702416,3.699329525673156,3.77082904603249,5.2505826647875375,5.686780634948565,2.6758159311722696,3.665620164066381,4.70984201927331,5.266786540694901,0.0565835283663675,1.807354922057604,3.451540833017832,3.739848102699328,1.903038270112912,0.765534746362977,1.6040713236688608,0.0,1.8718436485093173,4.973611275519472,6.165309015597156,1.584962500721156,2.140778655782796,2.277984747299765,4.316869805064333,4.543495883425772,0.0,0.137503523749935,5.809928865721431,0.01435529297707,1.5753123306874368,2.350497247084133,2.9873208659292536,3.547203024756932,2.6205864104518777,0.01435529297707,2.985500430304885,3.865918814552213,4.003602236680195,2.2898344651775093,5.316869805064333,4.106013237622119,4.093391153253013,3.702657543390911,3.831877241191673,1.565597175854225,5.624100894628114,3.10936055940423,0.0285691521967709,4.340562269026414,7.595593169744556,4.386810946472217,0.0,2.097610796626422,3.645009884391095,2.771885578515366,0.3895668117627256,3.5459683691052923
ACH-000647,1.5945485495503542,11.02396221945364,3.381283372503784,0.8399595874895318,2.4776773275653072,0.070389327891398,3.090853430451113,4.425593577653059,7.656067273725599,2.6622054996536164,5.702380501615525,4.046141781644721,2.364572432295856,2.889473542531109,3.745237332129749,3.889473542531109,1.4489009511451278,6.008092420948722,2.6803243568440163,0.1763227726404629,4.257010618206024,4.70376517879341,5.4114262457264655,4.774523529590232,3.032100843167024,4.004501392234941,5.915998851738901,6.568640195419223,1.1634987322828796,3.0373822220030804,4.336283387864432,4.090853430451113,3.5046203924035524,1.2690331464552371,2.4982508675278257,0.963474123974886,2.451540833017832,5.853496703702325,4.927896453728821,4.789207575347344,3.277984747299765,2.582556003014061,3.864928972289788,5.499527024215096,0.01435529297707,3.382667252745041,4.902556005344628,0.01435529297707,2.702657543390911,0.0426443374084937,3.7322691995014496,3.797012977836145,3.282439805006387,0.0,3.996388746447621,4.521050736900963,5.087462841250339,3.346247774082776,5.60733031374961,3.701549056943071,2.1009776477248208,3.739848102699328,4.072105800480419,2.920293300211007,5.500483401473115,2.920293300211007,0.0,5.490890978894291,7.933572638261024,3.257010618206024,0.0426443374084937,1.3391373849195856,4.900625332536066,3.682573297347578,0.5945485495503542,6.567727963304803
ACH-000231,0.9708536543404837,9.343008005345,3.307428525192248,1.0908534304511135,2.3673710656485296,0.137503523749935,3.902073579310743,4.111031312388744,8.675392543042777,4.277984747299765,4.739308070860385,3.895302621333306,0.6690267655096305,2.908812907739547,4.316869805064333,3.3362833878644325,0.3103401206121505,6.543650537983554,2.353323291162897,0.137503523749935,5.942749070828886,4.213347281733441,4.519164449806069,3.8972404255748,3.2141248053528475,4.829342193902803,4.062639828286463,5.869377924031328,0.0285691521967709,1.097610796626422,1.91456452349394,3.5619370596224327,2.786596361890807,1.6369145803558778,2.5993177936982264,0.0,1.6959938131099002,4.522306892871389,5.720278465233327,4.62702310555406,4.178714641175443,2.853995647176393,3.5160151470036647,0.2750070474998698,0.1763227726404629,2.996388746447621,3.856985689782205,0.2387868595871164,3.38404980679516,0.0426443374084937,5.4110872267986005,5.096346198993175,1.550900664647523,0.0976107966264223,4.033863451866284,4.072963271555224,3.619413010597937,4.640967910449898,5.284662185483165,3.609991295212679,0.0,3.613531652917927,4.36667191611176,3.2387868595871163,6.075532631167357,0.1505596765753814,0.1763227726404629,5.265286857565172,8.06544306293743,3.571676809970932,0.1110313123887439,4.907371413823563,5.080231272019264,4.118525848935668,0.4005379295837288,5.956753662671981
ACH-000837,0.2016338611696504,10.097768793418616,3.305970520984386,2.277984747299765,0.3219280948873623,0.2141248053528473,2.448900951145128,4.49761236561836,8.222263603528345,2.8094144442358986,5.204375511319093,4.386810946472217,0.2750070474998698,1.7004397181410922,4.07638806851284,3.5185351389821804,0.7990873060740036,5.473137487772256,2.5993177936982264,0.2986583155645151,3.85897561429202,3.7548875021634687,4.880195728943098,4.203201156316611,2.82781902461732,3.821710215034674,2.9981955031532523,5.850249358286328,0.0840642647884745,0.0840642647884745,4.074676686294496,2.994579724215748,2.0426443374084937,1.1634987322828796,1.8439838440483265,0.0285691521967709,3.344828496997441,4.699329525673156,4.950468414150123,1.5459683691052926,2.521050736900963,2.8257856274647914,4.050501697446727,4.700994494168267,0.01435529297707,0.1110313123887439,5.7311832415722,0.1110313123887439,1.0214797274104517,0.070389327891398,2.9653225483672547,3.975446765640962,2.176322772640463,1.3334237337251915,3.768713657030485,4.507794640198696,5.101818134227409,3.8083850506560935,4.96254902292306,2.910732661902913,0.0,3.1842802944193824,4.20945336562895,0.6507645591169022,4.221877081077034,2.4620523187964327,0.0,5.024142345897803,7.622198278523645,3.571676809970932,0.0285691521967709,2.1667154449664223,3.523561956057013,3.344828496997441,0.2141248053528473,4.916954278953217
