,MPI (4351),PMM2 (5373),PMM1 (5372),FBP2 (8789),PFKM (5213),GMDS (2762),PFKFB4 (5210),PFKL (5211),MTMR6 (9107),TPI1 (7167),PHPT1 (29085),PFKFB3 (5209),FCSK (197258),PFKFB2 (5208),MTMR1 (8776),PFKFB1 (5207),AKR1B10 (57016),FPGT (8790),KHK (3795),FBP1 (2203),MTMR2 (8898),HK2 (3099),HK3 (3101),HK1 (3098),ALDOA (226),ALDOC (230),ALDOB (229),MTMR7 (9108),GFUS (7264),AKR1B1 (231),SORD (6652),GMPPA (29926),PFKP (5214),GMPPB (29925)
ACH-000694,5.441948190503361,4.881664619320345,4.477029653013065,0.4646682670034443,5.666188489872781,5.059614856297222,2.0143552929770703,6.094658342654544,2.3015876466031866,9.586689694844662,6.920412408160787,4.678071905112637,3.049630767724601,3.710393192170516,4.733354340613827,0.3673710656485294,5.973611275519472,3.4342946179599254,2.028569152196771,0.9927684307689242,4.060047383669939,3.7224660244710894,0.1243281350022017,6.2104278304014855,10.270178504330117,4.968090752045256,0.0,0.3785116232537298,5.659924558402379,6.069959890459774,5.678635347822744,4.754887502163468,5.837186385159029,3.980025300238734
ACH-000619,4.218781167784069,4.668459556915382,4.496973580998276,0.1890338243900171,4.608809242675524,5.268658955027672,2.1473066987802936,5.492494151679432,2.448900951145128,8.362206855225358,7.217618485351048,5.303780748177103,3.1747259877061333,3.311793717753649,3.8747969658986654,0.5753123306874368,2.839959587489532,2.9653225483672547,1.2570106182060237,1.1375035237499351,3.3348542693316325,4.157852169141737,0.0,5.014801602351361,9.540593036584854,5.170325694415555,0.0285691521967709,0.3448284969974411,5.805292455600712,6.2925977202664525,5.6783536539741695,4.814037647539975,6.44045394382303,3.442280035252584
ACH-000647,4.541638734436141,5.258895755075436,4.846493315964563,0.1110313123887439,4.7713574089905615,5.429281193335658,2.513490745588118,5.469560421711221,3.587364990936461,9.37238625833264,7.130930869826448,4.349082146391089,2.0531113364595623,4.059182199211692,4.845991770664573,0.1243281350022017,1.1890338243900171,2.7092906357233577,2.8298495598446904,0.632268215499513,4.3826672527450405,3.541019153133559,0.0426443374084937,6.822347757597036,9.562585882154105,5.81992359556066,0.070389327891398,0.6690267655096305,6.2650992875147375,7.582932282988257,5.1815001517046095,5.195347598322219,7.093496794891906,4.155425431747197
ACH-000231,4.701549056943071,5.277984747299765,5.508111681193465,0.0,5.289465630958221,5.146084938616191,5.50303064564116,7.062316027355716,3.5372960670908418,10.281582347705443,6.974758730476078,5.726286289720674,3.6403895600549454,2.472487771462744,3.997292407636508,0.3785116232537298,1.2141248053528475,3.168321115739723,0.722466024471091,0.5849625007211562,4.804260115634738,4.589763486984977,0.0426443374084937,6.387328072366118,11.238165862755134,1.4698859762744636,0.0285691521967709,0.7398481026993274,6.3706874068072175,6.823494624712857,4.658782734012828,4.910252962799278,7.797856033420856,4.795455272044121
ACH-000837,5.957914598632986,4.833902076669164,2.2839217723076177,0.0285691521967709,2.6644828403646823,4.535430914871279,1.9634741239748856,5.776893568522074,3.494415610397496,10.06406908038551,6.882153917287012,3.075532631167357,3.4195388915137843,3.816599706534912,4.517905553529951,0.3785116232537298,1.713695814843359,3.321928094887362,1.5310694927259538,0.1243281350022017,5.786857696017215,5.392317422778761,0.0426443374084937,5.2890967024199895,10.26666943407193,1.3161457422933562,0.0840642647884745,0.2509615735332188,7.698149009340765,5.971083657536011,5.511594541537413,4.840966704487421,6.522463835492255,4.861459166361513
