,CALM2 (805),PTGFR (5737),BST1 (683),PTGER1 (5731),F2R (2149),CALM1 (801),PTGER3 (5733),ATP2A1 (487),OXTR (5021),PPP3R2 (5535),P2RX4 (5025),TACR3 (6870),P2RX5 (5026),PPP3CC (5533),ADRB3 (155),ATP2A3 (489),P2RX1 (5023),PPP3R1 (5534),ADRB2 (154),ATP2A2 (488),P2RX3 (5024),ADRB1 (153),TACR1 (6869),TACR2 (6865),SPHK1 (8877),CCKAR (886),CCKBR (887),NTSR1 (4923),PDGFRB (5159),SLC8A1 (6546),ITPR3 (3710),SLC8A3 (6547),PLCD3 (113026),EDNRA (1909),P2RX7 (5027),CHP2 (63928),DRD1 (1812),DRD5 (1816),TRHR (7201),EDNRB (1910),PHKB (5257),PHKA2 (5256),PHKA1 (5255),GNA15 (2769),GNA11 (2767),VDAC1 (7416),VDAC2 (7417),CHRM1 (1128),VDAC3 (7419),CHRM2 (1129),PRKX (5613),PLN (5350),BDKRB1 (623),MYLK (4638),PLCE1 (51196),CHRM3 (1131),ADCY3 (109),CALML5 (51806),LTB4R2 (56413),ADCY2 (108),ADCY1 (107),BDKRB2 (624),PDE1C (5137),CYSLTR1 (10800),GNA14 (9630),PDE1B (5153),CAMK4 (814),CAMK2A (815),CAMK2B (816),PDGFRA (5156),CAMK2D (817),CAMK2G (818),PRKACA (5566),PRKACB (5567),GNAQ (2776),SLC25A6 (293),PRKACG (5568),GNAS (2778),SLC25A5 (292),CALML3 (810),SLC25A4 (291),GNAL (2774),ATP2B2 (491),ATP2B3 (492),ATP2B4 (493),PLCG1 (5335),PLCG2 (5336),PLCZ1 (89869),AGTR1 (185),ATP2B1 (490),CALM3 (808),PTK2B (2185),TRPC1 (7220),SLC25A31 (83447),PLCB2 (5330),GRM5 (2915),ADCY8 (114),RYR1 (6261),PLCB1 (23236),ADCY9 (115),PLCD1 (5333),PRKCB (5579),ADCY7 (113),PRKCA (5578),PLCB3 (5331),PLCB4 (5332),TNNC2 (7125),RYR2 (6262),RYR3 (6263),GRM1 (2911),PPID (5481),PHKG1 (5260),PHKG2 (5261),PRKCG (5582),PDE1A (5136),ERBB4 (2066),CACNA1A (773),GRIN1 (2902),GRIN2A (2903),ERBB2 (2064),ERBB3 (2065),CHRNA7 (1139),NOS3 (4846),CACNA1D (776),GRIN2C (2905),CACNA1E (777),GRIN2D (2906),CHRM5 (1133),CACNA1B (774),NOS2 (4843),CACNA1C (775),NOS1 (4842),MYLK2 (85366),CACNA1F (778),CACNA1S (779),ADCY4 (196883),TNNC1 (7134),PLCD4 (84812),P2RX2 (22953),ITPKA (3706),ADORA2A (135),ITPKB (3707),EGFR (1956),ADORA2B (136),ITPR1 (3708),ITPR2 (3709),HTR4 (3360),SPHK2 (56848),HTR5A (3361),HTR6 (3362),HTR7 (3363),HTR2A (3356),HTR2C (3358),HTR2B (3357),P2RX6 (9127),SLC8A2 (6543),AVPR1A (552),AVPR1B (553),HRH2 (3274),ADRA1D (146),ADRA1B (147),ADRA1A (148),GRPR (2925),CD38 (952),PPP3CB (5532),PTAFR (5724),PPP3CA (5530),CACNA1H (8912),CACNA1G (8913),CACNA1I (8911),CYSLTR2 (57105),LHCGR (3973),TBXA2R (6915),MYLK3 (91807),HRH1 (3269),CHP1 (11261),CALML6 (163688)
ACH-000694,9.36640964765943,0.0285691521967709,0.1505596765753814,0.0426443374084937,2.090853430451113,8.70611608424485,0.1763227726404629,2.1243281350022016,0.8155754288625725,0.01435529297707,3.607626220845488,0.01435529297707,1.3561438102252754,2.963474123974886,0.0,2.451540833017832,0.4646682670034443,4.51853513898218,3.671293372481576,7.186659017202113,0.0565835283663675,0.4541758931858021,0.0565835283663675,0.3673710656485294,2.568032104771279,0.0,0.070389327891398,0.1243281350022017,0.01435529297707,0.3561438102252753,4.892391025913404,0.0,5.5496691707264905,0.070389327891398,0.0840642647884745,4.379898163524692,0.0840642647884745,0.0426443374084937,0.01435529297707,0.0426443374084937,6.282439805006387,4.010779838753242,2.493134922305505,5.0103322832848205,5.066519781429746,7.498570012544255,7.5498231649670045,0.1243281350022017,6.396262260990105,0.0,4.155425431747197,0.0426443374084937,2.7420062108667365,2.1984941536390834,3.1538053360790355,2.0806576633452254,4.769771739249448,4.15623479785027,4.214124805352848,0.2265085298086797,1.454175893185802,3.618238655595455,0.3448284969974411,0.0285691521967709,0.1110313123887439,0.2750070474998698,1.0908534304511135,1.0908534304511135,0.2630344058337938,0.01435529297707,3.855989697308481,4.989139007368233,4.986410935252045,3.4462562298895643,4.334139178838237,7.626001004880144,0.0,9.29008798401597,9.451726268074506,1.3617683594191536,5.168321115739722,0.9411063109464316,0.0,0.01435529297707,6.202613620148487,4.993221467368938,2.84197311892718,0.0,0.0285691521967709,3.817623257511431,6.999774561287003,4.03738222200308,1.0908534304511135,0.0285691521967709,0.4436066514756146,0.01435529297707,0.0,3.534808661231747,3.277984747299765,3.3103401206121505,1.1826922975161902,0.7824085649273732,6.469560421711221,2.9392265777282085,4.873321062914816,0.2265085298086797,0.4329594072761063,0.84799690655495,0.84799690655495,0.0565835283663675,4.965322548367254,0.4541758931858021,5.016139702655253,0.1243281350022017,0.0,0.0565835283663675,1.0908534304511135,0.0285691521967709,0.1110313123887439,6.560409266362118,5.410408949851039,1.819668183496456,0.2630344058337938,0.2750070474998698,0.1890338243900171,0.070389327891398,3.04788732939655,0.0426443374084937,0.0840642647884745,0.0426443374084937,0.8875252707415875,1.1953475983222193,0.2016338611696504,0.5655971758542251,0.0,1.1826922975161902,3.785550551739256,1.263034405833794,0.0840642647884745,1.859969548221026,1.111031312388744,2.4168397419128294,5.286511557664227,4.592756010441026,1.570462931026041,2.3701642805402097,0.0976107966264223,2.983677694698067,0.0,0.01435529297707,0.6229303509201767,0.0,1.4436066514756147,0.2016338611696504,0.7136958148433591,0.4956951626240688,0.0,0.0,0.2265085298086797,0.0840642647884745,1.9597701552114672,0.0,0.0426443374084937,0.2509615735332188,3.925049964727359,3.104336659814736,3.814550423461808,0.963474123974886,0.0565835283663675,0.4854268271702416,0.0,0.0,0.0426443374084937,0.1110313123887439,2.438292851579147,5.520736526937641,0.3219280948873623
ACH-000619,8.67302633970603,0.0,0.411426245726465,0.0840642647884745,3.10936055940423,7.240123484034022,0.0426443374084937,1.9523335663696857,2.032100843167024,0.0,4.36737106564853,0.0,3.472487771462744,2.298658315564515,0.01435529297707,2.485426827170241,0.0565835283663675,4.461397589926158,3.324810603420484,6.793635820350628,0.01435529297707,0.1890338243900171,0.0426443374084937,0.070389327891398,3.868884273028773,0.0,0.0285691521967709,0.070389327891398,0.2986583155645151,0.7484612330040357,5.2505826647875375,0.01435529297707,5.686780634948565,0.1634987322828795,0.0426443374084937,0.2016338611696504,0.0285691521967709,0.0,0.0,0.0426443374084937,5.308156975114762,3.9439213265534856,1.996388746447621,4.386810946472217,4.348374075191163,6.892148127513825,6.137913322088407,0.01435529297707,5.915042791371977,0.01435529297707,2.411426245726465,0.0,2.851998837112446,3.646162657157894,1.5753123306874368,0.5058909297299572,5.207892851641333,2.350497247084133,2.983677694698067,0.0,1.867896463992655,3.3175935046234715,0.1634987322828795,0.0426443374084937,0.0426443374084937,0.1110313123887439,0.1110313123887439,1.6040713236688608,0.1634987322828795,0.0,2.8318772411916733,4.555202633878297,4.908332569782425,3.04788732939655,4.606442228131607,7.327956766630701,0.0,9.468257468323142,8.21611529905364,4.093391153253013,2.845991770664573,1.1953475983222193,0.01435529297707,0.070389327891398,4.817623257511431,5.624100894628114,3.10936055940423,0.0285691521967709,0.0,3.4356285940520905,7.595593169744556,3.8904466926799057,2.389566811762726,0.01435529297707,0.765534746362977,0.0,0.0,4.246408087246385,1.0496307677246008,2.8619553641448694,2.543495883425772,0.0285691521967709,4.786596361890807,3.189033824390017,4.44028782084042,1.2387868595871168,0.6507645591169022,0.1505596765753814,0.3334237337251918,0.0,3.791814071161826,0.8718436485093178,4.692092375427572,0.0426443374084937,0.0565835283663675,0.1110313123887439,0.3561438102252753,1.722466024471091,0.0426443374084937,5.199672344836364,5.000450771770857,0.1890338243900171,0.6135316529179271,0.2387868595871164,0.137503523749935,0.0,3.851998837112446,0.0840642647884745,0.5260688116675876,0.0,0.070389327891398,0.6870606883398922,0.5459683691052926,0.2986583155645151,0.0,1.4750848829487828,1.1699250014423124,0.765534746362977,0.0426443374084937,1.6040713236688608,0.925999418556223,1.8718436485093173,5.44857062600553,4.898692072560488,1.584962500721156,2.140778655782796,0.070389327891398,3.0089887832272546,0.0,0.0285691521967709,0.7570232465074596,0.0,0.0,0.0285691521967709,0.8155754288625725,0.4222330006830478,0.0,0.01435529297707,0.1110313123887439,0.3561438102252753,0.9560566524124028,0.0,0.1243281350022017,1.0356239097307212,3.1538053360790355,2.8011586560936985,3.3757345385831563,0.070389327891398,0.137503523749935,0.2141248053528473,0.0426443374084937,0.0,0.4956951626240688,0.0565835283663675,2.983677694698067,5.165911938935689,0.3895668117627256
ACH-000647,11.02396221945364,0.0565835283663675,0.1505596765753814,1.516015147003665,2.871843648509318,7.656067273725599,0.01435529297707,0.6415460290875237,2.028569152196771,0.0,4.56498780095989,0.0,2.587364990936461,3.38404980679516,0.0,3.654206377944292,0.01435529297707,5.338780943894699,2.4462562298895643,7.185866545311334,0.0,0.722466024471091,0.0426443374084937,0.9107326619029126,4.597531174224212,0.0,0.0,0.918386234446348,1.070389327891398,3.349082146391089,5.4114262457264655,0.0426443374084937,4.774523529590232,0.0,0.0285691521967709,0.0285691521967709,0.01435529297707,0.0,0.0,0.0565835283663675,5.467605550082998,3.918386234446348,2.782408564927373,3.868884273028773,5.083213368248981,7.53130347489285,8.388146476131386,0.01435529297707,5.972922364225416,0.0,2.356143810225275,0.0285691521967709,0.2016338611696504,3.697106574476975,2.702657543390911,0.01435529297707,6.692789834972647,0.0426443374084937,2.513490745588118,0.0,4.096767854714689,0.3334237337251918,0.0976107966264223,0.01435529297707,0.0,1.144046369616707,0.1890338243900171,0.070389327891398,1.1890338243900171,0.2509615735332188,3.61706334388818,6.12536180635178,6.004950759951045,4.4269356196483365,4.044394119358453,5.803485375595953,0.0,9.669877160489095,9.126317293422996,2.1009776477248208,3.7729413378313352,3.412781525338476,0.2387868595871164,0.0,4.301587646603187,5.500483401473115,2.920293300211007,0.0,0.0,4.554588851677638,7.933572638261024,3.768713657030485,2.8318772411916733,0.0,1.5945485495503542,0.0426443374084937,0.01435529297707,4.5453506448223,0.8399595874895318,3.8972404255748,2.4776773275653072,0.070389327891398,3.5096958419333872,3.090853430451113,4.425593577653059,2.6622054996536164,0.1763227726404629,1.38404980679516,0.5753123306874368,0.01435529297707,5.350143602017798,1.0772429989324606,4.558879853475442,1.4489009511451278,0.0,0.0,0.5655971758542251,3.0686708106650986,0.0,5.468583317006828,4.560103513464738,2.877744249949002,0.2630344058337938,1.6825732973475784,0.2387868595871164,0.0,3.1858665453113337,0.1243281350022017,0.2387868595871164,0.0,0.0840642647884745,0.0,0.6229303509201767,0.01435529297707,0.0,0.918386234446348,6.048105374442063,1.2690331464552371,0.4436066514756146,2.4982508675278257,3.1842802944193824,2.451540833017832,6.238022517825721,5.75702324650746,4.789207575347344,3.277984747299765,0.0,3.0789513413948217,0.0,0.7990873060740036,1.6276068381296498,0.0,0.0,0.2141248053528473,3.0250287944915226,0.4005379295837288,0.0,0.0285691521967709,1.967168607532628,0.2630344058337938,0.3448284969974411,0.0,0.6415460290875237,0.1763227726404629,5.780047576061869,2.859969548221026,4.912649864897204,2.3132458517875616,0.925999418556223,0.070389327891398,0.0,0.0285691521967709,0.925999418556223,0.2750070474998698,2.780310099043376,5.60733031374961,0.5945485495503542
ACH-000231,9.343008005345,1.8718436485093173,4.912649864897204,0.0976107966264223,5.255878352582786,8.675392543042777,0.0426443374084937,2.3701642805402097,3.791814071161826,0.0285691521967709,4.571676809970931,0.0,2.4672794804599825,4.038260575175349,0.0840642647884745,0.3673710656485294,0.070389327891398,4.714795011118162,2.702657543390911,6.896756218474805,0.0,0.1505596765753814,0.4854268271702416,0.4854268271702416,4.1969217338203295,0.3448284969974411,0.01435529297707,0.6229303509201767,2.389566811762726,2.475084882948783,4.519164449806069,0.0285691521967709,3.8972404255748,0.1505596765753814,2.127633279725874,0.0,0.0976107966264223,0.0,0.2630344058337938,0.2141248053528473,4.40667271575583,4.575312330687437,1.807354922057604,0.1110313123887439,5.47021145739054,8.199377887229282,7.763610754622774,0.0,7.076601848618572,0.9927684307689242,3.460742563789644,0.1243281350022017,0.3785116232537298,6.30542338930187,3.38404980679516,2.16349873228288,4.354734239970604,0.0426443374084937,3.39231742277876,2.204766750654613,1.922197848396367,0.1110313123887439,5.991635216476986,0.070389327891398,1.0356239097307212,0.0426443374084937,3.0669502439246266,0.4854268271702416,1.3561438102252754,0.933572638261024,3.451540833017832,4.514753498439753,6.31124879044183,4.762348815644129,4.812498225333564,8.145575566354822,0.0,9.815014969266636,9.606719813617406,0.0,4.524189078449365,0.7570232465074596,0.070389327891398,0.01435529297707,5.717539343391165,6.075532631167357,0.1505596765753814,0.1763227726404629,0.0426443374084937,5.656496370553495,8.06544306293743,1.8237493603082728,3.773996325111173,0.0,0.9708536543404837,0.0285691521967709,0.0285691521967709,0.7990873060740036,1.0908534304511135,3.316145742293356,2.3673710656485296,0.137503523749935,2.9049657186840263,3.902073579310743,4.111031312388744,4.277984747299765,0.2509615735332188,0.4854268271702416,1.5459683691052926,0.0285691521967709,4.854993016757,1.4329594072761065,5.129283016944966,0.3103401206121505,0.4329594072761063,0.01435529297707,2.584962500721156,0.4436066514756146,0.01435529297707,4.118525848935668,0.5360529002402097,0.2509615735332188,0.0426443374084937,0.2016338611696504,0.2016338611696504,0.0,0.2868811477881615,0.1505596765753814,0.0,0.01435529297707,0.5849625007211562,0.0,2.0143552929770703,0.0,0.0,0.1505596765753814,0.879705766282288,1.6369145803558778,0.1110313123887439,2.5993177936982264,2.232660756790275,1.6959938131099002,3.665620164066381,3.411426245726465,4.62702310555406,4.178714641175443,0.1505596765753814,4.093391153253013,0.0,0.0840642647884745,1.6369145803558778,0.7907720378619999,0.0426443374084937,0.070389327891398,1.9297909977185967,0.3673710656485294,0.0,0.0285691521967709,0.0840642647884745,2.232660756790275,2.835924074254375,0.0,1.5801454844233804,0.5849625007211562,4.622930350920177,0.2265085298086797,4.517275693209582,0.2509615735332188,0.2141248053528473,0.01435529297707,0.0,0.1110313123887439,0.4005379295837288,0.1243281350022017,2.9708536543404835,5.811214117513239,0.4005379295837288
ACH-000837,10.097768793418616,0.01435529297707,0.4750848829487828,0.1505596765753814,3.007195501404204,8.222263603528345,0.0840642647884745,1.1890338243900171,1.1763227726404628,0.01435529297707,4.725741156503952,0.0,0.0840642647884745,2.673556423990145,0.01435529297707,0.2630344058337938,0.0426443374084937,5.234577959784565,0.879705766282288,7.025693273680773,0.0,0.8718436485093178,0.0426443374084937,0.1505596765753814,4.1945598860226125,0.0,0.0426443374084937,2.2357270598380583,0.1505596765753814,1.632268215499513,4.880195728943098,0.0426443374084937,4.203201156316611,0.1243281350022017,0.01435529297707,0.0,0.0,0.0,0.0,0.01435529297707,6.628919373511362,3.158660175346498,2.974529312483882,4.573495715495609,4.903520373723376,7.852373449580268,7.562089750001036,0.0840642647884745,7.519085800963632,0.0,3.0107798387532423,0.01435529297707,0.0,0.3673710656485294,1.0214797274104517,2.752748591407134,5.55704241526372,0.070389327891398,2.0143552929770703,0.0,0.01435529297707,0.0426443374084937,0.0565835283663675,0.01435529297707,0.0,0.01435529297707,0.0976107966264223,0.0,0.2387868595871164,0.0976107966264223,4.773468927905194,4.28835856219366,4.429615964201735,4.55028504908841,3.364572432295856,7.190516096215559,0.0,9.464566170501396,8.479699438513467,0.0,3.7897292513757694,1.6507645591169022,0.0,0.0,4.442280035252584,4.221877081077034,2.4620523187964327,0.0,0.0,4.749534267669262,7.622198278523645,3.374343989038501,2.2016338611696504,0.0,0.2016338611696504,1.1953475983222193,0.0,0.01435529297707,2.277984747299765,1.0356239097307212,0.3219280948873623,0.2141248053528473,4.956056652412403,2.448900951145128,4.49761236561836,2.8094144442358986,0.6040713236688608,1.2868811477881614,0.7739963251111731,0.0426443374084937,5.008540671702954,0.4222330006830478,4.739308070860385,0.7990873060740036,0.0840642647884745,0.1634987322828795,0.2630344058337938,0.7484612330040357,0.0565835283663675,5.317593504623472,4.121844297876376,0.1243281350022017,0.925999418556223,1.2265085298086795,0.1110313123887439,0.0565835283663675,0.1505596765753814,0.0976107966264223,0.01435529297707,0.01435529297707,0.01435529297707,0.01435529297707,0.3448284969974411,0.0,0.01435529297707,0.0426443374084937,2.765534746362977,1.1634987322828796,0.01435529297707,1.8439838440483265,1.3561438102252754,3.344828496997441,5.237640195035385,6.328405658958567,1.5459683691052926,2.521050736900963,0.0,3.232660756790275,0.0,0.0,1.4854268271702415,0.0,0.0,0.1634987322828795,0.01435529297707,0.2387868595871164,0.0,0.01435529297707,0.0,0.070389327891398,3.835924074254375,0.0,0.5558161550616396,0.2868811477881615,4.368768349090335,2.550900664647523,3.805292455600712,0.137503523749935,0.0285691521967709,0.137503523749935,0.01435529297707,0.01435529297707,0.01435529297707,0.137503523749935,2.639232163249277,5.211401637418471,0.2141248053528473
