,PPCS (79717),ENPP3 (5169),PANK3 (79646),PPCDC (60490),ENPP1 (5167),VNN2 (8875),VNN1 (8876),PANK1 (53354),PANK4 (55229),UPB1 (51733),DPYS (1807),COASY (80347),DPYD (1806),PANK2 (80025),BCAT1 (586),BCAT2 (587)
ACH-000694,5.739308070860385,0.0,3.942983598187102,4.669026765509631,0.2509615735332188,0.0565835283663675,0.0285691521967709,2.797012977836145,4.290571850852079,0.0,0.1505596765753814,6.239550796613645,3.673556423990145,4.455491620628468,4.067810783789621,5.110196177754199
ACH-000619,5.465648025982281,0.070389327891398,3.6016965164809576,3.2942531364445142,0.0565835283663675,0.01435529297707,0.01435529297707,1.622930350920177,3.512226886513957,0.0285691521967709,0.01435529297707,5.846744023244868,3.957914598632985,5.3384244147835584,0.8073549220576041,5.274634402517586
ACH-000647,5.726831217032493,0.1243281350022017,3.871843648509318,4.371558862611963,1.7398481026993275,0.070389327891398,0.0976107966264223,2.807354922057604,4.809414444235898,0.1110313123887439,0.2016338611696504,6.023698917266407,3.4828482830684653,4.494415610397496,0.2868811477881615,5.925049964727359
ACH-000231,4.372255648445787,0.2509615735332188,4.868884273028773,3.636914580355878,3.082361969557473,0.2509615735332188,0.3561438102252753,2.608809242675524,4.491211756003092,0.2509615735332188,0.5058909297299572,4.333423733725192,4.2712762591759255,4.910252962799278,5.317593504623472,5.404290064444837
ACH-000837,6.221297103163338,0.1634987322828795,4.85049941375812,5.57924050057297,1.0565835283663676,0.0285691521967709,0.137503523749935,1.769771739249448,4.23035674505615,0.1763227726404629,0.1890338243900171,5.80967167790706,3.6926503700355298,4.636334602442182,3.877744249949002,4.460742563789644
